begintime,sk_object,duration,M51326C0,M51326C1,M51326C2,M51326C3
2022-03-15 06:58:00,315.0,2,0.0,0.0,0.0,0.0
2022-03-17 02:53:00,322.0,7,18286.0,1125124.0,14883.0,1334940.0
2022-03-17 02:54:00,316.0,6,27431.0,1748708.0,21597.0,1910140.0
2022-03-17 02:54:00,317.0,6,3328.0,212024.0,2230.0,159788.0
2022-03-17 02:54:00,319.0,6,6953.0,478656.0,4120.0,239956.0
2022-03-17 02:54:00,320.0,6,5940.0,420028.0,3159.0,130128.0
2022-03-17 02:54:00,321.0,6,7802.0,482076.0,5910.0,519584.0
2022-03-17 02:55:00,318.0,5,21254.0,1356440.0,16078.0,1387392.0
2022-03-18 18:00:00,317.0,15,32405.0,2334112.0,16514.0,468856.0
2022-03-18 18:15:00,317.0,15,31166.0,2246156.0,16266.0,466716.0
2022-03-18 18:30:00,317.0,15,31347.0,2260440.0,16344.0,467732.0
2022-03-18 18:45:00,317.0,15,31977.0,2304520.0,16710.0,478348.0
2022-03-19 06:56:00,86697.0,4,13843.0,983812.0,8059.0,481184.0
2022-03-19 13:46:00,315.0,14,99688.0,6996612.0,63322.0,4529108.0
2022-03-19 16:58:00,315.0,2,0.0,0.0,0.0,0.0
2022-03-11 21:47:00,315.0,13,186178.0,13372416.0,144082.0,9500780.0
2022-03-12 05:55:00,321.0,5,24218.0,1753268.0,17907.0,1870092.0
2022-03-12 06:50:00,315.0,10,49932.0,3400268.0,33152.0,2614720.0
