begintime,sk_object,duration,integrity,73422157,73423829,73423830,73430523,73430526,73440118,73446392,73446393,73448317
2022-02-19,7527917.0,86400.0,100.0,1.0,0.0,0.0,16.0,0.0,0.08333333333333333,10.0,0.0,12.0
2022-03-03,7527914.0,86400.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-02-06,7527927.0,86400.0,100.0,0.0,6347308.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-12,7527919.0,68400.0,79.16666666666667,0.0,3492139.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-14,7527937.0,86400.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-02-18,7527911.0,86400.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-13,7527927.0,75600.0,87.5,0.0,5707000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-06,7527929.0,79200.0,91.66666666666667,0.0,2635610.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-02-18,7527910.0,86400.0,100.0,0.0,8621304.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-02-06,7527935.0,86400.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-02-13,7527936.0,86400.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-15,7527916.0,86400.0,100.0,23.0,0.0,0.0,304.0,195.0,12.708333333333334,270.0,162.0,3031.9166666666665
2022-03-01,7527923.0,86400.0,100.0,4.0,0.0,0.0,16.0,23.0,1.375,4.0,15.0,16119.375
2022-02-13,7527935.0,86400.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-02-10,7527909.0,86400.0,100.0,0.0,3417862.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-02,7527924.0,86400.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-02-11,7527931.0,86400.0,100.0,13.0,0.0,0.0,321.0,0.0,7.875,285.0,0.0,11.0
2022-03-15,7527929.0,86400.0,100.0,0.0,2735410.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-02-17,7527926.0,75600.0,87.5,32.0,0.0,0.0,387.0,239.0,18.476190476190474,355.0,205.0,5642.428571428572
2022-02-05,7527917.0,86400.0,100.0,1.0,0.0,0.0,16.0,0.0,0.041666666666666664,4.0,0.0,12.0
2022-03-12,7527935.0,68400.0,79.16666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-07,7527908.0,86400.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-12,7527914.0,68400.0,79.16666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-01,7527913.0,86400.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-10,7527931.0,82800.0,95.83333333333333,12.0,0.0,0.0,308.0,0.0,7.782608695652174,273.0,0.0,11.0
2022-03-09,7527911.0,3600.0,4.166666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-06,7527937.0,79200.0,91.66666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-06,7527932.0,79200.0,91.66666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-02-05,7527912.0,86400.0,100.0,0.0,2877454.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-02-05,7527929.0,86400.0,100.0,0.0,2876749.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-02-17,7527925.0,75600.0,87.5,18.0,0.0,0.0,387.0,0.0,11.095238095238095,355.0,0.0,12.0
