begintime,sk_object,duration,integrity,M51361C0,M51361C1,M51361C2,M51361C3,M51361C4
2022-03-12 10:00:00,15739.0,60.0,100.0,57600.0,-10005.0,4537.0,12005.0,3600.0
2022-03-11 20:00:00,15734.0,60.0,100.0,57526.0,-191.0,-140.0,-100.0,3600.0
2022-03-12 05:00:00,15747.0,60.0,100.0,57600.0,48.0,124.75,218.0,3600.0
2022-03-11 14:00:00,15737.0,60.0,100.0,32074.0,-1596.0,43.25,725.0,2919.0
2022-03-11 04:00:00,15744.0,60.0,100.0,57600.0,-191.0,-131.0,-47.0,3600.0
2022-03-11 02:00:00,15745.0,60.0,100.0,57600.0,-282.0,-150.75,-4.0,3600.0
2022-03-12 08:00:00,15739.0,60.0,100.0,57598.0,-199.0,22980.75,29068.0,3600.0
2022-03-11 03:00:00,15732.0,60.0,100.0,57600.0,-754.0,-292.0,21.0,3600.0
2022-03-12 04:00:00,15746.0,60.0,100.0,13042.0,-11033.0,-2304.5,3938.0,3265.0
2022-03-11 02:00:00,15733.0,60.0,100.0,57600.0,-995.0,-425.5,-79.0,3600.0
2022-03-12 01:00:00,15736.0,60.0,100.0,57600.0,-228.0,-148.0,-89.0,3600.0
2022-03-12 05:00:00,15737.0,60.0,100.0,57600.0,-249.0,590.25,1573.0,3600.0
2022-03-12 03:00:00,15741.0,60.0,100.0,57600.0,-208.0,-34.25,30.0,3600.0
2022-03-12 02:00:00,15744.0,60.0,100.0,57600.0,-564.0,-396.75,-313.0,3600.0
2022-03-12 10:00:00,15744.0,60.0,100.0,57596.0,275.0,339.75,375.0,3600.0
2022-03-11 07:00:00,15732.0,60.0,100.0,57593.0,-95.0,189.5,481.0,3600.0
2022-03-12 00:00:00,15731.0,60.0,100.0,57599.0,-6591.0,453.25,7478.0,3601.0
2022-03-11 08:00:00,15732.0,60.0,100.0,57600.0,-293.0,304.5,481.0,3600.0
2022-03-12 10:00:00,15745.0,60.0,100.0,57596.0,106.0,151.25,173.0,3600.0
2022-03-11 03:00:00,15738.0,60.0,100.0,57600.0,-24.0,-14.25,-6.0,3600.0
2022-03-11 21:00:00,15746.0,60.0,100.0,57388.0,-3082.0,2367.0,4494.0,3600.0
2022-03-11 10:00:00,15739.0,60.0,100.0,57601.0,1755.0,5418.75,10333.0,3600.0
2022-03-12 06:00:00,15733.0,60.0,100.0,57600.0,-336.0,-36.5,92.0,3600.0
2022-03-11 22:00:00,15734.0,60.0,100.0,57585.0,-349.0,138.0,548.0,3600.0
2022-03-11 01:00:00,15735.0,60.0,100.0,57599.0,-5064.0,-229.25,2593.0,3600.0
2022-03-11 00:00:00,15740.0,60.0,100.0,57600.0,-4071.0,-337.75,15006.0,3600.0
2022-03-11 16:00:00,15730.0,60.0,100.0,56927.0,339.0,2366.25,4411.0,3600.0
2022-03-11 02:00:00,15739.0,60.0,100.0,57600.0,-245.0,-81.25,-7.0,3600.0
2022-03-11 03:00:00,15733.0,60.0,100.0,57600.0,-97.0,-65.75,-30.0,3600.0
2022-03-12 05:00:00,15743.0,60.0,100.0,57600.0,56.0,88.75,111.0,3600.0
2022-03-11 12:00:00,15731.0,60.0,100.0,57600.0,-30.0,39.25,105.0,3600.0
2022-03-11 12:00:00,15744.0,60.0,100.0,57596.0,-1283.0,285.0,1654.0,3600.0
2022-03-11 03:00:00,15739.0,60.0,100.0,57600.0,-330.0,-208.5,-64.0,3600.0
2022-03-11 05:00:00,15739.0,60.0,100.0,57597.0,-1282.0,2013.75,14347.0,3600.0
2022-03-11 08:00:00,15739.0,60.0,100.0,57599.0,-21611.0,-4068.75,2276.0,3600.0
2022-03-11 21:00:00,15745.0,60.0,100.0,57558.0,-2149.0,-445.75,21.0,3600.0
2022-03-11 16:00:00,15742.0,60.0,100.0,56884.0,-152.0,158.5,512.0,3600.0
2022-03-12 01:00:00,15733.0,60.0,100.0,57600.0,-6451.0,-2682.75,-627.0,3600.0
2022-03-11 12:00:00,15738.0,60.0,100.0,57598.0,11.0,29.5,59.0,3600.0
2022-03-11 06:00:00,15741.0,60.0,100.0,57600.0,-117.0,-49.0,14.0,3600.0
2022-03-11 07:00:00,15729.0,60.0,100.0,57595.0,-173.0,4.75,92.0,3600.0
2022-03-12 02:00:00,15747.0,60.0,100.0,57600.0,-57.0,9.5,124.0,3600.0
2022-03-11 13:00:00,15746.0,60.0,100.0,57560.0,-31.0,413.5,845.0,3600.0
