begintime,sk_object,duration,integrity,1593835652,1593835653,1593835654,1593835655,1593835656,1593835657,1593835658,1593835659,1593835660,1593835661,1593835662,1593835663,1593835664,1593835665,1593835666,1593835667,1593835668,1593835669,1593835670,1593835671,1593835675,1593835676,1593835767,1593835870,1593835871,1593835872,1593835873,1593835874,1593835875,1593835876,1593835877,1593835878,1593835879,1593835880,1593835881,1593835882,1593835883,1593835884,1593835885,1593835886,1593835887,1593835888,1593835889,1593835895,1593835896,1593835897
2022-02-03,883127.0,86400.0,100.0,0.0,0.0,0.0,55.0,0.0,0.0,0.0,0.0,80.0,0.0,,,,,,,,,,,,,86385.0,,,,,,,,,,,,,,,,,,,,,,,
2022-02-03,883128.0,82800.0,95.83333333333333,0.0,0.0,0.0,360.0,0.0,92.0,92.0,91.0,0.0,10787759549.0,,,,,,,,,,,,,82025.0,,,,,,,,,,,,,,,,,,,,,,,
2022-02-03,883129.0,86400.0,100.0,0.0,0.0,0.0,210.0,0.0,4.0,4.0,0.0,0.0,1373514351.0,,,,,,,,,,,,,77030.0,,,,,,,,,,,,,,,,,,,,,,,
2022-02-03,883130.0,86400.0,100.0,0.0,0.0,0.0,225.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,86400.0,,,,,,,,,,,,,,,,,,,,,,,
2022-02-03,883131.0,86400.0,100.0,0.0,0.0,0.0,195.0,0.0,0.0,0.0,0.0,205.0,0.0,,,,,,,,,,,,,86400.0,,,,,,,,,,,,,,,,,,,,,,,
2022-02-03,883132.0,82800.0,95.83333333333333,0.0,0.0,0.0,225.0,0.0,2.0,2.0,0.0,0.0,503845410.0,,,,,,,,,,,,,82125.0,,,,,,,,,,,,,,,,,,,,,,,
2022-02-03,883133.0,86400.0,100.0,0.0,0.0,0.0,210.0,0.0,0.0,0.0,0.0,45.0,0.0,,,,,,,,,,,,,86400.0,,,,,,,,,,,,,,,,,,,,,,,
2022-02-03,883134.0,86400.0,100.0,0.0,0.0,0.0,210.0,0.0,0.0,0.0,0.0,195.0,0.0,,,,,,,,,,,,,86400.0,,,,,,,,,,,,,,,,,,,,,,,
2022-02-03,883135.0,86400.0,100.0,0.0,0.0,0.0,55.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,86400.0,,,,,,,,,,,,,,,,,,,,,,,
2022-02-03,883136.0,86400.0,100.0,2674.0,0.0,0.0,215.0,2799.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,86400.0,,,,,,,,,,,,,,,,,,,,,,,
