begintime,sk_object,duration,M51361C0,M51361C1,M51361C2,M51361C3,M51361C4
2022-03-15 06:58:00,358.0,2,1920.0,0.0,0.0,0.0,123.0
2022-03-17 02:53:00,359.0,7,6634.0,0.0,0.0,0.0,413.0
2022-03-17 02:54:00,357.0,6,5599.0,0.0,0.0,0.0,353.0
2022-03-17 02:54:00,360.0,6,5680.0,0.0,0.0,0.0,352.0
2022-03-17 02:54:00,361.0,6,5518.0,0.0,0.0,0.0,350.0
2022-03-17 02:54:00,362.0,6,5598.0,0.0,0.0,0.0,353.0
2022-03-17 02:54:00,364.0,6,5679.0,0.0,0.0,0.0,353.0
2022-03-17 02:55:00,363.0,5,4720.0,0.0,0.0,0.0,293.0
2022-03-18 18:00:00,362.0,15,14309.0,-7249.0,-5908.0,-4815.0,900.0
2022-03-18 18:15:00,362.0,15,14175.0,-4815.0,-251.0,1198.0,900.0
2022-03-18 18:30:00,362.0,15,14158.0,874.0,1062.0,1198.0,900.0
2022-03-18 18:45:00,362.0,15,14184.0,635.0,707.0,874.0,900.0
2022-03-19 06:56:00,86707.0,4,4159.0,0.0,0.0,0.0,264.0
2022-03-19 13:46:00,358.0,14,13280.0,-567.0,-151.0,0.0,833.0
2022-03-19 16:58:00,358.0,2,1916.0,0.0,0.0,0.0,123.0
2022-03-11 21:47:00,358.0,13,12731.0,0.0,769100.0,3179711.0,831.0
2022-03-12 05:55:00,357.0,5,2320.0,-39617.0,-17217.0,0.0,565.0
2022-03-12 06:50:00,358.0,10,10400.0,-5009.0,-198.0,0.0,653.0
