begintime,sk_object,duration,integrity,1526729562,1526729563,1526729564
2022-02-05 08:00:00,847534.0,3600.0,100.0,0.0,0.0,0.0
2022-02-13 03:00:00,842505.0,3600.0,100.0,0.0,0.0,0.0
2022-02-05 12:00:00,851534.0,3600.0,100.0,0.0,0.0,0.0
2022-03-13 07:00:00,843792.0,3600.0,100.0,0.0,0.0,0.0
2022-03-11 17:00:00,847430.0,3600.0,100.0,0.0,0.0,0.0
2022-03-02 14:00:00,840639.0,3600.0,100.0,0.0,0.0,0.0
2022-03-02 21:00:00,842986.0,3600.0,100.0,0.0,0.0,0.0
2022-02-03 11:00:00,832768.0,3600.0,100.0,0.0,0.0,0.0
2022-02-10 00:00:00,848726.0,3600.0,100.0,0.0,0.0,0.0
2022-03-11 00:00:00,846637.0,3600.0,100.0,0.0,0.0,0.0
2022-02-11 01:00:00,838310.0,3600.0,100.0,0.0,0.0,0.0
2022-02-05 16:00:00,847644.0,3600.0,100.0,0.0,0.0,0.0
2022-03-14 05:00:00,837761.0,3600.0,100.0,0.0,0.0,0.0
2022-02-03 05:00:00,847153.0,3600.0,100.0,0.0,0.0,0.0
2022-02-10 14:00:00,846276.0,3600.0,100.0,0.0,0.0,0.0
2022-03-14 03:00:00,844138.0,3600.0,100.0,0.0,0.0,0.0
2022-03-11 17:00:00,850433.0,3600.0,100.0,0.0,0.0,0.0
2022-03-10 03:00:00,851201.0,3600.0,100.0,0.0,0.0,0.0
2022-03-10 01:00:00,837012.0,3600.0,100.0,0.0,0.0,0.0
2022-02-17 12:00:00,847497.0,3600.0,100.0,0.0,0.0,0.0
2022-02-08 13:00:00,846700.0,3600.0,100.0,0.0,0.0,0.0
2022-02-06 06:00:00,845524.0,3600.0,100.0,0.0,0.0,0.0
2022-02-18 10:00:00,849548.0,3600.0,100.0,0.0,0.0,0.0
2022-03-07 02:00:00,841746.0,3600.0,100.0,0.0,0.0,0.0
2022-03-03 10:00:00,841180.0,3600.0,100.0,0.0,0.0,0.0
2022-03-13 07:00:00,846178.0,3600.0,100.0,0.0,0.0,0.0
2022-03-07 16:00:00,845046.0,3600.0,100.0,0.0,0.0,0.0
2022-03-15 14:00:00,847127.0,3600.0,100.0,0.0,0.0,0.0
2022-02-10 15:00:00,845677.0,3600.0,100.0,0.0,0.0,0.0
2022-03-13 06:00:00,840934.0,3600.0,100.0,0.0,0.0,0.0
2022-02-19 22:00:00,844828.0,3600.0,100.0,0.0,0.0,0.0
2022-02-17 07:00:00,834028.0,3600.0,100.0,0.0,0.0,0.0
2022-03-07 11:00:00,848906.0,3600.0,100.0,0.0,0.0,0.0
2022-02-19 04:00:00,837705.0,3600.0,100.0,0.0,0.0,0.0
