begintime,sk_object,duration,integrity,M51322C0,M51322C1,M51322C2,M51322C3,M51322C4,M51322C5
2022-03-11 10:00:00,15531.0,60.0,100.0,15517256566.0,13802275.0,2458854567.0,10103809.0,27.0,0.0
2022-03-12 12:00:00,15543.0,60.0,100.0,3964682.0,54592.0,270176.0,258.0,0.0,0.0
2022-03-12 03:00:00,15569.0,60.0,100.0,4696852.0,64621.0,305329.0,411.0,0.0,0.0
2022-03-11 18:00:00,15523.0,60.0,100.0,4260698.0,58696.0,518141.0,433.0,0.0,0.0
2022-03-12 07:00:00,15545.0,60.0,100.0,4329846.0,59647.0,531642.0,449.0,0.0,0.0
2022-03-11 11:00:00,15550.0,60.0,100.0,14802968.0,163793.0,6328640.0,90864.0,0.0,6.0
2022-03-12 12:00:00,15521.0,60.0,100.0,40743512.0,441928.0,14207340.0,232585.0,0.0,0.0
2022-03-11 10:00:00,15539.0,60.0,100.0,14500456904.0,12582625.0,1887754510.0,8399708.0,528.0,0.0
2022-03-12 02:00:00,15548.0,60.0,100.0,17607776.0,200888.0,14552160.0,143621.0,0.0,0.0
2022-03-11 03:00:00,15552.0,60.0,100.0,13414080.0,153224.0,10943804.0,106336.0,0.0,0.0
2022-03-12 15:00:00,15544.0,60.0,100.0,37600488.0,402827.0,32623828.0,307047.0,0.0,0.0
2022-03-11 03:00:00,15542.0,60.0,100.0,15024832.0,166466.0,5501820.0,88833.0,0.0,0.0
2022-03-12 05:00:00,15519.0,60.0,100.0,2039376240.0,1755223.0,193663715.0,1052848.0,0.0,0.0
2022-03-12 15:00:00,15559.0,60.0,100.0,9483651899.0,8137377.0,1128628800.0,4496673.0,0.0,0.0
2022-03-12 02:00:00,15525.0,60.0,100.0,21300940.0,241574.0,11507176.0,143441.0,0.0,0.0
2022-03-11 13:00:00,15546.0,60.0,100.0,4033563494.0,4200031.0,592412935.0,3243235.0,0.0,0.0
2022-03-11 07:00:00,15550.0,60.0,100.0,11909508.0,132720.0,5054896.0,73432.0,0.0,0.0
2022-03-12 09:00:00,15563.0,60.0,100.0,60553604.0,635088.0,37506872.0,401123.0,0.0,0.0
2022-03-11 21:00:00,15543.0,60.0,100.0,4319866.0,59483.0,272178.0,270.0,0.0,0.0
2022-03-11 05:00:00,15524.0,60.0,100.0,4325566.0,59561.0,266381.0,273.0,0.0,0.0
2022-03-11 07:00:00,15547.0,60.0,100.0,27454472.0,300801.0,8215000.0,153787.0,0.0,0.0
2022-03-11 11:00:00,15537.0,60.0,100.0,4326110.0,59595.0,525241.0,438.0,0.0,0.0
2022-03-11 02:00:00,15543.0,60.0,100.0,4324018.0,59539.0,265716.0,265.0,0.0,0.0
2022-03-12 16:00:00,15551.0,60.0,100.0,18767472.0,207825.0,14153888.0,136842.0,0.0,0.0
2022-03-12 06:00:00,15540.0,60.0,100.0,4344144.0,59821.0,538449.0,643.0,0.0,0.0
2022-03-11 15:00:00,15563.0,60.0,100.0,59488016.0,620115.0,37331400.0,394087.0,0.0,0.0
2022-03-11 13:00:00,15530.0,60.0,100.0,2391899244.0,1948063.0,265308861.0,834352.0,0.0,0.0
2022-03-11 11:00:00,15515.0,60.0,100.0,60721880.0,650706.0,40041112.0,426739.0,0.0,0.0
2022-03-11 05:00:00,15517.0,60.0,100.0,9839144.0,114298.0,6449412.0,71020.0,0.0,0.0
2022-03-11 03:00:00,15514.0,60.0,100.0,6804960270.0,6326556.0,814856803.0,5053968.0,5.0,0.0
2022-03-11 03:00:00,15516.0,60.0,100.0,4328974.0,59633.0,512843.0,429.0,0.0,0.0
2022-03-12 04:00:00,15537.0,60.0,100.0,4328742.0,59629.0,508033.0,425.0,0.0,0.0
2022-03-11 02:00:00,15557.0,60.0,100.0,4329130.0,59636.0,514764.0,431.0,0.0,0.0
2022-03-12 08:00:00,15546.0,60.0,100.0,4090523952.0,3361192.0,357637766.0,1943576.0,7.0,0.0
2022-03-11 23:00:00,15549.0,60.0,100.0,33950812.0,372588.0,14433984.0,206341.0,0.0,0.0
2022-03-11 12:00:00,15565.0,60.0,100.0,2187494960.0,1888267.0,253637532.0,969279.0,0.0,0.0
2022-03-12 02:00:00,15526.0,60.0,100.0,3038383885.0,2517089.0,324309846.0,1504503.0,0.0,0.0
2022-03-12 15:00:00,15530.0,60.0,100.0,3988525490.0,3202419.0,433896314.0,1570533.0,0.0,0.0
2022-03-17 15:00:00,15535.0,55.0,91.66666666666667,4092463.0,56346.0,1925477.0,1737.0,0.0,6.0
2022-03-11 19:00:00,15547.0,60.0,100.0,38229984.0,419102.0,11778144.0,217109.0,0.0,0.0
2022-03-12 15:00:00,15548.0,60.0,100.0,32413264.0,337157.0,26430016.0,247277.0,0.0,27.0
2022-03-11 14:00:00,15545.0,60.0,100.0,4693086.0,64626.0,557849.0,498.0,0.0,0.0
2022-03-11 22:00:00,15533.0,60.0,100.0,4339818.0,59723.0,576677.0,552.0,0.0,0.0
2022-03-11 17:00:00,15520.0,60.0,100.0,9610119707.0,8256350.0,1360001099.0,5081648.0,15.0,0.0
2022-03-11 05:00:00,15561.0,60.0,100.0,3960238.0,54529.0,269467.0,259.0,0.0,0.0
2022-03-11 14:00:00,15554.0,60.0,100.0,58422284.0,633222.0,39031108.0,412849.0,0.0,0.0
2022-03-11 05:00:00,15552.0,60.0,100.0,13898596.0,160990.0,10905992.0,110047.0,0.0,0.0
2022-03-11 01:00:00,15566.0,60.0,100.0,15576892.0,169737.0,4380356.0,86085.0,0.0,0.0
2022-03-11 23:00:00,15521.0,60.0,100.0,32859916.0,360511.0,10849404.0,188992.0,0.0,0.0
2022-03-11 05:00:00,15566.0,60.0,100.0,15158136.0,165210.0,4251092.0,83820.0,0.0,0.0
2022-03-12 17:00:00,15520.0,60.0,100.0,7290451414.0,6312517.0,945970562.0,4204474.0,6.0,0.0
2022-03-11 15:00:00,15528.0,60.0,100.0,4321488.0,59481.0,544913.0,492.0,0.0,0.0
2022-03-11 10:00:00,15538.0,60.0,100.0,23006124810.0,20583541.0,3709463065.0,15482915.0,1393.0,0.0
2022-03-12 10:00:00,15569.0,60.0,100.0,3963896.0,54595.0,281725.0,262.0,0.0,0.0
2022-03-11 04:00:00,15518.0,60.0,100.0,4325230.0,59557.0,267975.0,267.0,0.0,0.0
2022-03-11 22:00:00,15518.0,60.0,100.0,4323550.0,59535.0,278367.0,275.0,0.0,0.0
2022-03-12 00:00:00,15513.0,60.0,100.0,17948752.0,201990.0,13681408.0,137955.0,0.0,0.0
2022-03-12 01:00:00,15560.0,60.0,100.0,4333102.0,59656.0,296345.0,373.0,0.0,0.0
2022-03-12 07:00:00,15560.0,60.0,100.0,4326678.0,59577.0,279150.0,288.0,0.0,0.0
