begintime,sk_object,duration,integrity,1282423987,1282423988
2022-02-20 12:00:00,630567.0,3600.0,100.0,12.016,11.457
2022-02-13 11:00:00,630566.0,3600.0,100.0,12.078,11.607
2022-03-10 15:00:00,630567.0,3600.0,100.0,12.092,11.453
2022-03-02 21:00:00,630582.0,3600.0,100.0,16.282,15.797
2022-02-04 19:00:00,630582.0,3600.0,100.0,17.881,17.334
2022-02-11 20:00:00,630567.0,3600.0,100.0,19.387,19.109
2022-02-17 21:00:00,630581.0,3600.0,100.0,17.108,16.663
2022-03-15 17:00:00,630581.0,3600.0,100.0,11.797,11.289
2022-03-15 23:00:00,630582.0,3600.0,100.0,5.811,5.415
2022-02-12 19:00:00,630581.0,3600.0,100.0,17.613,17.019
2022-03-03 09:00:00,630582.0,3600.0,100.0,14.003,13.463
2022-02-12 06:00:00,630581.0,3600.0,100.0,3.376,3.091
2022-02-03 00:00:00,630567.0,3600.0,100.0,3.008,2.696
2022-02-10 17:00:00,630566.0,3600.0,100.0,12.71,12.098
2022-02-20 08:00:00,630581.0,3600.0,100.0,11.181,10.825
2022-02-05 07:00:00,630582.0,3600.0,100.0,7.811,7.516
2022-02-13 08:00:00,630566.0,3600.0,100.0,11.554,11.178
2022-03-15 22:00:00,630567.0,3600.0,100.0,10.93,10.492
2022-03-10 22:00:00,630581.0,3600.0,100.0,11.515,11.113
2022-02-17 06:00:00,630567.0,3600.0,100.0,3.532,3.225
2022-03-12 13:00:00,630567.0,3600.0,100.0,11.824,11.226
2022-03-02 11:00:00,630566.0,3600.0,100.0,13.108,12.523
2022-02-19 21:00:00,630566.0,3600.0,100.0,16.571,16.172
2022-02-05 21:00:00,630567.0,3600.0,100.0,16.539,16.153
2022-02-08 14:00:00,630566.0,3600.0,100.0,12.343,11.71
2022-02-03 17:00:00,630582.0,3600.0,100.0,12.985,12.354
2022-03-02 07:00:00,630567.0,3600.0,100.0,9.146,8.801
2022-03-01 09:00:00,630581.0,3600.0,100.0,14.09,13.519
2022-02-19 12:00:00,630582.0,3600.0,100.0,12.381,11.753
2022-02-12 05:00:00,630582.0,3600.0,100.0,2.028,1.811
2022-03-11 16:00:00,630566.0,3600.0,100.0,12.646,12.012
2022-02-11 12:00:00,630581.0,3600.0,100.0,12.464,11.886
2022-03-13 22:00:00,630566.0,3600.0,100.0,9.388,8.929
2022-02-06 21:00:00,630566.0,3600.0,100.0,15.074,14.724
2022-02-11 13:00:00,630581.0,3600.0,100.0,10.505,9.956
2022-03-14 18:00:00,630567.0,3600.0,100.0,11.963,11.429
2022-03-10 19:00:00,630567.0,3600.0,100.0,17.0,16.418
2022-03-03 03:00:00,630567.0,3600.0,100.0,1.275,1.088
2022-02-13 15:00:00,630582.0,3600.0,100.0,12.63,11.98
2022-03-07 23:00:00,630581.0,3600.0,100.0,6.318,5.947
2022-03-14 07:00:00,630567.0,3600.0,100.0,8.374,8.059
2022-02-19 18:00:00,630582.0,3600.0,100.0,13.664,13.021
2022-03-14 11:00:00,630567.0,3600.0,100.0,11.391,10.924
2022-03-11 04:00:00,630582.0,3600.0,100.0,1.316,1.165
2022-02-08 12:00:00,630567.0,3600.0,100.0,12.533,11.884
2022-03-12 20:00:00,630581.0,3600.0,100.0,18.918,18.496
2022-02-05 23:00:00,630566.0,3600.0,100.0,6.394,5.949
2022-03-03 19:00:00,630567.0,3600.0,100.0,17.447,16.98
2022-02-13 18:00:00,630581.0,3600.0,100.0,14.377,13.718
2022-02-08 12:00:00,630582.0,3600.0,100.0,12.532,11.893
2022-02-18 21:00:00,630582.0,3600.0,100.0,16.033,15.565
2022-02-19 15:00:00,630566.0,3600.0,100.0,11.818,11.23
2022-02-11 11:00:00,630567.0,3600.0,100.0,13.211,12.624
2022-03-01 10:00:00,630567.0,3600.0,100.0,13.881,13.249
2022-02-17 23:00:00,630581.0,3600.0,100.0,6.615,6.121
2022-03-07 11:00:00,630567.0,3600.0,100.0,13.67,13.098
2022-02-13 09:00:00,630567.0,3600.0,100.0,12.698,12.306
2022-02-10 09:00:00,630567.0,3600.0,100.0,13.505,12.995
2022-03-13 10:00:00,630582.0,3600.0,100.0,11.411,10.99
2022-03-01 02:00:00,630582.0,3600.0,100.0,1.622,1.39
2022-03-06 22:00:00,630567.0,3600.0,100.0,10.657,10.183
2022-03-03 13:00:00,630582.0,3600.0,100.0,12.137,11.489
2022-03-06 13:00:00,630566.0,3600.0,100.0,12.416,11.789
2022-03-12 17:00:00,630567.0,3600.0,100.0,11.84,11.214
2022-02-11 02:00:00,630567.0,3600.0,100.0,1.567,1.323
2022-02-13 12:00:00,630581.0,3600.0,100.0,12.037,11.496
2022-02-20 16:00:00,630566.0,3600.0,100.0,12.446,11.786
2022-02-17 13:00:00,630582.0,3600.0,100.0,12.151,11.555
2022-03-15 09:00:00,630581.0,3600.0,100.0,12.834,12.455
2022-03-12 20:00:00,630567.0,3600.0,100.0,18.909,18.502
2022-02-12 21:00:00,630581.0,3600.0,100.0,17.12,16.713
2022-02-19 14:00:00,630567.0,3600.0,100.0,11.751,11.199
2022-02-04 12:00:00,630581.0,3600.0,100.0,12.588,11.969
2022-02-03 07:00:00,630582.0,3600.0,100.0,8.563,8.188
2022-02-06 11:00:00,630566.0,3600.0,100.0,12.066,11.573
2022-02-08 06:00:00,630566.0,3600.0,100.0,3.655,3.36
2022-02-05 02:00:00,630567.0,3600.0,100.0,1.63,1.387
2022-03-13 07:00:00,630567.0,3600.0,100.0,8.022,7.69
2022-03-13 00:00:00,630582.0,3600.0,100.0,3.741,3.373
2022-03-13 08:00:00,630582.0,3600.0,100.0,11.005,10.693
2022-02-10 15:00:00,630566.0,3600.0,100.0,12.741,12.069
2022-02-08 19:00:00,630566.0,3600.0,100.0,17.811,17.242
2022-02-05 15:00:00,630581.0,3600.0,100.0,12.181,11.585
2022-02-06 11:00:00,630581.0,3600.0,100.0,12.072,11.571
2022-02-05 17:00:00,630581.0,3600.0,100.0,12.757,12.137
2022-03-10 15:00:00,630566.0,3600.0,100.0,12.091,11.466
2022-03-13 18:00:00,630581.0,3600.0,100.0,14.845,14.091
2022-03-13 05:00:00,630567.0,3600.0,100.0,1.93,1.704
2022-03-01 10:00:00,630582.0,3600.0,100.0,13.874,13.25
2022-02-20 07:00:00,630581.0,3600.0,100.0,7.495,7.183
2022-03-15 00:00:00,630581.0,3600.0,100.0,2.745,2.469
2022-02-03 05:00:00,630582.0,3600.0,100.0,2.055,1.842
2022-02-20 10:00:00,630582.0,3600.0,100.0,12.28,11.819
2022-02-18 07:00:00,630566.0,3600.0,100.0,8.219,7.867
2022-03-10 00:00:00,630566.0,3600.0,100.0,3.832,3.428
