NE Name,fdn,BSCFLAG,CICNO,DPCGIDX,MOIndex,OPCIDX,OPMODE,PN,SN,SRN,STCIC,TSN,TSTYPE,className,name,neID
FTBSC02,"NE=280,AE1T1=5_14_0_11",MAINBSC,171,0,26_0_14_5,0,MODSGLCIC,5,14,0,160,11,CIC,BSC6900GSMAE1T1,"Subrack No.=0, Slot No.=14, Port No.=5,DPC Group index=0",26
FTBSC02,"NE=280,AE1T1=5_14_0_12",MAINBSC,172,0,26_0_14_5,0,MODSGLCIC,5,14,0,160,12,CIC,BSC6900GSMAE1T1,"Subrack No.=0, Slot No.=14, Port No.=5,DPC Group index=0",26
FTBSC02,"NE=280,AE1T1=5_14_0_13",MAINBSC,173,0,26_0_14_5,0,MODSGLCIC,5,14,0,160,13,CIC,BSC6900GSMAE1T1,"Subrack No.=0, Slot No.=14, Port No.=5,DPC Group index=0",26
FTBSC02,"NE=280,AE1T1=5_14_0_14",MAINBSC,174,0,26_0_14_5,0,MODSGLCIC,5,14,0,160,14,CIC,BSC6900GSMAE1T1,"Subrack No.=0, Slot No.=14, Port No.=5,DPC Group index=0",26
FTBSC02,"NE=280,AE1T1=5_14_0_15",MAINBSC,175,0,26_0_14_5,0,MODSGLCIC,5,14,0,160,15,CIC,BSC6900GSMAE1T1,"Subrack No.=0, Slot No.=14, Port No.=5,DPC Group index=0",26
FTBSC02,"NE=280,AE1T1=5_14_0_16",MAINBSC,176,0,26_0_14_5,0,MODSGLCIC,5,14,0,160,16,CIC,BSC6900GSMAE1T1,"Subrack No.=0, Slot No.=14, Port No.=5,DPC Group index=0",26
FTBSC02,"NE=280,AE1T1=5_14_0_17",MAINBSC,177,0,26_0_14_5,0,MODSGLCIC,5,14,0,160,17,CIC,BSC6900GSMAE1T1,"Subrack No.=0, Slot No.=14, Port No.=5,DPC Group index=0",26
FTBSC02,"NE=280,AE1T1=5_14_0_18",MAINBSC,178,0,26_0_14_5,0,MODSGLCIC,5,14,0,160,18,CIC,BSC6900GSMAE1T1,"Subrack No.=0, Slot No.=14, Port No.=5,DPC Group index=0",26
FTBSC02,"NE=280,AE1T1=5_14_0_19",MAINBSC,179,0,26_0_14_5,0,MODSGLCIC,5,14,0,160,19,CIC,BSC6900GSMAE1T1,"Subrack No.=0, Slot No.=14, Port No.=5,DPC Group index=0",26
FTBSC02,"NE=280,AE1T1=5_14_0_20",MAINBSC,180,0,26_0_14_5,0,MODSGLCIC,5,14,0,160,20,CIC,BSC6900GSMAE1T1,"Subrack No.=0, Slot No.=14, Port No.=5,DPC Group index=0",26
