begintime,sk_object,50332573,50332574,50342574,50342575,50342635,50342636,duration
2022-03-01 00:00:00,889120.0,1024.0,11.633,2.0,33.5,0.0,0.0,PT3600S
2022-03-01 00:00:00,889121.0,512.0,20.158,6.0,39.5,0.0,0.0,PT3600S
2022-03-01 00:00:00,889122.0,1024.0,83.463,44.0,147.5,0.0,0.0,PT3600S
2022-03-01 00:00:00,889123.0,512.0,68.367,51.0,115.0,0.0,0.0,PT3600S
2022-03-01 00:00:00,889124.0,512.0,17.517,5.0,60.5,0.0,0.0,PT3600S
2022-03-01 00:00:00,889125.0,1024.0,83.771,47.0,147.5,0.0,0.0,PT3600S
2022-03-01 00:00:00,889126.0,1024.0,136.721,113.0,184.0,0.0,0.0,PT3600S
2022-03-01 00:00:00,889127.0,1024.0,95.971,63.0,141.0,0.0,0.0,PT3600S
2022-03-01 00:00:00,889128.0,512.0,33.975,17.5,59.0,0.0,0.0,PT3600S
2022-03-01 00:00:00,889129.0,512.0,42.071,27.0,72.5,0.0,0.0,PT3600S
2022-03-01 00:00:00,889130.0,1024.0,105.192,66.5,144.0,0.0,0.0,PT3600S
2022-03-01 00:00:00,889131.0,512.0,27.954,20.0,52.0,0.0,0.0,PT3600S
2022-03-01 00:00:00,889132.0,512.0,26.458,13.5,71.0,0.0,0.0,PT3600S
2022-03-01 00:00:00,889133.0,1024.0,84.733,62.0,128.0,0.0,0.0,PT3600S
2022-03-01 00:00:00,889134.0,1024.0,115.037,82.0,164.5,0.0,0.0,PT3600S
2022-03-01 00:00:00,889135.0,1024.0,83.75,62.0,127.5,0.0,0.0,PT3600S
2022-03-01 00:00:00,889136.0,512.0,33.133,19.0,71.5,0.0,0.0,PT3600S
2022-03-01 00:00:00,889137.0,512.0,32.554,18.5,46.5,0.0,0.0,PT3600S
2022-03-01 00:00:00,889138.0,1024.0,95.892,71.5,150.0,0.0,0.0,PT3600S
2022-03-01 00:00:00,889139.0,1024.0,62.908,30.0,136.0,0.0,0.0,PT3600S
2022-03-01 00:00:00,889140.0,1024.0,175.21,130.0,253.5,0.0,0.0,PT3600S
2022-03-01 00:00:00,889141.0,512.0,40.2,24.0,62.5,0.0,0.0,PT3600S
2022-03-01 00:00:00,889142.0,512.0,28.329,15.5,52.5,0.0,0.0,PT3600S
2022-03-01 00:00:00,889143.0,512.0,3.85,0.0,8.5,0.0,0.0,PT3600S
2022-03-01 00:00:00,889144.0,1024.0,80.704,58.0,139.0,0.0,0.0,PT3600S
2022-03-01 00:00:00,889145.0,1024.0,44.404,23.0,104.0,0.0,0.0,PT3600S
2022-03-01 00:00:00,889146.0,512.0,20.392,0.0,53.0,0.0,0.0,PT3600S
2022-03-01 00:00:00,889147.0,1024.0,104.575,67.0,176.5,0.0,0.0,PT3600S
2022-03-01 00:00:00,889148.0,1024.0,21.087,13.5,37.0,0.0,0.0,PT3600S
2022-03-01 00:00:00,889149.0,1024.0,8.538,3.0,17.5,0.0,0.0,PT3600S
2022-03-01 00:00:00,889150.0,1024.0,15.242,5.5,56.5,0.0,0.0,PT3600S
2022-03-01 00:00:00,889151.0,1024.0,71.421,46.0,120.5,0.0,0.0,PT3600S
2022-03-01 00:00:00,889152.0,1024.0,135.867,102.0,184.5,0.0,0.0,PT3600S
2022-03-01 00:00:00,889155.0,1024.0,93.088,67.5,137.5,4.375,13.0,PT3600S
2022-03-01 00:00:00,889156.0,1024.0,96.608,58.5,172.0,0.0,0.0,PT3600S
2022-03-01 00:00:00,889157.0,1024.0,79.454,53.5,104.5,0.0,0.0,PT3600S
2022-03-01 00:00:00,889158.0,1024.0,135.108,102.5,194.5,0.0,0.0,PT3600S
2022-03-01 00:00:00,889159.0,1024.0,86.45,47.0,156.5,0.0,0.0,PT3600S
2022-03-01 00:00:00,889160.0,512.0,25.692,13.5,47.5,0.0,0.0,PT3600S
2022-03-01 00:00:00,889161.0,1024.0,134.329,100.5,184.5,0.0,0.0,PT3600S
2022-03-01 00:00:00,889162.0,512.0,16.025,5.5,51.5,0.0,0.0,PT3600S
2022-03-01 00:00:00,889163.0,512.0,35.417,17.5,69.5,0.0,0.0,PT3600S
2022-03-01 00:00:00,889164.0,1024.0,42.787,23.0,90.0,0.0,0.0,PT3600S
2022-03-01 00:00:00,889165.0,1024.0,139.637,102.0,204.5,0.0,0.0,PT3600S
2022-03-01 00:00:00,889166.0,512.0,72.492,0.0,150.5,0.0,0.0,PT3600S
2022-03-01 00:00:00,889167.0,1024.0,136.196,88.0,188.0,0.0,0.0,PT3600S
2022-03-01 00:00:00,889168.0,512.0,63.846,34.0,105.5,0.0,0.0,PT3600S
2022-03-01 00:00:00,889169.0,512.0,37.917,19.5,55.0,0.0,0.0,PT3600S
2022-03-01 00:00:00,889170.0,1024.0,94.287,64.5,137.0,0.0,0.0,PT3600S
2022-03-01 00:00:00,889171.0,1024.0,61.775,37.5,121.5,0.0,0.0,PT3600S
2022-03-01 00:00:00,889172.0,1024.0,123.079,89.5,168.5,0.0,0.0,PT3600S
2022-03-01 00:00:00,889173.0,1024.0,16.175,10.0,27.5,0.0,0.0,PT3600S
2022-03-01 00:00:00,889174.0,512.0,42.983,20.5,83.5,0.0,0.0,PT3600S
2022-03-01 00:00:00,889175.0,1024.0,173.896,123.5,237.5,0.0,0.0,PT3600S
2022-03-01 00:00:00,889176.0,1024.0,79.838,50.5,126.5,0.0,0.0,PT3600S
2022-03-01 00:00:00,889177.0,1024.0,142.296,106.0,219.0,0.0,0.0,PT3600S
2022-03-01 00:00:00,889178.0,256.0,5.996,0.0,14.0,0.0,0.0,PT3600S
2022-03-01 00:00:00,889179.0,1024.0,15.721,7.0,31.0,0.0,0.0,PT3600S
2022-03-01 00:00:00,889180.0,1024.0,107.171,74.0,179.0,0.0,0.0,PT3600S
2022-03-01 00:00:00,889181.0,512.0,44.392,31.5,75.5,0.0,0.0,PT3600S
2022-03-01 00:00:00,889182.0,1024.0,2.058,0.0,9.0,0.0,0.0,PT3600S
2022-03-01 00:00:00,889183.0,1024.0,9.021,1.5,37.0,0.0,0.0,PT3600S
2022-03-01 00:00:00,889184.0,256.0,40.125,19.5,67.0,0.0,0.0,PT3600S
2022-03-01 00:00:00,889185.0,2048.0,60.354,30.0,121.0,0.0,0.0,PT3600S
2022-03-01 00:00:00,889186.0,1536.0,113.671,75.5,174.5,0.0,0.0,PT3600S
2022-03-01 00:00:00,889187.0,1024.0,100.371,60.0,192.0,0.0,0.0,PT3600S
2022-03-01 00:00:00,889188.0,1024.0,7.912,1.0,18.5,0.0,0.0,PT3600S
2022-03-01 00:00:00,889189.0,1024.0,0.038,0.0,1.5,0.0,0.0,PT3600S
2022-03-01 00:00:00,889190.0,1024.0,148.196,95.0,220.5,0.0,0.0,PT3600S
2022-03-01 00:00:00,889191.0,512.0,67.233,38.0,119.5,0.0,0.0,PT3600S
2022-03-01 00:00:00,889192.0,512.0,73.158,49.5,121.0,0.0,0.0,PT3600S
2022-03-01 00:00:00,889193.0,1024.0,12.458,3.5,29.0,0.0,0.0,PT3600S
2022-03-01 00:00:00,889194.0,1024.0,54.842,33.0,107.5,0.0,0.0,PT3600S
2022-03-01 00:00:00,889195.0,256.0,24.354,14.0,102.0,0.0,0.0,PT3600S
2022-03-01 00:00:00,889196.0,512.0,19.992,4.5,46.0,0.0,0.0,PT3600S
2022-03-01 00:00:00,889197.0,512.0,69.504,49.0,104.0,0.0,0.0,PT3600S
2022-03-01 00:00:00,889198.0,1024.0,30.65,17.0,59.5,0.0,0.0,PT3600S
2022-03-01 00:00:00,889199.0,1024.0,19.333,5.0,66.5,0.0,0.0,PT3600S
2022-03-01 00:00:00,889200.0,512.0,27.958,17.5,39.5,0.0,0.0,PT3600S
2022-03-01 00:00:00,889201.0,1024.0,6.404,1.5,20.0,0.0,0.0,PT3600S
2022-03-01 00:00:00,889202.0,1024.0,190.813,116.0,281.5,0.0,0.0,PT3600S
2022-03-01 00:00:00,889203.0,1024.0,127.7,88.0,198.5,0.0,0.0,PT3600S
2022-03-01 00:00:00,889204.0,512.0,77.688,38.5,130.0,0.0,0.0,PT3600S
2022-03-01 00:00:00,889205.0,1024.0,96.525,60.0,158.5,0.0,0.0,PT3600S
2022-03-01 00:00:00,889206.0,1024.0,51.833,25.0,85.0,0.0,0.0,PT3600S
2022-03-01 00:00:00,889207.0,512.0,25.875,18.0,48.0,0.0,0.0,PT3600S
2022-03-01 00:00:00,889208.0,1024.0,105.392,86.0,166.0,10.833,18.0,PT3600S
2022-03-01 00:00:00,889209.0,1024.0,92.033,61.5,136.5,0.0,0.0,PT3600S
2022-03-01 00:00:00,889210.0,512.0,9.988,0.5,35.5,0.0,0.0,PT3600S
2022-03-01 00:00:00,889211.0,1024.0,143.275,94.5,207.5,0.0,0.0,PT3600S
2022-03-01 00:00:00,889212.0,1024.0,11.913,6.5,21.0,0.0,0.0,PT3600S
2022-03-01 00:00:00,889213.0,1024.0,164.696,116.0,244.5,0.0,0.0,PT3600S
