begintime,ne_name,vendor,ne_type,sk_object,aggregation,integrity,UL_PRB_UTIL_TTI_MEAN
2022-03-11,"MRBTS-5023,LNBTS-5023,LNCEL-11,MCC-619,MNC-05",Nokia,"4G : PLMN-MRBTS-LNBTS-LNCEL, MCC-MNC",16738.0,dynamic,100.0,78.60416666666667
2022-03-11,"MRBTS-5023,LNBTS-5023,LNCEL-1,MCC-619,MNC-05",Nokia,"4G : PLMN-MRBTS-LNBTS-LNCEL, MCC-MNC",16749.0,dynamic,100.0,299.4166666666667
2022-03-11,"MRBTS-5023,LNBTS-5023,LNCEL-21,MCC-619,MNC-05",Nokia,"4G : PLMN-MRBTS-LNBTS-LNCEL, MCC-MNC",16732.0,dynamic,100.0,39.416666666666664
2022-03-11,"MRBTS-5023,LNBTS-5023,LNCEL-2,MCC-619,MNC-05",Nokia,"4G : PLMN-MRBTS-LNBTS-LNCEL, MCC-MNC",16790.0,dynamic,100.0,165.88541666666666
2022-03-11,"MRBTS-5023,LNBTS-5023,LNCEL-31,MCC-619,MNC-05",Nokia,"4G : PLMN-MRBTS-LNBTS-LNCEL, MCC-MNC",16703.0,dynamic,100.0,52.177083333333336
2022-03-11,"MRBTS-5023,LNBTS-5023,LNCEL-3,MCC-619,MNC-05",Nokia,"4G : PLMN-MRBTS-LNBTS-LNCEL, MCC-MNC",16755.0,dynamic,100.0,252.625
2022-03-11,"MRBTS-5044,LNBTS-5044,LNCEL-11,MCC-619,MNC-05",Nokia,"4G : PLMN-MRBTS-LNBTS-LNCEL, MCC-MNC",16721.0,dynamic,100.0,119.09375
2022-03-11,"MRBTS-5044,LNBTS-5044,LNCEL-1,MCC-619,MNC-05",Nokia,"4G : PLMN-MRBTS-LNBTS-LNCEL, MCC-MNC",16718.0,dynamic,100.0,364.71875
2022-03-11,"MRBTS-5044,LNBTS-5044,LNCEL-21,MCC-619,MNC-05",Nokia,"4G : PLMN-MRBTS-LNBTS-LNCEL, MCC-MNC",16763.0,dynamic,100.0,55.552083333333336
2022-03-11,"MRBTS-5044,LNBTS-5044,LNCEL-2,MCC-619,MNC-05",Nokia,"4G : PLMN-MRBTS-LNBTS-LNCEL, MCC-MNC",16771.0,dynamic,100.0,322.1770833333333
2022-03-11,"MRBTS-5044,LNBTS-5044,LNCEL-31,MCC-619,MNC-05",Nokia,"4G : PLMN-MRBTS-LNBTS-LNCEL, MCC-MNC",16729.0,dynamic,100.0,48.5
2022-03-11,"MRBTS-5044,LNBTS-5044,LNCEL-3,MCC-619,MNC-05",Nokia,"4G : PLMN-MRBTS-LNBTS-LNCEL, MCC-MNC",16704.0,dynamic,100.0,260.5416666666667
2022-03-11,"MRBTS-5045,LNBTS-5045,LNCEL-11,MCC-619,MNC-05",Nokia,"4G : PLMN-MRBTS-LNBTS-LNCEL, MCC-MNC",16757.0,dynamic,100.0,17.645833333333332
2022-03-11,"MRBTS-5045,LNBTS-5045,LNCEL-1,MCC-619,MNC-05",Nokia,"4G : PLMN-MRBTS-LNBTS-LNCEL, MCC-MNC",16783.0,dynamic,100.0,202.83333333333334
2022-03-11,"MRBTS-5045,LNBTS-5045,LNCEL-21,MCC-619,MNC-05",Nokia,"4G : PLMN-MRBTS-LNBTS-LNCEL, MCC-MNC",16785.0,dynamic,100.0,33.729166666666664
2022-03-11,"MRBTS-5045,LNBTS-5045,LNCEL-2,MCC-619,MNC-05",Nokia,"4G : PLMN-MRBTS-LNBTS-LNCEL, MCC-MNC",16753.0,dynamic,100.0,494.8958333333333
2022-03-11,"MRBTS-5045,LNBTS-5045,LNCEL-31,MCC-619,MNC-05",Nokia,"4G : PLMN-MRBTS-LNBTS-LNCEL, MCC-MNC",16730.0,dynamic,100.0,109.94791666666667
2022-03-11,"MRBTS-5045,LNBTS-5045,LNCEL-3,MCC-619,MNC-05",Nokia,"4G : PLMN-MRBTS-LNBTS-LNCEL, MCC-MNC",16759.0,dynamic,100.0,370.7291666666667
2022-03-11,"MRBTS-5050,LNBTS-5050,LNCEL-11,MCC-619,MNC-05",Nokia,"4G : PLMN-MRBTS-LNBTS-LNCEL, MCC-MNC",16752.0,dynamic,100.0,7.333333333333333
2022-03-11,"MRBTS-5050,LNBTS-5050,LNCEL-1,MCC-619,MNC-05",Nokia,"4G : PLMN-MRBTS-LNBTS-LNCEL, MCC-MNC",16725.0,dynamic,100.0,65.8125
2022-03-11,"MRBTS-5050,LNBTS-5050,LNCEL-21,MCC-619,MNC-05",Nokia,"4G : PLMN-MRBTS-LNBTS-LNCEL, MCC-MNC",16720.0,dynamic,100.0,25.354166666666668
2022-03-11,"MRBTS-5050,LNBTS-5050,LNCEL-2,MCC-619,MNC-05",Nokia,"4G : PLMN-MRBTS-LNBTS-LNCEL, MCC-MNC",16787.0,dynamic,100.0,245.80208333333334
2022-03-11,"MRBTS-5050,LNBTS-5050,LNCEL-31,MCC-619,MNC-05",Nokia,"4G : PLMN-MRBTS-LNBTS-LNCEL, MCC-MNC",16770.0,dynamic,100.0,4.572916666666667
2022-03-11,"MRBTS-5050,LNBTS-5050,LNCEL-3,MCC-619,MNC-05",Nokia,"4G : PLMN-MRBTS-LNBTS-LNCEL, MCC-MNC",16746.0,dynamic,100.0,59.270833333333336
2022-03-11,"MRBTS-5062,LNBTS-5062,LNCEL-11,MCC-619,MNC-05",Nokia,"4G : PLMN-MRBTS-LNBTS-LNCEL, MCC-MNC",16784.0,dynamic,100.0,5.354166666666667
2022-03-11,"MRBTS-5062,LNBTS-5062,LNCEL-1,MCC-619,MNC-05",Nokia,"4G : PLMN-MRBTS-LNBTS-LNCEL, MCC-MNC",16782.0,dynamic,100.0,197.76041666666666
2022-03-11,"MRBTS-5062,LNBTS-5062,LNCEL-21,MCC-619,MNC-05",Nokia,"4G : PLMN-MRBTS-LNBTS-LNCEL, MCC-MNC",16734.0,dynamic,100.0,3.3854166666666665
2022-03-11,"MRBTS-5062,LNBTS-5062,LNCEL-2,MCC-619,MNC-05",Nokia,"4G : PLMN-MRBTS-LNBTS-LNCEL, MCC-MNC",16754.0,dynamic,100.0,40.541666666666664
2022-03-11,"MRBTS-5062,LNBTS-5062,LNCEL-31,MCC-619,MNC-05",Nokia,"4G : PLMN-MRBTS-LNBTS-LNCEL, MCC-MNC",16714.0,dynamic,100.0,4.09375
2022-03-11,"MRBTS-5062,LNBTS-5062,LNCEL-3,MCC-619,MNC-05",Nokia,"4G : PLMN-MRBTS-LNBTS-LNCEL, MCC-MNC",16724.0,dynamic,100.0,108.41666666666667
2022-03-11,"MRBTS-5078,LNBTS-5078,LNCEL-11,MCC-619,MNC-05",Nokia,"4G : PLMN-MRBTS-LNBTS-LNCEL, MCC-MNC",16769.0,dynamic,100.0,68.27083333333333
2022-03-11,"MRBTS-5078,LNBTS-5078,LNCEL-1,MCC-619,MNC-05",Nokia,"4G : PLMN-MRBTS-LNBTS-LNCEL, MCC-MNC",16741.0,dynamic,100.0,280.5208333333333
2022-03-11,"MRBTS-5078,LNBTS-5078,LNCEL-21,MCC-619,MNC-05",Nokia,"4G : PLMN-MRBTS-LNBTS-LNCEL, MCC-MNC",16733.0,dynamic,100.0,22.947916666666668
