begintime,ne_name,ne_type,vendor,integrity,L.E-RAB.AttEst.QCI.5,L.E-RAB.AttEst.QCI.8,id
2022-02-02,"4G_ABERDEEN/Cell:eNodeB Function Name=4G_ABERDEEN,Local Cell ID=6,Cell Name=4G_ABERDEEN-6,eNodeB ID=5104,Cell FDD TDD indication=CELL_FDD",eNodeB(4G) : Measurement of Cell Performance,Huawei,95.83,0.0,202.0,1
2022-02-02,"4G_COLEFARM_II/Cell:eNodeB Function Name=4G_COLEFARM_II,Local Cell ID=6,Cell Name=4G_COLEFARM_II-6,eNodeB ID=5008,Cell FDD TDD indication=CELL_FDD",eNodeB(4G) : Measurement of Cell Performance,Huawei,95.83,0.0,4.0,2
2022-02-02,"4G_MALAMA_II/Cell:eNodeB Function Name=4G_MALAMA_II,Local Cell ID=2,Cell Name=4G_MALAMA_II-2,eNodeB ID=5060,Cell FDD TDD indication=CELL_FDD",eNodeB(4G) : Measurement of Cell Performance,Huawei,95.83,0.0,16.0,3
2022-02-02,"4G_MOKABA/Cell:eNodeB Function Name=4G_MOKABA,Local Cell ID=2,Cell Name=4G_MOKABA-2,eNodeB ID=5100,Cell FDD TDD indication=CELL_FDD",eNodeB(4G) : Measurement of Cell Performance,Huawei,95.83,0.0,0.0,4
2022-02-03,"4G_ABERDEEN/Cell:eNodeB Function Name=4G_ABERDEEN,Local Cell ID=6,Cell Name=4G_ABERDEEN-6,eNodeB ID=5104,Cell FDD TDD indication=CELL_FDD",eNodeB(4G) : Measurement of Cell Performance,Huawei,100.0,0.0,111.0,5
2022-02-03,"4G_COLEFARM_II/Cell:eNodeB Function Name=4G_COLEFARM_II,Local Cell ID=6,Cell Name=4G_COLEFARM_II-6,eNodeB ID=5008,Cell FDD TDD indication=CELL_FDD",eNodeB(4G) : Measurement of Cell Performance,Huawei,100.0,0.0,3.0,6
2022-02-03,"4G_MALAMA_II/Cell:eNodeB Function Name=4G_MALAMA_II,Local Cell ID=2,Cell Name=4G_MALAMA_II-2,eNodeB ID=5060,Cell FDD TDD indication=CELL_FDD",eNodeB(4G) : Measurement of Cell Performance,Huawei,100.0,0.0,35.0,7
2022-02-03,"4G_MOKABA/Cell:eNodeB Function Name=4G_MOKABA,Local Cell ID=2,Cell Name=4G_MOKABA-2,eNodeB ID=5100,Cell FDD TDD indication=CELL_FDD",eNodeB(4G) : Measurement of Cell Performance,Huawei,100.0,0.0,86.0,8
2022-02-04,"4G_ABERDEEN/Cell:eNodeB Function Name=4G_ABERDEEN,Local Cell ID=6,Cell Name=4G_ABERDEEN-6,eNodeB ID=5104,Cell FDD TDD indication=CELL_FDD",eNodeB(4G) : Measurement of Cell Performance,Huawei,100.0,0.0,123.0,9
2022-02-04,"4G_COLEFARM_II/Cell:eNodeB Function Name=4G_COLEFARM_II,Local Cell ID=6,Cell Name=4G_COLEFARM_II-6,eNodeB ID=5008,Cell FDD TDD indication=CELL_FDD",eNodeB(4G) : Measurement of Cell Performance,Huawei,100.0,0.0,12.0,10
2022-02-04,"4G_MALAMA_II/Cell:eNodeB Function Name=4G_MALAMA_II,Local Cell ID=2,Cell Name=4G_MALAMA_II-2,eNodeB ID=5060,Cell FDD TDD indication=CELL_FDD",eNodeB(4G) : Measurement of Cell Performance,Huawei,100.0,0.0,83.0,11
2022-02-04,"4G_MOKABA/Cell:eNodeB Function Name=4G_MOKABA,Local Cell ID=2,Cell Name=4G_MOKABA-2,eNodeB ID=5100,Cell FDD TDD indication=CELL_FDD",eNodeB(4G) : Measurement of Cell Performance,Huawei,100.0,0.0,19.0,12
2022-02-05,"4G_ABERDEEN/Cell:eNodeB Function Name=4G_ABERDEEN,Local Cell ID=6,Cell Name=4G_ABERDEEN-6,eNodeB ID=5104,Cell FDD TDD indication=CELL_FDD",eNodeB(4G) : Measurement of Cell Performance,Huawei,100.0,0.0,184.0,13
2022-02-05,"4G_COLEFARM_II/Cell:eNodeB Function Name=4G_COLEFARM_II,Local Cell ID=6,Cell Name=4G_COLEFARM_II-6,eNodeB ID=5008,Cell FDD TDD indication=CELL_FDD",eNodeB(4G) : Measurement of Cell Performance,Huawei,100.0,0.0,13.0,14
