begintime,sk_object,duration,integrity,M8910C0,M8910C1,M8910C2,M8910C3,M8910C4,M8910C5,M8910C6,M8910C7,M8910C8,M8910C9,M8910C10,M8910C11,M8910C12,M8910C13,M8910C14,M8910C15,M8910C16,M8910C17,M8910C18,M8910C19,M8910C20,M8910C21,M8910C22,M8910C23,M8910C24,M8910C25,M8910C26,M8910C27,M8910C28,M8910C29
2022-03-15,6600.0,2.0,0.1388888888888889,0.0,0.0,0.0,0.0,326562488.0,55569.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,
2022-03-12,6616.0,5.0,0.3472222222222222,0.0,0.0,0.0,0.0,142885192.0,6307.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,
2022-03-12,6601.0,5.0,0.3472222222222222,0.0,0.0,0.0,0.0,625202672.0,46316.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,
2022-03-17,6590.0,6.0,0.4166666666666667,0.0,0.0,0.0,0.0,9367392.0,44489.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,
2022-03-17,6597.0,6.0,0.4166666666666667,0.0,0.0,0.0,0.0,12081088.0,1212.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,
2022-03-17,6603.0,6.0,0.4166666666666667,0.0,0.0,0.0,0.0,1538496.0,9085.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,
2022-03-17,6611.0,6.0,0.4166666666666667,0.0,0.0,0.0,0.0,4854680.0,7516.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,
2022-03-17,6581.0,7.0,0.4861111111111111,0.0,0.0,68904.0,5.0,182564248.0,21701.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,
2022-03-17,6579.0,6.0,0.4166666666666667,0.0,0.0,824.0,1.0,82305944.0,16720.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,
2022-03-17,6598.0,7.0,0.4861111111111111,0.0,0.0,0.0,0.0,2018488.0,131.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,
2022-03-17,6596.0,6.0,0.4166666666666667,0.0,0.0,0.0,0.0,84840.0,8040.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,
