begintime,sk_object,duration,integrity,M8008C0,M8008C1,M8008C2,M8008C3,M8008C4,M8008C5,M8008C6,M8008C7,M8008C8,M8008C9,M8008C10,M8008C11,M8008C12,M8008C13,M8008C14,M8008C15,M8008C16,M8008C17,M8008C18,M8008C19,M8008C20,M8008C21,M8008C22,M8008C23,M8008C24,M8008C25,M8008C26,M8008C27,M8008C28,M8008C29,M8008C30,M8008C31,M8008C32,M8008C33,M8008C34,M8008C35,M8008C36,M8008C37,M8008C38,M8008C39,M8008C40,M8008C41,M8008C42
2022-03-11,16419.0,1440.0,100.0,162.0,1958987.0,0.0,1242034.0,433.0,270.0,3.0,1.0,430.0,269.0,11.0,11.0,0.0,0.0,0.0,0.0,0.0,25.354166666666668,2237.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0
2022-03-11,16420.0,1440.0,100.0,83.0,7129227.0,7.0,2022680.0,214.0,120.0,24.0,20.0,190.0,100.0,26.0,24.0,0.0,0.0,0.0,0.0,0.0,42.6875,2997.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0
2022-03-11,16421.0,1440.0,100.0,1200.0,7129244.0,0.0,2022772.0,2825.0,1611.0,76.0,66.0,2281.0,1545.0,15.0,15.0,0.0,0.0,0.0,0.0,0.0,27.958333333333332,2953.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0
2022-03-11,16422.0,1440.0,100.0,261.0,7129228.0,4.0,2022933.0,635.0,335.0,75.0,63.0,550.0,272.0,15.0,15.0,0.0,0.0,0.0,0.0,0.0,41.552083333333336,3000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0
2022-03-11,16423.0,1440.0,100.0,1002.0,2502164.0,0.0,1430428.0,1858.0,849.0,79.0,54.0,1497.0,795.0,22.0,19.0,0.0,0.0,0.0,0.0,0.0,27.510416666666668,2815.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0
2022-03-11,16424.0,1440.0,100.0,16.0,7129228.0,4.0,2022933.0,23.0,5.0,1.0,1.0,21.0,4.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,28.197916666666668,2924.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0
2022-03-11,16425.0,1296.0,90.0,1652.0,6226431.0,8.0,1811357.0,3929.0,2132.0,282.0,252.0,3524.0,1880.0,37.0,36.0,0.0,0.0,0.0,0.0,0.0,47.78260869565217,3000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0
2022-03-11,16426.0,1440.0,100.0,273.0,7129235.0,11.0,2022519.0,458.0,173.0,26.0,25.0,432.0,148.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,23.958333333333332,2908.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0
2022-03-11,16427.0,1440.0,100.0,413.0,7129234.0,12.0,2023237.0,1596.0,1143.0,586.0,551.0,986.0,592.0,11.0,11.0,0.0,0.0,0.0,0.0,0.0,36.03125,3002.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0
2022-03-11,16428.0,1440.0,100.0,132.0,2502161.0,0.0,1429142.0,357.0,218.0,66.0,54.0,291.0,164.0,11.0,8.0,0.0,0.0,0.0,0.0,0.0,42.020833333333336,2968.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0
2022-03-11,16429.0,1440.0,100.0,25.0,2502165.0,0.0,1428052.0,50.0,25.0,0.0,0.0,50.0,25.0,12.0,12.0,0.0,0.0,0.0,0.0,0.0,28.6875,2847.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0
2022-03-11,16430.0,1440.0,100.0,157.0,7129228.0,13.0,2023267.0,782.0,624.0,42.0,39.0,740.0,585.0,8.0,8.0,0.0,0.0,0.0,0.0,0.0,46.4375,2988.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0
2022-03-11,16431.0,1440.0,100.0,16.0,7129223.0,15.0,2022797.0,47.0,24.0,1.0,1.0,46.0,23.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,76.35416666666667,2994.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0
2022-03-11,16432.0,1440.0,100.0,630.0,2502160.0,0.0,1429638.0,1465.0,803.0,149.0,142.0,1314.0,661.0,11.0,11.0,0.0,0.0,0.0,0.0,0.0,33.645833333333336,2979.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0
2022-03-11,16433.0,1440.0,100.0,1078.0,2502161.0,0.0,1429142.0,1970.0,873.0,86.0,76.0,1884.0,797.0,15.0,15.0,0.0,0.0,0.0,0.0,0.0,29.270833333333332,2938.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0
2022-03-11,16434.0,1440.0,100.0,305.0,7129234.0,12.0,2023237.0,977.0,649.0,456.0,440.0,497.0,209.0,49.0,41.0,0.0,0.0,0.0,0.0,0.0,52.166666666666664,2992.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0
2022-03-11,16435.0,1440.0,100.0,295.0,2502164.0,0.0,1430428.0,874.0,561.0,103.0,103.0,768.0,458.0,11.0,10.0,0.0,0.0,0.0,0.0,0.0,41.927083333333336,2984.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0
