begintime,ne_name,ne_type,vendor,integrity,L.Thrp.bits.DL,4G traffic,id
2022-02-02,Cell:,eNodeB(4G) : Measurement of Cell Performance,Huawei,95.83,1622404623968.0,1622404623968.0,1
2022-02-03,Cell:,eNodeB(4G) : Measurement of Cell Performance,Huawei,100.0,1612429839976.0,1612429839976.0,2
2022-02-04,Cell:,eNodeB(4G) : Measurement of Cell Performance,Huawei,100.0,1694374394200.0,1694374394200.0,3
2022-02-05,Cell:,eNodeB(4G) : Measurement of Cell Performance,Huawei,100.0,1620330085776.0,1620330085776.0,4
2022-02-06,Cell:,eNodeB(4G) : Measurement of Cell Performance,Huawei,100.0,1787484335608.0,1787484335608.0,5
2022-02-08,Cell:,eNodeB(4G) : Measurement of Cell Performance,Huawei,100.0,1722598833480.0,1722598833480.0,6
2022-02-10,Cell:,eNodeB(4G) : Measurement of Cell Performance,Huawei,100.0,1815240110656.0,1815240110656.0,7
2022-02-11,Cell:,eNodeB(4G) : Measurement of Cell Performance,Huawei,100.0,1796373611592.0,1796373611592.0,8
2022-02-12,Cell:,eNodeB(4G) : Measurement of Cell Performance,Huawei,100.0,1936850622760.0,1936850622760.0,9
2022-02-13,Cell:,eNodeB(4G) : Measurement of Cell Performance,Huawei,100.0,1874215979064.0,1874215979064.0,10
2022-02-17,Cell:,eNodeB(4G) : Measurement of Cell Performance,Huawei,87.5,1175225474264.0,1175225474264.0,11
2022-02-18,Cell:,eNodeB(4G) : Measurement of Cell Performance,Huawei,100.0,1767512958408.0,1767512958408.0,12
2022-02-19,Cell:,eNodeB(4G) : Measurement of Cell Performance,Huawei,100.0,1703413579496.0,1703413579496.0,13
2022-02-20,Cell:,eNodeB(4G) : Measurement of Cell Performance,Huawei,100.0,1740472429976.0,1740472429976.0,14
2022-03-01,Cell:,eNodeB(4G) : Measurement of Cell Performance,Huawei,100.0,1500681196688.0,1500681196688.0,15
2022-03-02,Cell:,eNodeB(4G) : Measurement of Cell Performance,Huawei,100.0,1861315961024.0,1861315961024.0,16
2022-03-03,Cell:,eNodeB(4G) : Measurement of Cell Performance,Huawei,100.0,1813772961440.0,1813772961440.0,17
2022-03-06,Cell:,eNodeB(4G) : Measurement of Cell Performance,Huawei,91.67,1804727096560.0,1804727096560.0,18
2022-03-07,Cell:,eNodeB(4G) : Measurement of Cell Performance,Huawei,100.0,1851061670160.0,1851061670160.0,19
2022-03-09,Cell:,eNodeB(4G) : Measurement of Cell Performance,Huawei,4.17,79091369128.0,79091369128.0,20
2022-03-10,Cell:,eNodeB(4G) : Measurement of Cell Performance,Huawei,95.83,1490872802832.0,1490872802832.0,21
2022-03-11,Cell:,eNodeB(4G) : Measurement of Cell Performance,Huawei,100.0,1701967166424.0,1701967166424.0,22
2022-03-12,Cell:,eNodeB(4G) : Measurement of Cell Performance,Huawei,79.17,1451359903032.0,1451359903032.0,23
2022-03-13,Cell:,eNodeB(4G) : Measurement of Cell Performance,Huawei,87.5,1637724624832.0,1637724624832.0,24
2022-03-14,Cell:,eNodeB(4G) : Measurement of Cell Performance,Huawei,100.0,1289600329136.0,1289600329136.0,25
2022-03-15,Cell:,eNodeB(4G) : Measurement of Cell Performance,Huawei,100.0,1691731080104.0,1691731080104.0,26
