begintime,sk_object,duration,integrity,M51321C0,M51321C1,M51321C2,M51321C3,M51321C4,M51321C5,M51321C6,M51321C7,M51321C8,M51321C9,M51321C10,M51321C11,M51321C12,M51321C13,M51321C14
2022-03-11 07:00:00,15468.0,60.0,100.0,17904194.0,202490.0,13804472.0,132215.0,0.0,0.0,0.0,3020.0,234930.0,0.0,0.0,3020.0,234930.0,0.0,0.0
2022-03-11 07:00:00,15483.0,60.0,100.0,4540942.0,62329.0,272238.0,262.0,0.0,0.0,0.0,2786.0,216808.0,0.0,0.0,2786.0,216808.0,0.0,0.0
2022-03-11 06:00:00,15512.0,60.0,100.0,18071318.0,208712.0,14202928.0,141506.0,0.0,0.0,0.0,2785.0,216682.0,0.0,0.0,2785.0,216682.0,0.0,0.0
2022-03-11 01:00:00,15469.0,60.0,100.0,4545058.0,62385.0,273661.0,310.0,0.0,0.0,0.0,2784.0,216556.0,0.0,0.0,2784.0,216556.0,0.0,0.0
2022-03-11 12:00:00,15482.0,60.0,100.0,13411620852.0,12206309.0,2391832190.0,8694130.0,0.0,0.0,0.0,2748.0,213722.0,0.0,0.0,2748.0,213722.0,0.0,0.0
2022-03-11 04:00:00,15503.0,60.0,100.0,4548722.0,62460.0,500263.0,452.0,0.0,0.0,0.0,2786.0,216716.0,0.0,0.0,2786.0,216716.0,0.0,0.0
2022-03-11 10:00:00,15511.0,60.0,100.0,35820108.0,393715.0,11054476.0,201370.0,0.0,0.0,0.0,2790.0,217036.0,0.0,0.0,2790.0,217036.0,0.0,0.0
2022-03-11 12:00:00,15465.0,60.0,100.0,56993828.0,605031.0,34723664.0,378521.0,0.0,0.0,0.0,2781.0,216316.0,0.0,0.0,2781.0,216316.0,0.0,0.0
2022-03-11 05:00:00,15486.0,60.0,100.0,2161938303.0,1751488.0,402557987.0,659226.0,0.0,0.0,0.0,2553.0,198582.0,0.0,0.0,2553.0,198582.0,0.0,0.0
2022-03-11 02:00:00,15479.0,60.0,100.0,4541084.0,62331.0,273734.0,272.0,0.0,0.0,0.0,2785.0,216682.0,0.0,0.0,2785.0,216682.0,0.0,0.0
2022-03-11 00:00:00,15475.0,60.0,100.0,4551938.0,62486.0,581943.0,512.0,0.0,0.0,0.0,2785.0,216636.0,0.0,0.0,2785.0,216636.0,0.0,0.0
2022-03-17 11:00:00,15458.0,60.0,100.0,4927904.0,67644.0,557447.0,505.0,0.0,0.0,0.0,3011.0,234210.0,0.0,0.0,3011.0,234210.0,0.0,0.0
2022-03-11 09:00:00,15496.0,60.0,100.0,15272666.0,169118.0,6618672.0,92655.0,0.0,0.0,0.0,2790.0,217082.0,0.0,0.0,2790.0,217082.0,0.0,0.0
2022-03-11 04:00:00,15471.0,60.0,100.0,4545642.0,62418.0,506186.0,432.0,0.0,0.0,0.0,2783.0,216476.0,0.0,0.0,2783.0,216476.0,0.0,0.0
2022-03-11 09:00:00,15492.0,60.0,100.0,4547476.0,62432.0,535166.0,460.0,0.0,0.0,0.0,2779.0,216248.0,0.0,0.0,2779.0,216248.0,0.0,0.0
2022-03-11 00:00:00,15482.0,60.0,100.0,13999911091.0,11743497.0,1614399811.0,8134934.0,0.0,0.0,0.0,2740.0,213266.0,0.0,0.0,2740.0,213266.0,0.0,0.0
2022-03-17 04:00:00,15500.0,60.0,100.0,4541330.0,62334.0,268352.0,260.0,0.0,0.0,0.0,2782.0,216488.0,0.0,0.0,2782.0,216488.0,0.0,0.0
2022-03-11 00:00:00,15471.0,60.0,100.0,4558562.0,62587.0,535494.0,624.0,0.0,0.0,0.0,2782.0,216488.0,0.0,0.0,2782.0,216488.0,0.0,0.0
2022-03-11 01:00:00,15476.0,60.0,100.0,24030402.0,271098.0,12920864.0,160404.0,0.0,0.0,0.0,2786.0,216762.0,0.0,0.0,2786.0,216762.0,0.0,0.0
2022-03-11 03:00:00,15500.0,60.0,100.0,4539748.0,62310.0,269468.0,259.0,0.0,0.0,0.0,2786.0,216762.0,0.0,0.0,2786.0,216762.0,0.0,0.0
2022-03-11 01:00:00,15492.0,60.0,100.0,4547992.0,62438.0,531201.0,455.0,0.0,0.0,0.0,2787.0,216888.0,0.0,0.0,2787.0,216888.0,0.0,0.0
2022-03-11 08:00:00,15488.0,60.0,100.0,7117382415.0,6086204.0,843458755.0,3344309.0,0.0,0.0,0.0,2551.0,198422.0,0.0,0.0,2551.0,198422.0,0.0,0.0
2022-03-11 03:00:00,15489.0,60.0,100.0,4313684256.0,3458432.0,333651849.0,2491503.0,0.0,0.0,0.0,2786.0,216716.0,0.0,0.0,2786.0,216716.0,0.0,0.0
2022-03-11 12:00:00,15469.0,60.0,100.0,4541732.0,62340.0,273300.0,264.0,0.0,0.0,0.0,2789.0,217002.0,0.0,0.0,2789.0,217002.0,0.0,0.0
2022-03-11 02:00:00,15497.0,60.0,100.0,4540632.0,62322.0,265716.0,265.0,0.0,0.0,0.0,2783.0,216614.0,0.0,0.0,2783.0,216614.0,0.0,0.0
2022-03-11 10:00:00,15466.0,60.0,100.0,26290384.0,288690.0,17628208.0,187059.0,0.0,0.0,0.0,2780.0,216236.0,0.0,0.0,2780.0,216236.0,0.0,0.0
2022-03-11 10:00:00,15487.0,60.0,100.0,1100201951.0,910404.0,103592535.0,432941.0,0.0,0.0,0.0,2784.0,216602.0,0.0,0.0,2784.0,216602.0,0.0,0.0
2022-03-11 08:00:00,15498.0,60.0,100.0,61962874.0,693120.0,43010204.0,452931.0,0.0,0.0,0.0,2790.0,217082.0,0.0,0.0,2790.0,217082.0,0.0,0.0
2022-03-11 07:00:00,15498.0,60.0,100.0,48918706.0,550866.0,34012056.0,359256.0,0.0,0.0,0.0,2551.0,198422.0,0.0,0.0,2551.0,198422.0,0.0,0.0
2022-03-11 08:00:00,15481.0,60.0,100.0,14062423706.0,12390281.0,2208789257.0,8979945.0,0.0,0.0,0.0,2557.0,198902.0,0.0,0.0,2557.0,198902.0,0.0,0.0
2022-03-11 10:00:00,15475.0,60.0,100.0,4553650.0,62493.0,571689.0,519.0,0.0,0.0,0.0,2784.0,216694.0,0.0,0.0,2784.0,216694.0,0.0,0.0
2022-03-11 09:00:00,15495.0,60.0,100.0,4170382.0,57264.0,553206.0,442.0,0.0,0.0,0.0,2554.0,198708.0,0.0,0.0,2554.0,198708.0,0.0,0.0
2022-03-11 07:00:00,15465.0,60.0,100.0,48040944.0,515201.0,30025152.0,324014.0,0.0,0.0,0.0,2783.0,216476.0,0.0,0.0,2783.0,216476.0,0.0,0.0
2022-03-11 10:00:00,15485.0,60.0,100.0,10037975578.0,8562581.0,1149575915.0,4957703.0,0.0,0.0,0.0,2783.0,216476.0,0.0,0.0,2783.0,216476.0,0.0,0.0
2022-03-11 11:00:00,15487.0,60.0,100.0,1017298452.0,958137.0,253911998.0,681074.0,0.0,0.0,0.0,3013.0,234462.0,0.0,0.0,3013.0,234462.0,0.0,0.0
2022-03-11 11:00:00,15510.0,60.0,100.0,4498354.0,61643.0,612815.0,852.0,0.0,0.0,0.0,2744.0,213402.0,0.0,0.0,2744.0,213402.0,0.0,0.0
2022-03-11 00:00:00,15495.0,60.0,100.0,4546264.0,62430.0,545498.0,452.0,0.0,0.0,0.0,2783.0,216522.0,0.0,0.0,2783.0,216522.0,0.0,0.0
2022-03-11 02:00:00,15493.0,60.0,100.0,4543080.0,62357.0,266473.0,281.0,0.0,0.0,0.0,2786.0,216762.0,0.0,0.0,2786.0,216762.0,0.0,0.0
2022-03-11 00:00:00,15463.0,60.0,100.0,24342038.0,273026.0,9426760.0,146148.0,0.0,0.0,0.0,2784.0,216602.0,0.0,0.0,2784.0,216602.0,0.0,0.0
2022-03-11 09:00:00,15503.0,60.0,100.0,4490086.0,61657.0,519364.0,441.0,0.0,0.0,0.0,2732.0,212580.0,0.0,0.0,2732.0,212580.0,0.0,0.0
2022-03-11 07:00:00,15463.0,60.0,100.0,31070204.0,345872.0,11686264.0,184867.0,0.0,0.0,0.0,2786.0,216716.0,0.0,0.0,2786.0,216716.0,0.0,0.0
2022-03-11 00:00:00,15480.0,60.0,100.0,23240914.0,256563.0,8523616.0,135306.0,0.0,0.0,0.0,2790.0,217082.0,0.0,0.0,2790.0,217082.0,0.0,0.0
2022-03-11 10:00:00,15509.0,60.0,100.0,15516915490.0,13804651.0,2458866199.0,10103568.0,0.0,0.0,0.0,2782.0,216488.0,0.0,0.0,2782.0,216488.0,0.0,0.0
2022-03-11 10:00:00,15483.0,60.0,100.0,4556596.0,62513.0,301925.0,460.0,0.0,0.0,0.0,2786.0,216762.0,0.0,0.0,2786.0,216762.0,0.0,0.0
2022-03-11 11:00:00,15491.0,60.0,100.0,4545396.0,62413.0,537487.0,447.0,0.0,0.0,0.0,2781.0,216362.0,0.0,0.0,2781.0,216362.0,0.0,0.0
2022-03-11 05:00:00,15474.0,60.0,100.0,4544544.0,62404.0,525906.0,446.0,0.0,0.0,0.0,2786.0,216762.0,0.0,0.0,2786.0,216762.0,0.0,0.0
2022-03-11 04:00:00,15489.0,60.0,100.0,3412015621.0,2829025.0,410790024.0,2283457.0,0.0,0.0,0.0,2783.0,216522.0,0.0,0.0,2783.0,216522.0,0.0,0.0
2022-03-11 07:00:00,15508.0,60.0,100.0,2467878473.0,2032553.0,281646245.0,1218811.0,0.0,0.0,0.0,2784.0,216648.0,0.0,0.0,2784.0,216648.0,0.0,0.0
2022-03-11 03:00:00,15510.0,60.0,100.0,4553386.0,62517.0,531046.0,501.0,0.0,0.0,0.0,2783.0,216522.0,0.0,0.0,2783.0,216522.0,0.0,0.0
2022-03-11 04:00:00,15485.0,60.0,100.0,3659454790.0,2878744.0,269768312.0,2063651.0,0.0,0.0,0.0,2784.0,216648.0,0.0,0.0,2784.0,216648.0,0.0,0.0
2022-03-11 06:00:00,15457.0,60.0,100.0,9268175751.0,7493073.0,849322160.0,3721860.0,0.0,906.0,1812.0,2783.0,216522.0,0.0,0.0,2783.0,216522.0,0.0,0.0
2022-03-11 06:00:00,15462.0,60.0,100.0,18148066648.0,14763780.0,1548228942.0,8155308.0,0.0,0.0,0.0,3016.0,234656.0,0.0,0.0,3016.0,234656.0,0.0,0.0
2022-03-11 11:00:00,15512.0,60.0,100.0,31960074.0,352042.0,24843364.0,246037.0,0.0,0.0,0.0,2784.0,216602.0,0.0,0.0,2784.0,216602.0,0.0,0.0
2022-03-11 03:00:00,15474.0,60.0,100.0,4546594.0,62433.0,522729.0,444.0,0.0,0.0,0.0,2787.0,216796.0,0.0,0.0,2787.0,216796.0,0.0,0.0
2022-03-11 03:00:00,15483.0,60.0,100.0,4917818.0,67504.0,269746.0,260.0,0.0,0.0,0.0,3019.0,234896.0,0.0,0.0,3019.0,234896.0,0.0,0.0
2022-03-11 02:00:00,15485.0,60.0,100.0,6572508813.0,5452714.0,703308190.0,4225919.0,0.0,0.0,0.0,2781.0,216316.0,0.0,0.0,2781.0,216316.0,0.0,0.0
2022-03-11 04:00:00,15460.0,60.0,100.0,786880639.0,607670.0,55493520.0,343868.0,0.0,0.0,0.0,2792.0,217242.0,0.0,0.0,2792.0,217242.0,0.0,0.0
2022-03-11 04:00:00,15499.0,60.0,100.0,4922704.0,67559.0,294703.0,322.0,0.0,0.0,0.0,3008.0,234016.0,0.0,0.0,3008.0,234016.0,0.0,0.0
2022-03-11 01:00:00,15508.0,60.0,100.0,1229066176.0,1044103.0,182025829.0,518555.0,0.0,0.0,0.0,2787.0,216796.0,0.0,0.0,2787.0,216796.0,0.0,0.0
2022-03-11 11:00:00,15488.0,60.0,100.0,7086313780.0,6364310.0,1209219516.0,3701540.0,0.0,0.0,0.0,2553.0,198628.0,0.0,0.0,2553.0,198628.0,0.0,0.0
2022-03-11 06:00:00,15475.0,60.0,100.0,4923724.0,67599.0,539757.0,453.0,0.0,0.0,0.0,3015.0,234576.0,0.0,0.0,3015.0,234576.0,0.0,0.0
2022-03-11 00:00:00,15509.0,60.0,100.0,15154815621.0,13061981.0,1851178772.0,9689236.0,0.0,0.0,0.0,2782.0,216488.0,0.0,0.0,2782.0,216488.0,0.0,0.0
2022-03-11 05:00:00,15456.0,60.0,100.0,10055278.0,117076.0,6448928.0,71016.0,0.0,0.0,0.0,2782.0,216442.0,0.0,0.0,2782.0,216442.0,0.0,0.0
2022-03-18 05:00:00,15458.0,60.0,100.0,4573040.0,62696.0,591852.0,728.0,0.0,0.0,0.0,2783.0,216522.0,0.0,0.0,2783.0,216522.0,0.0,0.0
2022-03-19 06:00:00,15472.0,60.0,100.0,9065319782.0,7271619.0,958156685.0,4137252.0,0.0,0.0,0.0,2787.0,216888.0,0.0,0.0,2787.0,216888.0,0.0,0.0
2022-03-13 06:00:00,15482.0,60.0,100.0,10052552375.0,8303830.0,862504953.0,4105517.0,0.0,0.0,0.0,2775.0,215882.0,0.0,0.0,2775.0,215882.0,0.0,0.0
2022-03-11 19:00:00,15469.0,60.0,100.0,4529640.0,62163.0,280835.0,283.0,0.0,0.0,0.0,2768.0,215368.0,0.0,0.0,2768.0,215368.0,0.0,0.0
2022-03-12 09:00:00,15468.0,60.0,100.0,24095836.0,264337.0,17871180.0,175132.0,0.0,0.0,0.0,3018.0,234816.0,0.0,0.0,3018.0,234816.0,0.0,0.0
2022-03-17 22:00:00,15499.0,60.0,100.0,4542594.0,62336.0,294795.0,301.0,0.0,0.0,0.0,2785.0,216682.0,0.0,0.0,2785.0,216682.0,0.0,0.0
