object_attribute_name,vendor_name
Bearing Port Type,huawei
Operator Name,huawei
Cabinet No.,huawei
S1Interface ID,huawei
NodeB Function Name,huawei
DestObjLabel,huawei
Cell FDD TDD indication,huawei
SGSN Node ID,huawei
Cell Name,huawei
CNNAME,huawei
Cell ID,huawei
UL BB Resource Group No.,huawei
CNINDEX,huawei
eNodeB Function Name,huawei
FTBSC02,huawei
SLC,huawei
Local NSVL Indentifier,huawei
RNC cell ID,huawei
Port Slot No.,huawei
Link No.,huawei
NODE,huawei
OspIndex,huawei
BT,huawei
NODEBID,huawei
CNNodeID,huawei
SCTPLNKN,huawei
ROGBIN,huawei
Port No.,huawei
eNodeB ID,huawei
CellIndex,huawei
Port Subrack No.,huawei
DPX,huawei
Logic No.,huawei
Trunk No.,huawei
Node Id,huawei
LABEL,huawei
RNC ID,huawei
ANI,huawei
INDEX,huawei
Label,huawei
Bearing Port No.,huawei
CNOPINDEX,huawei
BTS Index,huawei
SCTP link No.,huawei
Signalling link set index,huawei
CN Node Index,huawei
DENO,huawei
Mobile country code,huawei
Adjacent Node ID,huawei
RNCID,huawei
Subrack No.,huawei
Session ID,huawei
Local cell ID,huawei
Path ID,huawei
GERAN cell ID,huawei
Local IP Address,huawei
Local cell name,huawei
Subboard Type,huawei
Mobile network code,huawei
Sector Equipment ID,huawei
eNodeB ID Configured with Sector Equipment,huawei
SRN,huawei
Bearing Type,huawei
DestObjType,huawei
Subrack No,huawei
SCTP Link ID,huawei
BSC ID,huawei
Signaling link ID,huawei
Local eNodeB ID,huawei
DPC Group index,huawei
NodeB Name,huawei
Bearer Type,huawei
Standby Status,huawei
Board Type,huawei
Port Cabinet No.,huawei
Sector equipment ID,huawei
Resource Group ID,huawei
Subsystem No.,huawei
TOMBODU,huawei
CGI,huawei
BTS Name,huawei
LKS,huawei
SN,huawei
IP Address Type,huawei
Slot No.,huawei
X2Interface ID,huawei
SSN,huawei
Location area code,huawei
GPS Clock No.,huawei
CellID,huawei
FTBSC01,huawei
SIGLKSX,huawei
Local Cell ID,huawei
PN,huawei
Bearing Port Type,huawei
Operator Name,huawei
Cabinet No.,huawei
S1Interface ID,huawei
NodeB Function Name,huawei
DestObjLabel,huawei
Cell FDD TDD indication,huawei
SGSN Node ID,huawei
Cell Name,huawei
CNNAME,huawei
Cell ID,huawei
UL BB Resource Group No.,huawei
CNINDEX,huawei
APEQM,nokia
eNodeB Function Name,huawei
CABINET,nokia
FTBSC02,huawei
CLOCK,nokia
RMOD,nokia
SLC,huawei
MNLENT,nokia
Local NSVL Indentifier,huawei
ETHIF,nokia
RNC cell ID,huawei
ANTL,nokia
Port Slot No.,huawei
IPVOL,nokia
Link No.,huawei
