sk_object,object,objecttypeid,duration,userlabel,is_connected,is_included_in_validation,dwh_created,dwh_last_modified,object_technology
17536678,"FTBSC02/GCELL_NCELL:LABEL=MAKENI_ENTRANCE-8, CellIndex=1874, CGI=61905028B58A0/BCCH:53/BCC,NCC:5:3",huawei_bsc6900gsm_1275069424,PT3600S,FTBSC02,1.0,0.0,2022-02-10 04:30:02.414349,2022-02-10 04:30:02.414349,
11082203,"FTBSC01/UCELL_NCELL:Label=3G_CONGOTOWN-31, CellID=34933/RNC:1271/DEST Cell ID:35460",huawei_bsc6900gu_67108979,PT3600S,FTBSC01,1.0,0.0,2022-02-08 13:30:00.589777,2022-05-13 02:48:36.753596,
7591752,"FTBSC01/UCELL_GCELL:Label=3G_MARJAYTOWN_II-34, CellID=38303/MCC:619/MNC:05:602:14107",huawei_bsc6900gu_67108978,PT3600S,FTBSC01,1.0,0.0,2022-02-08 00:17:15.976451,2022-02-08 00:17:15.976451,
7590704,"FTBSC01/UCELL_GCELL:Label=3G_PRESIDENTIAL_LODGE-32, CellID=35818/MCC:619/MNC:05:602:14216",huawei_bsc6900gu_67108978,PT3600S,FTBSC01,1.0,0.0,2022-02-08 00:17:15.976451,2022-02-08 00:17:15.976451,
7872355,"FTBSC01/UCELL_NCELL:Label=3G_FORTSTREET-23, CellID=34045/RNC:1271/DEST Cell ID:34670",huawei_bsc6900gu_67108979,PT3600S,FTBSC01,1.0,0.0,2022-02-08 00:30:01.506752,2022-02-08 00:30:01.506752,
9341955,"FTBSC01/UCELL_NCELL:Label=3G_FORTSTREET-22, CellID=34047/RNC:1271/DEST Cell ID:36426",huawei_bsc6900gu_67108979,PT3600S,FTBSC01,1.0,0.0,2022-02-08 07:30:02.664573,2022-02-08 07:30:02.664573,
22531452,"FTBSC01/UCELL_NCELL:Label=3G_GODERICH-12, CellID=34906/RNC:1271/DEST Cell ID:35416",huawei_bsc6900gu_67108979,PT3600S,FTBSC01,1.0,0.0,2022-02-10 21:30:04.724696,2022-02-10 21:30:04.724696,
17834579,"FTBSC01/UCELL_NCELL:Label=3G_HILLTOP-24, CellID=38162/RNC:1271/DEST Cell ID:38112",huawei_bsc6900gu_67108979,PT3600S,FTBSC01,1.0,0.0,2022-02-10 04:30:02.414349,2022-05-13 02:48:36.753596,
7477299,"FTBSC02/LAPDLINK:Logic No.=6933, DestObjLabel=SFD-1-4, DestObjType=TRX",huawei_bsc6900gsm_1275068423,PT3600S,FTBSC02,1.0,0.0,2022-02-08 00:17:15.976451,2022-02-08 00:17:15.976451,
385832,"FTBSC01/GCELL_GCELL:LABEL=BLACKHALLROAD-8, CellIndex=187, CGI=61905020031FE/CGI:6190501F72F5E",huawei_bsc6900gu_1275069423,PT3600S,FTBSC01,1.0,0.0,2022-02-04 23:34:06.795618,2022-02-04 23:34:06.795618,
9964104,"FTBSC01/UCELL_NCELL:Label=3G_NEWCASTLE-12, CellID=36796/RNC:1271/DEST Cell ID:34952",huawei_bsc6900gu_67108979,PT3600S,FTBSC01,1.0,0.0,2022-02-08 09:30:03.582641,2022-05-13 02:48:36.753596,
11407978,"FTBSC01/UCELL_NCELL:Label=3G_MALAMA_II-51, CellID=35315/RNC:1271/DEST Cell ID:34778",huawei_bsc6900gu_67108979,PT3600S,FTBSC01,1.0,0.0,2022-02-08 14:30:02.085649,2022-05-13 02:48:36.753596,
328523,"FTBSC01/GCELL_GCELL:LABEL=KAILAHUN-8, CellIndex=1188, CGI=6190502265634/CGI:61905022659A9",huawei_bsc6900gu_1275069423,PT3600S,FTBSC01,1.0,0.0,2022-02-04 23:34:06.795618,2022-02-04 23:34:06.795618,
28329925,"FTBSC01/UCELL_NCELL:Label=3G_DWARZK-42, CellID=36179/RNC:1271/DEST Cell ID:34746",huawei_bsc6900gu_67108979,PT3600S,FTBSC01,1.0,0.0,2022-02-11 19:30:02.016277,2022-05-13 02:48:36.753596,
380037,"FTBSC01/GCELL_GCELL:LABEL=ALLENTOWN-7, CellIndex=71, CGI=6190502652F0F/CGI:619050265320C",huawei_bsc6900gu_1275069423,PT3600S,FTBSC01,1.0,0.0,2022-02-04 23:34:06.795618,2022-02-04 23:34:06.795618,
9089210,"FTBSC01/UCELL_NCELL:Label=3G_HILLSTATION_II-13, CellID=34330/RNC:1271/DEST Cell ID:35824",huawei_bsc6900gu_67108979,PT3600S,FTBSC01,1.0,0.0,2022-02-08 06:30:05.022231,2022-02-08 06:30:05.022231,
7478482,FTBSC02/SITE:TANINAHUN,huawei_bsc6900gsm_1275069417,PT3600S,FTBSC02,1.0,0.0,2022-02-08 00:17:15.976451,2022-02-08 00:17:15.976451,
17755251,"FTBSC01/UCELL_NCELL:Label=3G_GODRECHSTREET-33, CellID=34099/RNC:1271/DEST Cell ID:35840",huawei_bsc6900gu_67108979,PT3600S,FTBSC01,1.0,0.0,2022-02-10 04:30:02.414349,2022-05-13 02:48:36.753596,
11983676,"FTBSC01/UCELL_NCELL:Label=3G_MMCE-13, CellID=34600/RNC:1273/DEST Cell ID:34582",huawei_bsc6900gu_67108979,PT3600S,FTBSC01,1.0,0.0,2022-02-08 16:30:05.127215,2022-05-13 02:48:36.753596,
15819866,"FTBSC01/UCELL_NCELL:Label=3G_KISSYROAD-64, CellID=36126/RNC:1271/DEST Cell ID:34214",huawei_bsc6900gu_67108979,PT3600S,FTBSC01,1.0,0.0,2022-02-09 08:30:01.255368,2022-05-13 02:48:36.753596,
17803185,"FTBSC01/UCELL_NCELL:Label=3G_COLEFARM_II-62, CellID=35471/RNC:1271/DEST Cell ID:34939",huawei_bsc6900gu_67108979,PT3600S,FTBSC01,1.0,0.0,2022-02-10 04:30:02.414349,2022-05-13 02:48:36.753596,
13964108,"FTBSC01/UCELL_NCELL:Label=3G_BLACKHALLROAD-11, CellID=34191/RNC:1271/DEST Cell ID:34032",huawei_bsc6900gu_67108979,PT3600S,FTBSC01,1.0,0.0,2022-02-08 23:30:03.881698,2022-05-13 02:48:36.753596,
7627976,"FTBSC01/UCELL_NCELL:Label=3G_KISSYHOUSE-24, CellID=36272/RNC:1271/DEST Cell ID:37753",huawei_bsc6900gu_67108979,PT3600S,FTBSC01,1.0,0.0,2022-02-08 00:17:15.976451,2022-02-08 00:17:15.976451,
7892850,"FTBSC01/UCELL_NCELL:Label=3G_KISSYROAD-44, CellID=36124/RNC:1271/DEST Cell ID:38611",huawei_bsc6900gu_67108979,PT3600S,FTBSC01,1.0,0.0,2022-02-08 00:30:01.506752,2022-05-13 02:48:36.753596,
12529711,"FTBSC01/UCELL_NCELL:Label=3G_DILLET-33, CellID=34539/RNC:1271/DEST Cell ID:36761",huawei_bsc6900gu_67108979,PT3600S,FTBSC01,1.0,0.0,2022-02-08 18:30:02.797367,2022-05-13 02:48:36.753596,
52183974,"FTBSC01/UCELL_NCELL:Label=3G_SPURROAD_II-61, CellID=35340/RNC:1271/DEST Cell ID:38464",huawei_bsc6900gu_67108979,PT3600S,FTBSC01,1.0,0.0,2022-02-18 22:31:02.516483,2022-02-18 22:31:02.516483,
11084996,"FTBSC01/UCELL_NCELL:Label=3G_DUKESTREET_II-24, CellID=36432/RNC:1271/DEST Cell ID:36199",huawei_bsc6900gu_67108979,PT3600S,FTBSC01,1.0,0.0,2022-02-08 13:30:00.589777,2022-05-13 02:48:36.753596,
17809461,"FTBSC01/UCELL_NCELL:Label=3G_MOUNTAUREOL_II-23, CellID=34175/RNC:1271/DEST Cell ID:37489",huawei_bsc6900gu_67108979,PT3600S,FTBSC01,1.0,0.0,2022-02-10 04:30:02.414349,2022-05-13 02:48:36.753596,
9346789,"FTBSC01/UCELL_NCELL:Label=3G_HILLCUTROAD_II-43, CellID=35394/RNC:1271/DEST Cell ID:36743",huawei_bsc6900gu_67108979,PT3600S,FTBSC01,1.0,0.0,2022-02-08 07:30:02.664573,2022-02-08 07:30:02.664573,
14011879,"FTBSC01/UCELL_NCELL:Label=3G_MUCTARUDRIVE_II-14, CellID=38331/RNC:1271/DEST Cell ID:36317",huawei_bsc6900gu_67108979,PT3600S,FTBSC01,1.0,0.0,2022-02-08 23:30:03.881698,2022-05-13 02:48:36.753596,
90063018,"FTBSC01/UCELL_NCELL:Label=3G_MAHERA-24, CellID=38812/RNC:1271/DEST Cell ID:38851",huawei_bsc6900gu_67108979,PT3600S,FTBSC01,1.0,0.0,2022-03-06 23:00:12.095143,2022-03-06 23:00:12.095143,
22222443,"FTBSC01/UCELL_NCELL:Label=3G_GODRECHSTREET-64, CellID=36416/RNC:1271/DEST Cell ID:36275",huawei_bsc6900gu_67108979,PT3600S,FTBSC01,1.0,0.0,2022-02-10 20:30:01.786697,2022-05-13 02:48:36.753596,
66939544,"FTBSC01/UCELL_NCELL:Label=3G_LEICESTERROAD-14, CellID=38261/RNC:1271/DEST Cell ID:38606",huawei_bsc6900gu_67108979,PT3600S,FTBSC01,1.0,0.0,2022-02-25 10:30:33.068040,2022-05-13 02:48:36.753596,
110407181,"FTBSC01/UCELL_NCELL:Label=3G_KINGTOM_II-23, CellID=34765/RNC:1271/DEST Cell ID:34006",huawei_bsc6900gu_67108979,PT3600S,FTBSC01,1.0,0.0,2022-03-14 04:31:41.997446,2022-05-13 02:48:36.753596,
39226345,"FTBSC01/UCELL_NCELL:Label=3G_MOUNTAINCOURT-51, CellID=38605/RNC:1271/DEST Cell ID:34070",huawei_bsc6900gu_67108979,PT3600S,FTBSC01,1.0,0.0,2022-02-15 12:34:54.050150,2022-05-13 02:48:36.753596,
120958526,"FTBSC01/UCELL_NCELL:Label=3G_MOUNTAUREOL_II-22, CellID=34177/RNC:1271/DEST Cell ID:34193",huawei_bsc6900gu_67108979,PT3600S,FTBSC01,1.0,0.0,2022-03-19 03:32:21.167365,2022-05-13 02:48:36.753596,
60815759,"FTBSC01/UCELL_NCELL:Label=3G_SLCB_II-21, CellID=34162/RNC:1271/DEST Cell ID:36852",huawei_bsc6900gu_67108979,PT3600S,FTBSC01,1.0,0.0,2022-02-20 08:30:55.583637,2022-05-13 02:48:36.753596,
53250771,"FTBSC01/UCELL_NCELL:Label=3G_DILLET-31, CellID=34533/RNC:1271/DEST Cell ID:34254",huawei_bsc6900gu_67108979,PT3600S,FTBSC01,1.0,0.0,2022-02-19 03:30:47.427127,2022-05-13 02:48:36.753596,
