begintime,sk_object,duration,integrity,M51332C0,M51332C1,M51332C2,M51332C3,M51332C4,M51332C5,M51332C6,M51332C7,M51332C8,M51332C9
2022-03-11,15682.0,1440.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,74.9375,2282.0,100.44791666666667,2350.0
2022-03-18,15667.0,1218.0,84.58333333333333,0.0,0.0,0.0,0.0,0.0,0.0,23.88095238095238,340.0,53.142857142857146,686.0
2022-03-15,15676.0,1416.0,98.33333333333333,0.0,0.0,0.0,0.0,0.0,0.0,56.732638888888886,3947.0,81.89236111111111,1903.0
2022-03-16,15679.0,1440.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,79.88541666666667,2017.0,106.30208333333333,7153.0
2022-03-18,15676.0,1440.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,60.5,722.0,89.0625,714.0
2022-03-16,15678.0,1421.0,98.68055555555556,0.0,0.0,0.0,0.0,0.0,0.0,97.35763888888889,542.0,154.45833333333334,994.0
2022-03-11,15676.0,1440.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,56.645833333333336,392.0,85.33333333333333,251.0
2022-03-15,15667.0,1378.0,95.69444444444444,0.0,0.0,0.0,0.0,0.0,0.0,23.217391304347824,169.0,51.82608695652174,502.0
2022-03-11,15679.0,1440.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,86.32291666666667,3116.0,113.35416666666667,1457.0
2022-03-13,15671.0,1440.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,38.385416666666664,238.0,102.13541666666667,288.0
2022-03-16,15672.0,1440.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,96.77083333333333,608.0,158.46875,566.0
2022-03-14,15665.0,1440.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,57.270833333333336,312.0,116.75,343.0
2022-03-19,15667.0,1380.0,95.83333333333333,0.0,0.0,0.0,0.0,0.0,0.0,26.07608695652174,286.0,56.08695652173913,489.0
2022-03-14,15673.0,1440.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,92.42708333333333,312.0,149.48958333333334,383.0
2022-03-18,15671.0,1440.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,39.822916666666664,207.0,103.28125,414.0
2022-03-13,15674.0,1440.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,16.25,198.0,45.322916666666664,194.0
2022-03-12,15670.0,1440.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,45.614583333333336,219.0,110.08333333333333,330.0
2022-03-19,15668.0,1380.0,95.83333333333333,0.0,0.0,0.0,0.0,0.0,0.0,47.07608695652174,504.0,76.75,1101.0
2022-03-19,15672.0,1310.0,90.97222222222223,0.0,0.0,0.0,0.0,0.0,0.0,100.63636363636364,343.0,164.36363636363637,762.0
2022-03-14,15679.0,1440.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,82.22916666666667,2871.0,108.80208333333333,2114.0
2022-03-16,15683.0,1440.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,30.489583333333332,136.0,93.52083333333333,4468.0
2022-03-19,15674.0,1380.0,95.83333333333333,0.0,0.0,0.0,0.0,0.0,0.0,17.902173913043477,409.0,48.25,498.0
2022-03-13,15678.0,1404.0,97.5,0.0,0.0,0.0,0.0,0.0,0.0,100.38541666666667,319.0,157.52083333333334,624.0
2022-03-12,15665.0,1440.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,63.09375,221.0,129.25,379.0
2022-03-19,15680.0,1310.0,90.97222222222223,0.0,0.0,0.0,0.0,0.0,0.0,36.47727272727273,180.0,102.22727272727273,357.0
2022-03-17,15674.0,1380.0,95.83333333333333,0.0,0.0,0.0,0.0,0.0,0.0,17.22826086956522,454.0,47.0,3191.0
2022-03-19,15681.0,1380.0,95.83333333333333,0.0,0.0,0.0,0.0,0.0,0.0,33.380434782608695,667.0,61.95652173913044,1101.0
2022-03-11,15678.0,1296.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,97.31521739130434,693.0,153.79710144927537,1648.0
2022-03-11,15683.0,1440.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,31.84375,141.0,96.51041666666667,261.0
2022-03-11,15668.0,1440.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,44.71875,437.0,73.52083333333333,442.0
2022-03-17,15666.0,1440.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,27.583333333333332,145.0,91.5,315.0
2022-03-14,15678.0,1422.0,98.75,0.0,0.0,0.0,0.0,0.0,0.0,90.875,694.0,144.15972222222223,1244.0
2022-03-16,15671.0,1440.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,36.260416666666664,286.0,96.83333333333333,248.0
2022-03-12,15666.0,1440.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,30.333333333333332,172.0,93.82291666666667,326.0
2022-03-19,15666.0,1310.0,90.97222222222223,0.0,0.0,0.0,0.0,0.0,0.0,28.761363636363637,130.0,93.9090909090909,326.0
2022-03-18,15683.0,1440.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,31.833333333333332,117.0,95.8125,275.0
2022-03-16,15665.0,1378.0,95.69444444444444,0.0,0.0,0.0,0.0,0.0,0.0,61.45652173913044,232.0,125.70652173913044,535.0
2022-03-15,15677.0,1440.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,134.0,87.625,354.0
2022-03-15,15669.0,1440.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,34.885416666666664,375.0,58.96875,353.0
