begintime,object,UL Traffic Volume (GB),DL Traffic Volume (GB)
2022-02-02 01:00:00,3G_AFCOM-22,0.024294097,0.101466038
2022-02-02 01:00:00,3G_AFCOM-23,0.03348837,0.047838115
2022-02-02 01:00:00,3G_AFCOM-24,0.00056504,0.000463109
2022-02-02 01:00:00,3G_AFCOM-31,0.002862564,0.061971498
2022-02-02 01:00:00,3G_AFCOM-32,0.002339123,0.022828753
2022-02-02 01:00:00,3G_AFCOM-33,0.000496048,0.000503697
2022-02-02 01:00:00,3G_AFCOM-34,0.00017996,0.004196153
2022-02-02 01:00:00,3G_AYV-11,0.010788659,0.084202351
2022-02-02 01:00:00,3G_AYV-12,0.014101061,0.647165743
2022-02-02 01:00:00,3G_AYV-13,0.003992165,0.041438278
2022-02-02 01:00:00,3G_AYV-14,0.000929225,0.000844426
2022-02-02 01:00:00,3G_AYV-21,0.048381148,0.589740921
2022-02-02 01:00:00,3G_AYV-22,0.091046046,0.713781035
2022-02-02 01:00:00,3G_AYV-23,0.030655172,0.587764453
2022-02-02 01:00:00,3G_AYV-24,0.005198674,0.06001836
2022-02-02 01:00:00,3G_AYV-31,0.004729801,0.039017111
2022-02-02 01:00:00,3G_AYV-32,0.004874919,0.077625911
2022-02-02 01:00:00,3G_AYV-33,0.0140358,0.073645907
2022-02-02 01:00:00,3G_AYV-34,0.0004186,0.004664486
2022-02-02 01:00:00,3G_BAILOR-11,0.001329947,0.002038271
2022-02-02 01:00:00,3G_BAILOR-21,0.001625556,0.033091072
2022-02-02 01:00:00,3G_BAILOR-31,0.012094111,0.40526479
2022-02-02 01:00:00,3G_BARMHOTEL-11,0.013568506,0.429230988
2022-02-02 01:00:00,3G_BARMHOTEL-12,0.010710539,0.106503023
2022-02-02 01:00:00,3G_BARMHOTEL-13,0.000285327,0.00037204
2022-02-02 01:00:00,3G_BARMHOTEL-14,0.00220536,0.006474511
2022-02-02 01:00:00,3G_BARMHOTEL-21,0.013079677,0.083656923
2022-02-02 01:00:00,3G_BARMHOTEL-22,0.02237265,0.132917831
2022-02-02 01:00:00,3G_BARMHOTEL-23,0.010097974,0.142582902
2022-02-02 01:00:00,3G_BARMHOTEL-24,0.00820276,0.100260725
2022-02-02 01:00:00,3G_BINTUMANI-11,0.129548738,1.289467675
2022-02-02 01:00:00,3G_BINTUMANI-12,0.160554974,1.39596234
2022-02-02 01:00:00,3G_BINTUMANI-13,0.040452185,0.566623992
2022-02-02 01:00:00,3G_BINTUMANI-14,0.076372202,0.636532341
2022-02-02 01:00:00,3G_BINTUMANI-21,0.080621049,0.592925355
