begintime,sk_object,duration,M8073C0
2022-03-11 22:45:00,22605.0,15,0.0
2022-03-14 11:00:00,22628.0,15,0.0
2022-03-13 23:15:00,22611.0,15,3.0
2022-03-11 11:45:00,22674.0,15,14.0
2022-03-11 12:45:00,22632.0,15,9.0
2022-03-11 15:30:00,22631.0,15,2.0
2022-03-14 01:30:00,22602.0,15,0.0
2022-03-11 12:30:00,22673.0,15,0.0
2022-03-13 00:45:00,22606.0,15,0.0
2022-03-13 18:15:00,22609.0,15,2.0
2022-03-11 16:30:00,22633.0,15,0.0
2022-03-13 08:00:00,22677.0,15,2.0
2022-03-14 08:00:00,22645.0,15,0.0
2022-03-11 02:45:00,22631.0,15,0.0
2022-03-14 11:00:00,22675.0,15,0.0
2022-03-12 02:45:00,22687.0,15,0.0
2022-03-14 12:00:00,22690.0,15,0.0
2022-03-12 13:30:00,22630.0,15,2.0
2022-03-14 02:30:00,22638.0,15,0.0
2022-03-11 09:45:00,22630.0,15,0.0
2022-03-13 19:30:00,22636.0,15,0.0
2022-03-14 16:30:00,22610.0,15,0.0
2022-03-14 03:30:00,22611.0,15,0.0
2022-03-12 19:30:00,22632.0,15,26.0
2022-03-13 14:15:00,22647.0,15,0.0
2022-03-12 19:00:00,22645.0,15,0.0
2022-03-13 23:30:00,22666.0,15,0.0
2022-03-11 01:15:00,22623.0,15,0.0
2022-03-13 12:45:00,22645.0,15,0.0
2022-03-12 23:45:00,22607.0,15,0.0
2022-03-12 11:45:00,22636.0,15,0.0
2022-03-11 10:15:00,22648.0,15,0.0
2022-03-12 11:45:00,22602.0,15,0.0
2022-03-11 11:15:00,22611.0,15,19.0
2022-03-14 05:15:00,22646.0,15,0.0
2022-03-13 09:45:00,22637.0,15,0.0
2022-03-11 20:15:00,22650.0,15,1.0
2022-03-11 09:30:00,22671.0,15,0.0
2022-03-13 06:00:00,22625.0,15,0.0
2022-03-11 19:45:00,22620.0,15,0.0
2022-03-14 17:30:00,22687.0,15,0.0
2022-03-11 00:00:00,22643.0,15,0.0
2022-03-13 19:00:00,22603.0,15,18.0
2022-03-14 19:30:00,22630.0,15,0.0
2022-03-14 18:15:00,22693.0,15,0.0
2022-03-13 23:00:00,22606.0,15,0.0
2022-03-12 08:45:00,22618.0,15,46.0
2022-03-12 18:15:00,22682.0,15,0.0
2022-03-12 21:30:00,22662.0,15,0.0
2022-03-12 19:15:00,22681.0,15,11.0
2022-03-13 16:00:00,22652.0,15,0.0
2022-03-12 16:45:00,22618.0,15,23.0
2022-03-13 21:15:00,22609.0,15,1.0
2022-03-14 09:45:00,22644.0,15,0.0
2022-03-14 15:15:00,22607.0,15,0.0
2022-03-14 19:15:00,22668.0,15,0.0
2022-03-11 19:00:00,22680.0,15,0.0
2022-03-13 11:15:00,22625.0,15,0.0
2022-03-12 01:00:00,22609.0,15,0.0
2022-03-12 16:15:00,22644.0,15,0.0
2022-03-12 04:15:00,22625.0,15,0.0
2022-03-12 16:45:00,22677.0,15,7.0
2022-03-14 07:30:00,22642.0,15,0.0
2022-03-13 02:45:00,22627.0,15,0.0
2022-03-13 02:15:00,22614.0,15,0.0
2022-03-14 12:15:00,22677.0,15,6.0
2022-03-11 12:15:00,22608.0,15,0.0
2022-03-14 18:30:00,22663.0,15,0.0
2022-03-14 15:15:00,22636.0,15,0.0
2022-03-11 05:30:00,22671.0,15,0.0
2022-03-14 20:30:00,22643.0,15,0.0
2022-03-13 19:00:00,22604.0,15,0.0
2022-03-11 00:15:00,22639.0,15,0.0
2022-03-11 19:15:00,22629.0,15,0.0
2022-03-12 18:45:00,22622.0,15,0.0
2022-03-11 10:45:00,22650.0,15,1.0
2022-03-14 14:00:00,22678.0,15,0.0
2022-03-11 18:45:00,22609.0,15,0.0
2022-03-14 21:15:00,22683.0,15,3.0
2022-03-11 10:00:00,22613.0,15,0.0
2022-03-11 14:15:00,22610.0,15,0.0
2022-03-12 15:45:00,22634.0,15,0.0
2022-03-14 10:15:00,22661.0,15,0.0
2022-03-14 14:00:00,22605.0,15,0.0
2022-03-11 13:00:00,22673.0,15,0.0
2022-03-12 20:45:00,22653.0,15,3.0
2022-03-13 05:15:00,22626.0,15,0.0
2022-03-14 18:15:00,22689.0,15,0.0
2022-03-14 22:45:00,22603.0,15,1.0
