begintime,ne_name,ne_type,vendor,integrity,L.Thrp.bits.DL,id
2022-02-02,selected NEs,eNodeB(4G) : Measurement of Cell Performance,Huawei,95.08,197007272411456.0,1
2022-02-03,selected NEs,eNodeB(4G) : Measurement of Cell Performance,Huawei,99.47,209449167267056.0,2
2022-02-04,selected NEs,eNodeB(4G) : Measurement of Cell Performance,Huawei,99.75,204862551030832.0,3
2022-02-05,selected NEs,eNodeB(4G) : Measurement of Cell Performance,Huawei,100.0,201722833215912.0,4
2022-02-06,selected NEs,eNodeB(4G) : Measurement of Cell Performance,Huawei,99.94,203748294885144.0,5
2022-02-08,selected NEs,eNodeB(4G) : Measurement of Cell Performance,Huawei,99.93,168394647765536.0,6
2022-02-10,selected NEs,eNodeB(4G) : Measurement of Cell Performance,Huawei,100.0,207595241478160.0,7
2022-02-11,selected NEs,eNodeB(4G) : Measurement of Cell Performance,Huawei,99.89,204729596161920.0,8
2022-02-12,selected NEs,eNodeB(4G) : Measurement of Cell Performance,Huawei,99.51,210070301151328.0,9
2022-02-13,selected NEs,eNodeB(4G) : Measurement of Cell Performance,Huawei,99.82,207662017148512.0,10
2022-02-17,selected NEs,eNodeB(4G) : Measurement of Cell Performance,Huawei,87.34,184809028274440.0,11
2022-02-18,selected NEs,eNodeB(4G) : Measurement of Cell Performance,Huawei,99.47,213085797040696.0,12
2022-02-19,selected NEs,eNodeB(4G) : Measurement of Cell Performance,Huawei,99.8,207870409208472.0,13
2022-02-20,selected NEs,eNodeB(4G) : Measurement of Cell Performance,Huawei,99.91,210973382340280.0,14
2022-03-01,selected NEs,eNodeB(4G) : Measurement of Cell Performance,Huawei,99.61,208414945399648.0,15
2022-03-02,selected NEs,eNodeB(4G) : Measurement of Cell Performance,Huawei,99.97,212347105498632.0,16
2022-03-03,selected NEs,eNodeB(4G) : Measurement of Cell Performance,Huawei,99.56,214471512619584.0,17
2022-03-06,selected NEs,eNodeB(4G) : Measurement of Cell Performance,Huawei,91.54,203987851928088.0,18
2022-03-07,selected NEs,eNodeB(4G) : Measurement of Cell Performance,Huawei,99.63,206851299132264.0,19
2022-03-09,selected NEs,eNodeB(4G) : Measurement of Cell Performance,Huawei,4.17,11414210496216.0,20
2022-03-10,selected NEs,eNodeB(4G) : Measurement of Cell Performance,Huawei,95.58,206148645520920.0,21
2022-03-11,selected NEs,eNodeB(4G) : Measurement of Cell Performance,Huawei,99.44,215347886235512.0,22
2022-03-12,selected NEs,eNodeB(4G) : Measurement of Cell Performance,Huawei,78.45,182602811399680.0,23
2022-03-13,selected NEs,eNodeB(4G) : Measurement of Cell Performance,Huawei,87.31,187464557961112.0,24
2022-03-14,selected NEs,eNodeB(4G) : Measurement of Cell Performance,Huawei,99.35,185996398778008.0,25
2022-03-15,selected NEs,eNodeB(4G) : Measurement of Cell Performance,Huawei,99.7,196420674401888.0,26
2024-03-01,selected NEs,eNodeB(4G) : Measurement of Cell Performance,Huawei,99.61,208414945399648.0,27
2024-03-02,selected NEs,eNodeB(4G) : Measurement of Cell Performance,Huawei,99.97,212347105498632.0,28
2024-03-03,selected NEs,eNodeB(4G) : Measurement of Cell Performance,Huawei,99.56,214471512619584.0,29
2024-03-04,selected NEs,eNodeB(4G) : Measurement of Cell Performance,Huawei,99.89,204729596161920.0,30
2024-03-06,selected NEs,eNodeB(4G) : Measurement of Cell Performance,Huawei,91.54,203987851928088.0,31
2024-03-07,selected NEs,eNodeB(4G) : Measurement of Cell Performance,Huawei,99.63,206851299132264.0,32
2024-03-09,selected NEs,eNodeB(4G) : Measurement of Cell Performance,Huawei,4.17,11414210496216.0,33
2024-03-10,selected NEs,eNodeB(4G) : Measurement of Cell Performance,Huawei,95.58,206148645520920.0,34
2024-03-11,selected NEs,eNodeB(4G) : Measurement of Cell Performance,Huawei,99.44,215347886235512.0,35
2024-03-12,selected NEs,eNodeB(4G) : Measurement of Cell Performance,Huawei,78.45,182602811399680.0,36
2024-03-13,selected NEs,eNodeB(4G) : Measurement of Cell Performance,Huawei,87.31,187464557961112.0,37
2024-03-14,selected NEs,eNodeB(4G) : Measurement of Cell Performance,Huawei,99.35,185996398778008.0,38
2024-03-15,selected NEs,eNodeB(4G) : Measurement of Cell Performance,Huawei,99.7,196420674401888.0,39
2024-03-17,selected NEs,eNodeB(4G) : Measurement of Cell Performance,Huawei,87.34,184809028274440.0,40
2024-03-18,selected NEs,eNodeB(4G) : Measurement of Cell Performance,Huawei,99.47,213085797040696.0,41
2024-03-19,selected NEs,eNodeB(4G) : Measurement of Cell Performance,Huawei,99.8,207870409208472.0,42
2024-03-20,selected NEs,eNodeB(4G) : Measurement of Cell Performance,Huawei,99.91,210973382340280.0,43
2024-03-21,selected NEs,eNodeB(4G) : Measurement of Cell Performance,Huawei,99.82,207662017148512.0,44
2024-03-22,selected NEs,eNodeB(4G) : Measurement of Cell Performance,Huawei,99.51,210070301151328.0,45
2024-03-24,selected NEs,eNodeB(4G) : Measurement of Cell Performance,Huawei,100.0,207595241478160.0,46
2024-03-25,selected NEs,eNodeB(4G) : Measurement of Cell Performance,Huawei,99.93,168394647765536.0,47
2024-03-26,selected NEs,eNodeB(4G) : Measurement of Cell Performance,Huawei,99.94,203748294885144.0,48
2024-03-27,selected NEs,eNodeB(4G) : Measurement of Cell Performance,Huawei,100.0,201722833215912.0,49
2024-03-28,selected NEs,eNodeB(4G) : Measurement of Cell Performance,Huawei,99.75,204862551030832.0,50
2024-03-29,selected NEs,eNodeB(4G) : Measurement of Cell Performance,Huawei,99.47,209449167267056.0,51
2024-03-30,selected NEs,eNodeB(4G) : Measurement of Cell Performance,Huawei,95.08,197007272411456.0,52
