NE Name,fdn,MOIndex,NODEBFUNCTIONNAME,className,name,neID
3G_ADONKIA,"NE=1023,NodeBFunction=only",779,3G_ADONKIA,BTS3900NODEBFUNCTION,NodeB Function Name=3G_ADONKIA,779
3G_ALKALIA,"NE=1346,NODEBFUNCTION=0",1102_0,3G_ALKALIA,BTS3900NODEBFUNCTION,NodeB Function Name=3G_ALKALIA,1102
3G_ALLENTOWN,"NE=986,NodeBFunction=only",742,3G_ALLENTOWN,BTS3900NODEBFUNCTION,NodeB Function Name=3G_ALLENTOWN,742
3G_ABERDEEN,"NE=339,NodeBFunction=only",85,3G_ABERDEEN,BTS3900NODEBFUNCTION,NodeB Function Name=3G_ABERDEEN,85
3G_ADAMSTREET,"NE=1071,NODEBFUNCTION=0",827_0,3G_ADAMSTREET,BTS3900NODEBFUNCTION,NodeB Function Name=3G_ADAMSTREET,827
3G_ADDAX,"NE=885,NodeBFunction=only",641,3G_ADDAX,BTS3900NODEBFUNCTION,NodeB Function Name=3G_ADDAX,641
