nodename,peernodename,mapping_name
G09_Farato-Paradise City_3,G_Farato-Paradise City@Farato-Paradise City,cell_site
G09_Nemasu_1,G_Nemasu@Nemasu,cell_site
G09_Nemasu_2,G_Nemasu@Nemasu,cell_site
G09_Nemasu_3,G_Nemasu@Nemasu,cell_site
G09_Bansang_1,G_Bansang@Bansang,cell_site
G09_Jambur_1,G_Jambur@Jambur,cell_site
G09_Bansang_3,G_Bansang@Bansang,cell_site
G09_Bansang_2,G_Bansang@Bansang,cell_site
G09_Farafenni 2_2,G_Farafenni 2@Farafenni 2,cell_site
G09_Tanji_1,G_Tanji@Tanji,cell_site
G09_Basse_1,G_Basse@Basse,cell_site
G09_Basse_2,G_Basse@Basse,cell_site
G09_Basse_3,G_Basse@Basse,cell_site
G09_Kuntaur_1,G_Kuntaur@Kuntaur,cell_site
G09_Diabugu_1,G_Diabugu@Diabugu,cell_site
G09_Diabugu_2,G_Diabugu@Diabugu,cell_site
G09_Diabugu_3,G_Diabugu@Diabugu,cell_site
G09_Sukuta Jabang Highway_1,G_Sukuta-Jabang Highway@Sukuta-Jabang Highway,cell_site
G09_George Town_2,G_George Town@George Town,cell_site
G09_George Town_3,G_George Town@George Town,cell_site
G09_George Town_1,G_George Town@George Town,cell_site
G09_Bijilo Tower_1,G_Bijilo Tower@Bijilo Tower,cell_site
G09_Bijilo Tower_2,G_Bijilo Tower@Bijilo Tower,cell_site
G09_Bijilo Tower_3,G_Bijilo Tower@Bijilo Tower,cell_site
G09_Numuyel_3,G_Numuyel@Numuyel,cell_site
G09_Numuyel_2,G_Numuyel@Numuyel,cell_site
G09_Numuyel_1,G_Numuyel@Numuyel,cell_site
G09_Sukuta_1,G_Sukuta@Sukuta,cell_site
G09_Sukuta_2,G_Sukuta@Sukuta,cell_site
G09_Sukuta_3,G_Sukuta@Sukuta,cell_site
G09_Kanilai Village_1,G_Kanilai Village@Kanilai Village,cell_site
G09_Kanilai Village_2,G_Kanilai Village@Kanilai Village,cell_site
G09_Kanilai Village_3,G_Kanilai Village@Kanilai Village,cell_site
G09_Comium Residence_1,G_Comium Residence@Comium Residence,cell_site
G09_Comium Residence_2,G_Comium Residence@Comium Residence,cell_site
G09_Comium Residence_3,G_Comium Residence@Comium Residence,cell_site
G09_Mariama Kunda_1,G_Mariama Kunda@Mariama Kunda,cell_site
G09_Mariama Kunda_2,G_Mariama Kunda@Mariama Kunda,cell_site
G09_Mariama Kunda_3,G_Mariama Kunda@Mariama Kunda,cell_site
G09_Old Yundum_1,G_Old Yundum@Old Yundum,cell_site
G09_Old Yundum_2,G_Old Yundum@Old Yundum,cell_site
G09_Old Yundum_3,G_Old Yundum@Old Yundum,cell_site
G09_Tendaba Camp_2,G_Tendaba Camp,cell_site
G09_Illiassa_2,G_Illiassa@Illiassa,cell_site
G09_Illiassa_3,G_Illiassa@Illiassa,cell_site
G09_Essau_1,G_Essau@Essau,cell_site
G09_White House_1,G_White House@White House,cell_site
G09_White House_2,G_White House@White House,cell_site
G09_White House_3,G_White House@White House,cell_site
G09_SOS_1,G_SOS@SOS,cell_site
G09_SOS_2,G_SOS@SOS,cell_site
G09_SOS_3,G_SOS@SOS,cell_site
G09_Future Lecce_1,G_Future Lecce@Future Lecce,cell_site
G09_Future Lecce_2,G_Future Lecce@Future Lecce,cell_site
G09_Future Lecce_3,G_Future Lecce@Future Lecce,cell_site
G09_Kaur_3,G_Kaur@Kaur,cell_site
G09_Saad Raslan_1,G_Saad Raslan@Saad Raslan,cell_site
G09_Saad Raslan_2,G_Saad Raslan@Saad Raslan,cell_site
G09_Saad Raslan_3,G_Saad Raslan@Saad Raslan,cell_site
G09_Soul Samba Street_1,G_Soul Samba Street@Soul Samba Street,cell_site
G09_Soul Samba Street_2,G_Soul Samba Street@Soul Samba Street,cell_site
G09_Soul Samba Street_3,G_Soul Samba Street@Soul Samba Street,cell_site
G09_Minteh Kunda_1,G_Minteh Kunda@Minteh Kunda,cell_site
G09_Minteh Kunda_2,G_Minteh Kunda@Minteh Kunda,cell_site
G09_Minteh Kunda_3,G_Minteh Kunda@Minteh Kunda,cell_site
G09_Kuntaur_2,G_Kuntaur@Kuntaur,cell_site
G09_Kuntaur_3,G_Kuntaur@Kuntaur,cell_site
G09_Bureng_1,G_Bureng@Bureng,cell_site
G09_Bureng_2,G_Bureng@Bureng,cell_site
G09_Bureng_3,G_Bureng@Bureng,cell_site
G09_Somo Bldg_3,G_Somo Bldg@Somo Bldg,cell_site
G09_HQ_2,G_HQ@HQ,cell_site
G09_HQ_3,G_HQ@HQ,cell_site
G09_Brufut_Mkt_1,G_Brufut_Mkt@Brufut_Mkt,cell_site
G09_Brufut_Mkt_2,G_Brufut_Mkt@Brufut_Mkt,cell_site
G09_Brufut_Mkt_3,G_Brufut_Mkt@Brufut_Mkt,cell_site
G09_Sifo_1,G_Sifo@Sifo,cell_site
G09_Sifo_2,G_Sifo@Sifo,cell_site
G09_Sifo_3,G_Sifo@Sifo,cell_site
G09_Brikama Medina_1,G_Brikama Medina@Brikama Medina,cell_site
G09_Brikama Medina_2,G_Brikama Medina@Brikama Medina,cell_site
