sk_object,object,measurement_id,duration,userlabel,is_connected,is_included_in_validation,dwh_created,dwh_last_modified
301,MRBTS-5050/TNLSVC-1/TNL-1/IPNO-1,nokia_common_51324,15,MRBTS-5050,1.0,1.0,2022-03-24 02:33:31.029272,2022-03-24 02:33:31.029272
86768,"MRBTS-5079/LNBTS-5079/LNCEL-31,MCC-619/MNC-05",nokia_common_8006,4,MRBTS-5079,1.0,1.0,2022-03-26 13:40:38.110739,2022-03-26 13:40:38.110739
173,MRBTS-5045/EQM-1/APEQM-1/RMOD-1/ANTL-6,nokia_common_40001,7,MRBTS-5045,1.0,1.0,2022-03-24 02:33:30.356136,2022-03-24 02:33:30.356136
1326,"MRBTS-5045/LNBTS-5045/LNCEL-3,MCC-619/MNC-05,ECI-1295883,MCC-619/MNC-05",nokia_common_8015,7,MRBTS-5045,1.0,1.0,2022-03-24 02:33:48.726397,2022-03-24 02:33:48.726397
1327,"MRBTS-5045/LNBTS-5045/LNCEL-1,MCC-619/MNC-05,ECI-1313537,MCC-619/MNC-05",nokia_common_8015,7,MRBTS-5045,1.0,1.0,2022-03-24 02:33:48.726397,2022-03-24 02:33:48.726397
15557,MRBTS-5084/TNLSVC-1/TNL-1/IPNO-1/IPIF-1/IPADDRESSV4-1,nokia_macro_51322,15,MRBTS-5084,1.0,1.0,2022-03-24 03:13:46.386030,2022-03-24 03:13:46.386030
1329,"MRBTS-5089/LNBTS-5089/LNCEL-3,MCC-619/MNC-05,ECI-1306114,MCC-619/MNC-05",nokia_common_8015,6,MRBTS-5089,1.0,1.0,2022-03-24 02:33:48.726397,2022-03-24 02:33:48.726397
15528,MRBTS-5062/TNLSVC-1/TNL-1/IPNO-1/IPIF-1/IPADDRESSV4-1,nokia_macro_51322,15,MRBTS-5062,1.0,1.0,2022-03-24 03:13:46.386030,2022-03-24 03:13:46.386030
87196,"MRBTS-5079/LNBTS-5079/LNCEL-3,MCC-619/MNC-05,ECI-1300482,MCC-619/MNC-05",nokia_common_8015,4,MRBTS-5079,1.0,1.0,2022-03-26 13:40:46.944854,2022-03-26 13:40:46.944854
87197,"MRBTS-5200/LNBTS-5200/LNCEL-11,MCC-619/MNC-05,ECI-1288710,MCC-619/MNC-05",nokia_common_8015,14,MRBTS-5200,1.0,1.0,2022-03-26 13:40:46.944854,2022-03-26 13:40:46.944854
