unique_table_name,unique_counter_name,vendor,counter_name,table_name,table_id,counter_id,counter_name_alias,counter_description,counter_unit,aggregation,enabled,enable_for_parser_module,mapped_object_id,tables_in_database,mapped_object_name,is_archived,busy_hour_aggregation,busy_hour_formula,busy_hour_column,aggregation_in_upper,Tech,MO Class,Size,suffex
3G_IubEdch_V,3G_IubEdch_V_pmEdchDataFrameDelayIub,ericsson,pmEdchDataFrameDelayIub,IubEdch_V,20000159,20001971,pmEdchDataFrameDelayIub,,#,sum,1.0,1.0,1402.0,,RNCIubEdch_V,,,,,SUM,3G,,,
3G_IubEdch,3G_IubEdch_pmEdchDataFramesLost,ericsson,pmEdchDataFramesLost,IubEdch,20000158,20001969,pmEdchDataFramesLost,,#,sum,1.0,1.0,1402.0,,RNCIubEdch,,,,,SUM,3G,,,
3G_IubEdch,3G_IubEdch_pmEdchDataFramesReceived,ericsson,pmEdchDataFramesReceived,IubEdch,20000158,20001970,pmEdchDataFramesReceived,,#,sum,1.0,1.0,1402.0,,RNCIubEdch,,,,,SUM,3G,,,
3G_IubLink,3G_IubLink_pmDchFramesOutOfSequenceUl,ericsson,pmDchFramesOutOfSequenceUl,IubLink,20000160,20001972,pmDchFramesOutOfSequenceUl,,#,sum,1.0,1.0,1402.0,,RNCIubLink,,,,,SUM,3G,,,
3G_IubLink_V,3G_IubLink_V_pmDlCredits,ericsson,pmDlCredits,IubLink_V,20000161,20001985,pmDlCredits,,#,sum,1.0,1.0,1402.0,,RNCIubLink_V,,,,,SUM,3G,,,
3G_IubLink,3G_IubLink_pmHsSevereCong,ericsson,pmHsSevereCong,IubLink,20000160,20001973,pmHsSevereCong,,#,sum,1.0,1.0,1402.0,,RNCIubLink,,,,,SUM,3G,,,
3G_IubLink,3G_IubLink_pmNoOfDiscardedNbapcMessages,ericsson,pmNoOfDiscardedNbapcMessages,IubLink,20000160,20001974,pmNoOfDiscardedNbapcMessages,,#,sum,1.0,1.0,1402.0,,RNCIubLink,,,,,SUM,3G,,,
3G_IubLink,3G_IubLink_pmSamplesDlCredits,ericsson,pmSamplesDlCredits,IubLink,20000160,20001975,pmSamplesDlCredits,,#,sum,1.0,1.0,1402.0,,RNCIubLink,,,,,SUM,3G,,,
3G_IubLink,3G_IubLink_pmSamplesUlCredits,ericsson,pmSamplesUlCredits,IubLink,20000160,20001976,pmSamplesUlCredits,,#,sum,1.0,1.0,1402.0,,RNCIubLink,,,,,SUM,3G,,,
3G_IubLink,3G_IubLink_pmSoftCongGbrBwDl,ericsson,pmSoftCongGbrBwDl,IubLink,20000160,20001977,pmSoftCongGbrBwDl,,%,sum,1.0,1.0,1402.0,,RNCIubLink,,,,,SUM,3G,,,
