NE Name,fdn,BTSID,BTSNAME,CELLID,CELLNAME,IDTYPE,MOIndex,className,name,neID
FTBSC02,"NE=280,CELLBIND2BTS=49_385",49,ABERDEEN,385,ABERDEEN-1,BYID,26_385,BSC6900GSMCELLBIND2BTS,"BTS Index=49, Cell Index=385",26
FTBSC02,"NE=280,CELLBIND2BTS=49_386",49,ABERDEEN,386,ABERDEEN-2,BYID,26_386,BSC6900GSMCELLBIND2BTS,"BTS Index=49, Cell Index=386",26
FTBSC02,"NE=280,CELLBIND2BTS=49_387",49,ABERDEEN,387,ABERDEEN-3,BYID,26_387,BSC6900GSMCELLBIND2BTS,"BTS Index=49, Cell Index=387",26
FTBSC02,"NE=280,CELLBIND2BTS=49_388",49,ABERDEEN,388,ABERDEEN-6,BYID,26_388,BSC6900GSMCELLBIND2BTS,"BTS Index=49, Cell Index=388",26
FTBSC02,"NE=280,CELLBIND2BTS=49_389",49,ABERDEEN,389,ABERDEEN-7,BYID,26_389,BSC6900GSMCELLBIND2BTS,"BTS Index=49, Cell Index=389",26
FTBSC02,"NE=280,CELLBIND2BTS=49_390",49,ABERDEEN,390,ABERDEEN-8,BYID,26_390,BSC6900GSMCELLBIND2BTS,"BTS Index=49, Cell Index=390",26
FTBSC02,"NE=280,CELLBIND2BTS=59_465",59,MURRAYTOWN,465,MURRAYTOWN-1,BYID,26_465,BSC6900GSMCELLBIND2BTS,"BTS Index=59, Cell Index=465",26
FTBSC02,"NE=280,CELLBIND2BTS=59_466",59,MURRAYTOWN,466,MURRAYTOWN-2,BYID,26_466,BSC6900GSMCELLBIND2BTS,"BTS Index=59, Cell Index=466",26
FTBSC02,"NE=280,CELLBIND2BTS=59_467",59,MURRAYTOWN,467,MURRAYTOWN-3,BYID,26_467,BSC6900GSMCELLBIND2BTS,"BTS Index=59, Cell Index=467",26
FTBSC02,"NE=280,CELLBIND2BTS=59_468",59,MURRAYTOWN,468,MURRAYTOWN-6,BYID,26_468,BSC6900GSMCELLBIND2BTS,"BTS Index=59, Cell Index=468",26
FTBSC02,"NE=280,CELLBIND2BTS=59_469",59,MURRAYTOWN,469,MURRAYTOWN-7,BYID,26_469,BSC6900GSMCELLBIND2BTS,"BTS Index=59, Cell Index=469",26
FTBSC02,"NE=280,CELLBIND2BTS=59_470",59,MURRAYTOWN,470,MURRAYTOWN-8,BYID,26_470,BSC6900GSMCELLBIND2BTS,"BTS Index=59, Cell Index=470",26
FTBSC02,"NE=280,CELLBIND2BTS=62_489",62,WILBERFORCEMSC,489,WILBERFORCEMSC-1,BYID,26_489,BSC6900GSMCELLBIND2BTS,"BTS Index=62, Cell Index=489",26
FTBSC02,"NE=280,CELLBIND2BTS=62_490",62,WILBERFORCEMSC,490,WILBERFORCEMSC-2,BYID,26_490,BSC6900GSMCELLBIND2BTS,"BTS Index=62, Cell Index=490",26
FTBSC02,"NE=280,CELLBIND2BTS=62_491",62,WILBERFORCEMSC,491,WILBERFORCEMSC-3,BYID,26_491,BSC6900GSMCELLBIND2BTS,"BTS Index=62, Cell Index=491",26
FTBSC02,"NE=280,CELLBIND2BTS=62_492",62,WILBERFORCEMSC,492,WILBERFORCEMSC-6,BYID,26_492,BSC6900GSMCELLBIND2BTS,"BTS Index=62, Cell Index=492",26
FTBSC02,"NE=280,CELLBIND2BTS=62_493",62,WILBERFORCEMSC,493,WILBERFORCEMSC-7,BYID,26_493,BSC6900GSMCELLBIND2BTS,"BTS Index=62, Cell Index=493",26
FTBSC02,"NE=280,CELLBIND2BTS=62_494",62,WILBERFORCEMSC,494,WILBERFORCEMSC-8,BYID,26_494,BSC6900GSMCELLBIND2BTS,"BTS Index=62, Cell Index=494",26
FTBSC02,"NE=280,CELLBIND2BTS=63_497",63,WILKINSONROAD,497,WILKINSONROAD-1,BYID,26_497,BSC6900GSMCELLBIND2BTS,"BTS Index=63, Cell Index=497",26
