begintime,sk_object,67194787,67194788,67194793,67194794,67194795,67194796,67196162,73442016,73442017,duration
2022-03-01 00:00:00,7668989.0,248269.0,248269.0,251839.0,251839.0,9873.0,8876.0,0.0,,,PT3600S
2022-03-01 00:00:00,7668990.0,190473.0,190473.0,186969.0,186969.0,2231.0,1860.0,0.0,,,PT3600S
2022-03-01 00:00:00,7668991.0,117676.0,117676.0,117770.0,117770.0,1864.0,1421.0,0.0,,,PT3600S
2022-03-01 00:00:00,7668992.0,171.0,171.0,171.0,171.0,518.0,518.0,0.0,,,PT3600S
2022-03-01 00:00:00,7668993.0,101.0,101.0,101.0,101.0,1066.0,1066.0,0.0,,,PT3600S
2022-03-01 00:00:00,7668994.0,180.0,180.0,180.0,180.0,1657.0,1657.0,0.0,,,PT3600S
2022-03-01 00:00:00,7668995.0,412.0,412.0,412.0,412.0,475.0,475.0,0.0,,,PT3600S
2022-03-01 00:00:00,7668996.0,143140.0,143140.0,141811.0,141811.0,1710.0,1276.0,0.0,,,PT3600S
2022-03-01 00:00:00,7668997.0,95274.0,95274.0,94572.0,94572.0,1630.0,1475.0,0.0,,,PT3600S
2022-03-01 00:00:00,7668998.0,1013.0,1013.0,1013.0,1013.0,2886.0,2886.0,0.0,,,PT3600S
2022-03-01 00:00:00,7668999.0,568.0,568.0,568.0,568.0,1348.0,1348.0,0.0,,,PT3600S
2022-03-01 00:00:00,7669000.0,185.0,185.0,185.0,185.0,849.0,849.0,0.0,,,PT3600S
2022-03-01 00:00:00,7669001.0,122873.0,122873.0,120751.0,120750.0,1893.0,1365.0,0.0,,,PT3600S
2022-03-01 00:00:00,7669002.0,29289.0,29289.0,29522.0,29522.0,505.0,304.0,0.0,,,PT3600S
2022-03-01 00:00:00,7669003.0,1178.0,1178.0,1178.0,1178.0,1458.0,1458.0,0.0,,,PT3600S
2022-03-01 00:00:00,7669004.0,97964.0,97964.0,97340.0,97336.0,1089.0,830.0,0.0,,,PT3600S
2022-03-01 00:00:00,7669005.0,176167.0,176167.0,172844.0,172844.0,1859.0,1602.0,0.0,,,PT3600S
2022-03-01 00:00:00,7669006.0,202.0,202.0,202.0,202.0,928.0,928.0,0.0,,,PT3600S
2022-03-01 00:00:00,7669007.0,149106.0,149106.0,147749.0,147749.0,5908.0,5642.0,0.0,,,PT3600S
2022-03-01 00:00:00,7669008.0,32.0,32.0,32.0,32.0,92.0,92.0,0.0,,,PT3600S
2022-03-01 00:00:00,7669009.0,116497.0,116497.0,114610.0,114610.0,1100.0,995.0,0.0,,,PT3600S
2022-03-01 00:00:00,7669010.0,164608.0,164608.0,160811.0,160811.0,1265.0,1123.0,0.0,,,PT3600S
2022-03-01 00:00:00,7669011.0,582.0,582.0,582.0,582.0,1954.0,1954.0,0.0,,,PT3600S
2022-03-01 00:00:00,7669012.0,115.0,115.0,115.0,115.0,438.0,438.0,0.0,,,PT3600S
2022-03-01 00:00:00,7669013.0,27292.0,27292.0,27063.0,27063.0,347.0,197.0,0.0,,,PT3600S
2022-03-01 00:00:00,7669014.0,108.0,108.0,108.0,108.0,812.0,812.0,0.0,,,PT3600S
2022-03-01 00:00:00,7669015.0,292.0,292.0,292.0,292.0,1400.0,1400.0,0.0,,,PT3600S
2022-03-01 00:00:00,7669016.0,215537.0,215537.0,212891.0,212887.0,2778.0,2306.0,0.0,,,PT3600S
2022-03-01 00:00:00,7669017.0,55985.0,55985.0,54883.0,54883.0,373.0,352.0,0.0,,,PT3600S
2022-03-01 00:00:00,7669018.0,48521.0,48521.0,47896.0,47896.0,370.0,287.0,0.0,,,PT3600S
2022-03-01 00:00:00,7669019.0,189768.0,189768.0,188745.0,188745.0,2833.0,2182.0,0.0,,,PT3600S
2022-03-01 00:00:00,7669020.0,9514.0,9514.0,9290.0,9290.0,99.0,95.0,0.0,,,PT3600S
2022-03-01 00:00:00,7669021.0,715.0,715.0,715.0,715.0,1278.0,1278.0,0.0,,,PT3600S
2022-03-01 00:00:00,7669022.0,134815.0,134815.0,133713.0,133713.0,2613.0,2281.0,0.0,,,PT3600S
2022-03-01 00:00:00,7669023.0,375.0,375.0,375.0,375.0,1268.0,1268.0,0.0,,,PT3600S
2022-03-01 00:00:00,7669024.0,40.0,40.0,40.0,40.0,212.0,212.0,0.0,,,PT3600S
2022-03-01 00:00:00,7669025.0,253.0,253.0,253.0,253.0,1718.0,1718.0,0.0,,,PT3600S
2022-03-01 00:00:00,7669026.0,213.0,213.0,213.0,213.0,727.0,727.0,0.0,,,PT3600S
2022-03-01 00:00:00,7669027.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,PT3600S
2022-03-01 00:00:00,7669028.0,771.0,771.0,771.0,771.0,1481.0,1481.0,0.0,,,PT3600S
2022-03-01 00:00:00,7669029.0,210.0,210.0,210.0,210.0,1437.0,1437.0,0.0,,,PT3600S
2022-03-01 00:00:00,7669030.0,66305.0,66305.0,66066.0,66066.0,594.0,501.0,0.0,,,PT3600S
2022-03-01 00:00:00,7669031.0,122617.0,122617.0,123431.0,123431.0,2088.0,1720.0,0.0,,,PT3600S
2022-03-01 00:00:00,7669032.0,39.0,39.0,39.0,39.0,438.0,438.0,0.0,,,PT3600S
2022-03-01 00:00:00,7669033.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,PT3600S
2022-03-01 00:00:00,7669034.0,135.0,135.0,135.0,135.0,1446.0,1446.0,0.0,,,PT3600S
2022-03-01 00:00:00,7669035.0,1158.0,1158.0,1158.0,1158.0,1972.0,1972.0,0.0,,,PT3600S
2022-03-01 00:00:00,7669036.0,187.0,187.0,187.0,187.0,1089.0,1089.0,0.0,,,PT3600S
2022-03-01 00:00:00,7669037.0,191933.0,191933.0,190476.0,190476.0,3321.0,2583.0,0.0,,,PT3600S
2022-03-01 00:00:00,7669038.0,2118.0,2118.0,2118.0,2118.0,1173.0,1173.0,0.0,,,PT3600S
2022-03-01 00:00:00,7669039.0,343414.0,343414.0,339788.0,339788.0,3194.0,2762.0,0.0,,,PT3600S
2022-03-01 00:00:00,7669040.0,111906.0,111906.0,111524.0,111525.0,1299.0,1126.0,0.0,,,PT3600S
2022-03-01 00:00:00,7669041.0,566.0,566.0,566.0,566.0,1347.0,1347.0,0.0,,,PT3600S
2022-03-01 00:00:00,7669042.0,958.0,958.0,958.0,958.0,1546.0,1546.0,0.0,,,PT3600S
2022-03-01 00:00:00,7669043.0,833.0,833.0,833.0,833.0,1609.0,1609.0,0.0,,,PT3600S
