node_sub_region_id,node_sub_region_desc,node_region_id
1,Wuli East,2
2,Mansakonko,1
3,Kombo South,5
4,Central Baddibu,6
5,Jimara,2
6,Foni Kansala,5
7,Foni Brefet,5
8,Janjanbureh,7
9,Niamina East,7
10,Kantora,2
11,Niani,7
12,Kanifing,4
13,Kombo Central,5
14,Fuladou East,2
15,Kombo North,5
16,Sandu,2
17,Upper Badibu,6
18,Fuladou West,2
19,Jarra East,1
20,Foni Jarrol,5
21,Banjul,3
22,Sabach - Sanjal,6
23,Kiang Central,1
24,Kiang East,1
25,Fuladou West,7
26,Kombo East,5
27,Lower Badibu,6
28,Lower Niumi,6
