begintime,sk_object,duration,M8027C0,M8027C1,M8027C2,M8027C3,M8027C4,M8027C5
2022-03-12 23:15:00,20814.0,15,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-11 01:00:00,20794.0,15,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-11 12:00:00,20825.0,15,1.0,1.0,1.0,7.0,0.0,7.0
2022-03-13 17:00:00,20766.0,15,0.0,0.0,0.0,5.0,1.0,4.0
2022-03-11 01:45:00,20825.0,15,0.0,0.0,0.0,2.0,0.0,2.0
2022-03-12 13:15:00,20774.0,15,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-11 21:45:00,20778.0,15,6.0,6.0,6.0,6.0,3.0,2.0
2022-03-14 02:45:00,20769.0,15,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-12 01:45:00,20792.0,15,0.0,0.0,0.0,1.0,0.0,1.0
2022-03-13 23:15:00,20816.0,15,1.0,1.0,1.0,8.0,1.0,7.0
2022-03-12 20:15:00,20779.0,15,0.0,0.0,0.0,3.0,1.0,2.0
2022-03-11 13:45:00,20767.0,15,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-11 21:30:00,20797.0,15,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-14 23:15:00,20826.0,15,2.0,2.0,2.0,0.0,0.0,0.0
2022-03-12 12:45:00,20794.0,15,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-13 21:15:00,20753.0,15,0.0,0.0,0.0,4.0,1.0,3.0
2022-03-13 17:00:00,20780.0,15,1.0,1.0,1.0,7.0,0.0,6.0
2022-03-13 09:30:00,20836.0,15,0.0,0.0,0.0,3.0,0.0,3.0
2022-03-13 20:30:00,20817.0,15,0.0,0.0,0.0,5.0,2.0,3.0
2022-03-11 01:45:00,20750.0,15,0.0,0.0,0.0,2.0,0.0,2.0
2022-03-12 09:15:00,20837.0,15,0.0,0.0,0.0,2.0,0.0,2.0
2022-03-14 05:00:00,20796.0,15,0.0,0.0,0.0,2.0,0.0,2.0
2022-03-12 13:45:00,20838.0,15,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-13 21:15:00,20771.0,15,0.0,0.0,0.0,1.0,1.0,0.0
2022-03-13 02:30:00,20830.0,15,2.0,2.0,2.0,4.0,2.0,2.0
2022-03-13 18:00:00,20790.0,15,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-11 09:15:00,20762.0,15,2.0,2.0,2.0,19.0,3.0,16.0
2022-03-13 13:45:00,20798.0,15,8.0,8.0,6.0,26.0,1.0,25.0
