NE Name,fdn,BT,BTSID,CN,IDTYPE,ISCONFIGTHD,MOIndex,NEWRXUNAME,RXUCHAINNO,RXUIDTYPE,RXUNAME,RXUPOS,SN,SRN,className,name,neID,BRDRXBW,BRDTXBW,PWRMODE,TRXNUM
FTBSC02,"NE=280,BTSRXUBRD=68_0_4_4",GRFU,68,0,BYID,NO,26_68_0_4_4,4,4,SRNSN,4,1,4,4,BSC6900GSMBTSRXUBRD,"BTS Index=68, Cabinet No.=0, Slot No.=4, Subrack No.=4",26,,,,
FTBSC02,"NE=280,BTSRXUBRD=49_0_0_4",GRFU,49,0,BYID,NO,26_49_0_4_0,0,0,SRNSN,0,1,0,4,BSC6900GSMBTSRXUBRD,"BTS Index=49, Cabinet No.=0, Slot No.=0, Subrack No.=4",26,,,,
FTBSC02,"NE=280,BTSRXUBRD=49_0_2_4",MRFU,49,0,BYID,NO,26_49_0_4_2,0-4-2,0,SRNSN,0-4-2,2,2,4,BSC6900GSMBTSRXUBRD,"BTS Index=49, Cabinet No.=0, Slot No.=2, Subrack No.=4",26,,,,
FTBSC02,"NE=280,BTSRXUBRD=49_0_4_4",MRFU,49,0,BYID,NO,26_49_0_4_4,4,4,SRNSN,4,1,4,4,BSC6900GSMBTSRXUBRD,"BTS Index=49, Cabinet No.=0, Slot No.=4, Subrack No.=4",26,,,,
FTBSC02,"NE=280,BTSRXUBRD=49_0_1_4",MRFU,49,0,BYID,NO,26_49_0_4_1,1,1,SRNSN,1,1,1,4,BSC6900GSMBTSRXUBRD,"BTS Index=49, Cabinet No.=0, Slot No.=1, Subrack No.=4",26,,,,
FTBSC02,"NE=280,BTSRXUBRD=49_0_3_4",MRFU,49,0,BYID,NO,26_49_0_4_3,3,3,SRNSN,3,1,3,4,BSC6900GSMBTSRXUBRD,"BTS Index=49, Cabinet No.=0, Slot No.=3, Subrack No.=4",26,,,,
FTBSC02,"NE=280,BTSRXUBRD=49_0_5_4",GRFU,49,0,BYID,NO,26_49_0_4_5,5,4,SRNSN,5,2,5,4,BSC6900GSMBTSRXUBRD,"BTS Index=49, Cabinet No.=0, Slot No.=5, Subrack No.=4",26,,,,
FTBSC02,"NE=280,BTSRXUBRD=59_0_0_4",GRFU,59,0,BYID,NO,26_59_0_4_0,0,0,SRNSN,0,1,0,4,BSC6900GSMBTSRXUBRD,"BTS Index=59, Cabinet No.=0, Slot No.=0, Subrack No.=4",26,,,,
FTBSC02,"NE=280,BTSRXUBRD=59_0_2_4",GRFU,59,0,BYID,NO,26_59_0_4_2,2,2,SRNSN,2,1,2,4,BSC6900GSMBTSRXUBRD,"BTS Index=59, Cabinet No.=0, Slot No.=2, Subrack No.=4",26,,,,
FTBSC02,"NE=280,BTSRXUBRD=59_0_4_4",GRFU,59,0,BYID,NO,26_59_0_4_4,4,4,SRNSN,4,1,4,4,BSC6900GSMBTSRXUBRD,"BTS Index=59, Cabinet No.=0, Slot No.=4, Subrack No.=4",26,,,,
FTBSC02,"NE=280,BTSRXUBRD=59_1_0_4",GRFU,59,1,BYID,NO,26_59_1_4_0,6,6,SRNSN,6,1,0,4,BSC6900GSMBTSRXUBRD,"BTS Index=59, Cabinet No.=1, Slot No.=0, Subrack No.=4",26,,,,
FTBSC02,"NE=280,BTSRXUBRD=59_1_2_4",GRFU,59,1,BYID,NO,26_59_1_4_2,8,8,SRNSN,8,1,2,4,BSC6900GSMBTSRXUBRD,"BTS Index=59, Cabinet No.=1, Slot No.=2, Subrack No.=4",26,,,,
FTBSC02,"NE=280,BTSRXUBRD=59_1_4_4",GRFU,59,1,BYID,NO,26_59_1_4_4,10,10,SRNSN,10,1,4,4,BSC6900GSMBTSRXUBRD,"BTS Index=59, Cabinet No.=1, Slot No.=4, Subrack No.=4",26,,,,
FTBSC02,"NE=280,BTSRXUBRD=62_0_0_4",MRFU,62,0,BYID,NO,26_62_0_4_0,0,0,SRNSN,0,1,0,4,BSC6900GSMBTSRXUBRD,"BTS Index=62, Cabinet No.=0, Slot No.=0, Subrack No.=4",26,,,,
FTBSC02,"NE=280,BTSRXUBRD=62_0_2_4",MRFU,62,0,BYID,NO,26_62_0_4_2,2,2,SRNSN,2,1,2,4,BSC6900GSMBTSRXUBRD,"BTS Index=62, Cabinet No.=0, Slot No.=2, Subrack No.=4",26,,,,
FTBSC02,"NE=280,BTSRXUBRD=62_0_4_4",MRFU,62,0,BYID,NO,26_62_0_4_4,0-4-4,4,SRNSN,0-4-4,1,4,4,BSC6900GSMBTSRXUBRD,"BTS Index=62, Cabinet No.=0, Slot No.=4, Subrack No.=4",26,,,,
FTBSC02,"NE=280,BTSRXUBRD=62_0_1_4",MRFU,62,0,BYID,NO,26_62_0_4_1,1,1,SRNSN,1,1,1,4,BSC6900GSMBTSRXUBRD,"BTS Index=62, Cabinet No.=0, Slot No.=1, Subrack No.=4",26,,,,
FTBSC02,"NE=280,BTSRXUBRD=62_0_3_4",MRFU,62,0,BYID,NO,26_62_0_4_3,3,3,SRNSN,3,1,3,4,BSC6900GSMBTSRXUBRD,"BTS Index=62, Cabinet No.=0, Slot No.=3, Subrack No.=4",26,,,,
FTBSC02,"NE=280,BTSRXUBRD=62_0_5_4",MRFU,62,0,BYID,NO,26_62_0_4_5,5,5,SRNSN,5,1,5,4,BSC6900GSMBTSRXUBRD,"BTS Index=62, Cabinet No.=0, Slot No.=5, Subrack No.=4",26,,,,
FTBSC02,"NE=280,BTSRXUBRD=63_0_0_4",GRFU,63,0,BYID,NO,26_63_0_4_0,0,0,SRNSN,0,1,0,4,BSC6900GSMBTSRXUBRD,"BTS Index=63, Cabinet No.=0, Slot No.=0, Subrack No.=4",26,,,,
FTBSC02,"NE=280,BTSRXUBRD=63_0_2_4",MRFU,63,0,BYID,NO,26_63_0_4_2,2,2,SRNSN,2,1,2,4,BSC6900GSMBTSRXUBRD,"BTS Index=63, Cabinet No.=0, Slot No.=2, Subrack No.=4",26,,,,
FTBSC02,"NE=280,BTSRXUBRD=63_0_4_4",GRFU,63,0,BYID,NO,26_63_0_4_4,4,4,SRNSN,4,1,4,4,BSC6900GSMBTSRXUBRD,"BTS Index=63, Cabinet No.=0, Slot No.=4, Subrack No.=4",26,,,,
FTBSC02,"NE=280,BTSRXUBRD=63_0_1_4",MRFU,63,0,BYID,NO,26_63_0_4_1,1,1,SRNSN,1,1,1,4,BSC6900GSMBTSRXUBRD,"BTS Index=63, Cabinet No.=0, Slot No.=1, Subrack No.=4",26,,,,
FTBSC02,"NE=280,BTSRXUBRD=63_0_3_4",MRFU,63,0,BYID,NO,26_63_0_4_3,3,3,SRNSN,3,1,3,4,BSC6900GSMBTSRXUBRD,"BTS Index=63, Cabinet No.=0, Slot No.=3, Subrack No.=4",26,,,,
FTBSC02,"NE=280,BTSRXUBRD=63_0_5_4",GRFU,63,0,BYID,NO,26_63_0_4_5,5,5,SRNSN,5,1,5,4,BSC6900GSMBTSRXUBRD,"BTS Index=63, Cabinet No.=0, Slot No.=5, Subrack No.=4",26,,,,
FTBSC02,"NE=280,BTSRXUBRD=65_0_0_4",MRFU,65,0,BYID,NO,26_65_0_4_0,0,0,SRNSN,0,1,0,4,BSC6900GSMBTSRXUBRD,"BTS Index=65, Cabinet No.=0, Slot No.=0, Subrack No.=4",26,,,,
FTBSC02,"NE=280,BTSRXUBRD=65_0_2_4",GRFU,65,0,BYID,NO,26_65_0_4_2,2,0,SRNSN,2,2,2,4,BSC6900GSMBTSRXUBRD,"BTS Index=65, Cabinet No.=0, Slot No.=2, Subrack No.=4",26,,,,
FTBSC02,"NE=280,BTSRXUBRD=65_0_4_4",MRFU,65,0,BYID,NO,26_65_0_4_4,4,4,SRNSN,4,1,4,4,BSC6900GSMBTSRXUBRD,"BTS Index=65, Cabinet No.=0, Slot No.=4, Subrack No.=4",26,,,,
FTBSC02,"NE=280,BTSRXUBRD=65_0_1_4",MRFU,65,0,BYID,NO,26_65_0_4_1,1,1,SRNSN,1,1,1,4,BSC6900GSMBTSRXUBRD,"BTS Index=65, Cabinet No.=0, Slot No.=1, Subrack No.=4",26,,,,
FTBSC02,"NE=280,BTSRXUBRD=65_0_3_4",MRFU,65,0,BYID,NO,26_65_0_4_3,3,3,SRNSN,3,1,3,4,BSC6900GSMBTSRXUBRD,"BTS Index=65, Cabinet No.=0, Slot No.=3, Subrack No.=4",26,,,,
FTBSC02,"NE=280,BTSRXUBRD=65_0_5_4",MRFU,65,0,BYID,NO,26_65_0_4_5,5,5,SRNSN,5,1,5,4,BSC6900GSMBTSRXUBRD,"BTS Index=65, Cabinet No.=0, Slot No.=5, Subrack No.=4",26,,,,
FTBSC02,"NE=280,BTSRXUBRD=67_0_3_4",MRFU,67,0,BYID,NO,26_67_0_4_3,0-4-3,3,SRNSN,0-4-3,1,3,4,BSC6900GSMBTSRXUBRD,"BTS Index=67, Cabinet No.=0, Slot No.=3, Subrack No.=4",26,,,,
FTBSC02,"NE=280,BTSRXUBRD=67_0_5_4",MRFU,67,0,BYID,NO,26_67_0_4_5,0-4-5,5,SRNSN,0-4-5,1,5,4,BSC6900GSMBTSRXUBRD,"BTS Index=67, Cabinet No.=0, Slot No.=5, Subrack No.=4",26,,,,
FTBSC02,"NE=280,BTSRXUBRD=68_0_2_4",GRFU,68,0,BYID,NO,26_68_0_4_2,2,2,SRNSN,2,1,2,4,BSC6900GSMBTSRXUBRD,"BTS Index=68, Cabinet No.=0, Slot No.=2, Subrack No.=4",26,,,,
FTBSC02,"NE=280,BTSRXUBRD=68_0_1_4",MRFU,68,0,BYID,NO,26_68_0_4_1,1,1,SRNSN,1,1,1,4,BSC6900GSMBTSRXUBRD,"BTS Index=68, Cabinet No.=0, Slot No.=1, Subrack No.=4",26,,,,
FTBSC02,"NE=280,BTSRXUBRD=68_0_5_4",MRFU,68,0,BYID,NO,26_68_0_4_5,5,5,SRNSN,5,1,5,4,BSC6900GSMBTSRXUBRD,"BTS Index=68, Cabinet No.=0, Slot No.=5, Subrack No.=4",26,,,,
FTBSC02,"NE=280,BTSRXUBRD=74_0_0_4",GRFU,74,0,BYID,NO,26_74_0_4_0,0,0,SRNSN,0,1,0,4,BSC6900GSMBTSRXUBRD,"BTS Index=74, Cabinet No.=0, Slot No.=0, Subrack No.=4",26,,,,
FTBSC02,"NE=280,BTSRXUBRD=74_0_2_4",GRFU,74,0,BYID,NO,26_74_0_4_2,2,2,SRNSN,2,1,2,4,BSC6900GSMBTSRXUBRD,"BTS Index=74, Cabinet No.=0, Slot No.=2, Subrack No.=4",26,,,,
FTBSC02,"NE=280,BTSRXUBRD=74_0_4_4",GRFU,74,0,BYID,NO,26_74_0_4_4,4,4,SRNSN,4,1,4,4,BSC6900GSMBTSRXUBRD,"BTS Index=74, Cabinet No.=0, Slot No.=4, Subrack No.=4",26,,,,
FTBSC02,"NE=280,BTSRXUBRD=75_0_0_4",GRFU,75,0,BYID,NO,26_75_0_4_0,0,0,SRNSN,0,1,0,4,BSC6900GSMBTSRXUBRD,"BTS Index=75, Cabinet No.=0, Slot No.=0, Subrack No.=4",26,,,,
FTBSC02,"NE=280,BTSRXUBRD=75_0_2_4",GRFU,75,0,BYID,NO,26_75_0_4_2,2,2,SRNSN,2,1,2,4,BSC6900GSMBTSRXUBRD,"BTS Index=75, Cabinet No.=0, Slot No.=2, Subrack No.=4",26,,,,
FTBSC02,"NE=280,BTSRXUBRD=75_0_4_4",GRFU,75,0,BYID,NO,26_75_0_4_4,4,4,SRNSN,4,1,4,4,BSC6900GSMBTSRXUBRD,"BTS Index=75, Cabinet No.=0, Slot No.=4, Subrack No.=4",26,,,,
FTBSC02,"NE=280,BTSRXUBRD=75_0_5_4",MRFU,75,0,BYID,NO,26_75_0_4_5,5,5,SRNSN,5,1,5,4,BSC6900GSMBTSRXUBRD,"BTS Index=75, Cabinet No.=0, Slot No.=5, Subrack No.=4",26,,,,
FTBSC02,"NE=280,BTSRXUBRD=60_0_4_4",MRFU,60,0,BYID,NO,26_60_0_4_4,4,4,SRNSN,4,1,4,4,BSC6900GSMBTSRXUBRD,"BTS Index=60, Cabinet No.=0, Slot No.=4, Subrack No.=4",26,,,,
FTBSC02,"NE=280,BTSRXUBRD=56_0_0_4",MRFU,56,0,BYID,NO,26_56_0_4_0,0,0,SRNSN,0,1,0,4,BSC6900GSMBTSRXUBRD,"BTS Index=56, Cabinet No.=0, Slot No.=0, Subrack No.=4",26,,,,
FTBSC02,"NE=280,BTSRXUBRD=56_0_2_4",MRFU,56,0,BYID,NO,26_56_0_4_2,2,2,SRNSN,2,1,2,4,BSC6900GSMBTSRXUBRD,"BTS Index=56, Cabinet No.=0, Slot No.=2, Subrack No.=4",26,,,,
FTBSC02,"NE=280,BTSRXUBRD=60_0_0_4",GRFU,60,0,BYID,NO,26_60_0_4_0,0,0,SRNSN,0,1,0,4,BSC6900GSMBTSRXUBRD,"BTS Index=60, Cabinet No.=0, Slot No.=0, Subrack No.=4",26,,,,
FTBSC02,"NE=280,BTSRXUBRD=60_0_2_4",GRFU,60,0,BYID,NO,26_60_0_4_2,2,2,SRNSN,2,1,2,4,BSC6900GSMBTSRXUBRD,"BTS Index=60, Cabinet No.=0, Slot No.=2, Subrack No.=4",26,,,,
FTBSC02,"NE=280,BTSRXUBRD=64_0_0_4",GRFU,64,0,BYID,NO,26_64_0_4_0,0,0,SRNSN,0,1,0,4,BSC6900GSMBTSRXUBRD,"BTS Index=64, Cabinet No.=0, Slot No.=0, Subrack No.=4",26,,,,
FTBSC02,"NE=280,BTSRXUBRD=64_0_2_4",GRFU,64,0,BYID,NO,26_64_0_4_2,2,2,SRNSN,2,1,2,4,BSC6900GSMBTSRXUBRD,"BTS Index=64, Cabinet No.=0, Slot No.=2, Subrack No.=4",26,,,,
FTBSC02,"NE=280,BTSRXUBRD=64_0_4_4",GRFU,64,0,BYID,NO,26_64_0_4_4,4,4,SRNSN,4,1,4,4,BSC6900GSMBTSRXUBRD,"BTS Index=64, Cabinet No.=0, Slot No.=4, Subrack No.=4",26,,,,
FTBSC02,"NE=280,BTSRXUBRD=66_0_0_4",GRFU,66,0,BYID,NO,26_66_0_4_0,0,0,SRNSN,0,1,0,4,BSC6900GSMBTSRXUBRD,"BTS Index=66, Cabinet No.=0, Slot No.=0, Subrack No.=4",26,,,,
FTBSC02,"NE=280,BTSRXUBRD=66_0_2_4",GRFU,66,0,BYID,NO,26_66_0_4_2,2,2,SRNSN,2,1,2,4,BSC6900GSMBTSRXUBRD,"BTS Index=66, Cabinet No.=0, Slot No.=2, Subrack No.=4",26,,,,
FTBSC02,"NE=280,BTSRXUBRD=66_0_4_4",GRFU,66,0,BYID,NO,26_66_0_4_4,4,4,SRNSN,4,1,4,4,BSC6900GSMBTSRXUBRD,"BTS Index=66, Cabinet No.=0, Slot No.=4, Subrack No.=4",26,,,,
FTBSC02,"NE=280,BTSRXUBRD=57_0_3_4",MRFU,57,0,BYID,NO,26_57_0_4_3,3,3,SRNSN,3,1,3,4,BSC6900GSMBTSRXUBRD,"BTS Index=57, Cabinet No.=0, Slot No.=3, Subrack No.=4",26,,,,
FTBSC02,"NE=280,BTSRXUBRD=57_0_5_4",MRFU,57,0,BYID,NO,26_57_0_4_5,5,5,SRNSN,5,1,5,4,BSC6900GSMBTSRXUBRD,"BTS Index=57, Cabinet No.=0, Slot No.=5, Subrack No.=4",26,,,,
FTBSC02,"NE=280,BTSRXUBRD=192_0_0_4",GRFU,192,0,BYID,NO,26_192_0_4_0,0,0,SRNSN,0,1,0,4,BSC6900GSMBTSRXUBRD,"BTS Index=192, Cabinet No.=0, Slot No.=0, Subrack No.=4",26,,,,
FTBSC02,"NE=280,BTSRXUBRD=192_0_2_4",GRFU,192,0,BYID,NO,26_192_0_4_2,2,2,SRNSN,2,1,2,4,BSC6900GSMBTSRXUBRD,"BTS Index=192, Cabinet No.=0, Slot No.=2, Subrack No.=4",26,,,,
FTBSC02,"NE=280,BTSRXUBRD=192_0_4_4",GRFU,192,0,BYID,NO,26_192_0_4_4,4,4,SRNSN,4,1,4,4,BSC6900GSMBTSRXUBRD,"BTS Index=192, Cabinet No.=0, Slot No.=4, Subrack No.=4",26,,,,
FTBSC02,"NE=280,BTSRXUBRD=108_0_5_4",MRFU,108,0,BYID,NO,26_108_0_4_5,5,4,SRNSN,5,2,5,4,BSC6900GSMBTSRXUBRD,"BTS Index=108, Cabinet No.=0, Slot No.=5, Subrack No.=4",26,,,,
FTBSC02,"NE=280,BTSRXUBRD=107_0_0_4",GRFU,107,0,BYID,NO,26_107_0_4_0,0,0,SRNSN,0,1,0,4,BSC6900GSMBTSRXUBRD,"BTS Index=107, Cabinet No.=0, Slot No.=0, Subrack No.=4",26,,,,
