NE Name,fdn,MOIndex,className,name,neID
3G_ADONKIA,"NE=1023,EQUIPMENT=only",779,BTS3900EQUIPMENT,Equipment,779
3G_ALKALIA,"NE=1346,EQUIPMENT=only",1102,BTS3900EQUIPMENT,Equipment,1102
3G_ALLENTOWN,"NE=986,EQUIPMENT=only",742,BTS3900EQUIPMENT,Equipment,742
3G_ABERDEEN,"NE=339,EQUIPMENT=only",85,BTS3900EQUIPMENT,Equipment,85
3G_ADAMSTREET,"NE=1071,EQUIPMENT=only",827,BTS3900EQUIPMENT,Equipment,827
3G_ADDAX,"NE=885,EQUIPMENT=only",641,BTS3900EQUIPMENT,Equipment,641
