measObjLdn,duration,begin_time,20006571,20006572,20006573,20006574
NUCRELGPRS.KIN001A-KIN001E,900.0,2022-10-25 12:15:00,0,0,0,0
NUCRELGPRS.KIN001A-KIN001F,900.0,2022-10-25 12:15:00,0,0,0,0
NUCRELGPRS.KIN001A-KIN001G,900.0,2022-10-25 12:15:00,0,0,0,0
NUCRELGPRS.KIN001A-KIN001H,900.0,2022-10-25 12:15:00,0,0,0,0
NUCRELGPRS.KIN001A-KIN001I,900.0,2022-10-25 12:15:00,0,0,0,0
NUCRELGPRS.KIN001A-KIN001J,900.0,2022-10-25 12:15:00,0,0,0,0
NUCRELGPRS.KIN001A-KIN001K,900.0,2022-10-25 12:15:00,0,0,0,0
NUCRELGPRS.KIN001A-KIN001L,900.0,2022-10-25 12:15:00,0,0,0,0
NUCRELGPRS.KIN001A-KIN001M,900.0,2022-10-25 12:15:00,0,0,0,0
NUCRELGPRS.KIN001A-KIN001N,900.0,2022-10-25 12:15:00,0,0,0,0
NUCRELGPRS.KIN001A-KIN001O,900.0,2022-10-25 12:15:00,0,0,0,0
NUCRELGPRS.KIN001A-KIN001P,900.0,2022-10-25 12:15:00,0,0,0,0
NUCRELGPRS.KIN001A-KIN002I,900.0,2022-10-25 12:15:00,0,0,0,0
NUCRELGPRS.KIN001A-KIN002J,900.0,2022-10-25 12:15:00,0,0,0,0
NUCRELGPRS.KIN001A-KIN003E,900.0,2022-10-25 12:15:00,0,0,0,0
NUCRELGPRS.KIN001A-KIN010E,900.0,2022-10-25 12:15:00,0,0,0,0
NUCRELGPRS.KIN001A-KIN010F,900.0,2022-10-25 12:15:00,0,0,0,0
NUCRELGPRS.KIN001A-KIN010Q,900.0,2022-10-25 12:15:00,0,0,0,0
NUCRELGPRS.KIN001A-KIN010R,900.0,2022-10-25 12:15:00,0,0,0,0
NUCRELGPRS.KIN001A-KIN010S,900.0,2022-10-25 12:15:00,0,0,0,0
NUCRELGPRS.KIN001A-KIN010T,900.0,2022-10-25 12:15:00,0,0,0,0
NUCRELGPRS.KIN001A-KIN010U,900.0,2022-10-25 12:15:00,0,0,0,0
NUCRELGPRS.KIN001A-KIN010V,900.0,2022-10-25 12:15:00,0,0,0,0
NUCRELGPRS.KIN001A-KIN169E,900.0,2022-10-25 12:15:00,0,0,0,0
NUCRELGPRS.KIN001A-KIN169F,900.0,2022-10-25 12:15:00,0,0,0,0
NUCRELGPRS.KIN001A-KIN169G,900.0,2022-10-25 12:15:00,0,0,0,0
NUCRELGPRS.KIN001A-KIN171E,900.0,2022-10-25 12:15:00,0,0,0,0
NUCRELGPRS.KIN001A-KIN171F,900.0,2022-10-25 12:15:00,0,0,0,0
NUCRELGPRS.KIN001A-KIN171G,900.0,2022-10-25 12:15:00,0,0,0,0
NUCRELGPRS.KIN001A-KIN171H,900.0,2022-10-25 12:15:00,0,0,0,0
NUCRELGPRS.KIN001A-KIN171I,900.0,2022-10-25 12:15:00,0,0,0,0
NUCRELGPRS.KIN001A-KIN171J,900.0,2022-10-25 12:15:00,0,0,0,0
NUCRELGPRS.KIN001A-KIN180E,900.0,2022-10-25 12:15:00,0,0,0,0
NUCRELGPRS.KIN001A-KIN180F,900.0,2022-10-25 12:15:00,0,0,0,0
NUCRELGPRS.KIN001A-KIN180G,900.0,2022-10-25 12:15:00,0,0,0,0
NUCRELGPRS.KIN001A-KIN185E,900.0,2022-10-25 12:15:00,0,0,0,0
NUCRELGPRS.KIN001A-KIN185F,900.0,2022-10-25 12:15:00,0,0,0,0
NUCRELGPRS.KIN001A-KIN185G,900.0,2022-10-25 12:15:00,0,0,0,0
NUCRELGPRS.KIN001A-KIN186E,900.0,2022-10-25 12:15:00,0,0,0,0
NUCRELGPRS.KIN001A-KIN186F,900.0,2022-10-25 12:15:00,0,0,0,0
NUCRELGPRS.KIN001A-KIN186G,900.0,2022-10-25 12:15:00,0,0,0,0
NUCRELGPRS.KIN001A-KIN186H,900.0,2022-10-25 12:15:00,0,0,0,0
NUCRELGPRS.KIN001A-KIN281E,900.0,2022-10-25 12:15:00,0,0,0,0
NUCRELGPRS.KIN001A-KIN281F,900.0,2022-10-25 12:15:00,0,0,0,0
NUCRELGPRS.KIN001A-KIN281G,900.0,2022-10-25 12:15:00,0,0,0,0
NUCRELGPRS.KIN001A-KIN286E,900.0,2022-10-25 12:15:00,0,0,0,0
NUCRELGPRS.KIN001A-KIN286F,900.0,2022-10-25 12:15:00,0,0,0,0
NUCRELGPRS.KIN001A-KIN286G,900.0,2022-10-25 12:15:00,0,0,0,0
NUCRELGPRS.KIN001C-KIN001E,900.0,2022-10-25 12:15:00,0,0,0,0
NUCRELGPRS.KIN001C-KIN001F,900.0,2022-10-25 12:15:00,0,0,0,0
NUCRELGPRS.KIN001C-KIN001G,900.0,2022-10-25 12:15:00,0,0,0,0
NUCRELGPRS.KIN001C-KIN001H,900.0,2022-10-25 12:15:00,0,0,0,0
NUCRELGPRS.KIN001C-KIN001I,900.0,2022-10-25 12:15:00,0,0,0,0
NUCRELGPRS.KIN001C-KIN001J,900.0,2022-10-25 12:15:00,0,0,0,0
NUCRELGPRS.KIN001C-KIN001K,900.0,2022-10-25 12:15:00,0,0,0,0
NUCRELGPRS.KIN001C-KIN001L,900.0,2022-10-25 12:15:00,0,0,0,0
NUCRELGPRS.KIN001C-KIN001M,900.0,2022-10-25 12:15:00,0,0,0,0
NUCRELGPRS.KIN001C-KIN001N,900.0,2022-10-25 12:15:00,0,0,0,0
NUCRELGPRS.KIN001C-KIN001O,900.0,2022-10-25 12:15:00,0,0,0,0
NUCRELGPRS.KIN001C-KIN001P,900.0,2022-10-25 12:15:00,0,0,0,0
NUCRELGPRS.KIN001C-KIN003E,900.0,2022-10-25 12:15:00,0,0,0,0
NUCRELGPRS.KIN001C-KIN003F,900.0,2022-10-25 12:15:00,0,0,0,0
NUCRELGPRS.KIN001C-KIN008E,900.0,2022-10-25 12:15:00,0,0,0,0
NUCRELGPRS.KIN001C-KIN008F,900.0,2022-10-25 12:15:00,0,0,0,0
NUCRELGPRS.KIN001C-KIN008G,900.0,2022-10-25 12:15:00,0,0,0,0
NUCRELGPRS.KIN001C-KIN010E,900.0,2022-10-25 12:15:00,0,0,0,0
NUCRELGPRS.KIN001C-KIN010G,900.0,2022-10-25 12:15:00,0,0,0,0
NUCRELGPRS.KIN001C-KIN010H,900.0,2022-10-25 12:15:00,0,0,0,0
NUCRELGPRS.KIN001C-KIN010I,900.0,2022-10-25 12:15:00,0,0,0,0
NUCRELGPRS.KIN001C-KIN010J,900.0,2022-10-25 12:15:00,0,0,0,0
NUCRELGPRS.KIN001C-KIN010Q,900.0,2022-10-25 12:15:00,0,0,0,0
NUCRELGPRS.KIN001C-KIN010R,900.0,2022-10-25 12:15:00,0,0,0,0
NUCRELGPRS.KIN001C-KIN010S,900.0,2022-10-25 12:15:00,0,0,0,0
NUCRELGPRS.KIN001C-KIN010T,900.0,2022-10-25 12:15:00,0,0,0,0
NUCRELGPRS.KIN001C-KIN010U,900.0,2022-10-25 12:15:00,0,0,0,0
NUCRELGPRS.KIN001C-KIN010V,900.0,2022-10-25 12:15:00,0,0,0,0
NUCRELGPRS.KIN001C-KIN071E,900.0,2022-10-25 12:15:00,0,0,0,0
NUCRELGPRS.KIN001C-KIN071F,900.0,2022-10-25 12:15:00,0,0,0,0
NUCRELGPRS.KIN001C-KIN071G,900.0,2022-10-25 12:15:00,0,0,0,0
NUCRELGPRS.KIN001C-KIN071H,900.0,2022-10-25 12:15:00,0,0,0,0
NUCRELGPRS.KIN001C-KIN071I,900.0,2022-10-25 12:15:00,0,0,0,0
NUCRELGPRS.KIN001C-KIN071J,900.0,2022-10-25 12:15:00,0,0,0,0
NUCRELGPRS.KIN001C-KIN079E,900.0,2022-10-25 12:15:00,0,0,0,0
NUCRELGPRS.KIN001C-KIN079F,900.0,2022-10-25 12:15:00,0,0,0,0
NUCRELGPRS.KIN001C-KIN139E,900.0,2022-10-25 12:15:00,0,0,0,0
NUCRELGPRS.KIN001C-KIN139F,900.0,2022-10-25 12:15:00,0,0,0,0
NUCRELGPRS.KIN001C-KIN139G,900.0,2022-10-25 12:15:00,0,0,0,0
NUCRELGPRS.KIN001C-KIN139J,900.0,2022-10-25 12:15:00,0,0,0,0
NUCRELGPRS.KIN001C-KIN169E,900.0,2022-10-25 12:15:00,0,0,0,0
NUCRELGPRS.KIN001C-KIN169G,900.0,2022-10-25 12:15:00,0,0,0,0
NUCRELGPRS.KIN001C-KIN171E,900.0,2022-10-25 12:15:00,0,0,0,0
NUCRELGPRS.KIN001C-KIN171F,900.0,2022-10-25 12:15:00,0,0,0,0
NUCRELGPRS.KIN001C-KIN171G,900.0,2022-10-25 12:15:00,0,0,0,0
NUCRELGPRS.KIN001C-KIN171H,900.0,2022-10-25 12:15:00,0,0,0,0
NUCRELGPRS.KIN001C-KIN171I,900.0,2022-10-25 12:15:00,0,0,0,0
NUCRELGPRS.KIN001C-KIN171J,900.0,2022-10-25 12:15:00,0,0,0,0
NUCRELGPRS.KIN001C-KIN175E,900.0,2022-10-25 12:15:00,0,0,0,0
NUCRELGPRS.KIN001C-KIN175H,900.0,2022-10-25 12:15:00,0,0,0,0
NUCRELGPRS.KIN001C-KIN185E,900.0,2022-10-25 12:15:00,0,0,0,0
NUCRELGPRS.KIN001C-KIN185F,900.0,2022-10-25 12:15:00,0,0,0,0
NUCRELGPRS.KIN001C-KIN185G,900.0,2022-10-25 12:15:00,0,0,0,0
NUCRELGPRS.KIN001C-KIN186E,900.0,2022-10-25 12:15:00,0,0,0,0
NUCRELGPRS.KIN001C-KIN186F,900.0,2022-10-25 12:15:00,0,0,0,0
NUCRELGPRS.KIN001C-KIN186G,900.0,2022-10-25 12:15:00,0,0,0,0
NUCRELGPRS.KIN001C-KIN186H,900.0,2022-10-25 12:15:00,0,0,0,0
NUCRELGPRS.KIN001C-KIN281E,900.0,2022-10-25 12:15:00,0,0,0,0
NUCRELGPRS.KIN001C-KIN281F,900.0,2022-10-25 12:15:00,0,0,0,0
NUCRELGPRS.KIN001C-KIN281G,900.0,2022-10-25 12:15:00,0,0,0,0
NUCRELGPRS.KIN001C-KIN282F,900.0,2022-10-25 12:15:00,0,0,0,0
NUCRELGPRS.KIN001C-KIN286E,900.0,2022-10-25 12:15:00,0,0,0,0
NUCRELGPRS.KIN001D-KIN001E,900.0,2022-10-25 12:15:00,0,0,0,0
NUCRELGPRS.KIN001D-KIN001F,900.0,2022-10-25 12:15:00,0,0,0,0
NUCRELGPRS.KIN001D-KIN001G,900.0,2022-10-25 12:15:00,0,0,0,0
NUCRELGPRS.KIN001D-KIN001H,900.0,2022-10-25 12:15:00,0,0,0,0
NUCRELGPRS.KIN001D-KIN001I,900.0,2022-10-25 12:15:00,0,0,0,0
NUCRELGPRS.KIN001D-KIN001J,900.0,2022-10-25 12:15:00,0,0,0,0
NUCRELGPRS.KIN001D-KIN001K,900.0,2022-10-25 12:15:00,0,0,0,0
NUCRELGPRS.KIN001D-KIN001L,900.0,2022-10-25 12:15:00,0,0,0,0
NUCRELGPRS.KIN001D-KIN001M,900.0,2022-10-25 12:15:00,0,0,0,0
NUCRELGPRS.KIN001D-KIN001N,900.0,2022-10-25 12:15:00,0,0,0,0
NUCRELGPRS.KIN001D-KIN001O,900.0,2022-10-25 12:15:00,0,0,0,0
NUCRELGPRS.KIN001D-KIN001P,900.0,2022-10-25 12:15:00,0,0,0,0
NUCRELGPRS.KIN001D-KIN003E,900.0,2022-10-25 12:15:00,0,0,0,0
NUCRELGPRS.KIN001D-KIN003F,900.0,2022-10-25 12:15:00,0,0,0,0
NUCRELGPRS.KIN001D-KIN003G,900.0,2022-10-25 12:15:00,0,0,0,0
NUCRELGPRS.KIN001D-KIN010H,900.0,2022-10-25 12:15:00,0,0,0,0
NUCRELGPRS.KIN001D-KIN010I,900.0,2022-10-25 12:15:00,0,0,0,0
NUCRELGPRS.KIN001D-KIN010J,900.0,2022-10-25 12:15:00,0,0,0,0
NUCRELGPRS.KIN001D-KIN010Q,900.0,2022-10-25 12:15:00,0,0,0,0
NUCRELGPRS.KIN001D-KIN010R,900.0,2022-10-25 12:15:00,0,0,0,0
NUCRELGPRS.KIN001D-KIN010S,900.0,2022-10-25 12:15:00,0,0,0,0
NUCRELGPRS.KIN001D-KIN010T,900.0,2022-10-25 12:15:00,0,0,0,0
NUCRELGPRS.KIN001D-KIN010U,900.0,2022-10-25 12:15:00,0,0,0,0
NUCRELGPRS.KIN001D-KIN010V,900.0,2022-10-25 12:15:00,0,0,0,0
NUCRELGPRS.KIN001D-KIN079E,900.0,2022-10-25 12:15:00,0,0,0,0
NUCRELGPRS.KIN001D-KIN079F,900.0,2022-10-25 12:15:00,0,0,0,0
NUCRELGPRS.KIN001D-KIN079G,900.0,2022-10-25 12:15:00,0,0,0,0
NUCRELGPRS.KIN001D-KIN139E,900.0,2022-10-25 12:15:00,0,0,0,0
NUCRELGPRS.KIN001D-KIN139F,900.0,2022-10-25 12:15:00,0,0,0,0
NUCRELGPRS.KIN001D-KIN171G,900.0,2022-10-25 12:15:00,0,0,0,0
NUCRELGPRS.KIN001D-KIN171H,900.0,2022-10-25 12:15:00,0,0,0,0
NUCRELGPRS.KIN001D-KIN171I,900.0,2022-10-25 12:15:00,0,0,0,0
NUCRELGPRS.KIN001D-KIN171J,900.0,2022-10-25 12:15:00,0,0,0,0
NUCRELGPRS.KIN001D-KIN175H,900.0,2022-10-25 12:15:00,0,0,0,0
NUCRELGPRS.KIN001D-KIN180E,900.0,2022-10-25 12:15:00,0,0,0,0
NUCRELGPRS.KIN001D-KIN180F,900.0,2022-10-25 12:15:00,0,0,0,0
NUCRELGPRS.KIN001D-KIN180G,900.0,2022-10-25 12:15:00,0,0,0,0
NUCRELGPRS.KIN001D-KIN185E,900.0,2022-10-25 12:15:00,0,0,0,0
NUCRELGPRS.KIN001D-KIN185F,900.0,2022-10-25 12:15:00,0,0,0,0
NUCRELGPRS.KIN001D-KIN185G,900.0,2022-10-25 12:15:00,0,0,0,0
NUCRELGPRS.KIN001D-KIN186E,900.0,2022-10-25 12:15:00,0,0,0,0
NUCRELGPRS.KIN001D-KIN186G,900.0,2022-10-25 12:15:00,0,0,0,0
NUCRELGPRS.KIN001D-KIN186H,900.0,2022-10-25 12:15:00,0,0,0,0
NUCRELGPRS.KIN001D-KIN281E,900.0,2022-10-25 12:15:00,0,0,0,0
NUCRELGPRS.KIN001D-KIN281F,900.0,2022-10-25 12:15:00,0,0,0,0
NUCRELGPRS.KIN001D-KIN281G,900.0,2022-10-25 12:15:00,0,0,0,0
NUCRELGPRS.KIN001D-KIN282F,900.0,2022-10-25 12:15:00,0,0,0,0
NUCRELGPRS.KIN001D-KIN286E,900.0,2022-10-25 12:15:00,0,0,0,0
NUCRELGPRS.KIN001D-KIN286F,900.0,2022-10-25 12:15:00,0,0,0,0
NUCRELGPRS.KIN001D-KIN286G,900.0,2022-10-25 12:15:00,0,0,0,0
NUCRELGPRS.KIN002A-KIN002E,900.0,2022-10-25 12:15:00,0,0,0,0
NUCRELGPRS.KIN002A-KIN002F,900.0,2022-10-25 12:15:00,0,0,0,0
NUCRELGPRS.KIN002A-KIN002G,900.0,2022-10-25 12:15:00,0,0,0,0
NUCRELGPRS.KIN002A-KIN002H,900.0,2022-10-25 12:15:00,0,0,0,0
NUCRELGPRS.KIN002A-KIN002I,900.0,2022-10-25 12:15:00,0,0,0,0
