begintime,sk_object,duration,integrity,1282423593,1282423595,1282423596
2022-02-04 19:00:00,7525286.0,3600.0,100.0,126.0,25962.328,8183.672
2022-03-03 09:00:00,7525286.0,3600.0,100.0,126.0,28108.736,6037.264
2022-03-02 00:00:00,7525286.0,3600.0,100.0,126.0,33646.897,499.103
2022-02-19 17:00:00,7525286.0,3600.0,100.0,126.0,29405.133,4740.867
2022-02-12 10:00:00,7525286.0,3600.0,100.0,126.0,28279.303,5866.697
2022-02-20 22:00:00,7525286.0,3600.0,100.0,126.0,29933.078,4212.922
2022-02-20 03:00:00,7525286.0,3600.0,100.0,126.0,34041.494,104.506
2022-02-06 11:00:00,7525286.0,3600.0,100.0,126.0,29772.817,4373.183
2022-02-17 04:00:00,7525286.0,3600.0,100.0,126.0,34056.875,89.125
2022-03-07 18:00:00,7525286.0,3600.0,100.0,126.0,28486.539,5659.461
2022-03-14 20:00:00,7525286.0,3600.0,100.0,126.0,27346.756,6799.244
2022-02-12 09:00:00,7525286.0,3600.0,100.0,126.0,27890.078,6255.922
2022-03-01 05:00:00,7525286.0,3600.0,100.0,126.0,33964.978,181.022
2022-02-13 15:00:00,7525286.0,3600.0,100.0,126.0,29738.231,4407.769
2022-03-03 12:00:00,7525286.0,3600.0,100.0,126.0,29518.911,4627.089
2022-03-11 21:00:00,7525286.0,3600.0,100.0,126.0,25796.378,8349.622
2022-02-03 17:00:00,7525286.0,3600.0,100.0,126.0,29208.319,4937.681
2022-03-15 23:00:00,7525286.0,3600.0,100.0,126.0,32325.719,1820.281
2022-03-15 02:00:00,7525286.0,3600.0,100.0,126.0,34062.072,83.928
2022-03-01 08:00:00,7525286.0,3600.0,100.0,126.0,28432.631,5713.369
2022-02-05 16:00:00,7525286.0,3600.0,100.0,126.0,29545.333,4600.667
2022-03-14 19:00:00,7525286.0,3600.0,100.0,126.0,27119.122,7026.878
2022-02-12 13:00:00,7525286.0,3600.0,100.0,126.0,29686.308,4459.692
2022-02-12 22:00:00,7525286.0,3600.0,100.0,126.0,29398.256,4747.744
2022-03-13 11:00:00,7525286.0,3600.0,100.0,126.0,29957.636,4188.364
2022-02-04 23:00:00,7525286.0,3600.0,100.0,126.0,32313.447,1832.553
2022-02-12 08:00:00,7525286.0,3600.0,100.0,126.0,28471.422,5674.578
2022-02-03 01:00:00,7525286.0,3600.0,100.0,126.0,33976.775,169.225
2022-02-06 08:00:00,7525286.0,3600.0,100.0,126.0,29094.453,5051.547
2022-02-04 06:00:00,7525286.0,3600.0,100.0,126.0,33447.022,698.978
2022-03-06 11:00:00,7525286.0,3600.0,100.0,126.0,29908.753,4237.247
2022-02-06 07:00:00,7525286.0,3600.0,100.0,126.0,31242.569,2903.431
2022-03-02 08:00:00,7525286.0,3600.0,100.0,126.0,28480.481,5665.519
2022-02-03 09:00:00,7525286.0,3600.0,100.0,126.0,28334.078,5811.922
2022-03-15 05:00:00,7525286.0,3600.0,100.0,126.0,33955.697,190.303
2022-02-10 00:00:00,7525286.0,3600.0,100.0,126.0,33643.456,502.544
2022-02-11 17:00:00,7525286.0,3600.0,100.0,126.0,29245.669,4900.331
2022-03-15 15:00:00,7525286.0,3600.0,100.0,126.0,29857.422,4288.578
2022-03-06 07:00:00,7525286.0,3600.0,100.0,126.0,30773.997,3372.003
2022-02-17 18:00:00,7525286.0,3600.0,100.0,126.0,28716.869,5429.131
2022-03-06 17:00:00,7525286.0,3600.0,100.0,126.0,29589.078,4556.922
2022-02-11 00:00:00,7525286.0,3600.0,100.0,126.0,33592.372,553.628
2022-03-10 22:00:00,7525286.0,3600.0,100.0,126.0,29183.131,4962.869
2022-03-06 21:00:00,7525286.0,3600.0,100.0,126.0,25986.906,8159.094
2022-03-13 09:00:00,7525286.0,3600.0,100.0,126.0,28981.439,5164.561
2022-03-11 18:00:00,7525286.0,3600.0,100.0,126.0,28567.883,5578.117
2022-02-18 10:00:00,7525286.0,3600.0,100.0,126.0,28258.569,5887.431
2022-02-20 23:00:00,7525286.0,3600.0,100.0,126.0,32568.222,1577.778
2022-02-19 13:00:00,7525286.0,3600.0,100.0,126.0,29761.217,4384.783
2022-02-10 16:00:00,7525286.0,3600.0,100.0,126.0,29466.808,4679.192
2022-02-04 22:00:00,7525286.0,3600.0,100.0,126.0,29835.0,4311.0
2022-02-08 10:00:00,7525286.0,3600.0,100.0,126.0,28752.431,5393.569
2022-03-15 11:00:00,7525286.0,3600.0,100.0,126.0,29289.947,4856.053
2022-02-17 09:00:00,7525286.0,3600.0,100.0,126.0,28312.422,5833.578
2022-02-08 17:00:00,7525286.0,3600.0,100.0,126.0,29332.769,4813.231
2022-02-13 19:00:00,7525286.0,3600.0,100.0,126.0,26313.917,7832.083
2022-02-05 18:00:00,7525286.0,3600.0,100.0,126.0,28573.522,5572.478
2022-03-12 22:00:00,7525286.0,3600.0,100.0,126.0,29465.503,4680.497
2022-03-03 20:00:00,7525286.0,3600.0,100.0,126.0,24428.139,9717.861
2022-03-14 02:00:00,7525286.0,3600.0,100.0,126.0,34062.85,83.15
2022-02-10 04:00:00,7525286.0,3600.0,100.0,126.0,34067.981,78.019
2022-02-20 13:00:00,7525286.0,3600.0,100.0,126.0,29779.497,4366.503
2022-02-19 05:00:00,7525286.0,3600.0,100.0,126.0,33968.908,177.092
2022-02-03 04:00:00,7525286.0,3600.0,100.0,126.0,34073.217,72.783
2022-03-01 22:00:00,7525286.0,3600.0,100.0,126.0,29496.922,4649.078
2022-03-12 21:00:00,7525286.0,3600.0,100.0,126.0,26123.272,8022.728
2022-02-13 23:00:00,7525286.0,3600.0,100.0,126.0,32363.25,1782.75
2022-02-10 15:00:00,7525286.0,3600.0,100.0,126.0,29498.964,4647.036
2022-02-13 12:00:00,7525286.0,3600.0,100.0,126.0,29726.911,4419.089
2022-02-06 12:00:00,7525286.0,3600.0,100.0,126.0,29821.919,4324.081
