begintime,ne_name,sk_object,vendor,ne_type,aggregation,integrity,UL_IOT_PUSCH_DIST_BIN_3,RSSI_PUCCH_MAX,RSSI_PUCCH_MIN,RSSI_PUCCH_LEVEL_02,RSSI_PUCCH_LEVEL_03,RSSI_PUCCH_AVG,RSSI_PUSCH_MIN,RSSI_PUCCH_LEVEL_04,RSSI_PUSCH_MAX,RSSI_PUSCH_AVG,RSSI_PUCCH_LEVEL_01,RSSI_PUCCH_LEVEL_05,RSSI_PUCCH_LEVEL_14,RSSI_PUCCH_LEVEL_15,RSSI_PUCCH_LEVEL_06,RSSI_PUCCH_LEVEL_07,RSSI_PUCCH_LEVEL_16,RSSI_PUCCH_LEVEL_08,RSSI_PUCCH_LEVEL_09,RSSI_PUCCH_LEVEL_17,RSSI_PUCCH_LEVEL_10,RSSI_PUCCH_LEVEL_11,RSSI_PUCCH_LEVEL_12,RSSI_PUCCH_LEVEL_18,RSSI_PUCCH_LEVEL_13,RSSI_PUCCH_LEVEL_19,UE_PWR_HEADROOM_PUSCH_LEVEL10,RSSI_PUCCH_LEVEL_20,RSSI_PUCCH_LEVEL_21,RSSI_PUSCH_LEVEL_04,RSSI_PUSCH_LEVEL_05,RSSI_PUCCH_LEVEL_22,RSSI_PUSCH_LEVEL_06,RSSI_PUSCH_LEVEL_01,RSSI_PUSCH_LEVEL_07,RSSI_PUSCH_LEVEL_02,RSSI_PUSCH_LEVEL_03,RSSI_PUSCH_LEVEL_08,UE_PWR_HEADROOM_PUSCH_LEVEL11,RSSI_PUSCH_LEVEL_09,RSSI_PUSCH_LEVEL_16,RSSI_PUSCH_LEVEL_10,RSSI_PUSCH_LEVEL_17,RSSI_PUSCH_LEVEL_11,RSSI_PUSCH_LEVEL_12,RSSI_PUSCH_LEVEL_13,RSSI_PUSCH_LEVEL_18,RSSI_PUSCH_LEVEL_14,RSSI_PUSCH_LEVEL_15,RSSI_PUSCH_LEVEL_19,RSSI_PUSCH_LEVEL_20,RSSI_PUSCH_LEVEL_21,RSSI_PUSCH_LEVEL_22,UE_PWR_HEADROOM_PUSCH_LEVEL12,UE_PWR_HEADROOM_PUSCH_LEVEL13,UE_PWR_HEADROOM_PUSCH_LEVEL1,UE_PWR_HEADROOM_PUSCH_LEVEL2,UE_PWR_HEADROOM_PUSCH_LEVEL14,UE_PWR_HEADROOM_PUSCH_LEVEL3,UE_PWR_HEADROOM_PUSCH_LEVEL4,UE_PWR_HEADROOM_PUSCH_LEVEL5,UE_PWR_HEADROOM_PUSCH_LEVEL15,UE_PWR_HEADROOM_PUSCH_LEVEL6,UE_PWR_HEADROOM_PUSCH_LEVEL16,UE_PWR_HEADROOM_PUSCH_LEVEL7,UE_PWR_HEADROOM_PUSCH_LEVEL17,UE_PWR_HEADROOM_PUSCH_LEVEL18,UE_PWR_HEADROOM_PUSCH_LEVEL8,UE_PWR_HEADROOM_PUSCH_LEVEL9,UE_PWR_HEADROOM_PUSCH_MIN,UE_PWR_HEADROOM_PUSCH_LEVEL19,UE_PWR_HEADROOM_PUSCH_MAX,UE_PWR_HEADROOM_PUSCH_AVG,SINR_PUCCH_MIN,UE_PWR_HEADROOM_PUSCH_LEVEL20,UE_PWR_HEADROOM_PUSCH_LEVEL21,SINR_PUCCH_MAX,UE_PWR_HEADROOM_PUSCH_LEVEL22,SINR_PUCCH_AVG,UE_PWR_HEADROOM_PUSCH_LEVEL23,SINR_PUSCH_MIN,UE_PWR_HEADROOM_PUSCH_LEVEL24,UE_PWR_HEADROOM_PUSCH_LEVEL25,SINR_PUSCH_MAX,UE_PWR_HEADROOM_PUSCH_LEVEL26,SINR_PUSCH_AVG,SINR_PUCCH_LEVEL_1,UE_PWR_HEADROOM_PUSCH_LEVEL27,UE_PWR_HEADROOM_PUSCH_LEVEL28,SINR_PUCCH_LEVEL_2,UE_PWR_HEADROOM_PUSCH_LEVEL29,UE_PWR_HEADROOM_PUSCH_LEVEL30,SINR_PUCCH_LEVEL_3,SINR_PUCCH_LEVEL_4,UE_PWR_HEADROOM_PUSCH_LEVEL31,UE_PWR_HEADROOM_PUSCH_LEVEL32,SINR_PUCCH_LEVEL_5,SINR_PUCCH_LEVEL_6,SINR_PUCCH_LEVEL_8,SINR_PUCCH_LEVEL_7,SINR_PUCCH_LEVEL_9,SINR_PUCCH_LEVEL_22,SINR_PUSCH_LEVEL_1,SINR_PUSCH_LEVEL_2,SINR_PUCCH_LEVEL_10,SINR_PUCCH_LEVEL_11,SINR_PUSCH_LEVEL_3,SINR_PUSCH_LEVEL_4,SINR_PUSCH_LEVEL_5,SINR_PUSCH_LEVEL_6,SINR_PUCCH_LEVEL_12,SINR_PUCCH_LEVEL_13,SINR_PUCCH_LEVEL_14,SINR_PUSCH_LEVEL_7,SINR_PUSCH_LEVEL_8,SINR_PUSCH_LEVEL_9,SINR_PUSCH_LEVEL_10,SINR_PUCCH_LEVEL_15,SINR_PUSCH_LEVEL_11,SINR_PUCCH_LEVEL_16,SINR_PUCCH_LEVEL_17,SINR_PUSCH_LEVEL_12,SINR_PUSCH_LEVEL_13,SINR_PUSCH_LEVEL_14,SINR_PUCCH_LEVEL_18,SINR_PUSCH_LEVEL_15,SINR_PUCCH_LEVEL_19,SINR_PUSCH_LEVEL_16,SINR_PUSCH_LEVEL_17,SINR_PUCCH_LEVEL_20,SINR_PUCCH_LEVEL_21,SINR_PUSCH_LEVEL_18,SINR_PUSCH_LEVEL_19,RSSI_CELL_PUCCH_MEAN,SINR_PUSCH_LEVEL_20,RSSI_CELL_PUCCH_LEVEL_1,SINR_PUSCH_LEVEL_21,RSSI_CELL_PUCCH_LEVEL_2,SINR_PUSCH_LEVEL_22,RSSI_CELL_PUCCH_LEVEL_3,UL_AMC_UPGRADE,RSSI_CELL_PUCCH_LEVEL_4,UL_AMC_DOWNGRADE,RSSI_CELL_PUCCH_MIN,RSSI_CELL_PUCCH_MAX,RSSI_CELL_PUCCH_LEVEL_5,RSSI_CELL_PUCCH_LEVEL_6,RSSI_CELL_PUCCH_LEVEL_7,AVG_RTWP_RX_ANT_1,RSSI_CELL_PUCCH_LEVEL_9,RSSI_CELL_PUCCH_LEVEL_8,RSSI_CELL_PUCCH_LEVEL_10,AVG_RTWP_RX_ANT_2,RSSI_CELL_PUCCH_LEVEL_11,RSSI_CELL_PUCCH_LEVEL_18,RSSI_CELL_PUCCH_LEVEL_19,RSSI_CELL_PUCCH_LEVEL_20,RSSI_CELL_PUCCH_LEVEL_21,RSSI_CELL_PUCCH_LEVEL_22,RSSI_CELL_PUCCH_LEVEL_12,RSSI_CELL_PUSCH_MIN,RSSI_CELL_PUSCH_MAX,RSSI_CELL_PUCCH_LEVEL_13,RSSI_CELL_PUSCH_MEAN,AVG_RTWP_RX_ANT_3,RSSI_CELL_PUCCH_LEVEL_14,RSSI_CELL_PUCCH_LEVEL_15,RSSI_CELL_PUCCH_LEVEL_16,RSSI_CELL_PUSCH_LEVEL_1,RSSI_CELL_PUCCH_LEVEL_17,RSSI_CELL_PUSCH_LEVEL_2,RSSI_CELL_PUSCH_LEVEL_3,RSSI_CELL_PUSCH_LEVEL_8,RSSI_CELL_PUSCH_LEVEL_4,RSSI_CELL_PUSCH_LEVEL_9,RSSI_CELL_PUSCH_LEVEL_10,RSSI_CELL_PUSCH_LEVEL_5,RSSI_CELL_PUSCH_LEVEL_6,RSSI_CELL_PUSCH_LEVEL_7,AVG_RTWP_RX_ANT_4
2022-03-17,"MRBTS-5083,LNBTS-5083,LNCEL-1,MCC-619,MNC-05",561.0,Nokia,"4G : PLMN-MRBTS-LNBTS-LNCEL, MCC-MNC",dynamic,0.4166666666666667,,-97.0,-139.0,1099.0,3071.0,-111.0,-139.0,4307.0,-83.0,-109.0,4782.0,7673.0,0.0,0.0,17093.0,20462.0,0.0,10365.0,2839.0,0.0,534.0,830.0,76.0,0.0,470.0,0.0,674.0,0.0,0.0,674.0,1340.0,0.0,1773.0,6128.0,1901.0,110.0,336.0,2483.0,1398.0,3186.0,79.0,3173.0,3.0,3277.0,2953.0,2747.0,1.0,550.0,227.0,8.0,1.0,0.0,0.0,839.0,726.0,0.0,1.0,2234.0,13.0,45.0,77.0,224.0,106.0,15.0,106.0,5.0,124.0,231.0,693.0,3.0,23.0,42.0,22.0,-21.0,24.0,5.0,23.0,4.0,9.0,0.0,-24.0,0.0,0.0,36.0,0.0,11.0,1281.0,0.0,0.0,1629.0,0.0,0.0,730.0,111.0,0.0,0.0,713.0,657.0,3057.0,1663.0,4328.0,0.0,4412.0,828.0,8351.0,17727.0,390.0,287.0,175.0,56.0,19667.0,10028.0,2393.0,107.0,339.0,630.0,1187.0,328.0,1746.0,606.0,327.0,1830.0,2411.0,3136.0,5.0,3121.0,0.0,3457.0,2882.0,0.0,0.0,2864.0,773.0,-123.0,230.0,249202.0,75.0,14128.0,14.0,19439.0,2017.0,10205.0,200.0,-130.0,-104.0,4531.0,1065.0,653.0,,484.0,292.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-130.0,-94.0,0.0,-122.0,,0.0,0.0,0.0,277659.0,0.0,2198.0,2884.0,2118.0,3434.0,739.0,169.0,4313.0,3791.0,2593.0,
2022-03-17,"MRBTS-5090,LNBTS-5090,LNCEL-21,MCC-619,MNC-05",539.0,Nokia,"4G : PLMN-MRBTS-LNBTS-LNCEL, MCC-MNC",dynamic,0.4166666666666667,,-96.0,-139.0,161.0,42.0,-104.0,-139.0,75.0,-85.0,-109.0,709.0,159.0,0.0,0.0,431.0,747.0,0.0,6144.0,5448.0,0.0,5658.0,4590.0,2075.0,0.0,650.0,0.0,69.0,0.0,0.0,3431.0,1510.0,0.0,700.0,2261.0,763.0,282.0,13441.0,1552.0,37.0,1562.0,549.0,3395.0,251.0,7575.0,1787.0,1373.0,39.0,1252.0,646.0,4.0,0.0,0.0,0.0,531.0,198.0,0.0,1.0,1.0,656.0,207.0,117.0,13.0,46.0,1.0,487.0,0.0,0.0,1049.0,1370.0,3.0,0.0,63.0,14.0,-20.0,0.0,0.0,22.0,0.0,14.0,0.0,-25.0,0.0,0.0,31.0,0.0,10.0,311.0,0.0,0.0,259.0,0.0,0.0,124.0,5.0,0.0,1.0,21.0,119.0,71.0,113.0,141.0,0.0,1130.0,607.0,284.0,701.0,274.0,119.0,103.0,194.0,3922.0,7770.0,5471.0,9415.0,6590.0,2113.0,738.0,4774.0,831.0,2187.0,616.0,1228.0,1674.0,1149.0,0.0,9555.0,0.0,1791.0,1927.0,0.0,0.0,1178.0,990.0,-121.0,689.0,275394.0,77.0,335.0,1.0,739.0,820.0,4952.0,368.0,-130.0,-103.0,5255.0,5277.0,4409.0,,1104.0,2523.0,5.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-130.0,-98.0,0.0,-115.0,,0.0,0.0,0.0,264099.0,0.0,3108.0,15133.0,152.0,1353.0,228.0,7620.0,386.0,335.0,355.0,
2022-03-17,"MRBTS-5050,LNBTS-5050,LNCEL-21,MCC-619,MNC-05",564.0,Nokia,"4G : PLMN-MRBTS-LNBTS-LNCEL, MCC-MNC",dynamic,0.4166666666666667,,-81.0,-139.0,503.0,483.0,-109.0,-139.0,394.0,-78.0,-113.0,2636.0,502.0,603.0,410.0,1209.0,2567.0,0.0,1594.0,2521.0,0.0,1673.0,1251.0,547.0,2.0,719.0,0.0,47.0,0.0,2.0,895.0,804.0,0.0,630.0,9221.0,567.0,786.0,1000.0,820.0,75.0,703.0,799.0,484.0,496.0,589.0,1345.0,1759.0,390.0,1117.0,1185.0,66.0,20.0,3.0,1.0,31.0,7.0,94.0,94.0,20.0,165.0,26.0,31.0,48.0,25.0,68.0,27.0,8.0,9.0,38.0,30.0,1.0,6.0,37.0,13.0,-25.0,0.0,0.0,27.0,0.0,8.0,0.0,-26.0,0.0,0.0,35.0,0.0,6.0,686.0,0.0,0.0,1143.0,0.0,0.0,764.0,226.0,0.0,0.0,262.0,322.0,1035.0,684.0,1419.0,0.0,6193.0,1219.0,1378.0,1938.0,536.0,571.0,763.0,742.0,1408.0,2261.0,1805.0,880.0,1030.0,797.0,630.0,853.0,598.0,612.0,459.0,700.0,711.0,644.0,256.0,518.0,102.0,1020.0,1961.0,3.0,0.0,1269.0,1485.0,-123.0,717.0,288565.0,421.0,1310.0,275.0,2410.0,1413.0,1143.0,139.0,-130.0,-89.0,1746.0,1433.0,758.0,,729.0,781.0,648.0,,460.0,0.0,0.0,0.0,0.0,0.0,11.0,-130.0,-91.0,0.0,-120.0,,0.0,0.0,0.0,290253.0,2.0,738.0,616.0,1083.0,729.0,1224.0,805.0,552.0,1404.0,1260.0,
2022-03-19,"MRBTS-5079,LNBTS-5079,LNCEL-31,MCC-619,MNC-05",86756.0,Nokia,"4G : PLMN-MRBTS-LNBTS-LNCEL, MCC-MNC",dynamic,0.2777777777777778,,-97.0,-138.0,72.0,137.0,-111.0,-139.0,142.0,-94.0,-125.0,1142.0,217.0,0.0,0.0,160.0,259.0,0.0,564.0,801.0,0.0,585.0,612.0,164.0,0.0,1.0,0.0,12.0,0.0,0.0,112.0,171.0,0.0,178.0,3957.0,95.0,102.0,230.0,90.0,9.0,31.0,0.0,32.0,0.0,28.0,10.0,3.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,10.0,1.0,6.0,1.0,0.0,12.0,8.0,8.0,0.0,13.0,0.0,5.0,0.0,0.0,13.0,13.0,1.0,0.0,24.0,13.0,-22.0,0.0,0.0,21.0,0.0,7.0,0.0,-21.0,0.0,0.0,25.0,0.0,-6.0,293.0,0.0,0.0,520.0,0.0,0.0,254.0,79.0,0.0,0.0,158.0,83.0,162.0,143.0,184.0,0.0,2198.0,1026.0,183.0,313.0,354.0,201.0,156.0,90.0,423.0,542.0,700.0,175.0,178.0,132.0,198.0,556.0,116.0,261.0,2.0,75.0,60.0,33.0,0.0,26.0,0.0,15.0,7.0,0.0,0.0,1.0,1.0,-130.0,0.0,215696.0,0.0,161.0,0.0,361.0,37.0,517.0,34.0,-130.0,-105.0,729.0,735.0,574.0,,1.0,223.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-130.0,-107.0,0.0,-130.0,,0.0,0.0,0.0,218478.0,0.0,130.0,60.0,6.0,115.0,0.0,0.0,173.0,21.0,14.0,
2022-03-19,"MRBTS-5079,LNBTS-5079,LNCEL-21,MCC-619,MNC-05",86754.0,Nokia,"4G : PLMN-MRBTS-LNBTS-LNCEL, MCC-MNC",dynamic,0.2777777777777778,,-92.0,-137.0,248.0,369.0,-110.0,-139.0,2477.0,-91.0,-125.0,1222.0,2693.0,62.0,5.0,2767.0,1264.0,0.0,1529.0,1459.0,0.0,1346.0,870.0,660.0,0.0,135.0,0.0,23.0,0.0,0.0,42.0,33.0,0.0,91.0,12396.0,210.0,49.0,71.0,357.0,156.0,514.0,2.0,503.0,0.0,640.0,473.0,268.0,0.0,124.0,29.0,0.0,0.0,0.0,0.0,92.0,383.0,4.0,0.0,226.0,0.0,1.0,0.0,66.0,67.0,6.0,56.0,2.0,0.0,7.0,25.0,7.0,0.0,32.0,23.0,-18.0,0.0,0.0,21.0,0.0,6.0,0.0,-21.0,0.0,0.0,27.0,0.0,-6.0,228.0,0.0,0.0,321.0,0.0,0.0,181.0,153.0,0.0,0.0,641.0,648.0,2685.0,1007.0,3679.0,0.0,10695.0,1172.0,3196.0,1845.0,245.0,121.0,142.0,57.0,996.0,723.0,467.0,58.0,60.0,36.0,73.0,249.0,173.0,61.0,26.0,297.0,432.0,583.0,0.0,582.0,0.0,519.0,372.0,0.0,0.0,148.0,32.0,-125.0,5.0,209594.0,0.0,2785.0,0.0,1490.0,174.0,1213.0,34.0,-130.0,-100.0,1193.0,1116.0,718.0,,178.0,640.0,57.0,,11.0,0.0,0.0,0.0,0.0,0.0,0.0,-130.0,-101.0,0.0,-130.0,,0.0,0.0,0.0,216003.0,0.0,176.0,332.0,346.0,333.0,103.0,18.0,472.0,723.0,488.0,
2022-03-19,"MRBTS-5079,LNBTS-5079,LNCEL-11,MCC-619,MNC-05",86752.0,Nokia,"4G : PLMN-MRBTS-LNBTS-LNCEL, MCC-MNC",dynamic,0.2777777777777778,,-90.0,-138.0,199.0,345.0,-106.0,-139.0,611.0,-82.0,-113.0,1413.0,959.0,302.0,38.0,1403.0,2402.0,6.0,3238.0,3126.0,0.0,3002.0,3042.0,1884.0,0.0,862.0,0.0,509.0,0.0,0.0,406.0,285.0,0.0,380.0,3687.0,418.0,1379.0,950.0,564.0,243.0,685.0,248.0,787.0,37.0,830.0,575.0,321.0,1.0,191.0,119.0,2.0,5.0,0.0,0.0,158.0,270.0,4.0,6.0,22.0,7.0,33.0,35.0,54.0,27.0,6.0,95.0,0.0,0.0,861.0,870.0,3.0,0.0,31.0,17.0,-24.0,0.0,0.0,26.0,0.0,9.0,0.0,-27.0,0.0,0.0,34.0,0.0,6.0,902.0,0.0,0.0,870.0,0.0,0.0,423.0,515.0,0.0,0.0,675.0,647.0,1045.0,683.0,1028.0,0.0,1209.0,241.0,1347.0,2167.0,235.0,504.0,1169.0,1409.0,2708.0,2954.0,2771.0,983.0,622.0,276.0,366.0,2097.0,442.0,1395.0,478.0,499.0,637.0,815.0,113.0,765.0,14.0,648.0,409.0,0.0,0.0,212.0,128.0,-120.0,236.0,201477.0,61.0,1172.0,4.0,730.0,238.0,1718.0,92.0,-130.0,-98.0,2746.0,3527.0,3309.0,,1242.0,2603.0,398.0,,61.0,0.0,0.0,0.0,0.0,0.0,10.0,-130.0,-94.0,0.0,-125.0,,0.0,0.0,0.0,213758.0,0.0,461.0,733.0,244.0,837.0,103.0,103.0,1078.0,973.0,480.0,
2022-03-17,"MRBTS-5084,LNBTS-5084,LNCEL-11,MCC-619,MNC-05",570.0,Nokia,"4G : PLMN-MRBTS-LNBTS-LNCEL, MCC-MNC",dynamic,0.4166666666666667,,-91.0,-139.0,279.0,10.0,-106.0,-139.0,243.0,-78.0,-101.0,618.0,781.0,225.0,472.0,710.0,754.0,5.0,3039.0,3654.0,0.0,2743.0,1398.0,593.0,0.0,201.0,0.0,28.0,0.0,0.0,98.0,82.0,0.0,44.0,1399.0,21.0,63.0,95.0,35.0,15.0,81.0,695.0,191.0,605.0,503.0,978.0,667.0,408.0,771.0,1003.0,71.0,13.0,4.0,3.0,33.0,13.0,8.0,0.0,21.0,1.0,48.0,3.0,243.0,1.0,320.0,7.0,37.0,35.0,9.0,70.0,4.0,108.0,39.0,28.0,-20.0,3.0,0.0,24.0,0.0,12.0,0.0,-21.0,0.0,0.0,36.0,0.0,17.0,162.0,0.0,0.0,280.0,0.0,0.0,155.0,0.0,0.0,0.0,9.0,149.0,74.0,153.0,611.0,0.0,708.0,244.0,897.0,869.0,177.0,121.0,109.0,70.0,3324.0,2932.0,3458.0,68.0,137.0,65.0,60.0,1428.0,29.0,565.0,284.0,27.0,61.0,127.0,375.0,338.0,0.0,882.0,875.0,0.0,0.0,761.0,958.0,-123.0,927.0,286617.0,624.0,678.0,462.0,820.0,911.0,2774.0,27.0,-130.0,-99.0,2814.0,3068.0,1618.0,,393.0,507.0,227.0,,438.0,0.0,0.0,0.0,0.0,0.0,43.0,-130.0,-88.0,0.0,-119.0,,0.0,0.0,0.0,293966.0,0.0,72.0,53.0,710.0,131.0,840.0,643.0,370.0,785.0,907.0,
2022-03-12,"MRBTS-5084,LNBTS-5084,LNCEL-11,MCC-619,MNC-05",570.0,Nokia,"4G : PLMN-MRBTS-LNBTS-LNCEL, MCC-MNC",dynamic,0.3472222222222222,,-93.0,-137.0,672.0,584.0,-111.0,-139.0,28.0,-80.0,-125.0,1116.0,61.0,9.0,1.0,146.0,1111.0,0.0,1448.0,1355.0,0.0,600.0,33.0,18.0,0.0,11.0,0.0,10.0,0.0,0.0,202.0,232.0,0.0,171.0,41203.0,50.0,140.0,132.0,66.0,51.0,27.0,46.0,104.0,33.0,316.0,360.0,118.0,14.0,93.0,60.0,0.0,2.0,1.0,0.0,25.0,67.0,1707.0,59.0,7.0,59.0,184.0,1.0,21.0,6.0,2.0,0.0,2.0,2.0,3.0,1.0,1.0,3.0,42.0,5.0,-18.0,4.0,5.0,23.0,1.0,8.0,0.0,-21.0,0.0,0.0,34.0,0.0,-6.0,96.0,0.0,0.0,145.0,0.0,0.0,83.0,58.0,0.0,0.0,459.0,664.0,169.0,716.0,69.0,0.0,6280.0,9599.0,166.0,941.0,13175.0,10246.0,1789.0,204.0,939.0,1825.0,804.0,99.0,226.0,198.0,205.0,27.0,88.0,25.0,6.0,67.0,30.0,77.0,1.0,229.0,0.0,383.0,181.0,0.0,0.0,125.0,67.0,-130.0,49.0,828389.0,35.0,147.0,18.0,1052.0,240.0,1175.0,21.0,-130.0,-101.0,1432.0,858.0,36.0,,12.0,17.0,11.0,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-130.0,-93.0,0.0,-130.0,,0.0,0.0,0.0,831635.0,0.0,219.0,72.0,100.0,28.0,70.0,57.0,166.0,452.0,242.0,
2022-03-19,"MRBTS-5200,LNBTS-5200,LNCEL-21,MCC-619,MNC-05",569.0,Nokia,"4G : PLMN-MRBTS-LNBTS-LNCEL, MCC-MNC",dynamic,1.1111111111111112,,-74.0,-139.0,5292.0,10896.0,-106.0,-139.0,19712.0,-74.0,-109.5,32238.0,38395.0,24685.0,6743.0,73911.0,83016.0,2286.0,101738.0,106290.0,955.0,84770.0,74459.0,55083.0,265.0,37637.0,105.0,5908.0,23.0,4.0,18222.0,15034.0,10.0,11849.0,91185.0,9106.0,36928.0,28373.0,10844.0,5421.0,13281.0,13034.0,14463.0,9946.0,19655.0,18814.0,17312.0,5638.0,20619.0,20250.0,2406.0,896.0,275.0,88.0,8420.0,7322.0,5761.0,1846.0,5140.0,2838.0,2397.0,4555.0,4329.0,6484.0,3514.0,5866.0,3385.0,2637.0,3684.0,4365.0,1.0,1719.0,63.0,19.0,-30.0,881.0,611.0,32.0,470.0,10.0,207.0,-40.0,100.0,31.0,38.0,4.0,8.0,14688.0,0.0,0.0,14760.0,0.0,0.0,8563.0,5952.0,0.0,624.0,9682.0,12898.0,36652.0,22144.0,48431.0,14.0,28492.0,10358.0,76427.0,96137.0,12065.0,16723.0,26755.0,33134.0,94547.0,100684.0,85436.0,30172.0,21753.0,14067.0,12152.0,52823.0,10944.0,41069.0,28051.0,10087.0,12730.0,15763.0,7806.0,17336.0,1424.0,18628.0,20053.0,276.0,49.0,19267.0,20986.0,-110.0,15103.0,441540.0,7322.0,36381.0,4328.0,51381.0,16599.0,56624.0,3054.0,-130.0,-83.0,63038.0,64254.0,53086.0,,44303.0,50898.0,26565.0,,9403.0,0.0,3.0,3.0,0.0,0.0,3046.0,-130.0,-82.0,967.0,-108.5,,349.0,131.0,22.0,732833.0,9.0,9854.0,11115.0,16939.0,11029.0,19208.0,16950.0,13834.0,17131.0,14252.0,
2022-03-15,"MRBTS-5200,LNBTS-5200,LNCEL-21,MCC-619,MNC-05",569.0,Nokia,"4G : PLMN-MRBTS-LNBTS-LNCEL, MCC-MNC",dynamic,0.1388888888888889,,-88.0,-139.0,315.0,623.0,-105.0,-139.0,775.0,-79.0,-120.0,2308.0,1045.0,1100.0,410.0,1522.0,2551.0,50.0,4918.0,6011.0,18.0,5313.0,6181.0,4606.0,0.0,2341.0,0.0,205.0,0.0,0.0,1248.0,841.0,0.0,756.0,50380.0,519.0,1569.0,1870.0,372.0,461.0,484.0,1142.0,566.0,771.0,781.0,1150.0,1339.0,346.0,1801.0,2043.0,103.0,15.0,5.0,2.0,556.0,537.0,2503.0,105.0,664.0,95.0,119.0,130.0,320.0,190.0,154.0,64.0,54.0,43.0,69.0,144.0,1.0,34.0,45.0,13.0,-21.0,3.0,0.0,30.0,1.0,13.0,2.0,-31.0,0.0,0.0,35.0,0.0,-1.0,1048.0,0.0,0.0,833.0,0.0,0.0,425.0,16.0,0.0,0.0,49.0,220.0,879.0,525.0,988.0,0.0,11094.0,8902.0,1677.0,2784.0,11761.0,12586.0,5431.0,1500.0,5091.0,6094.0,7856.0,1807.0,1626.0,852.0,847.0,5988.0,599.0,3832.0,1377.0,404.0,423.0,576.0,283.0,686.0,102.0,970.0,1512.0,15.0,5.0,1715.0,2211.0,-114.0,1547.0,73336.0,652.0,1173.0,402.0,1945.0,1236.0,3232.0,179.0,-130.0,-96.0,3909.0,4713.0,4962.0,,3037.0,4745.0,1195.0,,559.0,0.0,0.0,0.0,0.0,0.0,82.0,-130.0,-85.0,9.0,-111.0,,0.0,0.0,0.0,91617.0,0.0,666.0,464.0,1490.0,390.0,1685.0,1494.0,514.0,805.0,1030.0,
