begintime,sk_object,1282423593,1282423595,1282423596,duration
2022-03-01 00:00:00,7525286.0,126.0,33649.128,496.872,PT3600S
2022-03-01 01:00:00,7525286.0,126.0,33991.439,154.561,PT3600S
2022-03-01 02:00:00,7525286.0,126.0,34065.803,80.197,PT3600S
2022-03-01 03:00:00,7525286.0,126.0,34077.528,68.472,PT3600S
2022-03-01 04:00:00,7525286.0,126.0,34070.6,75.4,PT3600S
2022-03-01 05:00:00,7525286.0,126.0,33964.978,181.022,PT3600S
2022-03-01 06:00:00,7525286.0,126.0,33302.381,843.619,PT3600S
2022-03-01 07:00:00,7525286.0,126.0,30384.781,3761.219,PT3600S
2022-03-01 08:00:00,7525286.0,126.0,28432.631,5713.369,PT3600S
2022-03-01 09:00:00,7525286.0,126.0,28225.806,5920.194,PT3600S
2022-03-01 10:00:00,7525286.0,126.0,28659.692,5486.308,PT3600S
2022-03-01 11:00:00,7525286.0,126.0,29162.542,4983.458,PT3600S
2022-03-01 12:00:00,7525286.0,126.0,29572.697,4573.303,PT3600S
2022-03-01 13:00:00,7525286.0,126.0,29909.711,4236.289,PT3600S
2022-03-01 14:00:00,7525286.0,126.0,29672.636,4473.364,PT3600S
2022-03-01 15:00:00,7525286.0,126.0,29658.989,4487.011,PT3600S
2022-03-01 16:00:00,7525286.0,126.0,29848.086,4297.914,PT3600S
2022-03-01 17:00:00,7525286.0,126.0,29529.917,4616.083,PT3600S
2022-03-01 18:00:00,7525286.0,126.0,28848.706,5297.294,PT3600S
2022-03-01 19:00:00,7525286.0,126.0,26559.314,7586.686,PT3600S
2022-03-01 20:00:00,7525286.0,126.0,24549.183,9596.817,PT3600S
2022-03-01 21:00:00,7525286.0,126.0,25902.878,8243.122,PT3600S
2022-03-01 22:00:00,7525286.0,126.0,29496.922,4649.078,PT3600S
2022-03-01 23:00:00,7525286.0,126.0,32412.936,1733.064,PT3600S
2022-03-02 00:00:00,7525286.0,126.0,33646.897,499.103,PT3600S
2022-03-02 01:00:00,7525286.0,126.0,33970.325,175.675,PT3600S
2022-03-02 02:00:00,7525286.0,126.0,34055.522,90.478,PT3600S
2022-03-02 03:00:00,7525286.0,126.0,34068.764,77.236,PT3600S
2022-03-02 04:00:00,7525286.0,126.0,34072.333,73.667,PT3600S
2022-03-02 05:00:00,7525286.0,126.0,33964.278,181.722,PT3600S
2022-03-02 06:00:00,7525286.0,126.0,33309.694,836.306,PT3600S
2022-03-02 07:00:00,7525286.0,126.0,30352.089,3793.911,PT3600S
2022-03-02 08:00:00,7525286.0,126.0,28480.481,5665.519,PT3600S
2022-03-02 09:00:00,7525286.0,126.0,28369.733,5776.267,PT3600S
2022-03-02 10:00:00,7525286.0,126.0,28720.418,5425.582,PT3600S
2022-03-02 11:00:00,7525286.0,126.0,29215.681,4930.319,PT3600S
2022-03-02 13:00:00,7525286.0,126.0,29848.614,4297.386,PT3600S
2022-03-02 14:00:00,7525286.0,126.0,29771.856,4374.144,PT3600S
2022-03-02 15:00:00,7525286.0,126.0,29698.261,4447.739,PT3600S
2022-03-02 20:00:00,7525286.0,126.0,24985.15,9160.85,PT3600S
2022-03-03 01:00:00,7525286.0,126.0,33979.586,166.414,PT3600S
2022-03-03 02:00:00,7525286.0,126.0,34052.364,93.636,PT3600S
2022-03-03 03:00:00,7525286.0,126.0,34071.586,74.414,PT3600S
2022-03-02 12:00:00,7525286.0,126.0,29513.094,4632.906,PT3600S
2022-03-02 16:00:00,7525286.0,126.0,29639.094,4506.906,PT3600S
2022-03-02 17:00:00,7525286.0,126.0,29336.239,4809.761,PT3600S
2022-03-02 18:00:00,7525286.0,126.0,28591.828,5554.172,PT3600S
2022-03-02 19:00:00,7525286.0,126.0,26521.842,7624.158,PT3600S
2022-03-02 21:00:00,7525286.0,126.0,26619.017,7526.983,PT3600S
2022-03-02 22:00:00,7525286.0,126.0,30121.114,4024.886,PT3600S
2022-03-02 23:00:00,7525286.0,126.0,32736.919,1409.081,PT3600S
2022-03-03 00:00:00,7525286.0,126.0,33741.467,404.533,PT3600S
2022-03-03 04:00:00,7525286.0,126.0,34061.811,84.189,PT3600S
2022-03-03 05:00:00,7525286.0,126.0,33951.239,194.761,PT3600S
2022-03-03 06:00:00,7525286.0,126.0,33240.483,905.517,PT3600S
2022-03-03 07:00:00,7525286.0,126.0,30172.225,3973.775,PT3600S
2022-03-03 08:00:00,7525286.0,126.0,28215.031,5930.969,PT3600S
2022-03-03 09:00:00,7525286.0,126.0,28108.736,6037.264,PT3600S
2022-03-03 10:00:00,7525286.0,126.0,28640.983,5505.017,PT3600S
2022-03-03 11:00:00,7525286.0,126.0,29075.75,5070.25,PT3600S
2022-03-03 12:00:00,7525286.0,126.0,29518.911,4627.089,PT3600S
2022-03-03 13:00:00,7525286.0,126.0,29846.519,4299.481,PT3600S
2022-03-03 14:00:00,7525286.0,126.0,29694.047,4451.953,PT3600S
2022-03-03 15:00:00,7525286.0,126.0,29709.453,4436.547,PT3600S
2022-03-03 16:00:00,7525286.0,126.0,29630.372,4515.628,PT3600S
2022-03-03 17:00:00,7525286.0,126.0,29393.5,4752.5,PT3600S
2022-03-03 18:00:00,7525286.0,126.0,28571.111,5574.889,PT3600S
2022-03-03 19:00:00,7525286.0,126.0,26319.7,7826.3,PT3600S
2022-03-03 20:00:00,7525286.0,126.0,24428.139,9717.861,PT3600S
2022-03-03 21:00:00,7525286.0,126.0,25991.469,8154.531,PT3600S
2022-03-03 22:00:00,7525286.0,126.0,29508.833,4637.167,PT3600S
2022-03-03 23:00:00,7525286.0,126.0,32326.131,1819.869,PT3600S
2022-03-06 02:00:00,7525286.0,126.0,33983.347,162.653,PT3600S
2022-03-06 03:00:00,7525286.0,126.0,34026.456,119.544,PT3600S
2022-03-06 04:00:00,7525286.0,126.0,34043.786,102.214,PT3600S
2022-03-06 05:00:00,7525286.0,126.0,33963.967,182.033,PT3600S
2022-03-06 06:00:00,7525286.0,126.0,33390.603,755.397,PT3600S
2022-03-06 07:00:00,7525286.0,126.0,30773.997,3372.003,PT3600S
2022-03-06 08:00:00,7525286.0,126.0,28983.128,5162.872,PT3600S
2022-03-06 09:00:00,7525286.0,126.0,28886.839,5259.161,PT3600S
2022-03-06 10:00:00,7525286.0,126.0,29505.492,4640.508,PT3600S
2022-03-06 11:00:00,7525286.0,126.0,29908.753,4237.247,PT3600S
2022-03-06 12:00:00,7525286.0,126.0,29905.192,4240.808,PT3600S
2022-03-06 13:00:00,7525286.0,126.0,29871.4,4274.6,PT3600S
2022-03-06 14:00:00,7525286.0,126.0,29848.022,4297.978,PT3600S
2022-03-06 15:00:00,7525286.0,126.0,29938.358,4207.642,PT3600S
2022-03-06 16:00:00,7525286.0,126.0,29877.075,4268.925,PT3600S
2022-03-06 17:00:00,7525286.0,126.0,29589.078,4556.922,PT3600S
2022-03-06 18:00:00,7525286.0,126.0,28704.297,5441.703,PT3600S
2022-03-06 19:00:00,7525286.0,126.0,26479.042,7666.958,PT3600S
2022-03-06 20:00:00,7525286.0,126.0,24548.033,9597.967,PT3600S
2022-03-06 21:00:00,7525286.0,126.0,25986.906,8159.094,PT3600S
2022-03-06 22:00:00,7525286.0,126.0,29503.242,4642.758,PT3600S
2022-03-06 23:00:00,7525286.0,126.0,32394.369,1751.631,PT3600S
2022-03-07 00:00:00,7525286.0,126.0,33634.125,511.875,PT3600S
2022-03-07 01:00:00,7525286.0,126.0,33955.864,190.136,PT3600S
2022-03-07 02:00:00,7525286.0,126.0,34045.153,100.847,PT3600S
2022-03-07 03:00:00,7525286.0,126.0,34078.072,67.928,PT3600S
2022-03-07 04:00:00,7525286.0,126.0,34065.606,80.394,PT3600S
2022-03-07 05:00:00,7525286.0,126.0,33957.894,188.106,PT3600S
2022-03-07 06:00:00,7525286.0,126.0,33269.283,876.717,PT3600S
2022-03-07 07:00:00,7525286.0,126.0,30445.021,3700.979,PT3600S
2022-03-07 08:00:00,7525286.0,126.0,28560.511,5585.489,PT3600S
2022-03-07 09:00:00,7525286.0,126.0,28358.797,5787.203,PT3600S
2022-03-07 10:00:00,7525286.0,126.0,28731.558,5414.442,PT3600S
2022-03-07 11:00:00,7525286.0,126.0,29120.575,5025.425,PT3600S
2022-03-07 12:00:00,7525286.0,126.0,29492.111,4653.889,PT3600S
2022-03-07 13:00:00,7525286.0,126.0,29795.078,4350.922,PT3600S
2022-03-07 14:00:00,7525286.0,126.0,29579.431,4566.569,PT3600S
2022-03-07 15:00:00,7525286.0,126.0,29545.908,4600.092,PT3600S
2022-03-07 16:00:00,7525286.0,126.0,29441.225,4704.775,PT3600S
2022-03-07 17:00:00,7525286.0,126.0,29204.944,4941.056,PT3600S
2022-03-07 18:00:00,7525286.0,126.0,28486.539,5659.461,PT3600S
2022-03-07 19:00:00,7525286.0,126.0,26110.861,8035.139,PT3600S
2022-03-07 20:00:00,7525286.0,126.0,24027.489,10118.511,PT3600S
2022-03-07 21:00:00,7525286.0,126.0,25454.45,8691.55,PT3600S
2022-03-07 22:00:00,7525286.0,126.0,29230.908,4915.092,PT3600S
2022-03-07 23:00:00,7525286.0,126.0,32275.708,1870.292,PT3600S
2022-03-09 23:00:00,7525286.0,126.0,32207.428,1938.572,PT3600S
2022-03-10 00:00:00,7525286.0,126.0,33543.286,602.714,PT3600S
2022-03-10 01:00:00,7525286.0,126.0,33945.503,200.497,PT3600S
2022-03-10 03:00:00,7525286.0,126.0,34071.497,74.503,PT3600S
2022-03-10 04:00:00,7525286.0,126.0,34062.028,83.972,PT3600S
2022-03-10 05:00:00,7525286.0,126.0,33967.439,178.561,PT3600S
2022-03-10 06:00:00,7525286.0,126.0,33241.825,904.175,PT3600S
2022-03-10 07:00:00,7525286.0,126.0,30295.589,3850.411,PT3600S
2022-03-10 08:00:00,7525286.0,126.0,28444.397,5701.603,PT3600S
2022-03-10 09:00:00,7525286.0,126.0,28226.975,5919.025,PT3600S
2022-03-10 10:00:00,7525286.0,126.0,28702.189,5443.811,PT3600S
2022-03-10 11:00:00,7525286.0,126.0,29121.106,5024.894,PT3600S
2022-03-10 12:00:00,7525286.0,126.0,29627.161,4518.839,PT3600S
2022-03-10 13:00:00,7525286.0,126.0,30166.628,3979.372,PT3600S
