begintime,sk_object,67194787,67194788,67194793,67194794,67194795,67194796,67196162,73442016,73442017,duration
2022-03-01 00:00:00,7526020.0,535.0,535.0,535.0,535.0,2072.0,2072.0,0.0,,,PT3600S
2022-03-01 00:00:00,7526021.0,229.0,229.0,229.0,229.0,928.0,928.0,0.0,,,PT3600S
2022-03-01 00:00:00,7526022.0,54.0,54.0,54.0,54.0,253.0,253.0,0.0,,,PT3600S
2022-03-01 00:00:00,7526023.0,188.0,188.0,188.0,188.0,679.0,679.0,0.0,,,PT3600S
2022-03-01 00:00:00,7526024.0,7.0,7.0,7.0,7.0,4.0,4.0,0.0,,,PT3600S
2022-03-01 00:00:00,7526025.0,556.0,556.0,556.0,556.0,2637.0,2637.0,0.0,,,PT3600S
2022-03-01 00:00:00,7526026.0,372.0,372.0,372.0,372.0,1775.0,1775.0,0.0,,,PT3600S
2022-03-01 00:00:00,7526027.0,41.0,41.0,41.0,41.0,415.0,415.0,0.0,,,PT3600S
2022-03-01 00:00:00,7526028.0,277.0,277.0,277.0,277.0,587.0,587.0,0.0,,,PT3600S
2022-03-01 00:00:00,7526029.0,1356.0,1356.0,1356.0,1356.0,2433.0,2433.0,0.0,,,PT3600S
2022-03-01 00:00:00,7526030.0,401.0,401.0,401.0,401.0,1709.0,1709.0,0.0,,,PT3600S
2022-03-01 00:00:00,7526031.0,154.0,154.0,154.0,154.0,374.0,374.0,0.0,,,PT3600S
2022-03-01 00:00:00,7526032.0,83.0,83.0,83.0,83.0,940.0,940.0,0.0,,,PT3600S
2022-03-01 00:00:00,7526033.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,PT3600S
2022-03-01 00:00:00,7526034.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,PT3600S
2022-03-01 00:00:00,7526035.0,532.0,532.0,532.0,532.0,1571.0,1571.0,0.0,,,PT3600S
2022-03-01 00:00:00,7526036.0,149.0,149.0,149.0,149.0,950.0,950.0,0.0,,,PT3600S
2022-03-01 00:00:00,7526037.0,183.0,183.0,183.0,183.0,658.0,658.0,0.0,,,PT3600S
2022-03-01 00:00:00,7526038.0,49.0,49.0,49.0,49.0,560.0,560.0,0.0,,,PT3600S
2022-03-01 00:00:00,7526039.0,63.0,63.0,63.0,63.0,142.0,142.0,0.0,,,PT3600S
2022-03-01 00:00:00,7526040.0,21.0,21.0,21.0,21.0,483.0,483.0,0.0,,,PT3600S
2022-03-01 00:00:00,7526041.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,PT3600S
2022-03-01 00:00:00,7526042.0,487.0,487.0,487.0,487.0,1505.0,1505.0,0.0,,,PT3600S
2022-03-01 00:00:00,7526043.0,295.0,295.0,295.0,295.0,904.0,904.0,0.0,,,PT3600S
2022-03-01 00:00:00,7526044.0,304.0,304.0,304.0,304.0,1198.0,1198.0,0.0,,,PT3600S
2022-03-01 00:00:00,7526045.0,29.0,29.0,29.0,29.0,235.0,235.0,0.0,,,PT3600S
2022-03-01 00:00:00,7526046.0,791.0,617.0,791.0,617.0,20769.0,4694.0,174.0,,,PT3600S
2022-03-01 00:00:00,7526047.0,653.0,653.0,653.0,653.0,2288.0,2288.0,0.0,,,PT3600S
2022-03-01 00:00:00,7526048.0,647.0,647.0,647.0,647.0,1742.0,1742.0,0.0,,,PT3600S
2022-03-01 00:00:00,7526049.0,57.0,57.0,57.0,57.0,416.0,416.0,0.0,,,PT3600S
2022-03-01 00:00:00,7526050.0,427.0,427.0,427.0,427.0,1390.0,1390.0,0.0,,,PT3600S
2022-03-01 00:00:00,7526051.0,768.0,768.0,768.0,768.0,2160.0,2160.0,0.0,,,PT3600S
2022-03-01 00:00:00,7526052.0,195.0,195.0,195.0,195.0,983.0,983.0,0.0,,,PT3600S
2022-03-01 00:00:00,7526053.0,126.0,126.0,126.0,126.0,1205.0,1205.0,0.0,,,PT3600S
2022-03-01 00:00:00,7526054.0,40.0,40.0,40.0,40.0,751.0,751.0,0.0,,,PT3600S
2022-03-01 00:00:00,7526055.0,172.0,172.0,172.0,172.0,1040.0,1040.0,0.0,,,PT3600S
2022-03-01 00:00:00,7526056.0,60.0,60.0,60.0,60.0,350.0,350.0,0.0,,,PT3600S
2022-03-01 00:00:00,7526057.0,126.0,126.0,126.0,126.0,825.0,825.0,0.0,,,PT3600S
2022-03-01 00:00:00,7526058.0,329.0,329.0,329.0,329.0,1502.0,1502.0,0.0,,,PT3600S
2022-03-01 00:00:00,7526059.0,7.0,7.0,7.0,7.0,37.0,37.0,0.0,,,PT3600S
2022-03-01 00:00:00,7526060.0,995.0,994.0,995.0,994.0,1435.0,1374.0,1.0,,,PT3600S
