begintime,ne_name,sk_object,vendor,ne_type,aggregation,integrity,L.Thrp.bits.DL,hourly_huawei_enodeb_1526726657_rule_1,busy_hour_aggregation
2022-02-06 00:00:00,"4G_ALLENTOWN_II/Cell:eNodeB Function Name=4G_ALLENTOWN_II,Local Cell ID=3,Cell Name=4G_ALLENTOWN_II-3,eNodeB ID=5034,Cell FDD TDD indication=CELL_FDD",809081.0,Huawei,eNodeB(4G) : Measurement of Cell Performance,dynamic,100.0,40408159328.0,1,"MAX(""1526728261"") as ""rule_1"""
2022-02-06 16:00:00,"4G_SWISS_RELIEF/Cell:eNodeB Function Name=4G_SWISS_RELIEF,Local Cell ID=1,Cell Name=4G_SWISS_RELIEF-1,eNodeB ID=5068,Cell FDD TDD indication=CELL_FDD",808892.0,Huawei,eNodeB(4G) : Measurement of Cell Performance,dynamic,100.0,57274740968.0,1,"MAX(""1526728261"") as ""rule_1"""
2022-02-06 22:00:00,"4G_PORTLOKO_II/Cell:eNodeB Function Name=4G_PORTLOKO_II,Local Cell ID=1,Cell Name=4G_PORTLOKO_II-1,eNodeB ID=5049,Cell FDD TDD indication=CELL_FDD",808888.0,Huawei,eNodeB(4G) : Measurement of Cell Performance,dynamic,100.0,21323519144.0,1,"MAX(""1526728261"") as ""rule_1"""
2022-02-06 23:00:00,"4G_HILLSTATION/Cell:eNodeB Function Name=4G_HILLSTATION,Local Cell ID=1,Cell Name=4G_HILLSTATION-1,eNodeB ID=5064,Cell FDD TDD indication=CELL_FDD",808757.0,Huawei,eNodeB(4G) : Measurement of Cell Performance,dynamic,100.0,56234880616.0,1,"MAX(""1526728261"") as ""rule_1"""
2022-02-08 11:00:00,"4G_HILLSTATION/Cell:eNodeB Function Name=4G_HILLSTATION,Local Cell ID=1,Cell Name=4G_HILLSTATION-1,eNodeB ID=5064,Cell FDD TDD indication=CELL_FDD",808757.0,Huawei,eNodeB(4G) : Measurement of Cell Performance,dynamic,100.0,46707401928.0,1,"MAX(""1526728261"") as ""rule_1"""
2022-02-08 12:00:00,"4G_ALLENTOWN_II/Cell:eNodeB Function Name=4G_ALLENTOWN_II,Local Cell ID=3,Cell Name=4G_ALLENTOWN_II-3,eNodeB ID=5034,Cell FDD TDD indication=CELL_FDD",809081.0,Huawei,eNodeB(4G) : Measurement of Cell Performance,dynamic,100.0,45432030192.0,1,"MAX(""1526728261"") as ""rule_1"""
2022-02-08 20:00:00,"4G_PORTLOKO_II/Cell:eNodeB Function Name=4G_PORTLOKO_II,Local Cell ID=1,Cell Name=4G_PORTLOKO_II-1,eNodeB ID=5049,Cell FDD TDD indication=CELL_FDD",808888.0,Huawei,eNodeB(4G) : Measurement of Cell Performance,dynamic,100.0,21016897000.0,1,"MAX(""1526728261"") as ""rule_1"""
2022-02-08 21:00:00,"4G_SWISS_RELIEF/Cell:eNodeB Function Name=4G_SWISS_RELIEF,Local Cell ID=1,Cell Name=4G_SWISS_RELIEF-1,eNodeB ID=5068,Cell FDD TDD indication=CELL_FDD",808892.0,Huawei,eNodeB(4G) : Measurement of Cell Performance,dynamic,100.0,45597044328.0,1,"MAX(""1526728261"") as ""rule_1"""
2022-02-10 20:00:00,"4G_PORTLOKO_II/Cell:eNodeB Function Name=4G_PORTLOKO_II,Local Cell ID=1,Cell Name=4G_PORTLOKO_II-1,eNodeB ID=5049,Cell FDD TDD indication=CELL_FDD",808888.0,Huawei,eNodeB(4G) : Measurement of Cell Performance,dynamic,100.0,23374387312.0,1,"MAX(""1526728261"") as ""rule_1"""
2022-02-10 22:00:00,"4G_HILLSTATION/Cell:eNodeB Function Name=4G_HILLSTATION,Local Cell ID=1,Cell Name=4G_HILLSTATION-1,eNodeB ID=5064,Cell FDD TDD indication=CELL_FDD",808757.0,Huawei,eNodeB(4G) : Measurement of Cell Performance,dynamic,100.0,38878634672.0,1,"MAX(""1526728261"") as ""rule_1"""
