begintime,sk_object,duration,integrity,M8033C0,M8033C5,M8033C1,M8033C2,M8033C3,M8033C4,M8033C6,M8033C7,M8033C8
2022-03-19 21:00:00,21321.0,60.0,100.0,173.0,0.0,0.0,0.0,0.0,0.0,0.0,57.0,0.0
2022-03-18 09:00:00,21345.0,60.0,100.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2022-03-12 05:00:00,21349.0,60.0,100.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2022-03-19 21:00:00,21320.0,60.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-13 04:00:00,21323.0,60.0,100.0,57.0,0.0,0.0,26.0,0.0,0.0,0.0,0.0,0.0
2022-03-19 03:00:00,21349.0,60.0,100.0,22.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-13 08:00:00,21351.0,60.0,100.0,1543.0,24.0,0.0,30.0,0.0,0.0,0.0,62.0,0.0
2022-03-11 01:00:00,21361.0,60.0,100.0,412.0,13.0,0.0,5.0,0.0,0.0,0.0,12.0,0.0
2022-03-12 16:00:00,21335.0,60.0,100.0,1903.0,74.0,0.0,129.0,0.0,0.0,0.0,314.0,0.0
2022-03-13 17:00:00,21356.0,24.0,40.0,391.0,43.0,0.0,73.0,0.0,0.0,0.0,58.0,0.0
2022-03-13 07:00:00,21389.0,60.0,100.0,246.0,12.0,0.0,12.0,0.0,0.0,0.0,13.0,0.0
2022-03-14 16:00:00,21305.0,60.0,100.0,443.0,24.0,0.0,53.0,0.0,0.0,0.0,45.0,0.0
2022-03-13 15:00:00,21397.0,60.0,100.0,826.0,18.0,0.0,47.0,0.0,0.0,0.0,126.0,0.0
2022-03-13 17:00:00,21340.0,60.0,100.0,310.0,23.0,0.0,23.0,0.0,0.0,0.0,41.0,0.0
2022-03-13 13:00:00,21354.0,60.0,100.0,469.0,41.0,0.0,44.0,0.0,0.0,0.0,58.0,0.0
2022-03-11 12:00:00,21389.0,60.0,100.0,364.0,12.0,0.0,14.0,0.0,0.0,0.0,21.0,0.0
2022-03-14 20:00:00,21357.0,60.0,100.0,826.0,24.0,0.0,79.0,0.0,0.0,0.0,188.0,0.0
2022-03-11 09:00:00,21309.0,60.0,100.0,315.0,134.0,0.0,86.0,0.0,0.0,0.0,52.0,0.0
2022-03-11 11:00:00,21314.0,60.0,100.0,768.0,24.0,0.0,51.0,0.0,0.0,0.0,98.0,0.0
2022-03-12 15:00:00,21380.0,60.0,100.0,301.0,22.0,0.0,33.0,0.0,0.0,0.0,46.0,0.0
2022-03-13 19:00:00,21389.0,60.0,100.0,503.0,22.0,0.0,17.0,0.0,0.0,0.0,17.0,0.0
2022-03-11 06:00:00,21324.0,60.0,100.0,50.0,100.0,0.0,68.0,0.0,0.0,0.0,0.0,0.0
2022-03-14 11:00:00,21351.0,60.0,100.0,1800.0,45.0,0.0,69.0,0.0,0.0,0.0,50.0,0.0
2022-03-12 02:00:00,21368.0,60.0,100.0,239.0,45.0,0.0,56.0,0.0,0.0,0.0,1.0,0.0
2022-03-12 09:00:00,21328.0,60.0,100.0,275.0,37.0,0.0,21.0,0.0,0.0,0.0,4.0,0.0
2022-03-11 00:00:00,21358.0,60.0,100.0,334.0,15.0,0.0,32.0,0.0,0.0,0.0,4.0,0.0
2022-03-12 17:00:00,21359.0,60.0,100.0,272.0,26.0,0.0,29.0,0.0,0.0,0.0,102.0,0.0
2022-03-11 03:00:00,21307.0,60.0,100.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2022-03-11 04:00:00,21321.0,60.0,100.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2022-03-12 09:00:00,21357.0,60.0,100.0,769.0,424.0,0.0,232.0,0.0,0.0,0.0,141.0,0.0
2022-03-13 03:00:00,21374.0,60.0,100.0,233.0,0.0,0.0,2.0,0.0,0.0,0.0,6.0,0.0
2022-03-12 08:00:00,21307.0,60.0,100.0,172.0,9.0,0.0,16.0,0.0,0.0,0.0,31.0,0.0
2022-03-13 17:00:00,21316.0,60.0,100.0,474.0,87.0,0.0,78.0,0.0,0.0,0.0,20.0,0.0
2022-03-11 03:00:00,21397.0,60.0,100.0,349.0,131.0,0.0,26.0,0.0,0.0,0.0,5.0,0.0
2022-03-14 17:00:00,21316.0,60.0,100.0,622.0,53.0,0.0,34.0,0.0,0.0,0.0,26.0,0.0
