begintime,ne_name,sk_object,vendor,ne_type,aggregation,integrity,UL_PRB_UTIL_TTI_MEAN
2022-03-19,"MRBTS-5079,LNBTS-5079,LNCEL-1,MCC-619,MNC-05",86823.0,Nokia,"4G : PLMN-MRBTS-LNBTS-LNCEL, MCC-MNC",dynamic,0.2777777777777778,96.0
2022-03-19,"MRBTS-5079,LNBTS-5079,LNCEL-11,MCC-619,MNC-05",86824.0,Nokia,"4G : PLMN-MRBTS-LNBTS-LNCEL, MCC-MNC",dynamic,0.2777777777777778,7.0
2022-03-19,"MRBTS-5079,LNBTS-5079,LNCEL-2,MCC-619,MNC-05",86825.0,Nokia,"4G : PLMN-MRBTS-LNBTS-LNCEL, MCC-MNC",dynamic,0.2777777777777778,70.0
2022-03-19,"MRBTS-5079,LNBTS-5079,LNCEL-31,MCC-619,MNC-05",86828.0,Nokia,"4G : PLMN-MRBTS-LNBTS-LNCEL, MCC-MNC",dynamic,0.2777777777777778,4.0
2022-03-15,"MRBTS-5200,LNBTS-5200,LNCEL-3,MCC-619,MNC-05",817.0,Nokia,"4G : PLMN-MRBTS-LNBTS-LNCEL, MCC-MNC",dynamic,0.1388888888888889,58.0
2022-03-12,"MRBTS-5200,LNBTS-5200,LNCEL-3,MCC-619,MNC-05",817.0,Nokia,"4G : PLMN-MRBTS-LNBTS-LNCEL, MCC-MNC",dynamic,0.6944444444444444,390.0
2022-03-19,"MRBTS-5200,LNBTS-5200,LNCEL-3,MCC-619,MNC-05",817.0,Nokia,"4G : PLMN-MRBTS-LNBTS-LNCEL, MCC-MNC",dynamic,0.9722222222222222,63.0
2022-03-11,"MRBTS-5200,LNBTS-5200,LNCEL-3,MCC-619,MNC-05",817.0,Nokia,"4G : PLMN-MRBTS-LNBTS-LNCEL, MCC-MNC",dynamic,0.9027777777777778,394.0
2022-03-19,"MRBTS-5200,LNBTS-5200,LNCEL-11,MCC-619,MNC-05",796.0,Nokia,"4G : PLMN-MRBTS-LNBTS-LNCEL, MCC-MNC",dynamic,1.1111111111111112,268.0
2022-03-12,"MRBTS-5200,LNBTS-5200,LNCEL-11,MCC-619,MNC-05",796.0,Nokia,"4G : PLMN-MRBTS-LNBTS-LNCEL, MCC-MNC",dynamic,0.6944444444444444,11.0
2022-03-15,"MRBTS-5200,LNBTS-5200,LNCEL-11,MCC-619,MNC-05",796.0,Nokia,"4G : PLMN-MRBTS-LNBTS-LNCEL, MCC-MNC",dynamic,0.1388888888888889,18.0
2022-03-11,"MRBTS-5200,LNBTS-5200,LNCEL-11,MCC-619,MNC-05",796.0,Nokia,"4G : PLMN-MRBTS-LNBTS-LNCEL, MCC-MNC",dynamic,0.9027777777777778,60.0
2022-03-15,"MRBTS-5200,LNBTS-5200,LNCEL-2,MCC-619,MNC-05",798.0,Nokia,"4G : PLMN-MRBTS-LNBTS-LNCEL, MCC-MNC",dynamic,0.1388888888888889,439.0
2022-03-12,"MRBTS-5200,LNBTS-5200,LNCEL-2,MCC-619,MNC-05",798.0,Nokia,"4G : PLMN-MRBTS-LNBTS-LNCEL, MCC-MNC",dynamic,0.6944444444444444,218.0
2022-03-19,"MRBTS-5200,LNBTS-5200,LNCEL-2,MCC-619,MNC-05",798.0,Nokia,"4G : PLMN-MRBTS-LNBTS-LNCEL, MCC-MNC",dynamic,0.9722222222222222,445.0
2022-03-11,"MRBTS-5200,LNBTS-5200,LNCEL-2,MCC-619,MNC-05",798.0,Nokia,"4G : PLMN-MRBTS-LNBTS-LNCEL, MCC-MNC",dynamic,0.9027777777777778,660.0
