begintime,sk_object,duration,integrity,M51352C0,M51352C1,M51352C6,M51352C7,M51352C8,M51352C9
2022-03-11,15719.0,1440.0,100.0,11216950729.0,30702011.0,0.0,0.0,0.0,0.0
2022-03-15,15700.0,1440.0,100.0,20277388718.0,89429972.0,0.0,0.0,0.0,0.0
2022-03-14,15717.0,1440.0,100.0,12331248254.0,53236867.0,0.0,0.0,0.0,0.0
2022-03-18,15710.0,1440.0,100.0,9299394953.0,43936270.0,0.0,0.0,0.0,0.0
2022-03-18,15714.0,1440.0,100.0,3024111588.0,14224991.0,0.0,0.0,0.0,0.0
2022-03-16,15693.0,1440.0,100.0,62537830784.0,265733345.0,0.0,0.0,0.0,0.0
2022-03-11,15698.0,1440.0,100.0,28347052878.0,132656167.0,0.0,0.0,0.0,0.0
2022-03-13,15693.0,1440.0,100.0,54878060887.0,238344731.0,0.0,0.0,0.0,0.0
2022-03-15,15706.0,1440.0,100.0,14597636413.0,58447291.0,0.0,0.0,0.0,0.0
2022-03-13,15723.0,1440.0,100.0,13451303650.0,72491535.0,0.0,0.0,0.0,0.0
2022-03-15,15714.0,1440.0,100.0,1454408111.0,9568099.0,0.0,0.0,0.0,0.0
2022-03-19,15718.0,1311.0,91.04166666666667,44971538836.0,199848386.0,0.0,0.0,0.0,0.0
2022-03-17,15723.0,1380.0,95.83333333333333,14693872113.0,71740248.0,0.0,0.0,0.0,0.0
2022-03-13,15719.0,1440.0,100.0,8090951614.0,32169971.0,0.0,0.0,0.0,0.0
2022-03-15,15704.0,1363.0,94.65277777777777,38935043429.0,169024707.0,0.0,0.0,0.0,0.0
2022-03-17,15710.0,1440.0,100.0,10076262275.0,47946145.0,0.0,0.0,0.0,0.0
2022-03-16,15723.0,1400.0,97.22222222222223,17481726644.0,79306509.0,0.0,0.0,0.0,0.0
2022-03-18,15708.0,1440.0,100.0,24312677662.0,96337374.0,0.0,0.0,0.0,0.0
2022-03-12,15693.0,1440.0,100.0,55191869065.0,249356339.0,0.0,0.0,0.0,0.0
2022-03-12,15697.0,1440.0,100.0,48098125954.0,208589487.0,0.0,0.0,0.0,0.0
2022-03-14,15708.0,1440.0,100.0,23355727616.0,84796886.0,0.0,0.0,0.0,0.0
