begintime,ne_name,sk_object,vendor,ne_type,aggregation,integrity,L.Thrp.bits.DL,L.Thrp.Time.UE.UL.RmvSmallPkt.PL0,L.Thrp.Time.UE.UL.RmvSmallPkt.PL1,L.Thrp.Time.UE.UL.RmvSmallPkt.PL2,L.Thrp.Time.UE.UL.RmvSmallPkt.PL3
2022-02-02,"4G_DAMAROAD/Cell:eNodeB Function Name=4G_DAMAROAD,Local Cell ID=1,Cell Name=4G_DAMAROAD-1,eNodeB ID=5043,Cell FDD TDD indication=CELL_FDD",808687.0,Huawei,eNodeB(4G) : Measurement of Cell Performance,dynamic,95.83333333333333,1207583541032.0,305596.0,2500291.0,2688794.0,1473401.0
2022-02-02,"4G_ROCKELBANK/Cell:eNodeB Function Name=4G_ROCKELBANK,Local Cell ID=2,Cell Name=4G_ROCKELBANK-2,eNodeB ID=5038,Cell FDD TDD indication=CELL_FDD",808688.0,Huawei,eNodeB(4G) : Measurement of Cell Performance,dynamic,95.83333333333333,377851217656.0,76766.0,95416.0,264205.0,965309.0
2022-02-02,"4G_SWISSHOTEL/Cell:eNodeB Function Name=4G_SWISSHOTEL,Local Cell ID=8,Cell Name=4G_SWISSHOTEL-8,eNodeB ID=5055,Cell FDD TDD indication=CELL_FDD",808689.0,Huawei,eNodeB(4G) : Measurement of Cell Performance,dynamic,95.83333333333333,792516148552.0,284993.0,270330.0,575490.0,937335.0
2022-02-02,"4G_MARJAYTOWN_II/Cell:eNodeB Function Name=4G_MARJAYTOWN_II,Local Cell ID=7,Cell Name=4G_MARJAYTOWN_II-7,eNodeB ID=5065,Cell FDD TDD indication=CELL_FDD",808690.0,Huawei,eNodeB(4G) : Measurement of Cell Performance,dynamic,95.83333333333333,462016273096.0,89958.0,55910.0,560310.0,484339.0
2022-02-02,"4G_CONGOTOWN/Cell:eNodeB Function Name=4G_CONGOTOWN,Local Cell ID=3,Cell Name=4G_CONGOTOWN-3,eNodeB ID=5007,Cell FDD TDD indication=CELL_FDD",808691.0,Huawei,eNodeB(4G) : Measurement of Cell Performance,dynamic,95.83333333333333,655289751640.0,67334.0,340849.0,718264.0,2770163.0
2022-02-02,"4G_IMATT_II/Cell:eNodeB Function Name=4G_IMATT_II,Local Cell ID=1,Cell Name=4G_IMATT_II-1,eNodeB ID=5030,Cell FDD TDD indication=CELL_FDD",808692.0,Huawei,eNodeB(4G) : Measurement of Cell Performance,dynamic,95.83333333333333,236609371976.0,85050.0,86037.0,350431.0,493885.0
2022-02-02,"4G_BLACKHALLROAD_II/Cell:eNodeB Function Name=4G_BLACKHALLROAD_II,Local Cell ID=3,Cell Name=4G_BLACKHALLROAD_II-3,eNodeB ID=5028,Cell FDD TDD indication=CELL_FDD",808693.0,Huawei,eNodeB(4G) : Measurement of Cell Performance,dynamic,95.83333333333333,1011133327168.0,222356.0,304482.0,628191.0,1020276.0
2022-02-02,"4G_BINTUMANI/Cell:eNodeB Function Name=4G_BINTUMANI,Local Cell ID=7,Cell Name=4G_BINTUMANI-7,eNodeB ID=5006,Cell FDD TDD indication=CELL_FDD",808695.0,Huawei,eNodeB(4G) : Measurement of Cell Performance,dynamic,95.83333333333333,1164430212080.0,116553.0,106458.0,460001.0,3212685.0
2022-02-02,"4G_IMATT_II/Cell:eNodeB Function Name=4G_IMATT_II,Local Cell ID=2,Cell Name=4G_IMATT_II-2,eNodeB ID=5030,Cell FDD TDD indication=CELL_FDD",808696.0,Huawei,eNodeB(4G) : Measurement of Cell Performance,dynamic,95.83333333333333,308574211256.0,106355.0,321349.0,379172.0,475586.0
2022-02-02,"4G_GODRECHSTREET/Cell:eNodeB Function Name=4G_GODRECHSTREET,Local Cell ID=7,Cell Name=4G_GODRECHSTREET-7,eNodeB ID=5019,Cell FDD TDD indication=CELL_FDD",808698.0,Huawei,eNodeB(4G) : Measurement of Cell Performance,dynamic,95.83333333333333,702729648768.0,98060.0,183670.0,606596.0,576846.0
2022-02-02,"4G_ADONKIA/Cell:eNodeB Function Name=4G_ADONKIA,Local Cell ID=6,Cell Name=4G_ADONKIA-6,eNodeB ID=5059,Cell FDD TDD indication=CELL_FDD",808699.0,Huawei,eNodeB(4G) : Measurement of Cell Performance,dynamic,95.83333333333333,404888930168.0,27674.0,35014.0,63260.0,119808.0
2022-02-02,"4G_MARJAYTOWN_II/Cell:eNodeB Function Name=4G_MARJAYTOWN_II,Local Cell ID=8,Cell Name=4G_MARJAYTOWN_II-8,eNodeB ID=5065,Cell FDD TDD indication=CELL_FDD",808700.0,Huawei,eNodeB(4G) : Measurement of Cell Performance,dynamic,95.83333333333333,487531284272.0,102748.0,177733.0,164384.0,450071.0
2022-02-02,"4G_DILLET/Cell:eNodeB Function Name=4G_DILLET,Local Cell ID=6,Cell Name=4G_DILLET-6,eNodeB ID=5069,Cell FDD TDD indication=CELL_FDD",808701.0,Huawei,eNodeB(4G) : Measurement of Cell Performance,dynamic,95.83333333333333,261814740920.0,27602.0,41788.0,79605.0,86807.0
2022-02-02,"4G_DUNDASTREET/Cell:eNodeB Function Name=4G_DUNDASTREET,Local Cell ID=7,Cell Name=4G_DUNDASTREET-7,eNodeB ID=5020,Cell FDD TDD indication=CELL_FDD",808702.0,Huawei,eNodeB(4G) : Measurement of Cell Performance,dynamic,95.83333333333333,345491728640.0,251922.0,380170.0,949026.0,1468402.0
2022-02-02,"4G_DUKESTREET_II/Cell:eNodeB Function Name=4G_DUKESTREET_II,Local Cell ID=6,Cell Name=4G_DUKESTREET_II-6,eNodeB ID=5010,Cell FDD TDD indication=CELL_FDD",808703.0,Huawei,eNodeB(4G) : Measurement of Cell Performance,dynamic,95.83333333333333,802738734624.0,191038.0,315583.0,441621.0,996542.0
2022-02-02,"4G_CITYROAD/Cell:eNodeB Function Name=4G_CITYROAD,Local Cell ID=2,Cell Name=4G_CITYROAD-2,eNodeB ID=5040,Cell FDD TDD indication=CELL_FDD",808704.0,Huawei,eNodeB(4G) : Measurement of Cell Performance,dynamic,95.83333333333333,368960027280.0,84706.0,54265.0,77234.0,134257.0
2022-02-02,"4G_ADONKIA/Cell:eNodeB Function Name=4G_ADONKIA,Local Cell ID=1,Cell Name=4G_ADONKIA-1,eNodeB ID=5059,Cell FDD TDD indication=CELL_FDD",808705.0,Huawei,eNodeB(4G) : Measurement of Cell Performance,dynamic,95.83333333333333,557836359632.0,245813.0,819507.0,1553261.0,1680797.0
2022-02-02,"4G_LESTERPEAK_II/Cell:eNodeB Function Name=4G_LESTERPEAK_II,Local Cell ID=0,Cell Name=4G_LESTERPEAK_II-1,eNodeB ID=5000,Cell FDD TDD indication=CELL_FDD",808706.0,Huawei,eNodeB(4G) : Measurement of Cell Performance,dynamic,95.83333333333333,316851913368.0,54691.0,123102.0,318905.0,1301191.0
2022-02-02,"4G_LESTERPEAK_II/Cell:eNodeB Function Name=4G_LESTERPEAK_II,Local Cell ID=2,Cell Name=4G_LESTERPEAK_II-3,eNodeB ID=5000,Cell FDD TDD indication=CELL_FDD",808707.0,Huawei,eNodeB(4G) : Measurement of Cell Performance,dynamic,95.83333333333333,688555327944.0,32047.0,90075.0,396903.0,2208985.0
2022-02-02,"4G_SEFADUCENTRAL/Cell:eNodeB Function Name=4G_SEFADUCENTRAL,Local Cell ID=2,Cell Name=4G_SEFADUCENTRAL-2,eNodeB ID=5061,Cell FDD TDD indication=CELL_FDD",808729.0,Huawei,eNodeB(4G) : Measurement of Cell Performance,dynamic,95.83333333333333,844908891216.0,69206.0,128567.0,389373.0,999838.0
2022-02-02,"4G_KOSSOHTOWN_II/Cell:eNodeB Function Name=4G_KOSSOHTOWN_II,Local Cell ID=2,Cell Name=4G_KOSSOHTOWN_II-2,eNodeB ID=5031,Cell FDD TDD indication=CELL_FDD",808730.0,Huawei,eNodeB(4G) : Measurement of Cell Performance,dynamic,95.83333333333333,817257716200.0,17678.0,21668.0,85392.0,456721.0
