begintime,sk_object,duration,integrity,1593835641,1593835642,1593835643,1593835644,1593835645,1593835646,1593835849,1593835850,1593835851,1593835852
2022-03-10 01:00:00,878516.0,3600.0,100.0,,,,,1200.0,10.175,,,,
2022-02-20 19:00:00,878515.0,3600.0,100.0,,,,,1200.0,10.749166,,,,
2022-03-13 16:00:00,878516.0,3600.0,100.0,,,,,1200.0,11.065833,,,,
2022-03-03 03:00:00,878515.0,3600.0,100.0,,,,,1200.0,9.8916664,,,,
2022-03-10 06:00:00,878516.0,3600.0,100.0,,,,,1200.0,9.833333,,,,
2022-03-06 02:00:00,878515.0,3600.0,100.0,,,,,1200.0,10.713333,,,,
2022-02-18 12:00:00,878516.0,3600.0,100.0,,,,,1200.0,10.423333,,,,
2022-03-14 01:00:00,878516.0,3600.0,100.0,,,,,1200.0,10.15,,,,
2022-02-18 15:00:00,878516.0,3600.0,100.0,,,,,1200.0,10.67,,,,
2022-03-15 19:00:00,878516.0,3600.0,100.0,,,,,1200.0,10.946667,,,,
2022-03-03 08:00:00,878516.0,3600.0,100.0,,,,,1200.0,10.93,,,,
2022-02-13 13:00:00,878515.0,3600.0,100.0,,,,,1200.0,11.375834,,,,
2022-02-08 23:00:00,878515.0,3600.0,100.0,,,,,1199.0,10.11176,,,,
2022-02-18 05:00:00,878515.0,3600.0,100.0,,,,,1200.0,10.315,,,,
2022-03-11 08:00:00,878516.0,3600.0,100.0,,,,,1201.0,10.855121,,,,
2022-02-10 05:00:00,878515.0,3600.0,100.0,,,,,1200.0,10.085,,,,
2022-03-06 19:00:00,878516.0,3600.0,100.0,,,,,1200.0,10.969167,,,,
2022-02-06 15:00:00,878516.0,3600.0,100.0,,,,,1200.0,10.115,,,,
2022-03-06 12:00:00,878516.0,3600.0,100.0,,,,,1199.0,11.391159,,,,
2022-03-12 07:00:00,878515.0,3600.0,100.0,,,,,1200.0,10.431666,,,,
2022-02-06 15:00:00,878515.0,3600.0,100.0,,,,,1200.0,10.28,,,,
2022-03-13 18:00:00,878516.0,3600.0,100.0,,,,,1200.0,10.738334,,,,
2022-02-08 09:00:00,878516.0,3600.0,100.0,,,,,1200.0,10.470834,,,,
2022-02-17 16:00:00,878516.0,3600.0,100.0,,,,,1200.0,10.850833,,,,
2022-02-08 00:00:00,878515.0,3600.0,100.0,,,,,1200.0,9.689167,,,,
2022-02-12 09:00:00,878516.0,3600.0,100.0,,,,,1200.0,10.770833,,,,
2022-02-04 21:00:00,878516.0,3600.0,100.0,,,,,1201.0,10.954205,,,,
2022-03-14 23:00:00,878515.0,3600.0,100.0,,,,,1200.0,10.983334,,,,
2022-02-11 10:00:00,878516.0,3600.0,100.0,,,,,1200.0,10.913333,,,,
2022-02-05 04:00:00,878515.0,3600.0,100.0,,,,,1200.0,10.795834,,,,
2022-02-10 08:00:00,878515.0,3600.0,100.0,,,,,1200.0,9.9666662,,,,
2022-03-13 20:00:00,878515.0,3600.0,100.0,,,,,1200.0,10.2775,,,,
2022-02-10 07:00:00,878515.0,3600.0,100.0,,,,,1200.0,9.8441668,,,,
2022-02-03 10:00:00,878515.0,3600.0,100.0,,,,,1199.0,10.62719,,,,
2022-02-03 18:00:00,878515.0,3600.0,100.0,,,,,1200.0,11.360833,,,,
2022-03-01 16:00:00,878515.0,3600.0,100.0,,,,,1201.0,11.313072,,,,
2022-03-02 13:00:00,878516.0,3600.0,100.0,,,,,1200.0,10.008333,,,,
2022-02-17 21:00:00,878515.0,3600.0,100.0,,,,,1200.0,10.711667,,,,
2022-03-15 21:00:00,878515.0,3600.0,100.0,,,,,1200.0,10.026667,,,,
2022-03-14 05:00:00,878516.0,3600.0,100.0,,,,,1200.0,10.075833,,,,
2022-03-01 17:00:00,878516.0,3600.0,100.0,,,,,1200.0,10.869166,,,,
2022-02-10 14:00:00,878515.0,3600.0,100.0,,,,,1200.0,10.939167,,,,
2022-02-20 07:00:00,878516.0,3600.0,100.0,,,,,1200.0,10.0175,,,,
2022-03-02 19:00:00,878516.0,3600.0,100.0,,,,,1200.0,10.9325,,,,
2022-03-15 03:00:00,878515.0,3600.0,100.0,,,,,1200.0,10.049167,,,,
2022-03-01 12:00:00,878515.0,3600.0,100.0,,,,,1200.0,11.5325,,,,
2022-02-20 14:00:00,878515.0,3600.0,100.0,,,,,1200.0,10.27,,,,
2022-02-05 21:00:00,878515.0,3600.0,100.0,,,,,1200.0,10.958333,,,,
2022-03-01 13:00:00,878516.0,3600.0,100.0,,,,,1200.0,10.0825,,,,
2022-02-18 14:00:00,878516.0,3600.0,100.0,,,,,1200.0,9.8741665,,,,
2022-03-14 09:00:00,878516.0,3600.0,100.0,,,,,1200.0,10.1975,,,,
2022-02-20 22:00:00,878516.0,3600.0,100.0,,,,,1200.0,10.655833,,,,
2022-02-03 02:00:00,878515.0,3600.0,100.0,,,,,1200.0,10.8625,,,,
2022-02-04 16:00:00,878515.0,3600.0,100.0,,,,,1200.0,10.388333,,,,
2022-02-03 13:00:00,878515.0,3600.0,100.0,,,,,1199.0,10.625522,,,,
2022-03-14 02:00:00,878516.0,3600.0,100.0,,,,,1200.0,10.235,,,,
2022-03-01 12:00:00,878516.0,3600.0,100.0,,,,,1200.0,11.235833,,,,
2022-02-08 09:00:00,878515.0,3600.0,100.0,,,,,1199.0,10.421185,,,,
2022-03-03 02:00:00,878515.0,3600.0,100.0,,,,,1200.0,10.683333,,,,
2022-03-14 16:00:00,878515.0,3600.0,100.0,,,,,1200.0,10.915,,,,
2022-03-02 07:00:00,878516.0,3600.0,100.0,,,,,1200.0,9.8241663,,,,
2022-03-01 22:00:00,878516.0,3600.0,100.0,,,,,1200.0,9.7666664,,,,
2022-02-05 00:00:00,878515.0,3600.0,100.0,,,,,1200.0,9.8649998,,,,
2022-02-05 18:00:00,878515.0,3600.0,100.0,,,,,1200.0,11.266666,,,,
2022-03-13 05:00:00,878515.0,3600.0,100.0,,,,,1200.0,9.9350004,,,,
2022-02-05 00:00:00,878516.0,3600.0,100.0,,,,,1200.0,9.7691669,,,,
2022-03-11 10:00:00,878515.0,3600.0,100.0,,,,,1200.0,10.431666,,,,
2022-03-02 12:00:00,878516.0,3600.0,100.0,,,,,1200.0,11.401667,,,,
2022-02-20 03:00:00,878516.0,3600.0,100.0,,,,,1200.0,10.565833,,,,
2022-03-14 02:00:00,878515.0,3600.0,100.0,,,,,1200.0,10.155,,,,
2022-03-11 23:00:00,878516.0,3600.0,100.0,,,,,1201.0,10.827643,,,,
2022-03-11 04:00:00,878515.0,3600.0,100.0,,,,,1200.0,9.4849997,,,,
2022-03-07 07:00:00,878515.0,3600.0,100.0,,,,,1199.0,10.185988,,,,
2022-02-04 12:00:00,878515.0,3600.0,100.0,,,,,1200.0,10.006667,,,,
2022-03-13 00:00:00,878515.0,3600.0,100.0,,,,,1200.0,10.900833,,,,
2022-02-19 07:00:00,878516.0,3600.0,100.0,,,,,1200.0,9.9708338,,,,
2022-03-06 12:00:00,878515.0,3600.0,100.0,,,,,1199.0,11.462051,,,,
2022-02-04 07:00:00,878515.0,3600.0,100.0,,,,,1200.0,10.075833,,,,
2022-03-14 09:00:00,878515.0,3600.0,100.0,,,,,1200.0,10.265833,,,,
2022-02-05 23:00:00,878516.0,3600.0,100.0,,,,,1200.0,10.510834,,,,
2022-03-10 17:00:00,878515.0,3600.0,100.0,,,,,1200.0,10.546667,,,,
2022-03-11 03:00:00,878516.0,3600.0,100.0,,,,,1200.0,9.0758333,,,,
2022-03-06 13:00:00,878515.0,3600.0,100.0,,,,,1200.0,10.253333,,,,
2022-02-08 17:00:00,878516.0,3600.0,100.0,,,,,1200.0,10.9125,,,,
2022-03-03 22:00:00,878516.0,3600.0,100.0,,,,,1200.0,9.6308336,,,,
2022-03-10 23:00:00,878515.0,3600.0,100.0,,,,,1200.0,10.5025,,,,
2022-02-20 03:00:00,878515.0,3600.0,100.0,,,,,1199.0,10.69558,,,,
2022-02-17 11:00:00,878515.0,3600.0,100.0,,,,,1200.0,9.8666668,,,,
2022-03-11 06:00:00,878515.0,3600.0,100.0,,,,,1200.0,9.0066671,,,,
2022-02-12 17:00:00,878516.0,3600.0,100.0,,,,,1200.0,11.2325,,,,
2022-03-02 09:00:00,878516.0,3600.0,100.0,,,,,1200.0,10.845,,,,
2022-02-11 23:00:00,878516.0,3600.0,100.0,,,,,1200.0,10.16,,,,
2022-02-20 09:00:00,878515.0,3600.0,100.0,,,,,1200.0,10.441667,,,,
2022-03-10 01:00:00,878515.0,3600.0,100.0,,,,,1200.0,10.5075,,,,
2022-02-13 02:00:00,878515.0,3600.0,100.0,,,,,1200.0,10.7425,,,,
2022-03-01 01:00:00,878515.0,3600.0,100.0,,,,,1201.0,10.758534,,,,
2022-02-08 11:00:00,878516.0,3600.0,100.0,,,,,1200.0,10.51,,,,
2022-02-08 15:00:00,878516.0,3600.0,100.0,,,,,1200.0,10.3425,,,,
2022-02-20 09:00:00,878516.0,3600.0,100.0,,,,,1200.0,10.723333,,,,
2022-02-19 04:00:00,878515.0,3600.0,100.0,,,,,1200.0,9.9399996,,,,
2022-02-06 02:00:00,878515.0,3600.0,100.0,,,,,1200.0,10.921667,,,,
2022-03-03 20:00:00,878515.0,3600.0,100.0,,,,,1200.0,10.84,,,,
2022-03-02 14:00:00,878516.0,3600.0,100.0,,,,,1200.0,10.661667,,,,
2022-02-03 03:00:00,878515.0,3600.0,100.0,,,,,1200.0,10.805,,,,
2022-03-07 19:00:00,878516.0,3600.0,100.0,,,,,1200.0,10.869166,,,,
2022-02-13 03:00:00,878515.0,3600.0,100.0,,,,,1200.0,10.733334,,,,
2022-03-02 11:00:00,878516.0,3600.0,100.0,,,,,1200.0,10.320833,,,,
2022-02-06 08:00:00,878516.0,3600.0,100.0,,,,,1200.0,9.9724998,,,,
2022-03-07 14:00:00,878516.0,3600.0,100.0,,,,,1200.0,10.740833,,,,
2022-03-13 15:00:00,878515.0,3600.0,100.0,,,,,1200.0,11.189167,,,,
2022-02-18 22:00:00,878515.0,3600.0,100.0,,,,,1200.0,10.371667,,,,
2022-03-02 07:00:00,878515.0,3600.0,100.0,,,,,1200.0,9.7749996,,,,
2022-02-12 12:00:00,878516.0,3600.0,100.0,,,,,1200.0,10.390833,,,,
2022-02-10 07:00:00,878516.0,3600.0,100.0,,,,,1200.0,10.045,,,,
2022-03-07 11:00:00,878516.0,3600.0,100.0,,,,,1200.0,10.5825,,,,
2022-03-12 20:00:00,878516.0,3600.0,100.0,,,,,1200.0,10.5275,,,,
2022-02-05 11:00:00,878516.0,3600.0,100.0,,,,,1200.0,10.716666,,,,
2022-03-10 18:00:00,878515.0,3600.0,100.0,,,,,1200.0,10.9075,,,,
2022-02-05 21:00:00,878516.0,3600.0,100.0,,,,,1200.0,10.9775,,,,
2022-03-12 23:00:00,878516.0,3600.0,100.0,,,,,1200.0,10.93,,,,
2022-02-12 18:00:00,878516.0,3600.0,100.0,,,,,1200.0,11.0275,,,,
2022-03-06 09:00:00,878515.0,3600.0,100.0,,,,,1200.0,10.618333,,,,
2022-02-05 23:00:00,878515.0,3600.0,100.0,,,,,1200.0,10.363334,,,,
2022-02-03 10:00:00,878516.0,3600.0,100.0,,,,,1200.0,10.831667,,,,
2022-02-03 00:00:00,878516.0,3600.0,100.0,,,,,1200.0,9.7775002,,,,
2022-02-05 02:00:00,878515.0,3600.0,100.0,,,,,1200.0,10.906667,,,,
2022-03-02 03:00:00,878515.0,3600.0,100.0,,,,,1200.0,9.9441671,,,,
2022-02-20 04:00:00,878515.0,3600.0,100.0,,,,,1201.0,9.9217319,,,,
2022-03-13 09:00:00,878516.0,3600.0,100.0,,,,,1200.0,10.153334,,,,
2022-02-12 19:00:00,878516.0,3600.0,100.0,,,,,1200.0,10.900833,,,,
2022-03-10 15:00:00,878515.0,3600.0,100.0,,,,,1200.0,11.029166,,,,
2022-02-10 19:00:00,878516.0,3600.0,100.0,,,,,1201.0,10.907577,,,,
2022-02-06 21:00:00,878515.0,3600.0,100.0,,,,,1200.0,10.986667,,,,
2022-02-17 12:00:00,878516.0,3600.0,100.0,,,,,1200.0,10.3925,,,,
2022-02-20 11:00:00,878516.0,3600.0,100.0,,,,,1200.0,9.9958334,,,,
2022-02-11 07:00:00,878515.0,3600.0,100.0,,,,,1200.0,9.8558331,,,,
2022-02-20 13:00:00,878516.0,3600.0,100.0,,,,,1200.0,11.275833,,,,
2022-03-10 04:00:00,878516.0,3600.0,100.0,,,,,1200.0,10.428333,,,,
2022-02-20 21:00:00,878516.0,3600.0,100.0,,,,,1200.0,10.585,,,,
2022-02-19 19:00:00,878516.0,3600.0,100.0,,,,,1200.0,10.693334,,,,
2022-02-19 23:00:00,878516.0,3600.0,100.0,,,,,1200.0,9.6391668,,,,
2022-03-02 09:00:00,878515.0,3600.0,100.0,,,,,1200.0,10.7,,,,
2022-02-19 01:00:00,878516.0,3600.0,100.0,,,,,1200.0,11.2925,,,,
2022-02-17 15:00:00,878516.0,3600.0,100.0,,,,,1200.0,10.618333,,,,
2022-03-14 03:00:00,878515.0,3600.0,100.0,,,,,1200.0,10.088333,,,,
2022-03-12 15:00:00,878516.0,3600.0,100.0,,,,,1200.0,11.189167,,,,
2022-03-14 12:00:00,878515.0,3600.0,100.0,,,,,1200.0,10.504167,,,,
2022-03-03 01:00:00,878515.0,3600.0,100.0,,,,,1200.0,10.735833,,,,
2022-03-03 17:00:00,878515.0,3600.0,100.0,,,,,1200.0,10.605,,,,
2022-02-20 10:00:00,878515.0,3600.0,100.0,,,,,1200.0,10.6425,,,,
2022-03-13 01:00:00,878515.0,3600.0,100.0,,,,,1200.0,10.574166,,,,
2022-03-14 08:00:00,878516.0,3600.0,100.0,,,,,1200.0,10.875,,,,
2022-03-10 23:00:00,878516.0,3600.0,100.0,,,,,1200.0,10.7225,,,,
2022-02-05 03:00:00,878515.0,3600.0,100.0,,,,,1200.0,10.63,,,,
2022-03-11 16:00:00,878516.0,3600.0,100.0,,,,,1200.0,11.085,,,,
2022-02-10 01:00:00,878516.0,3600.0,100.0,,,,,1199.0,10.664721,,,,
2022-03-12 10:00:00,878515.0,3600.0,100.0,,,,,1200.0,10.555833,,,,
2022-02-13 08:00:00,878515.0,3600.0,100.0,,,,,1200.0,9.7308331,,,,
2022-02-06 01:00:00,878516.0,3600.0,100.0,,,,,1200.0,10.119166,,,,
2022-02-03 21:00:00,878516.0,3600.0,100.0,,,,,1200.0,10.909166,,,,
2022-02-17 20:00:00,878515.0,3600.0,100.0,,,,,1200.0,10.854167,,,,
2022-02-08 03:00:00,878516.0,3600.0,100.0,,,,,1200.0,10.194167,,,,
2022-02-05 04:00:00,878516.0,3600.0,100.0,,,,,1200.0,10.6425,,,,
2022-03-03 14:00:00,878515.0,3600.0,100.0,,,,,1200.0,10.525833,,,,
2022-03-11 12:00:00,878515.0,3600.0,100.0,,,,,1200.0,10.928333,,,,
2022-02-08 08:00:00,878515.0,3600.0,100.0,,,,,1200.0,10.005,,,,
2022-02-10 08:00:00,878516.0,3600.0,100.0,,,,,1201.0,9.8867607,,,,
2022-02-04 02:00:00,878516.0,3600.0,100.0,,,,,1200.0,11.26,,,,
2022-03-10 05:00:00,878516.0,3600.0,100.0,,,,,1200.0,10.0725,,,,
2022-02-12 08:00:00,878515.0,3600.0,100.0,,,,,1200.0,9.7908335,,,,
2022-02-08 21:00:00,878515.0,3600.0,100.0,,,,,1201.0,10.890092,,,,
2022-02-17 04:00:00,878516.0,3600.0,100.0,,,,,1200.0,9.9541664,,,,
2022-02-06 00:00:00,878516.0,3600.0,100.0,,,,,1200.0,9.6800003,,,,
2022-02-13 10:00:00,878515.0,3600.0,100.0,,,,,1199.0,10.570476,,,,
2022-02-12 14:00:00,878515.0,3600.0,100.0,,,,,1200.0,10.734167,,,,
2022-02-08 00:00:00,878516.0,3600.0,100.0,,,,,1200.0,9.7166662,,,,
2022-02-20 05:00:00,878516.0,3600.0,100.0,,,,,1200.0,10.303333,,,,
2022-02-17 19:00:00,878516.0,3600.0,100.0,,,,,1200.0,10.724167,,,,
2022-02-13 08:00:00,878516.0,3600.0,100.0,,,,,1200.0,9.7616663,,,,
2022-02-20 00:00:00,878516.0,3600.0,100.0,,,,,1200.0,10.15,,,,
2022-02-12 20:00:00,878515.0,3600.0,100.0,,,,,1200.0,10.74,,,,
2022-02-20 02:00:00,878516.0,3600.0,100.0,,,,,1200.0,10.266666,,,,
2022-02-06 03:00:00,878515.0,3600.0,100.0,,,,,1200.0,10.586667,,,,
2022-02-17 21:00:00,878516.0,3600.0,100.0,,,,,1200.0,10.7475,,,,
2022-02-08 16:00:00,878515.0,3600.0,100.0,,,,,1200.0,10.47,,,,
2022-03-06 02:00:00,878516.0,3600.0,100.0,,,,,1200.0,10.5475,,,,
2022-03-02 18:00:00,878516.0,3600.0,100.0,,,,,1200.0,10.7625,,,,
2022-03-14 01:00:00,878515.0,3600.0,100.0,,,,,1200.0,10.623333,,,,
2022-02-03 11:00:00,878516.0,3600.0,100.0,,,,,1200.0,10.71,,,,
2022-03-12 13:00:00,878516.0,3600.0,100.0,,,,,1201.0,10.457952,,,,
2022-02-13 11:00:00,878516.0,3600.0,100.0,,,,,1200.0,10.083333,,,,
2022-03-12 15:00:00,878515.0,3600.0,100.0,,,,,1200.0,11.141666,,,,
2022-03-01 05:00:00,878516.0,3600.0,100.0,,,,,1200.0,10.396667,,,,
2022-03-13 11:00:00,878516.0,3600.0,100.0,,,,,1200.0,10.873333,,,,
