NE Name,fdn,CN,MOIndex,SRN,TYPE,className,name,neID
3G_ADONKIA,"NE=1023,NodeBFrame=0_0",0,779_0_0,0,BBU3910,BTS3900SUBRACK,"Cabinet No.=0, Subrack No.=0",779
3G_ALKALIA,"NE=1346,SUBRACK=0_0",0,1102_0_0,0,BBU3910,BTS3900SUBRACK,"Cabinet No.=0, Subrack No.=0",1102
3G_ALLENTOWN,"NE=986,NodeBFrame=0_0",0,742_0_0,0,BBU3910,BTS3900SUBRACK,"Cabinet No.=0, Subrack No.=0",742
3G_ABERDEEN,"NE=339,NodeBFrame=0_0",0,85_0_0,0,BBU3900,BTS3900SUBRACK,"Cabinet No.=0, Subrack No.=0",85
3G_ADAMSTREET,"NE=1071,SUBRACK=0_0",0,827_0_0,0,BBU5900,BTS3900SUBRACK,"Cabinet No.=0, Subrack No.=0",827
3G_ADDAX,"NE=885,NodeBFrame=0_0",0,641_0_0,0,BBU3900,BTS3900SUBRACK,"Cabinet No.=0, Subrack No.=0",641
