NE Name,fdn,LOCATIONNAME,MOIndex,SECTORID,className,name,neID,SECNAME
3G_ADONKIA,"NE=1023,SECTOR=0",4002,779_0,0,BTS3900SECTOR,Sector ID=0,779,
3G_ADONKIA,"NE=1023,SECTOR=1",4002,779_1,1,BTS3900SECTOR,Sector ID=1,779,
3G_ADONKIA,"NE=1023,SECTOR=2",4002,779_2,2,BTS3900SECTOR,Sector ID=2,779,
3G_ADONKIA,"NE=1023,SECTOR=3",,779_3,3,BTS3900SECTOR,Sector ID=3,779,
3G_ADONKIA,"NE=1023,SECTOR=4",,779_4,4,BTS3900SECTOR,Sector ID=4,779,
3G_ADONKIA,"NE=1023,SECTOR=5",4002,779_5,5,BTS3900SECTOR,Sector ID=5,779,SECT6_UMTS
3G_ADONKIA,"NE=1023,SECTOR=6",4002,779_6,6,BTS3900SECTOR,Sector ID=6,779,SECT7_UMTS
3G_ADONKIA,"NE=1023,SECTOR=7",4002,779_7,7,BTS3900SECTOR,Sector ID=7,779,SECT8_UMTS
3G_ALKALIA,"NE=1346,SECTOR=0",,1102_0,0,BTS3900SECTOR,Sector ID=0,1102,SEC1_UMTS
3G_ALKALIA,"NE=1346,SECTOR=1",,1102_1,1,BTS3900SECTOR,Sector ID=1,1102,SEC2_UMTS
3G_ALKALIA,"NE=1346,SECTOR=2",,1102_2,2,BTS3900SECTOR,Sector ID=2,1102,SEC3_UMTS
3G_ALLENTOWN,"NE=986,SECTOR=0",3424,742_0,0,BTS3900SECTOR,Sector ID=0,742,
3G_ALLENTOWN,"NE=986,SECTOR=1",3424,742_1,1,BTS3900SECTOR,Sector ID=1,742,
3G_ALLENTOWN,"NE=986,SECTOR=2",3424,742_2,2,BTS3900SECTOR,Sector ID=2,742,
3G_ALLENTOWN,"NE=986,SECTOR=3",3424,742_3,3,BTS3900SECTOR,Sector ID=3,742,
3G_ALLENTOWN,"NE=986,SECTOR=4",3424,742_4,4,BTS3900SECTOR,Sector ID=4,742,
3G_ALLENTOWN,"NE=986,SECTOR=5",3424,742_5,5,BTS3900SECTOR,Sector ID=5,742,SEC6_UMTS
3G_ALLENTOWN,"NE=986,SECTOR=6",3424,742_6,6,BTS3900SECTOR,Sector ID=6,742,SEC7_UMTS
3G_ALLENTOWN,"NE=986,SECTOR=7",3424,742_7,7,BTS3900SECTOR,Sector ID=7,742,SEC8_UMTS
3G_ABERDEEN,"NE=339,SECTOR=2",3451,85_2,2,BTS3900SECTOR,Sector ID=2,85,
3G_ABERDEEN,"NE=339,SECTOR=1",3451,85_1,1,BTS3900SECTOR,Sector ID=1,85,
3G_ABERDEEN,"NE=339,SECTOR=0",3451,85_0,0,BTS3900SECTOR,Sector ID=0,85,
3G_ABERDEEN,"NE=339,SECTOR=3",3451,85_3,3,BTS3900SECTOR,Sector ID=3,85,
3G_ADAMSTREET,"NE=1071,SECTOR=0",,827_0,0,BTS3900SECTOR,Sector ID=0,827,SEC1_UMTS
3G_ADAMSTREET,"NE=1071,SECTOR=1",,827_1,1,BTS3900SECTOR,Sector ID=1,827,SEC2_UMTS
3G_ADAMSTREET,"NE=1071,SECTOR=2",,827_2,2,BTS3900SECTOR,Sector ID=2,827,SEC3_UMTS
3G_ADDAX,"NE=885,SECTOR=0",4002,641_0,0,BTS3900SECTOR,Sector ID=0,641,
3G_ADDAX,"NE=885,SECTOR=1",4002,641_1,1,BTS3900SECTOR,Sector ID=1,641,
3G_ADDAX,"NE=885,SECTOR=2",4002,641_2,2,BTS3900SECTOR,Sector ID=2,641,
3G_ADDAX,"NE=885,SECTOR=3",4002,641_3,3,BTS3900SECTOR,Sector ID=3,641,
