begintime,sk_object,1282438847,1282438848,1282438823,1282438822,1282454549,1282454554,duration
2022-03-01 00:00:00,7580335.0,7.0,6.0,4.0,22.0,0.0,0.0,PT3600S
2022-03-01 00:00:00,7580336.0,26.0,22.0,17.0,64.0,0.0,0.0,PT3600S
2022-03-01 01:00:00,7580335.0,7.0,6.0,4.0,23.0,0.0,0.0,PT3600S
2022-03-01 01:00:00,7580336.0,24.0,22.0,15.0,58.0,0.0,0.0,PT3600S
2022-03-01 02:00:00,7580335.0,7.0,6.0,4.0,20.0,0.0,0.0,PT3600S
2022-03-01 02:00:00,7580336.0,24.0,21.0,14.0,58.0,0.0,0.0,PT3600S
2022-03-01 03:00:00,7580335.0,7.0,6.0,4.0,20.0,0.0,0.0,PT3600S
2022-03-01 03:00:00,7580336.0,30.0,21.0,22.0,98.0,1.0,0.0,PT3600S
2022-03-01 04:00:00,7580335.0,7.0,6.0,4.0,20.0,0.0,0.0,PT3600S
2022-03-01 04:00:00,7580336.0,25.0,21.0,19.0,87.0,0.0,0.0,PT3600S
2022-03-01 05:00:00,7580335.0,8.0,7.0,5.0,43.0,0.0,0.0,PT3600S
2022-03-01 05:00:00,7580336.0,28.0,22.0,19.0,90.0,0.0,0.0,PT3600S
2022-03-01 06:00:00,7580335.0,7.0,7.0,4.0,20.0,0.0,0.0,PT3600S
2022-03-01 06:00:00,7580336.0,30.0,22.0,20.0,91.0,0.0,0.0,PT3600S
2022-03-01 07:00:00,7580335.0,7.0,7.0,3.0,20.0,0.0,0.0,PT3600S
2022-03-01 07:00:00,7580336.0,28.0,22.0,23.0,85.0,0.0,0.0,PT3600S
2022-03-01 08:00:00,7580335.0,7.0,7.0,4.0,20.0,0.0,0.0,PT3600S
2022-03-01 08:00:00,7580336.0,26.0,22.0,24.0,73.0,0.0,0.0,PT3600S
2022-03-01 09:00:00,7580335.0,7.0,7.0,4.0,20.0,0.0,0.0,PT3600S
2022-03-01 09:00:00,7580336.0,25.0,22.0,25.0,64.0,0.0,0.0,PT3600S
