begintime,sk_object,duration,integrity,M51321C0,M51321C1,M51321C2,M51321C3,M51321C4,M51321C5,M51321C6,M51321C7,M51321C8,M51321C9,M51321C10,M51321C11,M51321C12,M51321C13,M51321C14
2022-03-17,266.0,5.0,0.3472222222222222,416801803.0,318327.0,43267066.0,191159.0,0.0,0.0,0.0,268.0,20842.0,0.0,0.0,268.0,20842.0,0.0,0.0
2022-03-17,258.0,5.0,0.3472222222222222,1802650.0,21526.0,1708952.0,16078.0,0.0,0.0,0.0,270.0,21002.0,0.0,0.0,270.0,21002.0,0.0,0.0
2022-03-12,257.0,5.0,0.3472222222222222,734556.0,10000.0,52405.0,164.0,0.0,0.0,0.0,443.0,34474.0,0.0,0.0,443.0,34474.0,0.0,0.0
2022-03-17,262.0,6.0,0.4166666666666667,287205.0,715.0,199678.0,985.0,0.0,0.0,0.0,87.0,6730.0,0.0,0.0,87.0,6730.0,0.0,0.0
2022-03-17,264.0,6.0,0.4166666666666667,645580.0,7898.0,637784.0,5910.0,0.0,0.0,0.0,94.0,7336.0,0.0,0.0,94.0,7336.0,0.0,0.0
2022-03-17,251.0,6.0,0.4166666666666667,140509179.0,171842.0,56889208.0,138435.0,0.0,0.0,0.0,287.0,22316.0,0.0,0.0,287.0,22316.0,0.0,0.0
2022-03-17,243.0,6.0,0.4166666666666667,496436.0,6778.0,1218637.0,1038.0,0.0,0.0,0.0,285.0,22202.0,0.0,0.0,285.0,22202.0,0.0,0.0
2022-03-12,264.0,5.0,0.3472222222222222,2271736.0,24656.0,2227960.0,17904.0,0.0,0.0,0.0,439.0,34200.0,0.0,0.0,439.0,34200.0,0.0,0.0
2022-03-12,247.0,10.0,0.6944444444444444,501051.0,6935.0,1800142.0,1401.0,0.0,0.0,0.0,276.0,21528.0,0.0,0.0,276.0,21528.0,0.0,0.0
2022-03-17,260.0,6.0,0.4166666666666667,547318.0,6049.0,193308.0,3159.0,0.0,0.0,0.0,109.0,8490.0,0.0,0.0,109.0,8490.0,0.0,0.0
2022-03-17,252.0,6.0,0.4166666666666667,285200.0,3413.0,204388.0,2230.0,0.0,0.0,0.0,85.0,6616.0,0.0,0.0,85.0,6616.0,0.0,0.0
2022-03-12,245.0,10.0,0.6944444444444444,1164384822.0,1112148.0,515282524.0,769063.0,0.0,0.0,0.0,274.0,21322.0,0.0,0.0,274.0,21322.0,0.0,0.0
2022-03-12,254.0,5.0,0.3472222222222222,1033171342.0,826422.0,88702750.0,447765.0,0.0,0.0,0.0,442.0,34394.0,0.0,0.0,442.0,34394.0,0.0,0.0
2022-03-18,253.0,60.0,4.166666666666667,4483006.0,61544.0,395699.0,348.0,0.0,0.0,0.0,2753.0,214260.0,0.0,0.0,2753.0,214260.0,0.0,0.0
2022-03-18,252.0,60.0,4.166666666666667,11897582.0,129651.0,3198332.0,65834.0,0.0,0.0,0.0,2756.0,214454.0,0.0,0.0,2756.0,214454.0,0.0,0.0
