begintime,sk_object,duration,integrity,M51326C0,M51326C1,M51326C2,M51326C3
2022-03-11 02:00:00,15638.0,60.0,100.0,169211.0,11903704.0,89662.0,3659228.0
2022-03-11 10:00:00,15636.0,60.0,100.0,458359.0,33048192.0,256278.0,13787148.0
2022-03-11 01:00:00,15639.0,60.0,100.0,232436.0,15770424.0,170286.0,13736284.0
2022-03-11 02:00:00,15633.0,60.0,100.0,160425.0,11365412.0,82823.0,2909896.0
2022-03-11 07:00:00,15644.0,60.0,100.0,512417.0,37576036.0,324015.0,23544944.0
2022-03-11 10:00:00,15645.0,60.0,100.0,169995.0,11977852.0,94183.0,4749248.0
2022-03-11 08:00:00,15635.0,60.0,100.0,390495.0,29908232.0,305277.0,25893836.0
2022-03-11 10:00:00,15627.0,60.0,100.0,703950.0,49204844.0,456643.0,33335392.0
2022-03-11 00:00:00,15627.0,60.0,100.0,482359.0,32868216.0,318821.0,24267120.0
2022-03-11 07:00:00,15639.0,60.0,100.0,355431.0,25401064.0,260162.0,21345984.0
2022-03-11 04:00:00,15639.0,60.0,100.0,232123.0,15342544.0,169109.0,13805668.0
2022-03-11 04:00:00,15634.0,60.0,100.0,282116.0,18861776.0,177147.0,12306312.0
2022-03-11 12:00:00,15639.0,60.0,100.0,490165.0,35728224.0,376167.0,31743864.0
2022-03-11 04:00:00,15643.0,60.0,100.0,143350.0,10281992.0,73065.0,2313496.0
2022-03-11 02:00:00,15637.0,60.0,100.0,147458.0,9554288.0,99924.0,7930172.0
2022-03-11 03:00:00,15644.0,60.0,100.0,265932.0,17850740.0,163472.0,10975696.0
2022-03-11 09:00:00,15632.0,60.0,100.0,429963.0,30131620.0,231155.0,9984164.0
2022-03-11 04:00:00,15632.0,60.0,100.0,187603.0,13036584.0,101386.0,4627040.0
2022-03-11 10:00:00,15644.0,60.0,100.0,640577.0,48704724.0,404997.0,29857776.0
2022-03-11 03:00:00,15645.0,60.0,100.0,63949.0,4448020.0,36618.0,1983124.0
2022-03-11 05:00:00,15636.0,60.0,100.0,207886.0,14522396.0,115011.0,5650008.0
2022-03-11 10:00:00,15634.0,60.0,100.0,741050.0,54854604.0,490003.0,37241544.0
2022-03-11 02:00:00,15627.0,60.0,100.0,333242.0,22326736.0,222540.0,17438788.0
2022-03-11 03:00:00,15640.0,60.0,100.0,278658.0,18883888.0,172789.0,11458388.0
2022-03-11 11:00:00,15628.0,60.0,100.0,366874.0,26305700.0,194492.0,8163300.0
2022-03-11 06:00:00,15636.0,60.0,100.0,255883.0,18040880.0,140812.0,6896748.0
2022-03-11 01:00:00,15641.0,60.0,100.0,124016.0,8193108.0,79202.0,5567432.0
2022-03-11 02:00:00,15640.0,60.0,100.0,291734.0,19786904.0,183143.0,12237684.0
2022-03-11 01:00:00,15640.0,60.0,100.0,327504.0,22340568.0,206476.0,13934220.0
2022-03-11 09:00:00,15631.0,60.0,100.0,533443.0,39699948.0,318695.0,20383920.0
2022-03-11 02:00:00,15631.0,60.0,100.0,236086.0,15964168.0,139246.0,8254544.0
2022-03-11 01:00:00,15635.0,60.0,100.0,231437.0,15810936.0,171484.0,14374892.0
2022-03-11 08:00:00,15632.0,60.0,100.0,405393.0,28351364.0,217178.0,9176084.0
2022-03-11 10:00:00,15631.0,60.0,100.0,531143.0,39226780.0,315283.0,19584452.0
2022-03-11 09:00:00,15640.0,60.0,100.0,644108.0,47123992.0,421399.0,31193188.0
2022-03-11 00:00:00,15640.0,60.0,100.0,423931.0,29457184.0,269266.0,18491992.0
2022-03-11 04:00:00,15630.0,60.0,100.0,106229.0,6739544.0,69321.0,5801656.0
2022-03-11 06:00:00,15638.0,60.0,100.0,231359.0,16339552.0,122913.0,5237428.0
2022-03-11 05:00:00,15630.0,60.0,100.0,99506.0,6394640.0,65346.0,5584672.0
2022-03-11 09:00:00,15635.0,60.0,100.0,386237.0,30091116.0,301224.0,25538532.0
2022-03-11 01:00:00,15633.0,60.0,100.0,176818.0,12524144.0,91292.0,3212172.0
2022-03-11 00:00:00,15633.0,60.0,100.0,228886.0,16263788.0,117719.0,4035648.0
2022-03-11 03:00:00,15642.0,60.0,100.0,80970.0,5416452.0,47496.0,2908580.0
2022-03-11 07:00:00,15633.0,60.0,100.0,300797.0,21438296.0,153786.0,5139452.0
2022-03-11 05:00:00,15645.0,60.0,100.0,72209.0,5000836.0,40995.0,2269600.0
2022-03-11 02:00:00,15643.0,60.0,100.0,150747.0,10820120.0,76453.0,2364976.0
2022-03-11 10:00:00,15630.0,60.0,100.0,243390.0,17385612.0,159775.0,12645976.0
2022-03-11 12:00:00,15638.0,60.0,100.0,448669.0,31843248.0,242954.0,11442616.0
2022-03-11 12:00:00,15636.0,60.0,100.0,401540.0,28776908.0,224946.0,11862612.0
2022-03-11 08:00:00,15638.0,60.0,100.0,402832.0,28639376.0,217146.0,9878588.0
2022-03-11 06:00:00,15629.0,60.0,100.0,205925.0,13735956.0,141503.0,11372596.0
2022-03-11 08:00:00,15627.0,60.0,100.0,690202.0,47936684.0,452932.0,33951612.0
2022-03-11 07:00:00,15631.0,60.0,100.0,474202.0,34282308.0,283232.0,17895556.0
2022-03-11 09:00:00,15630.0,60.0,100.0,224990.0,15997112.0,149102.0,12406112.0
2022-03-11 13:00:00,15628.0,60.0,100.0,323211.0,23193520.0,170529.0,6813304.0
2022-03-11 00:00:00,15636.0,60.0,100.0,249320.0,17457408.0,139053.0,6860888.0
2022-03-11 04:00:00,15631.0,60.0,100.0,239176.0,16271448.0,139935.0,8143744.0
2022-03-11 05:00:00,15633.0,60.0,100.0,174099.0,12371052.0,89445.0,3033476.0
2022-03-11 03:00:00,15635.0,60.0,100.0,201515.0,13486540.0,148202.0,12583912.0
2022-03-11 06:00:00,15630.0,60.0,100.0,135352.0,8972500.0,88836.0,7429396.0
2022-03-11 09:00:00,15637.0,60.0,100.0,281985.0,20231988.0,186826.0,14379012.0
2022-03-11 12:00:00,15644.0,60.0,100.0,602249.0,44732484.0,378521.0,27153244.0
2022-03-11 04:00:00,15642.0,60.0,100.0,88018.0,5901020.0,51573.0,3176472.0
2022-03-11 02:00:00,15639.0,60.0,100.0,213532.0,14381744.0,155978.0,12466148.0
2022-03-11 04:00:00,15644.0,60.0,100.0,273754.0,18692048.0,167491.0,11328176.0
2022-03-11 08:00:00,15644.0,60.0,100.0,620383.0,46521892.0,396958.0,29612892.0
2022-03-11 13:00:00,15627.0,60.0,100.0,627060.0,43686204.0,405849.0,28893448.0
2022-03-11 12:00:00,15632.0,60.0,100.0,415826.0,29099352.0,223904.0,9715484.0
2022-03-11 08:00:00,15628.0,60.0,100.0,347651.0,24884652.0,182826.0,7359948.0
2022-03-11 07:00:00,15645.0,60.0,100.0,132720.0,9255108.0,73431.0,3586228.0
2022-03-11 05:00:00,15643.0,60.0,100.0,165216.0,11854372.0,83823.0,2574776.0
2022-03-11 06:00:00,15627.0,60.0,100.0,501638.0,33909460.0,331347.0,24987536.0
2022-03-11 10:00:00,15639.0,60.0,100.0,511654.0,37620612.0,392476.0,33345784.0
2022-03-11 09:00:00,15642.0,60.0,100.0,222672.0,15073212.0,139585.0,8791480.0
2022-03-11 09:00:00,15645.0,60.0,100.0,166328.0,11729032.0,92655.0,4765572.0
2022-03-11 07:00:00,15634.0,60.0,100.0,585121.0,42465512.0,381154.0,28465440.0
2022-03-11 08:00:00,15640.0,60.0,100.0,728907.0,53148544.0,477114.0,35493032.0
2022-03-11 03:00:00,15632.0,60.0,100.0,179818.0,12391588.0,97456.0,4471128.0
2022-03-11 00:00:00,15644.0,60.0,100.0,396924.0,27920216.0,246552.0,16813984.0
2022-03-11 05:00:00,15642.0,60.0,100.0,88958.0,5977660.0,52030.0,3164104.0
2022-03-11 07:00:00,15638.0,60.0,100.0,333936.0,23652644.0,180007.0,8259416.0
2022-03-11 11:00:00,15633.0,60.0,100.0,381681.0,27141608.0,197146.0,7024832.0
2022-03-11 11:00:00,15642.0,60.0,100.0,218016.0,14867932.0,137452.0,8298192.0
2022-03-11 12:00:00,15640.0,60.0,100.0,654011.0,47467900.0,424030.0,31301316.0
2022-03-11 08:00:00,15631.0,60.0,100.0,517395.0,38020292.0,309781.0,19744020.0
2022-03-11 03:00:00,15630.0,60.0,100.0,96830.0,6148472.0,63734.0,5371224.0
2022-03-11 03:00:00,15633.0,60.0,100.0,141667.0,10034576.0,73240.0,2601124.0
2022-03-11 08:00:00,15633.0,60.0,100.0,334461.0,23803872.0,171988.0,5911272.0
2022-03-11 01:00:00,15637.0,60.0,100.0,164132.0,10795552.0,110999.0,8586756.0
2022-03-11 01:00:00,15642.0,60.0,100.0,97961.0,6601056.0,57767.0,3563044.0
2022-03-11 04:00:00,15638.0,60.0,100.0,172988.0,12185380.0,91829.0,3781540.0
2022-03-11 11:00:00,15643.0,60.0,100.0,398862.0,28565416.0,204080.0,6709372.0
2022-03-11 07:00:00,15629.0,60.0,100.0,276479.0,19053376.0,192430.0,15455256.0
2022-03-11 01:00:00,15645.0,60.0,100.0,77940.0,5361584.0,44901.0,2390804.0
