begintime,ne_name,ne_type,vendor,integrity,VS.E1T1.ES.ES,id
2022-02-03,"FTBSC02/E1T1_ES:Port No.=172,Slot No.=21,Subrack No.=2",Controller : Measurement of E1/T1 Port Bit Error Performance,Huawei,100.0,0.0,1
2022-02-03,"FTBSC02/E1T1_ES:Port No.=238,Slot No.=16,Subrack No.=0",Controller : Measurement of E1/T1 Port Bit Error Performance,Huawei,100.0,0.0,2
2022-02-03,"FTBSC02/E1T1_ES:Port No.=63,Slot No.=16,Subrack No.=0",Controller : Measurement of E1/T1 Port Bit Error Performance,Huawei,100.0,0.0,3
2022-02-03,"FTBSC02/E1T1_ES:Port No.=96,Slot No.=21,Subrack No.=2",Controller : Measurement of E1/T1 Port Bit Error Performance,Huawei,100.0,0.0,4
2022-02-04,"FTBSC02/E1T1_ES:Port No.=172,Slot No.=21,Subrack No.=2",Controller : Measurement of E1/T1 Port Bit Error Performance,Huawei,100.0,0.0,5
2022-02-04,"FTBSC02/E1T1_ES:Port No.=238,Slot No.=16,Subrack No.=0",Controller : Measurement of E1/T1 Port Bit Error Performance,Huawei,100.0,0.0,6
2022-02-04,"FTBSC02/E1T1_ES:Port No.=63,Slot No.=16,Subrack No.=0",Controller : Measurement of E1/T1 Port Bit Error Performance,Huawei,100.0,0.0,7
2022-02-04,"FTBSC02/E1T1_ES:Port No.=96,Slot No.=21,Subrack No.=2",Controller : Measurement of E1/T1 Port Bit Error Performance,Huawei,100.0,0.0,8
2022-02-05,"FTBSC02/E1T1_ES:Port No.=172,Slot No.=21,Subrack No.=2",Controller : Measurement of E1/T1 Port Bit Error Performance,Huawei,100.0,0.0,9
2022-02-05,"FTBSC02/E1T1_ES:Port No.=238,Slot No.=16,Subrack No.=0",Controller : Measurement of E1/T1 Port Bit Error Performance,Huawei,100.0,0.0,10
2022-02-05,"FTBSC02/E1T1_ES:Port No.=63,Slot No.=16,Subrack No.=0",Controller : Measurement of E1/T1 Port Bit Error Performance,Huawei,100.0,0.0,11
2022-02-05,"FTBSC02/E1T1_ES:Port No.=96,Slot No.=21,Subrack No.=2",Controller : Measurement of E1/T1 Port Bit Error Performance,Huawei,100.0,0.0,12
2022-02-06,"FTBSC02/E1T1_ES:Port No.=172,Slot No.=21,Subrack No.=2",Controller : Measurement of E1/T1 Port Bit Error Performance,Huawei,100.0,0.0,13
