begintime,sk_object,duration,integrity,1282449671,1282449672,1282449673,1282449674
2022-02-11,629663.0,86400.0,100.0,0.0,0.0,0.0,0.0
2022-03-15,629692.0,82800.0,95.83333333333333,658.5923073913043,1114.1109,1311.9452573913043,1954.6488
2022-02-03,629662.0,86400.0,100.0,1651.1427458333333,2846.4868,2915.9089716666667,4594.6965
2022-02-20,629695.0,86400.0,100.0,511.2042675,1055.7231,1125.4681454166666,1930.4117
2022-02-19,630162.0,86400.0,100.0,0.0,0.0,0.0,0.0
2022-02-12,630316.0,86400.0,100.0,1760.4513108333333,3320.1943,2837.0685345833335,4457.3252
2022-03-07,630019.0,82800.0,95.83333333333333,0.0,0.0,0.0,0.0
2022-03-14,630330.0,86400.0,100.0,0.0,0.0,0.0,0.0
2022-03-07,629756.0,82800.0,95.83333333333333,0.0,0.0,0.0,0.0
2022-03-07,630363.0,82800.0,95.83333333333333,938.3890543478261,1597.6309,1920.3591913043479,2877.508
2022-03-14,630366.0,86400.0,100.0,324.64404129166667,803.554,649.1427204166666,1375.1927
2022-02-11,630311.0,86400.0,100.0,0.0,0.0,0.0,0.0
2022-02-12,630408.0,86400.0,100.0,408.27154779166665,963.14387,813.7161470833333,1678.1505
2022-02-10,501534.0,86400.0,100.0,508.9881139583333,979.97773,1058.2322208333333,1690.1013
2022-02-05,630041.0,86400.0,100.0,232.50106366666665,451.85947,531.7587179166667,1033.108
2022-02-11,501748.0,86400.0,100.0,124.34967358333333,529.998,333.29684125,928.22147
2022-02-08,629619.0,86400.0,100.0,928.6994216666667,2187.1563,1798.7609766666667,3438.9507
2022-02-08,629914.0,86400.0,100.0,318.956989125,658.92467,716.687785,1409.3755
2022-03-15,630078.0,82800.0,95.83333333333333,256.8455825652174,597.11733,456.83767260869564,910.8912
2022-03-03,501675.0,86400.0,100.0,294.1725175,704.01893,573.2962716666667,1084.7204
2022-02-11,629626.0,86400.0,100.0,445.41537875,1052.7815,925.7864266666667,1896.9284
2022-02-04,502100.0,86400.0,100.0,0.0,0.0,0.0,0.0
2022-02-03,629695.0,86400.0,100.0,498.780183375,998.81373,1133.5447691666666,2111.0185
2022-03-14,630037.0,86400.0,100.0,1027.6852104166667,1766.8,1693.2181695833333,2929.2945
2022-02-20,629849.0,86400.0,100.0,0.0,0.0,0.0,0.0
2022-03-14,629853.0,86400.0,100.0,0.0,0.0,0.0,0.0
2022-02-05,629735.0,86400.0,100.0,111.3398180375,317.01827,268.8188055,766.51853
2022-03-12,630275.0,68400.0,79.16666666666667,182.996896,487.39093,416.2813478947368,906.24253
2022-03-10,629892.0,79200.0,91.66666666666667,0.0,0.0,0.0,0.0
2022-03-07,502163.0,82800.0,95.83333333333333,450.4707290434783,1020.6923,859.1154543478261,1430.0188
2022-02-05,629796.0,86400.0,100.0,0.0,0.0,0.0,0.0
2022-03-07,630339.0,82800.0,95.83333333333333,0.0,0.0,0.0,0.0
2022-02-18,630404.0,86400.0,100.0,1198.2953179166666,2019.9743,2400.0368191666666,3829.17
2022-03-07,629918.0,82800.0,95.83333333333333,892.6812691304348,1596.6091,1514.3034026086957,2400.8856
2022-02-18,501823.0,86400.0,100.0,0.0,0.0,0.0,0.0
2022-02-11,630158.0,86400.0,100.0,0.0,0.0,0.0,0.0
2022-02-11,630162.0,86400.0,100.0,0.0,0.0,0.0,0.0
2022-03-06,502012.0,79200.0,91.66666666666667,2605.909084090909,4211.0029,4092.105281818182,5917.6343
2022-02-13,629942.0,86400.0,100.0,648.79072125,1302.08,1394.33178125,2504.3679
2022-03-15,629891.0,82800.0,95.83333333333333,0.0,0.0,0.0,0.0
2022-03-15,630175.0,82800.0,95.83333333333333,527.5172816086956,938.87907,971.8301260869565,1673.5657
2022-02-13,629733.0,86400.0,100.0,0.0,0.0,0.0,0.0
2022-03-14,501534.0,86400.0,100.0,479.33343391666665,946.66813,1025.5796149166667,1979.6052
2022-02-19,629698.0,86400.0,100.0,415.93464116666667,831.18707,745.1947658333333,1208.2888
2022-03-06,630108.0,79200.0,91.66666666666667,1272.278994090909,2232.32,2277.1882227272727,3722.8648
2022-03-15,501825.0,82800.0,95.83333333333333,130.12571254782608,405.98547,325.80163030434784,993.95333
2022-02-04,630034.0,86400.0,100.0,340.67124925,699.422,689.6024920833333,1418.0364
2022-02-11,630316.0,86400.0,100.0,1876.5117720833334,3540.4376,2915.641290833333,4485.4259
2022-02-03,630105.0,86400.0,100.0,0.0,0.0,0.0,0.0
2022-03-03,630335.0,86400.0,100.0,0.0,0.0,0.0,0.0
2022-02-06,629816.0,86400.0,100.0,1063.98354375,2145.5859,2212.12845375,4217.634
2022-02-19,629626.0,86400.0,100.0,439.40031416666665,1016.882,915.3933316666667,1712.114
2022-03-14,629911.0,86400.0,100.0,2081.27498875,3718.6095,3425.72806375,5812.1311
2022-02-17,629817.0,75600.0,87.5,751.1037714285715,1437.1457,1460.733672857143,2254.0697
2022-03-11,629822.0,86400.0,100.0,1337.0885029166666,2416.3868,2723.29515,4354.0477
2022-03-10,629621.0,79200.0,91.66666666666667,629.7453147272727,1446.0327,1500.0006936363636,2586.8141
2022-02-04,630180.0,86400.0,100.0,400.6270293333333,1059.6224,798.4562295833333,1981.7736
2022-03-13,629891.0,75600.0,87.5,0.0,0.0,0.0,0.0
2022-02-06,629920.0,86400.0,100.0,0.0,0.0,0.0,0.0
2022-03-14,630210.0,86400.0,100.0,812.7522433333334,1669.6175,1520.45421875,2846.6753
2022-03-13,629942.0,75600.0,87.5,656.3150019047619,1262.1164,1396.2002804761905,2229.5283
2022-03-12,629790.0,68400.0,79.16666666666667,0.0,0.0,0.0,0.0
2022-02-06,630146.0,86400.0,100.0,0.0,0.0,0.0,0.0
2022-02-13,630399.0,86400.0,100.0,0.0,0.0,0.0,0.0
2022-02-10,629692.0,86400.0,100.0,792.6364975,1243.378,1399.56783125,2366.4136
2022-03-10,630061.0,79200.0,91.66666666666667,1020.7468890909091,1536.9453,1720.9844268181819,2712.3835
2022-02-18,630023.0,86400.0,100.0,0.0,0.0,0.0,0.0
2022-02-03,629735.0,86400.0,100.0,131.46984508333333,408.46693,340.92198429166666,954.1844
2022-02-13,630401.0,86400.0,100.0,824.004875,1567.9487,1664.9137104166666,2922.0881
2022-02-18,629784.0,86400.0,100.0,0.0,0.0,0.0,0.0
2022-02-10,630298.0,86400.0,100.0,0.0,0.0,0.0,0.0
2022-03-11,630306.0,86400.0,100.0,0.0,0.0,0.0,0.0
2022-02-11,629656.0,86400.0,100.0,0.0,0.0,0.0,0.0
2022-02-06,630036.0,86400.0,100.0,284.67478658333334,644.84693,772.8314920833334,1347.6236
2022-03-13,630076.0,75600.0,87.5,0.0,0.0,0.0,0.0
2022-02-04,629621.0,86400.0,100.0,610.1411686666667,1650.5588,1475.2988595833333,2969.6572
2022-02-20,501533.0,86400.0,100.0,1457.8653754166667,2283.9033,2470.65473375,3621.9485
2022-02-06,629608.0,86400.0,100.0,411.71826375,1117.6479,826.6250608333334,1869.4225
2022-03-10,630214.0,79200.0,91.66666666666667,712.0857561818182,1586.0744,1470.6665931818181,3038.1752
2022-02-03,629624.0,86400.0,100.0,1447.73424625,2270.3605,2402.7983875,3563.2596
2022-03-11,629727.0,86400.0,100.0,0.0,0.0,0.0,0.0
2022-03-03,630066.0,86400.0,100.0,85.58687960833333,333.55947,260.18621475,818.40333
2022-03-12,629948.0,68400.0,79.16666666666667,112.51600626315789,366.43453,358.98601157894734,1050.42
2022-02-03,630376.0,86400.0,100.0,0.0,0.0,0.0,0.0
2022-02-04,630370.0,86400.0,100.0,690.74793375,1619.8477,1416.4585416666666,2922.5413
2022-03-11,630041.0,86400.0,100.0,296.437602,580.16827,606.28722875,1037.6383
2022-02-10,629881.0,86400.0,100.0,0.0,0.0,0.0,0.0
2022-02-11,630017.0,86400.0,100.0,1230.3559958333333,2062.0988,2068.4468816666667,3371.3861
2022-03-11,629820.0,86400.0,100.0,154.87815204166668,500.20093,344.97044166666666,743.00133
2022-03-15,629625.0,82800.0,95.83333333333333,528.1544050434783,1093.7304,1160.3517465217392,2111.1699
2022-03-12,630021.0,68400.0,79.16666666666667,0.0,0.0,0.0,0.0
2022-03-14,630180.0,86400.0,100.0,322.79208420833334,885.15267,675.6964854166666,1393.1751
2022-02-10,630210.0,86400.0,100.0,919.03180875,1613.6276,1653.2617491666667,2953.1428
2022-03-10,629656.0,79200.0,91.66666666666667,0.0,0.0,0.0,0.0
2022-02-08,502017.0,86400.0,100.0,2213.3690158333334,3449.2149,4194.788004166667,6205.4917
