NE Name,fdn,BTSID,BTSNAME,ISSUPERBTS,MOIndex,className,name,neID
FTBSC02,"NE=280,BTSOTHPARA=262",262,MAKENISOS_RELIEF,NO,26_262,BSC6900GSMBTSOTHPARA,BTS Index=262,26
FTBSC02,"NE=280,BTSOTHPARA=263",263,HILLSTATION,NO,26_263,BSC6900GSMBTSOTHPARA,BTS Index=263,26
FTBSC02,"NE=280,BTSOTHPARA=267",267,JUBAHILL,NO,26_267,BSC6900GSMBTSOTHPARA,BTS Index=267,26
FTBSC02,"NE=280,BTSOTHPARA=170",170,GBAIMASONGA_II,NO,26_170,BSC6900GSMBTSOTHPARA,BTS Index=170,26
FTBSC02,"NE=280,BTSOTHPARA=183",183,YELE,NO,26_183,BSC6900GSMBTSOTHPARA,BTS Index=183,26
FTBSC02,"NE=280,BTSOTHPARA=53",53,OAU_II,NO,26_53,BSC6900GSMBTSOTHPARA,BTS Index=53,26
FTBSC02,"NE=280,BTSOTHPARA=51",51,DILLET,NO,26_51,BSC6900GSMBTSOTHPARA,BTS Index=51,26
FTBSC02,"NE=280,BTSOTHPARA=55",55,KROOTOWNROAD,NO,26_55,BSC6900GSMBTSOTHPARA,BTS Index=55,26
FTBSC02,"NE=280,BTSOTHPARA=72",72,KINGTOM_II,NO,26_72,BSC6900GSMBTSOTHPARA,BTS Index=72,26
FTBSC02,"NE=280,BTSOTHPARA=80",80,DUNDASTREET,NO,26_80,BSC6900GSMBTSOTHPARA,BTS Index=80,26
FTBSC02,"NE=280,BTSOTHPARA=56",56,LAKKA_II,NO,26_56,BSC6900GSMBTSOTHPARA,BTS Index=56,26
FTBSC02,"NE=280,BTSOTHPARA=60",60,SUSSEX_II,NO,26_60,BSC6900GSMBTSOTHPARA,BTS Index=60,26
FTBSC02,"NE=280,BTSOTHPARA=64",64,YORK,NO,26_64,BSC6900GSMBTSOTHPARA,BTS Index=64,26
FTBSC02,"NE=280,BTSOTHPARA=66",66,BLACKJOHNSON_II,NO,26_66,BSC6900GSMBTSOTHPARA,BTS Index=66,26
FTBSC02,"NE=280,BTSOTHPARA=115",115,NJAMANIMEKORO,NO,26_115,BSC6900GSMBTSOTHPARA,BTS Index=115,26
FTBSC02,"NE=280,BTSOTHPARA=120",120,SEFADUCENTRAL,NO,26_120,BSC6900GSMBTSOTHPARA,BTS Index=120,26
FTBSC02,"NE=280,BTSOTHPARA=121",121,SEFADUTOWN,NO,26_121,BSC6900GSMBTSOTHPARA,BTS Index=121,26
FTBSC02,"NE=280,BTSOTHPARA=122",122,SFD,NO,26_122,BSC6900GSMBTSOTHPARA,BTS Index=122,26
FTBSC02,"NE=280,BTSOTHPARA=198",198,SOCFIN,NO,26_198,BSC6900GSMBTSOTHPARA,BTS Index=198,26
FTBSC02,"NE=280,BTSOTHPARA=89",89,GODERICH,NO,26_89,BSC6900GSMBTSOTHPARA,BTS Index=89,26
FTBSC02,"NE=280,BTSOTHPARA=92",92,PALMRESORT,NO,26_92,BSC6900GSMBTSOTHPARA,BTS Index=92,26
FTBSC02,"NE=280,BTSOTHPARA=202",202,SANMALIN,NO,26_202,BSC6900GSMBTSOTHPARA,BTS Index=202,26
FTBSC02,"NE=280,BTSOTHPARA=201",201,GBANGBATOK,NO,26_201,BSC6900GSMBTSOTHPARA,BTS Index=201,26
FTBSC02,"NE=280,BTSOTHPARA=220",220,MOKABA,NO,26_220,BSC6900GSMBTSOTHPARA,BTS Index=220,26
FTBSC02,"NE=280,BTSOTHPARA=224",224,NUMBALAHILL,NO,26_224,BSC6900GSMBTSOTHPARA,BTS Index=224,26
FTBSC02,"NE=280,BTSOTHPARA=229",229,REGENT,NO,26_229,BSC6900GSMBTSOTHPARA,BTS Index=229,26
FTBSC02,"NE=280,BTSOTHPARA=232",232,FADUGU,NO,26_232,BSC6900GSMBTSOTHPARA,BTS Index=232,26
FTBSC02,"NE=280,BTSOTHPARA=235",235,MALEMA,NO,26_235,BSC6900GSMBTSOTHPARA,BTS Index=235,26
FTBSC02,"NE=280,BTSOTHPARA=237",237,SULIMA,NO,26_237,BSC6900GSMBTSOTHPARA,BTS Index=237,26
FTBSC02,"NE=280,BTSOTHPARA=238",238,BARMHOTEL,NO,26_238,BSC6900GSMBTSOTHPARA,BTS Index=238,26
FTBSC02,"NE=280,BTSOTHPARA=233",233,SPURROADMILITARY,NO,26_233,BSC6900GSMBTSOTHPARA,BTS Index=233,26
FTBSC02,"NE=280,BTSOTHPARA=247",247,BONTHE,NO,26_247,BSC6900GSMBTSOTHPARA,BTS Index=247,26
