begintime,sk_object,duration,integrity,M8000C26,M8000C27,M8000C29,M8000C30,M8000C32,M8000C24,M8000C6,M8000C7,M8000C8,M8000C9,M8000C11,M8000C13,M8000C14,M8000C15,M8000C16,M8000C33,M8000C34,M8000C35,M8000C36,M8000C37,M8000C38,M8000C39,M8000C40,M8000C41,M8000C42,M8000C43,M8000C44,M8000C45,M8000C46
2022-03-11 03:00:00,16010.0,60.0,100.0,0.0,0.0,765.0,850.0,0.0,0.0,0.0,0.0,0.0,0.0,140090.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-11 02:00:00,16019.0,60.0,100.0,0.0,0.0,17131.0,22605.0,0.0,0.0,0.0,0.0,0.0,0.0,48771.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-11 01:00:00,16020.0,60.0,100.0,0.0,0.0,29747.0,39113.0,0.0,0.0,0.0,0.0,0.0,0.0,160879.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,322.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-11 02:00:00,16020.0,60.0,100.0,0.0,0.0,28389.0,37571.0,0.0,0.0,0.0,0.0,0.0,0.0,146177.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,345.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-11 03:00:00,16015.0,60.0,100.0,0.0,0.0,25133.0,33507.0,0.0,0.0,0.0,0.0,0.0,0.0,46827.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-11 00:00:00,16017.0,60.0,100.0,0.0,0.0,2557.0,3367.0,0.0,1.0,0.0,0.0,0.0,0.0,211316.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-11 01:00:00,16024.0,60.0,100.0,0.0,0.0,4855.0,6261.0,0.0,0.0,0.0,0.0,0.0,0.0,160864.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,315.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-11 04:00:00,16022.0,60.0,100.0,0.0,0.0,21855.0,28944.0,0.0,0.0,0.0,0.0,0.0,0.0,51526.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-11 03:00:00,16016.0,60.0,100.0,0.0,0.0,7236.0,9692.0,0.0,0.0,0.0,0.0,0.0,0.0,140089.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-11 03:00:00,16022.0,60.0,100.0,0.0,0.0,21668.0,28732.0,0.0,0.0,0.0,0.0,0.0,0.0,46826.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-11 00:00:00,16019.0,60.0,100.0,0.0,0.0,18212.0,23908.0,0.0,0.0,0.0,0.0,0.0,0.0,73104.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-11 01:00:00,16013.0,60.0,100.0,0.0,0.0,2392.0,3146.0,0.0,0.0,0.0,0.0,0.0,0.0,160865.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,87.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-11 00:00:00,16010.0,60.0,100.0,0.0,0.0,762.0,840.0,0.0,0.0,0.0,0.0,0.0,0.0,211326.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
