measObjLdn,duration,begin_time,20013740.0,20013741.0,20013742.0,20013743.0,20013744.0,20013745.0,20013746.0,20013749.0,20013750.0,20013751.0,20013752.0,20013755.0
"ManagedElement=LTESite1234,Transport=1,SctpEndpoint=LTE,SctpAssociation=12312-400.18.177.10",900.0,2024-05-02 06:00:00,0,0,5113,13140,0,0,1700256,5393,0,0,791092,0
"ManagedElement=LTESite1234,Transport=1,SctpEndpoint=LTE,SctpAssociation=12312-400.18.9.7",900.0,2024-05-02 06:00:00,0,0,3047,6687,0,0,848920,2922,0,0,459680,0
"ManagedElement=LTESite1234,Transport=1,SctpEndpoint=LTE,SctpAssociation=12312-400.205.97.9",900.0,2024-05-02 06:00:00,0,0,2722,6307,0,0,841592,2582,0,0,405916,0
"ManagedElement=LTESite1234,Transport=1,SctpEndpoint=LTE,SctpAssociation=12312-400.21.9.7",900.0,2024-05-02 06:00:00,0,0,2399,6477,0,0,883376,2181,0,0,376228,0
"ManagedElement=LTESite1234,Transport=1,SctpEndpoint=LTE,SctpAssociation=12312-400.28.9.7",900.0,2024-05-02 06:00:00,0,0,2169,6102,0,0,798528,1945,0,0,340440,0
"ManagedElement=LTESite1234,Transport=1,SctpEndpoint=LTE,SctpAssociation=12312-400.30.9.15",900.0,2024-05-02 06:00:00,0,0,6388,17762,0,0,2189420,6984,0,0,1002972,0
"ManagedElement=LTESite1234,Transport=1,SctpEndpoint=LTE,SctpAssociation=12312-400.30.9.7",900.0,2024-05-02 06:00:00,0,0,2247,6206,0,0,786548,2028,0,0,360172,0
"ManagedElement=LTESite1234,Transport=1,SctpEndpoint=LTE,SctpAssociation=12312-400.7.142.12",900.0,2024-05-02 06:00:00,0,0,8148,21280,0,0,2716288,9292,0,0,1243444,0
"ManagedElement=LTESite1234,Transport=1,SctpEndpoint=LTE,SctpAssociation=12312-400.7.2.12",900.0,2024-05-02 06:00:00,0,0,2115,5944,0,0,679024,1876,0,0,346360,0
