NE Name,fdn,ALTITUDE,LATITUDEDEGFORMAT,LOCATIONNAME,LONGITUDEDEGFORMAT,MOIndex,RANGE,USERLABEL,className,name,neID,ADDRESS
3G_ADONKIA,"NE=1023,LOCATION=4002",0,0,4002,0,779_4002,1,3G_ADDAX,BTS3900LOCATION,Location Name=4002,779,
3G_ALKALIA,"NE=1346,LOCATION=3G_ALKALIA",0,7943440,3G_ALKALIA,-11688450,1102_3G_ALKALIA,1,,BTS3900LOCATION,Location Name=3G_ALKALIA,1102,
3G_ALLENTOWN,"NE=986,LOCATION=3424",0,0,3424,0,742_3424,1,3G_ALLENTOWN,BTS3900LOCATION,Location Name=3424,742,
3G_ABERDEEN,"NE=339,LOCATION=3451",0,0,3451,0,85_3451,1,3G_ABERDEEN,BTS3900LOCATION,Location Name=3451,85,
3G_ADAMSTREET,"NE=1071,LOCATION=3G_GRAFTON",0,0,3G_GRAFTON,0,827_3G_GRAFTON,1,,BTS3900LOCATION,Location Name=3G_GRAFTON,827,Sierra Leone
3G_ADDAX,"NE=885,LOCATION=4002",0,0,4002,0,641_4002,1,3G_ADDAX,BTS3900LOCATION,Location Name=4002,641,
