begintime,sk_object,73436939,73436941,73441493,73441494,duration
2022-03-01 05:00:00,7671772.0,0.0,0.0,0.0,0.0,PT3600S
2022-03-01 05:00:00,7671773.0,0.0,0.0,0.0,0.0,PT3600S
2022-03-01 05:00:00,7671774.0,107743.0,61925.0,0.0,157804959.0,PT3600S
2022-03-01 05:00:00,7671775.0,1118872.0,875101.0,0.0,1333676295.0,PT3600S
2022-03-01 05:00:00,7671776.0,0.0,0.0,0.0,0.0,PT3600S
2022-03-01 05:00:00,7671777.0,2451202.0,1423838.0,0.0,1680308413.0,PT3600S
2022-03-01 05:00:00,7671778.0,1010865.0,771229.0,0.0,1135130128.0,PT3600S
2022-03-01 05:00:00,7671779.0,841898.0,670087.0,0.0,703997448.0,PT3600S
2022-03-01 05:00:00,7671780.0,149938.0,132564.0,0.0,400814603.0,PT3600S
2022-03-01 05:00:00,7671781.0,35267.0,29949.0,0.0,86808894.0,PT3600S
2022-03-01 05:00:00,7671782.0,0.0,0.0,0.0,0.0,PT3600S
2022-03-01 05:00:00,7671783.0,1196350.0,940756.0,0.0,1527647577.0,PT3600S
2022-03-01 05:00:00,7671784.0,127828.0,113115.0,0.0,373225289.0,PT3600S
2022-03-01 06:00:00,7671771.0,660047.0,487209.0,0.0,669119662.0,PT3600S
2022-03-01 06:00:00,7671772.0,0.0,0.0,0.0,0.0,PT3600S
2022-03-01 06:00:00,7671773.0,0.0,0.0,0.0,0.0,PT3600S
2022-03-01 06:00:00,7671774.0,112081.0,83516.0,0.0,213498650.0,PT3600S
2022-03-01 06:00:00,7671775.0,1492746.0,1139767.0,0.0,1565508084.0,PT3600S
2022-03-01 06:00:00,7671776.0,0.0,0.0,0.0,0.0,PT3600S
2022-03-01 06:00:00,7671777.0,2581645.0,1909695.0,0.0,2122065774.0,PT3600S
2022-03-01 06:00:00,7671778.0,1330775.0,997680.0,0.0,1330428386.0,PT3600S
2022-03-01 06:00:00,7671779.0,1199008.0,893993.0,0.0,855559172.0,PT3600S
2022-03-01 06:00:00,7671780.0,238041.0,178937.0,0.0,538981942.0,PT3600S
2022-03-01 06:00:00,7671781.0,64904.0,43756.0,0.0,120992247.0,PT3600S
2022-03-01 06:00:00,7671782.0,0.0,0.0,0.0,0.0,PT3600S
2022-03-01 06:00:00,7671783.0,1677252.0,1251147.0,0.0,1875227493.0,PT3600S
2022-03-01 06:00:00,7671784.0,195930.0,151708.0,0.0,479052754.0,PT3600S
2022-03-01 07:00:00,7671771.0,928505.0,728635.0,0.0,969240681.0,PT3600S
2022-03-01 07:00:00,7671772.0,0.0,0.0,0.0,0.0,PT3600S
2022-03-01 07:00:00,7671773.0,0.0,0.0,0.0,0.0,PT3600S
2022-03-01 07:00:00,7671774.0,160021.0,134689.0,0.0,363413334.0,PT3600S
2022-03-01 07:00:00,7671775.0,1976444.0,1647156.0,0.0,2274306764.0,PT3600S
2022-03-01 07:00:00,7671776.0,0.0,0.0,0.0,0.0,PT3600S
2022-03-01 07:00:00,7671777.0,3327889.0,2813462.0,0.0,3214303724.0,PT3600S
2022-03-01 07:00:00,7671778.0,1816217.0,1486312.0,0.0,1926210579.0,PT3600S
2022-03-01 07:00:00,7671779.0,1585223.0,1306653.0,0.0,1252477898.0,PT3600S
2022-03-01 07:00:00,7671780.0,330348.0,284536.0,0.0,858990508.0,PT3600S
2022-03-01 07:00:00,7671781.0,86388.0,73386.0,0.0,190495944.0,PT3600S
2022-03-01 07:00:00,7671782.0,0.0,0.0,0.0,0.0,PT3600S
2022-03-01 07:00:00,7671783.0,2222298.0,1857120.0,0.0,2876299058.0,PT3600S
2022-03-01 07:00:00,7671784.0,242985.0,214787.0,0.0,624697358.0,PT3600S
2022-03-01 08:00:00,7671771.0,1081089.0,911553.0,0.0,1215578856.0,PT3600S
2022-03-01 08:00:00,7671772.0,0.0,0.0,0.0,0.0,PT3600S
2022-03-01 08:00:00,7671773.0,0.0,0.0,0.0,0.0,PT3600S
2022-03-01 08:00:00,7671774.0,176553.0,165876.0,0.0,463852329.0,PT3600S
2022-03-01 08:00:00,7671775.0,2200275.0,2003278.0,0.0,2792285451.0,PT3600S
2022-03-01 08:00:00,7671776.0,0.0,0.0,0.0,0.0,PT3600S
2022-03-01 08:00:00,7671777.0,3716094.0,3382719.0,0.0,3974606240.0,PT3600S
2022-03-01 08:00:00,7671778.0,2041470.0,1846923.0,0.0,2377624430.0,PT3600S
2022-03-01 08:00:00,7671779.0,1756529.0,1554301.0,0.0,1534584131.0,PT3600S
2022-03-01 08:00:00,7671780.0,374427.0,348281.0,0.0,1052762893.0,PT3600S
2022-03-01 08:00:00,7671781.0,96207.0,86771.0,0.0,225022976.0,PT3600S
2022-03-01 08:00:00,7671782.0,0.0,0.0,0.0,0.0,PT3600S
2022-03-01 08:00:00,7671783.0,2518099.0,2267892.0,0.0,3578111318.0,PT3600S
2022-03-01 08:00:00,7671784.0,263203.0,241729.0,0.0,668830860.0,PT3600S
2022-03-01 09:00:00,7671771.0,1128945.0,992020.0,0.0,1332096960.0,PT3600S
2022-03-01 09:00:00,7671772.0,0.0,0.0,0.0,0.0,PT3600S
2022-03-01 09:00:00,7671773.0,0.0,0.0,0.0,0.0,PT3600S
2022-03-01 09:00:00,7671774.0,185041.0,172355.0,0.0,487895323.0,PT3600S
2022-03-01 09:00:00,7671775.0,2355928.0,2151998.0,0.0,3010008091.0,PT3600S
2022-03-01 09:00:00,7671776.0,0.0,0.0,0.0,0.0,PT3600S
2022-03-01 09:00:00,7671777.0,3975022.0,3667850.0,0.0,4281950569.0,PT3600S
2022-03-01 09:00:00,7671778.0,2212871.0,2008299.0,0.0,2575929612.0,PT3600S
2022-03-01 09:00:00,7671779.0,1862090.0,1684384.0,0.0,1669699756.0,PT3600S
2022-03-01 09:00:00,7671780.0,397008.0,365334.0,0.0,1095812681.0,PT3600S
2022-03-01 09:00:00,7671781.0,98945.0,89178.0,0.0,230326796.0,PT3600S
2022-03-01 09:00:00,7671782.0,0.0,0.0,0.0,0.0,PT3600S
2022-03-01 09:00:00,7671783.0,2673088.0,2435062.0,0.0,3849948595.0,PT3600S
2022-03-01 09:00:00,7671784.0,268387.0,251760.0,0.0,681528778.0,PT3600S
2022-03-01 10:00:00,7671771.0,1153564.0,1039630.0,0.0,1377966475.0,PT3600S
2022-03-01 10:00:00,7671772.0,0.0,0.0,0.0,0.0,PT3600S
2022-03-01 10:00:00,7671773.0,0.0,0.0,0.0,0.0,PT3600S
2022-03-01 10:00:00,7671774.0,186710.0,173169.0,0.0,487999431.0,PT3600S
2022-03-01 10:00:00,7671775.0,2451048.0,2248689.0,0.0,3104224040.0,PT3600S
2022-03-01 10:00:00,7671776.0,0.0,0.0,0.0,0.0,PT3600S
2022-03-01 10:00:00,7671777.0,4113259.0,3799908.0,0.0,4375793359.0,PT3600S
2022-03-01 10:00:00,7671778.0,2310131.0,2110944.0,0.0,2675639541.0,PT3600S
2022-03-01 10:00:00,7671779.0,1935284.0,1746137.0,0.0,1711893250.0,PT3600S
2022-03-01 10:00:00,7671780.0,392882.0,370287.0,0.0,1102634669.0,PT3600S
2022-03-01 10:00:00,7671781.0,96820.0,90028.0,0.0,235888625.0,PT3600S
2022-03-01 10:00:00,7671782.0,0.0,0.0,0.0,0.0,PT3600S
2022-03-01 10:00:00,7671783.0,2745110.0,2530853.0,0.0,3940142923.0,PT3600S
2022-03-01 10:00:00,7671784.0,279861.0,258952.0,0.0,694511103.0,PT3600S
2022-03-01 11:00:00,7671771.0,1194470.0,1048676.0,0.0,1373802566.0,PT3600S
2022-03-01 11:00:00,7671772.0,0.0,0.0,0.0,0.0,PT3600S
2022-03-01 11:00:00,7671773.0,0.0,0.0,0.0,0.0,PT3600S
2022-03-01 11:00:00,7671774.0,181153.0,171810.0,0.0,480026138.0,PT3600S
