begintime,sk_object,duration,M8013C80,M8013C81,M8013C5,M8013C6,M8013C10,M8013C11,M8013C7,M8013C9,M8013C0,M8013C1,M8013C2,M8013C3,M8013C4,M8013C12,M8013C13,M8013C15,M8013C16,M8013C17,M8013C18,M8013C19,M8013C21,M8013C24,M8013C25,M8013C26,M8013C27,M8013C28,M8013C29,M8013C30,M8013C31,M8013C32,M8013C33,M8013C34,M8013C35,M8013C36,M8013C37,M8013C38,M8013C39,M8013C40,M8013C41,M8013C42,M8013C43,M8013C44,M8013C45,M8013C46,M8013C47,M8013C48,M8013C49,M8013C50,M8013C51,M8013C52,M8013C53,M8013C54,M8013C55,M8013C56,M8013C57,M8013C58,M8013C60,M8013C69,M8013C61,M8013C62,M8013C63,M8013C64,M8013C65,M8013C66,M8013C67,M8013C68,M8013C70,M8013C71,M8013C72,M8013C73,M8013C74,M8013C75,M8013C76,M8013C77,M8013C78,M8013C79,M8013C82,M8013C83,M8013C84,M8013C85,M8013C86,M8013C87,M8013C88,M8013C89,M8013C90,M8013C91,M8013C92,M8013C93,M8013C94,M8013C95,M8013C96,M8013C97,M8013C99,M8013C100,M8013C101,M8013C102,M8013C103,M8013C104,M8013C105,M8013C106,M8013C107,M8013C108,M8013C109,M8013C110,M8013C111,M8013C112,M8013C113,M8013C114,M8013C115,M8013C116,M8013C117,M8013C118,M8013C119,M8013C121,M8013C122,M8013C123,M8013C124
2022-03-11 00:15:00,16955.0,15,0.0,0.0,391.0,1.0,0.0,0.0,0.0,98.0,0.0,0.0,1.0,0.0,0.0,0.0,294.0,0.0,0.0,89.0,117.0,186.0,0.0,2391383.0,6855914.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,88.0,186.0,117.0,0.0,0.0,0.0,0.0,0.0,391.0,391.0,306.0,4.0,305.0,4.0,1.0,0.0,0.0,0.0,0.0,294.0,289.0,0.0,0.0,0.0,0.0,0.0,0.0,268.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,0.0,0.0,0.0,0.0,89.0,117.0,186.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-11 00:15:00,16956.0,15,0.0,0.0,100.0,0.0,1.0,0.0,0.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,74.0,1.0,0.0,26.0,30.0,44.0,0.0,640851.0,3100885.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,44.0,30.0,0.0,0.0,0.0,0.0,0.0,100.0,100.0,75.0,0.0,75.0,0.0,0.0,0.0,0.0,0.0,0.0,75.0,74.0,0.0,0.0,0.0,0.0,0.0,0.0,42.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,26.0,30.0,44.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-11 00:15:00,16957.0,15,0.0,0.0,31.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0,0.0,9.0,13.0,9.0,0.0,463013.0,1147966.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,9.0,13.0,0.0,0.0,0.0,0.0,0.0,31.0,31.0,23.0,0.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,9.0,13.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-11 00:15:00,16958.0,15,0.0,0.0,93.0,2.0,0.0,0.0,0.0,57.0,0.0,0.0,0.0,0.0,0.0,2.0,36.0,0.0,0.0,63.0,13.0,19.0,0.0,567343.0,1447402.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61.0,19.0,13.0,0.0,0.0,0.0,0.0,0.0,93.0,93.0,34.0,0.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,36.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,64.0,13.0,19.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-13 14:45:00,16956.0,15,0.0,0.0,175.0,1.0,0.0,0.0,0.0,40.0,0.0,0.0,3.0,0.0,0.0,0.0,137.0,0.0,0.0,39.0,75.0,62.0,0.0,912620.0,3343202.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.0,62.0,75.0,0.0,0.0,0.0,0.0,0.0,175.0,175.0,144.0,1.0,141.0,1.0,3.0,0.0,0.0,0.0,0.0,137.0,126.0,0.0,0.0,0.0,0.0,0.0,0.0,124.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,10.0,0.0,0.0,0.0,0.0,39.0,75.0,62.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-11 00:15:00,16959.0,15,0.0,0.0,1311.0,1.0,3.0,0.0,0.0,536.0,0.0,0.0,0.0,0.0,0.0,1.0,772.0,1.0,0.0,513.0,383.0,416.0,0.0,9582297.0,17230622.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,512.0,416.0,383.0,0.0,0.0,0.0,0.0,0.0,1311.0,1311.0,803.0,11.0,803.0,11.0,0.0,2.0,2.0,2.0,2.0,773.0,757.0,0.0,0.0,0.0,0.0,0.0,0.0,689.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,2.0,0.0,0.0,0.0,0.0,513.0,383.0,416.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,1.0,11.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-11 00:15:00,16960.0,15,0.0,0.0,3017.0,11.0,11.0,0.0,0.0,1026.0,0.0,0.0,1.0,0.0,0.0,2.0,1990.0,6.0,0.0,987.0,834.0,1207.0,0.0,23105303.0,45833858.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,976.0,1207.0,834.0,0.0,0.0,0.0,0.0,0.0,3017.0,3017.0,2095.0,5.0,2092.0,5.0,4.0,5.0,5.0,5.0,5.0,1996.0,1939.0,0.0,0.0,0.0,0.0,0.0,4.0,1837.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,41.0,0.0,0.0,0.0,0.0,988.0,834.0,1208.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51.0,0.0,0.0,0.0,2.0,29.0,0.0,6.0,0.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0
2022-03-11 00:15:00,16961.0,15,0.0,0.0,2984.0,8.0,8.0,0.0,0.0,870.0,0.0,0.0,2.0,0.0,0.0,0.0,2106.0,12.0,0.0,856.0,854.0,1282.0,0.0,24026387.0,43274765.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,848.0,1282.0,854.0,0.0,0.0,0.0,0.0,0.0,2984.0,2984.0,2172.0,10.0,2169.0,10.0,2.0,27.0,27.0,27.0,27.0,2118.0,2067.0,1.0,0.0,0.0,0.0,0.0,1.0,1895.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,2.0,0.0,0.0,0.0,0.0,857.0,856.0,1282.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.0,0.0,0.0,0.0,0.0,13.0,0.0,9.0,0.0,8.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2022-03-11 00:15:00,16962.0,15,0.0,0.0,290.0,2.0,1.0,0.0,0.0,46.0,0.0,0.0,0.0,0.0,0.0,0.0,245.0,0.0,0.0,47.0,105.0,140.0,0.0,2389425.0,5897578.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.0,140.0,105.0,0.0,0.0,0.0,0.0,0.0,290.0,290.0,246.0,1.0,244.0,1.0,2.0,2.0,2.0,2.0,2.0,245.0,242.0,0.0,0.0,0.0,0.0,0.0,0.0,183.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,47.0,105.0,140.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,2.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0
2022-03-11 00:15:00,16963.0,15,0.0,0.0,292.0,0.0,0.0,0.0,0.0,168.0,0.0,0.0,1.0,0.0,0.0,0.0,114.0,1.0,0.0,173.0,51.0,68.0,0.0,2010481.0,3252239.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,173.0,68.0,51.0,0.0,0.0,0.0,0.0,0.0,292.0,292.0,124.0,2.0,123.0,2.0,1.0,3.0,3.0,3.0,3.0,115.0,109.0,1.0,0.0,0.0,0.0,0.0,0.0,111.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,173.0,51.0,68.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
