NE Name,fdn,ADJNODENAME,ANI,BTSID,MOIndex,NODET,className,name,neID
FTBSC02,"NE=280,ADJNODE=49",ABERDEEN,49,49,26_49,ABIS,BSC6900GSMADJNODE,"Adjacent Node ID=49, Label=ABERDEEN",26
FTBSC02,"NE=280,ADJNODE=62",WILBERFORCEMSC,62,62,26_62,ABIS,BSC6900GSMADJNODE,"Adjacent Node ID=62, Label=WILBERFORCEMSC",26
FTBSC02,"NE=280,ADJNODE=63",WILKINSONROAD,63,63,26_63,ABIS,BSC6900GSMADJNODE,"Adjacent Node ID=63, Label=WILKINSONROAD",26
FTBSC02,"NE=280,ADJNODE=65",YOUYIBUILDING,65,65,26_65,ABIS,BSC6900GSMADJNODE,"Adjacent Node ID=65, Label=YOUYIBUILDING",26
FTBSC02,"NE=280,ADJNODE=78",TENGBEHTOWN_II,78,78,26_78,ABIS,BSC6900GSMADJNODE,"Adjacent Node ID=78, Label=TENGBEHTOWN_II",26
FTBSC02,"NE=280,ADJNODE=59",MURRAYTOWN,59,59,26_59,ABIS,BSC6900GSMADJNODE,"Adjacent Node ID=59, Label=MURRAYTOWN",26
FTBSC02,"NE=280,ADJNODE=69",HILLCUTROAD_II,69,69,26_69,ABIS,BSC6900GSMADJNODE,"Adjacent Node ID=69, Label=HILLCUTROAD_II",26
FTBSC02,"NE=280,ADJNODE=74",MARJAYTOWN_II,74,74,26_74,ABIS,BSC6900GSMADJNODE,"Adjacent Node ID=74, Label=MARJAYTOWN_II",26
FTBSC02,"NE=280,ADJNODE=173",NJALABOCAMPUS_II,173,173,26_173,ABIS,BSC6900GSMADJNODE,"Adjacent Node ID=173, Label=NJALABOCAMPUS_II",26
FTBSC02,"NE=280,ADJNODE=178",DAMAROAD,178,178,26_178,ABIS,BSC6900GSMADJNODE,"Adjacent Node ID=178, Label=DAMAROAD",26
FTBSC02,"NE=280,ADJNODE=172",NJALA_II,172,172,26_172,ABIS,BSC6900GSMADJNODE,"Adjacent Node ID=172, Label=NJALA_II",26
FTBSC02,"NE=280,ADJNODE=157",MOYAMBAJUNCTION_II,157,157,26_157,ABIS,BSC6900GSMADJNODE,"Adjacent Node ID=157, Label=MOYAMBAJUNCTION_II",26
