begintime,ne_name,ne_type,vendor,integrity,INTRA_HO_PREP_FAIL_NB,INTRA_HO_ATT_NB,id
2022-03,"MRBTS-5023,LNBTS-5023,LNCEL-1,MCC-619,MNC-05,ECI-1283846,MCC-619,MNC-05","4G : PLMN-MRBTS-LNBTS-LNCEL, MCC-MNC, ECI, MCC-MNC",Nokia,49.17,0.0,0.0,1
2022-03,"MRBTS-5023,LNBTS-5023,LNCEL-1,MCC-619,MNC-05,ECI-1285890,MCC-619,MNC-05","4G : PLMN-MRBTS-LNBTS-LNCEL, MCC-MNC, ECI, MCC-MNC",Nokia,99.0,5.0,29123.0,2
2022-03,"MRBTS-5023,LNBTS-5023,LNCEL-1,MCC-619,MNC-05,ECI-1285891,MCC-619,MNC-05","4G : PLMN-MRBTS-LNBTS-LNCEL, MCC-MNC, ECI, MCC-MNC",Nokia,99.0,4.0,12291.0,3
2022-03,"MRBTS-5023,LNBTS-5023,LNCEL-1,MCC-619,MNC-05,ECI-1285899,MCC-619,MNC-05","4G : PLMN-MRBTS-LNBTS-LNCEL, MCC-MNC, ECI, MCC-MNC",Nokia,99.0,51.0,144863.0,4
2022-03,"MRBTS-5023,LNBTS-5023,LNCEL-1,MCC-619,MNC-05,ECI-1285909,MCC-619,MNC-05","4G : PLMN-MRBTS-LNBTS-LNCEL, MCC-MNC, ECI, MCC-MNC",Nokia,99.0,2.0,9182.0,5
2022-03,"MRBTS-5023,LNBTS-5023,LNCEL-1,MCC-619,MNC-05,ECI-1285919,MCC-619,MNC-05","4G : PLMN-MRBTS-LNBTS-LNCEL, MCC-MNC, ECI, MCC-MNC",Nokia,99.0,4.0,10010.0,6
2022-03,"MRBTS-5023,LNBTS-5023,LNCEL-1,MCC-619,MNC-05,ECI-1299969,MCC-619,MNC-05","4G : PLMN-MRBTS-LNBTS-LNCEL, MCC-MNC, ECI, MCC-MNC",Nokia,99.0,0.0,0.0,7
2022-03,"MRBTS-5023,LNBTS-5023,LNCEL-1,MCC-619,MNC-05,ECI-1299970,MCC-619,MNC-05","4G : PLMN-MRBTS-LNBTS-LNCEL, MCC-MNC, ECI, MCC-MNC",Nokia,99.0,0.0,0.0,8
2022-03,"MRBTS-5023,LNBTS-5023,LNCEL-1,MCC-619,MNC-05,ECI-1299971,MCC-619,MNC-05","4G : PLMN-MRBTS-LNBTS-LNCEL, MCC-MNC, ECI, MCC-MNC",Nokia,73.33,0.0,0.0,9
2022-03,"MRBTS-5023,LNBTS-5023,LNCEL-1,MCC-619,MNC-05,ECI-1299979,MCC-619,MNC-05","4G : PLMN-MRBTS-LNBTS-LNCEL, MCC-MNC, ECI, MCC-MNC",Nokia,99.0,0.0,0.0,10
