measObjLdn,duration,begin_time,20000070.0,20000071.0,20000072.0,20000073.0,20000074.0,20000075.0,20000076.0
"ManagedElement=1,NodeBFunction=1,Sector=1,Carrier=1",900.0,2021-09-26 19:15:00,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,34,105,154,211,242,225,268,289,298,302,312,368,313,331,328,345,288,307,273,258,231,234,216,206,201,195,180,143,113,120,131,113,121,144,105,99,89,97,108,104,783,5,1,0",",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,",",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,",",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,","0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,34,105,154,211,242,225,268,289,298,302,312,368,313,331,328,345,288,307,273,258,231,234,216,206,201,195,180,143,113,120,131,113,121,144,105,99,89,97,108,104,115,96,51,74,75,69,71,140,81,11,1,0,0,2,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0",None,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,101,348,626,735,797,1103,1298,3877,111,0,0,0,0,0,0"
"ManagedElement=1,NodeBFunction=1,Sector=1,Carrier=2",900.0,2021-09-26 19:15:00,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,45,81,135,153,178,204,240,224,255,338,402,427,370,352,380,305,350,337,346,292,310,280,255,261,277,260,233,274,231,226,192,155,163,99,87,73,59,39,31,25,19,21,2,0,0",",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,",",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,",",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,","0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,45,81,135,153,178,204,240,224,255,338,402,427,370,352,380,305,350,337,346,292,310,280,255,261,277,260,233,274,231,226,192,155,163,99,87,73,59,39,31,25,19,7,6,0,3,0,2,3,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0",None,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,233,607,918,1082,944,843,960,3276,113,0,0,0,0,0,0"
"ManagedElement=1,NodeBFunction=1,Sector=2,Carrier=1",900.0,2021-09-26 19:15:00,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,17,35,55,106,189,226,290,332,266,304,284,298,375,379,385,424,405,341,335,313,261,205,164,104,116,81,83,68,71,61,75,86,81,64,65,66,55,50,46,60,58,72,56,56,77,799,585,72,1",",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,",",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,",",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,","0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,17,35,55,106,189,226,290,332,266,304,284,298,375,379,385,424,405,341,335,313,261,205,164,104,116,81,83,68,71,61,75,86,81,64,65,66,55,50,46,60,58,72,56,56,77,72,71,66,66,56,80,83,106,106,93,57,53,61,84,131,110,42,24,7,16,13,24,14,12,4,3,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0",None,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,434,1362,1566,1209,817,531,503,522,1709,336,0,0,0,0,0,0"
"ManagedElement=1,NodeBFunction=1,Sector=2,Carrier=2",900.0,2021-09-26 19:15:00,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,11,13,59,91,174,262,335,509,499,644,590,645,650,559,497,467,435,381,355,283,279,243,198,130,126,122,100,70,47,51,48,29,18,12,13,11,9,10,4,5,2,3,2,0,6,1,0,0",",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,",",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,",",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,","0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,11,13,59,91,174,262,335,509,499,644,590,645,650,559,497,467,435,381,355,283,279,243,198,130,126,122,100,70,47,51,48,29,18,12,13,11,9,10,4,5,2,3,2,0,1,0,2,2,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0",None,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,484,1147,1460,1264,911,663,644,2226,156,0,0,0,0,0,0"
"ManagedElement=1,NodeBFunction=1,Sector=3,Carrier=1",900.0,2021-09-26 19:15:00,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,21,47,68,132,144,145,150,173,178,247,274,313,351,425,529,538,556,572,502,499,456,386,341,311,268,246,193,105,77,90,80,72,456,51,1,0",",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,",",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,",",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,","0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,21,47,68,132,144,145,150,173,178,247,274,313,351,425,529,538,556,572,502,499,456,386,341,311,268,246,193,105,77,90,80,72,73,59,59,54,47,58,37,26,25,18,16,9,5,5,6,0,5,1,2,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0",None,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,322,1615,1531,1002,727,523,528,469,1910,372,0,0,0,0,0,0"
"ManagedElement=1,NodeBFunction=1,Sector=3,Carrier=2",900.0,2021-09-26 19:15:00,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,23,31,52,41,80,90,102,109,118,190,198,253,275,379,359,352,325,364,398,400,368,381,343,351,342,297,266,275,200,191,159,157,150,131,893,320,25,0",",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,",",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,",",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,","0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,23,31,52,41,80,90,102,109,118,190,198,253,275,379,359,352,325,364,398,400,368,381,343,351,342,297,266,275,200,191,159,157,150,131,118,129,121,105,82,65,69,76,60,68,68,56,67,46,25,28,12,11,4,3,4,7,2,1,5,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0",None,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,1043,1980,1500,1159,753,595,445,1376,102,0,0,0,0,0,0"
"ManagedElement=1,NodeBFunction=1,Sector=4,Carrier=1",900.0,2021-09-26 19:15:00,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,16,79,246,524,860,983,1019,878,704,547,474,319,227,183,140,128,143,150,167,234,173,102,64,37,20,29,20,29,20,17,16,18,25,188,206,13,0",",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,",",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,",",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,","0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,16,79,246,524,860,983,1019,878,704,547,474,319,227,183,140,128,143,150,167,234,173,102,64,37,20,29,20,29,20,17,16,18,25,10,17,23,15,19,19,16,22,26,21,20,26,39,46,22,12,15,6,7,13,7,2,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0",None,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,455,3479,1788,748,542,311,265,227,227,876,82,0,0,0,0,0,0"
"ManagedElement=1,NodeBFunction=1,Sector=4,Carrier=2",900.0,2021-09-26 19:15:00,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,21,100,229,429,663,922,1062,1093,718,589,437,325,236,148,130,83,79,68,81,99,144,143,139,154,132,146,133,52,43,32,26,23,24,27,140,81,38,3",",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,",",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,",",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,","0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,21,100,229,429,663,922,1062,1093,718,589,437,325,236,148,130,83,79,68,81,99,144,143,139,154,132,146,133,52,43,32,26,23,24,27,13,18,16,15,12,10,18,13,11,14,10,10,10,12,8,7,5,10,5,4,7,3,6,4,6,3,4,0,3,2,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0",None,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,373,3311,1754,743,487,329,312,306,302,1030,53,0,0,0,0,0,0"
"ManagedElement=1,NodeBFunction=1,Sector=5,Carrier=1",900.0,2021-09-26 19:15:00,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,10,37,88,145,227,319,323,390,518,602,554,544,514,433,436,334,324,263,217,170,125,83,89,74,47,52,45,50,35,48,55,66,48,53,44,57,53,35,59,37,31,723,642,0,0",",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,",",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,",",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,","0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,10,37,88,145,227,319,323,390,518,602,554,544,514,433,436,334,324,263,217,170,125,83,89,74,47,52,45,50,35,48,55,66,48,53,44,57,53,35,59,37,31,36,28,32,41,51,59,73,115,125,163,181,164,106,79,49,42,19,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0",None,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77,2111,2650,1488,831,455,375,308,258,372,75,0,0,0,0,0,0"
"ManagedElement=1,NodeBFunction=1,Sector=5,Carrier=2",900.0,2021-09-26 19:15:00,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,32,63,146,206,273,360,406,512,617,660,684,679,598,521,496,462,383,339,256,175,179,137,113,114,48,42,32,42,40,34,24,26,26,23,30,24,28,19,19,13,17,86,6,6,0",",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,",",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,",",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,","0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,32,63,146,206,273,360,406,512,617,660,684,679,598,521,496,462,383,339,256,175,179,137,113,114,48,42,32,42,40,34,24,26,26,23,30,24,28,19,19,13,17,9,9,3,11,23,20,4,2,0,5,2,1,1,1,1,0,0,0,0,0,0,2,1,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0",None,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,464,2424,1995,1153,723,509,478,383,753,114,0,0,0,0,0,0"
