NE Name,fdn,BTSID,BTSNAME,MOIndex,TransMode,className,name,neID
FTBSC02,"NE=280,BTSTRANS=204",204,GONDAMA,26_204,TER_TRANS,BSC6900GSMBTSTRANS,BTS Index=204,26
FTBSC02,"NE=280,BTSTRANS=207",207,GONDAMABARRACKS,26_207,TER_TRANS,BSC6900GSMBTSTRANS,BTS Index=207,26
FTBSC02,"NE=280,BTSTRANS=203",203,MATTA,26_203,TER_TRANS,BSC6900GSMBTSTRANS,BTS Index=203,26
FTBSC02,"NE=280,BTSTRANS=216",216,SEMBEHUN,26_216,TER_TRANS,BSC6900GSMBTSTRANS,BTS Index=216,26
FTBSC02,"NE=280,BTSTRANS=223",223,BUMPEH,26_223,TER_TRANS,BSC6900GSMBTSTRANS,BTS Index=223,26
FTBSC02,"NE=280,BTSTRANS=283",283,DAMAROAD_S,26_283,TER_TRANS,BSC6900GSMBTSTRANS,BTS Index=283,26
FTBSC02,"NE=280,BTSTRANS=297",297,MAKENI_ENTRANCE,26_297,TER_TRANS,BSC6900GSMBTSTRANS,BTS Index=297,26
FTBSC02,"NE=280,BTSTRANS=301",301,SINKUNIA,26_301,TER_TRANS,BSC6900GSMBTSTRANS,BTS Index=301,26
FTBSC02,"NE=280,BTSTRANS=304",304,MASADU,26_304,TER_TRANS,BSC6900GSMBTSTRANS,BTS Index=304,26
FTBSC02,"NE=280,BTSTRANS=51",51,DILLET,26_51,TER_TRANS,BSC6900GSMBTSTRANS,BTS Index=51,26
FTBSC02,"NE=280,BTSTRANS=55",55,KROOTOWNROAD,26_55,TER_TRANS,BSC6900GSMBTSTRANS,BTS Index=55,26
FTBSC02,"NE=280,BTSTRANS=72",72,KINGTOM_II,26_72,TER_TRANS,BSC6900GSMBTSTRANS,BTS Index=72,26
FTBSC02,"NE=280,BTSTRANS=80",80,DUNDASTREET,26_80,TER_TRANS,BSC6900GSMBTSTRANS,BTS Index=80,26
FTBSC02,"NE=280,BTSTRANS=56",56,LAKKA_II,26_56,TER_TRANS,BSC6900GSMBTSTRANS,BTS Index=56,26
FTBSC02,"NE=280,BTSTRANS=60",60,SUSSEX_II,26_60,TER_TRANS,BSC6900GSMBTSTRANS,BTS Index=60,26
FTBSC02,"NE=280,BTSTRANS=64",64,YORK,26_64,TER_TRANS,BSC6900GSMBTSTRANS,BTS Index=64,26
FTBSC02,"NE=280,BTSTRANS=66",66,BLACKJOHNSON_II,26_66,TER_TRANS,BSC6900GSMBTSTRANS,BTS Index=66,26
FTBSC02,"NE=280,BTSTRANS=115",115,NJAMANIMEKORO,26_115,TER_TRANS,BSC6900GSMBTSTRANS,BTS Index=115,26
FTBSC02,"NE=280,BTSTRANS=120",120,SEFADUCENTRAL,26_120,TER_TRANS,BSC6900GSMBTSTRANS,BTS Index=120,26
FTBSC02,"NE=280,BTSTRANS=121",121,SEFADUTOWN,26_121,TER_TRANS,BSC6900GSMBTSTRANS,BTS Index=121,26
FTBSC02,"NE=280,BTSTRANS=122",122,SFD,26_122,TER_TRANS,BSC6900GSMBTSTRANS,BTS Index=122,26
FTBSC02,"NE=280,BTSTRANS=196",196,SILLAHSTREET,26_196,TER_TRANS,BSC6900GSMBTSTRANS,BTS Index=196,26
FTBSC02,"NE=280,BTSTRANS=89",89,GODERICH,26_89,TER_TRANS,BSC6900GSMBTSTRANS,BTS Index=89,26
FTBSC02,"NE=280,BTSTRANS=91",91,SWISSHOTEL,26_91,TER_TRANS,BSC6900GSMBTSTRANS,BTS Index=91,26
FTBSC02,"NE=280,BTSTRANS=92",92,PALMRESORT,26_92,TER_TRANS,BSC6900GSMBTSTRANS,BTS Index=92,26
FTBSC02,"NE=280,BTSTRANS=201",201,GBANGBATOK,26_201,TER_TRANS,BSC6900GSMBTSTRANS,BTS Index=201,26
FTBSC02,"NE=280,BTSTRANS=202",202,SANMALIN,26_202,TER_TRANS,BSC6900GSMBTSTRANS,BTS Index=202,26
FTBSC02,"NE=280,BTSTRANS=187",187,MABONTO,26_187,TER_TRANS,BSC6900GSMBTSTRANS,BTS Index=187,26
FTBSC02,"NE=280,BTSTRANS=220",220,MOKABA,26_220,TER_TRANS,BSC6900GSMBTSTRANS,BTS Index=220,26
FTBSC02,"NE=280,BTSTRANS=224",224,NUMBALAHILL,26_224,TER_TRANS,BSC6900GSMBTSTRANS,BTS Index=224,26
FTBSC02,"NE=280,BTSTRANS=229",229,REGENT,26_229,TER_TRANS,BSC6900GSMBTSTRANS,BTS Index=229,26
FTBSC02,"NE=280,BTSTRANS=232",232,FADUGU,26_232,TER_TRANS,BSC6900GSMBTSTRANS,BTS Index=232,26
FTBSC02,"NE=280,BTSTRANS=235",235,MALEMA,26_235,TER_TRANS,BSC6900GSMBTSTRANS,BTS Index=235,26
FTBSC02,"NE=280,BTSTRANS=237",237,SULIMA,26_237,TER_TRANS,BSC6900GSMBTSTRANS,BTS Index=237,26
FTBSC02,"NE=280,BTSTRANS=238",238,BARMHOTEL,26_238,TER_TRANS,BSC6900GSMBTSTRANS,BTS Index=238,26
FTBSC02,"NE=280,BTSTRANS=233",233,SPURROADMILITARY,26_233,TER_TRANS,BSC6900GSMBTSTRANS,BTS Index=233,26
FTBSC02,"NE=280,BTSTRANS=247",247,BONTHE,26_247,TER_TRANS,BSC6900GSMBTSTRANS,BTS Index=247,26
FTBSC02,"NE=280,BTSTRANS=252",252,YOMADU,26_252,TER_TRANS,BSC6900GSMBTSTRANS,BTS Index=252,26
FTBSC02,"NE=280,BTSTRANS=257",257,ADONKIA,26_257,TER_TRANS,BSC6900GSMBTSTRANS,BTS Index=257,26
FTBSC02,"NE=280,BTSTRANS=258",258,BAFODIA_RPT,26_258,TER_TRANS,BSC6900GSMBTSTRANS,BTS Index=258,26
FTBSC02,"NE=280,BTSTRANS=263",263,HILLSTATION,26_263,TER_TRANS,BSC6900GSMBTSTRANS,BTS Index=263,26
FTBSC02,"NE=280,BTSTRANS=271",271,HILLTOP,26_271,TER_TRANS,BSC6900GSMBTSTRANS,BTS Index=271,26
FTBSC02,"NE=280,BTSTRANS=272",272,TIHUN,26_272,TER_TRANS,BSC6900GSMBTSTRANS,BTS Index=272,26
FTBSC02,"NE=280,BTSTRANS=282",282,TORKPOITOWN,26_282,TER_TRANS,BSC6900GSMBTSTRANS,BTS Index=282,26
FTBSC02,"NE=280,BTSTRANS=293",293,MONDEMA,26_293,TER_TRANS,BSC6900GSMBTSTRANS,BTS Index=293,26
FTBSC02,"NE=280,BTSTRANS=0",0,MAPAKI,26_0,TER_TRANS,BSC6900GSMBTSTRANS,BTS Index=0,26
FTBSC02,"NE=280,BTSTRANS=53",53,OAU_II,26_53,TER_TRANS,BSC6900GSMBTSTRANS,BTS Index=53,26
FTBSC02,"NE=280,BTSTRANS=57",57,LESTERPEAK_II,26_57,TER_TRANS,BSC6900GSMBTSTRANS,BTS Index=57,26
FTBSC02,"NE=280,BTSTRANS=69",69,HILLCUTROAD_II,26_69,TER_TRANS,BSC6900GSMBTSTRANS,BTS Index=69,26
FTBSC02,"NE=280,BTSTRANS=70",70,IMATT_II,26_70,TER_TRANS,BSC6900GSMBTSTRANS,BTS Index=70,26
FTBSC02,"NE=280,BTSTRANS=71",71,KINGHARMAN,26_71,TER_TRANS,BSC6900GSMBTSTRANS,BTS Index=71,26
FTBSC02,"NE=280,BTSTRANS=76",76,SPURLOOP_II,26_76,TER_TRANS,BSC6900GSMBTSTRANS,BTS Index=76,26
FTBSC02,"NE=280,BTSTRANS=77",77,SPURROAD_II,26_77,TER_TRANS,BSC6900GSMBTSTRANS,BTS Index=77,26
FTBSC02,"NE=280,BTSTRANS=83",83,HILLSTATION_II,26_83,TER_TRANS,BSC6900GSMBTSTRANS,BTS Index=83,26
FTBSC02,"NE=280,BTSTRANS=192",192,SEWAFE,26_192,TER_TRANS,BSC6900GSMBTSTRANS,BTS Index=192,26
FTBSC02,"NE=280,BTSTRANS=142",142,BANDAJUMASEWA,26_142,TER_TRANS,BSC6900GSMBTSTRANS,BTS Index=142,26
FTBSC02,"NE=280,BTSTRANS=152",152,KORIBONDO_II,26_152,TER_TRANS,BSC6900GSMBTSTRANS,BTS Index=152,26
FTBSC02,"NE=280,BTSTRANS=159",159,POTORU_II,26_159,TER_TRANS,BSC6900GSMBTSTRANS,BTS Index=159,26
FTBSC02,"NE=280,BTSTRANS=160",160,PUJEHUN_II,26_160,TER_TRANS,BSC6900GSMBTSTRANS,BTS Index=160,26
FTBSC02,"NE=280,BTSTRANS=168",168,ZIMMI_II,26_168,TER_TRANS,BSC6900GSMBTSTRANS,BTS Index=168,26
FTBSC02,"NE=280,BTSTRANS=210",210,KAMABAI,26_210,TER_TRANS,BSC6900GSMBTSTRANS,BTS Index=210,26
FTBSC02,"NE=280,BTSTRANS=94",94,MURRAYTOWNBARRACKS,26_94,TER_TRANS,BSC6900GSMBTSTRANS,BTS Index=94,26
FTBSC02,"NE=280,BTSTRANS=214",214,GBANDI,26_214,TER_TRANS,BSC6900GSMBTSTRANS,BTS Index=214,26
FTBSC02,"NE=280,BTSTRANS=225",225,PENDUMA,26_225,TER_TRANS,BSC6900GSMBTSTRANS,BTS Index=225,26
FTBSC02,"NE=280,BTSTRANS=222",222,GBUNDAPI,26_222,TER_TRANS,BSC6900GSMBTSTRANS,BTS Index=222,26
FTBSC02,"NE=280,BTSTRANS=244",244,KADABIE,26_244,TER_TRANS,BSC6900GSMBTSTRANS,BTS Index=244,26
FTBSC02,"NE=280,BTSTRANS=243",243,FINTONIA,26_243,TER_TRANS,BSC6900GSMBTSTRANS,BTS Index=243,26
FTBSC02,"NE=280,BTSTRANS=262",262,MAKENISOS_RELIEF,26_262,TER_TRANS,BSC6900GSMBTSTRANS,BTS Index=262,26
FTBSC02,"NE=280,BTSTRANS=40",40,KHORTRIGHT_II,26_40,TER_TRANS,BSC6900GSMBTSTRANS,BTS Index=40,26
FTBSC02,"NE=280,BTSTRANS=268",268,GIEMA,26_268,TER_TRANS,BSC6900GSMBTSTRANS,BTS Index=268,26
FTBSC02,"NE=280,BTSTRANS=274",274,KAMASIKI,26_274,TER_TRANS,BSC6900GSMBTSTRANS,BTS Index=274,26
FTBSC02,"NE=280,BTSTRANS=277",277,JORU,26_277,TER_TRANS,BSC6900GSMBTSTRANS,BTS Index=277,26
FTBSC02,"NE=280,BTSTRANS=279",279,GBINDI,26_279,TER_TRANS,BSC6900GSMBTSTRANS,BTS Index=279,26
FTBSC02,"NE=280,BTSTRANS=281",281,CKC_BO,26_281,TER_TRANS,BSC6900GSMBTSTRANS,BTS Index=281,26
FTBSC02,"NE=280,BTSTRANS=290",290,FORIA,26_290,TER_TRANS,BSC6900GSMBTSTRANS,BTS Index=290,26
FTBSC02,"NE=280,BTSTRANS=289",289,BENDUGU,26_289,TER_TRANS,BSC6900GSMBTSTRANS,BTS Index=289,26
FTBSC02,"NE=280,BTSTRANS=303",303,MAMBO,26_303,TER_TRANS,BSC6900GSMBTSTRANS,BTS Index=303,26
FTBSC02,"NE=280,BTSTRANS=310",310,KOMBA,26_310,TER_TRANS,BSC6900GSMBTSTRANS,BTS Index=310,26
FTBSC02,"NE=280,BTSTRANS=54",54,JUBA,26_54,TER_TRANS,BSC6900GSMBTSTRANS,BTS Index=54,26
FTBSC02,"NE=280,BTSTRANS=58",58,MMCE,26_58,TER_TRANS,BSC6900GSMBTSTRANS,BTS Index=58,26
FTBSC02,"NE=280,BTSTRANS=73",73,MALAMA_II,26_73,TER_TRANS,BSC6900GSMBTSTRANS,BTS Index=73,26
FTBSC02,"NE=280,BTSTRANS=74",74,MARJAYTOWN_II,26_74,TER_TRANS,BSC6900GSMBTSTRANS,BTS Index=74,26
FTBSC02,"NE=280,BTSTRANS=75",75,MUCTARUDRIVE_II,26_75,TER_TRANS,BSC6900GSMBTSTRANS,BTS Index=75,26
FTBSC02,"NE=280,BTSTRANS=123",123,YENGEMA,26_123,TER_TRANS,BSC6900GSMBTSTRANS,BTS Index=123,26
FTBSC02,"NE=280,BTSTRANS=134",134,TANKORO_II,26_134,TER_TRANS,BSC6900GSMBTSTRANS,BTS Index=134,26
FTBSC02,"NE=280,BTSTRANS=135",135,WOAMA,26_135,TER_TRANS,BSC6900GSMBTSTRANS,BTS Index=135,26
FTBSC02,"NE=280,BTSTRANS=193",193,OCTEA,26_193,TER_TRANS,BSC6900GSMBTSTRANS,BTS Index=193,26
FTBSC02,"NE=280,BTSTRANS=107",107,MAGBAS,26_107,TER_TRANS,BSC6900GSMBTSTRANS,BTS Index=107,26
FTBSC02,"NE=280,BTSTRANS=108",108,MAGBURAKA,26_108,TER_TRANS,BSC6900GSMBTSTRANS,BTS Index=108,26
FTBSC02,"NE=280,BTSTRANS=129",129,MAGBURAKA_II,26_129,TER_TRANS,BSC6900GSMBTSTRANS,BTS Index=129,26
FTBSC02,"NE=280,BTSTRANS=130",130,MATOTOKA_II,26_130,TER_TRANS,BSC6900GSMBTSTRANS,BTS Index=130,26
FTBSC02,"NE=280,BTSTRANS=101",101,BUMBUNA,26_101,TER_TRANS,BSC6900GSMBTSTRANS,BTS Index=101,26
FTBSC02,"NE=280,BTSTRANS=138",138,FARANGBAYA,26_138,TER_TRANS,BSC6900GSMBTSTRANS,BTS Index=138,26
FTBSC02,"NE=280,BTSTRANS=139",139,FARANGBAYA_II,26_139,TER_TRANS,BSC6900GSMBTSTRANS,BTS Index=139,26
FTBSC02,"NE=280,BTSTRANS=104",104,KAMAKWI,26_104,TER_TRANS,BSC6900GSMBTSTRANS,BTS Index=104,26
FTBSC02,"NE=280,BTSTRANS=118",118,ROGBIN,26_118,TER_TRANS,BSC6900GSMBTSTRANS,BTS Index=118,26
FTBSC02,"NE=280,BTSTRANS=194",194,WAXTON,26_194,TER_TRANS,BSC6900GSMBTSTRANS,BTS Index=194,26
FTBSC02,"NE=280,BTSTRANS=144",144,BOHILL,26_144,TER_TRANS,BSC6900GSMBTSTRANS,BTS Index=144,26
FTBSC02,"NE=280,BTSTRANS=145",145,BOTOWN,26_145,TER_TRANS,BSC6900GSMBTSTRANS,BTS Index=145,26
FTBSC02,"NE=280,BTSTRANS=169",169,BARGBORHILL_II,26_169,TER_TRANS,BSC6900GSMBTSTRANS,BTS Index=169,26
FTBSC02,"NE=280,BTSTRANS=179",179,BOEXTENSION2,26_179,TER_TRANS,BSC6900GSMBTSTRANS,BTS Index=179,26
FTBSC02,"NE=280,BTSTRANS=147",147,GEREHUN_II,26_147,TER_TRANS,BSC6900GSMBTSTRANS,BTS Index=147,26
FTBSC02,"NE=280,BTSTRANS=166",166,TINKONKO,26_166,TER_TRANS,BSC6900GSMBTSTRANS,BTS Index=166,26
FTBSC02,"NE=280,BTSTRANS=173",173,NJALABOCAMPUS_II,26_173,TER_TRANS,BSC6900GSMBTSTRANS,BTS Index=173,26
FTBSC02,"NE=280,BTSTRANS=175",175,RESERVATION_II,26_175,TER_TRANS,BSC6900GSMBTSTRANS,BTS Index=175,26
FTBSC02,"NE=280,BTSTRANS=177",177,SHELLMINGO_II,26_177,TER_TRANS,BSC6900GSMBTSTRANS,BTS Index=177,26
FTBSC02,"NE=280,BTSTRANS=206",206,BINKOLO,26_206,TER_TRANS,BSC6900GSMBTSTRANS,BTS Index=206,26
FTBSC02,"NE=280,BTSTRANS=153",153,MANO,26_153,TER_TRANS,BSC6900GSMBTSTRANS,BTS Index=153,26
FTBSC02,"NE=280,BTSTRANS=154",154,MILE91,26_154,TER_TRANS,BSC6900GSMBTSTRANS,BTS Index=154,26
FTBSC02,"NE=280,BTSTRANS=155",155,SIEROMCO(REP8)_II,26_155,TER_TRANS,BSC6900GSMBTSTRANS,BTS Index=155,26
FTBSC02,"NE=280,BTSTRANS=157",157,MOYAMBAJUNCTION_II,26_157,TER_TRANS,BSC6900GSMBTSTRANS,BTS Index=157,26
FTBSC02,"NE=280,BTSTRANS=165",165,TIAMA_II,26_165,TER_TRANS,BSC6900GSMBTSTRANS,BTS Index=165,26
FTBSC02,"NE=280,BTSTRANS=170",170,GBAIMASONGA_II,26_170,TER_TRANS,BSC6900GSMBTSTRANS,BTS Index=170,26
FTBSC02,"NE=280,BTSTRANS=172",172,NJALA_II,26_172,TER_TRANS,BSC6900GSMBTSTRANS,BTS Index=172,26
FTBSC02,"NE=280,BTSTRANS=181",181,MATTRU,26_181,TER_TRANS,BSC6900GSMBTSTRANS,BTS Index=181,26
FTBSC02,"NE=280,BTSTRANS=183",183,YELE,26_183,TER_TRANS,BSC6900GSMBTSTRANS,BTS Index=183,26
FTBSC02,"NE=280,BTSTRANS=245",245,BAFODIA,26_245,TER_TRANS,BSC6900GSMBTSTRANS,BTS Index=245,26
FTBSC02,"NE=280,BTSTRANS=249",249,SERABU,26_249,TER_TRANS,BSC6900GSMBTSTRANS,BTS Index=249,26
FTBSC02,"NE=280,BTSTRANS=254",254,GORAHUN,26_254,TER_TRANS,BSC6900GSMBTSTRANS,BTS Index=254,26
FTBSC02,"NE=280,BTSTRANS=259",259,COMPOUND_RELIEF,26_259,TER_TRANS,BSC6900GSMBTSTRANS,BTS Index=259,26
FTBSC02,"NE=280,BTSTRANS=260",260,PANLAP,26_260,TER_TRANS,BSC6900GSMBTSTRANS,BTS Index=260,26
FTBSC02,"NE=280,BTSTRANS=267",267,JUBAHILL,26_267,TER_TRANS,BSC6900GSMBTSTRANS,BTS Index=267,26
FTBSC02,"NE=280,BTSTRANS=269",269,PRESIDENTIAL_LODGE,26_269,TER_TRANS,BSC6900GSMBTSTRANS,BTS Index=269,26
FTBSC02,"NE=280,BTSTRANS=275",275,DOGOLIA,26_275,TER_TRANS,BSC6900GSMBTSTRANS,BTS Index=275,26
FTBSC02,"NE=280,BTSTRANS=280",280,FALABA,26_280,TER_TRANS,BSC6900GSMBTSTRANS,BTS Index=280,26
FTBSC02,"NE=280,BTSTRANS=309",309,SFD_RELIEF,26_309,TER_TRANS,BSC6900GSMBTSTRANS,BTS Index=309,26
FTBSC02,"NE=280,BTSTRANS=315",315,YAGOI,26_315,TER_TRANS,BSC6900GSMBTSTRANS,BTS Index=315,26
FTBSC02,"NE=280,BTSTRANS=319",319,KENEMA_ENTRANCE,26_319,TER_TRANS,BSC6900GSMBTSTRANS,BTS Index=319,26
FTBSC02,"NE=280,BTSTRANS=320",320,KENEMA_MFS,26_320,TER_TRANS,BSC6900GSMBTSTRANS,BTS Index=320,26
FTBSC02,"NE=280,BTSTRANS=321",321,MAKENI_TEKOHRD,26_321,TER_TRANS,BSC6900GSMBTSTRANS,BTS Index=321,26
FTBSC02,"NE=280,BTSTRANS=322",322,MAKENI_KABALAHIGHWAY,26_322,TER_TRANS,BSC6900GSMBTSTRANS,BTS Index=322,26
FTBSC02,"NE=280,BTSTRANS=323",323,BO_SAMILAYOUT,26_323,TER_TRANS,BSC6900GSMBTSTRANS,BTS Index=323,26
FTBSC02,"NE=280,BTSTRANS=327",327,TOMBODU,26_327,TER_TRANS,BSC6900GSMBTSTRANS,BTS Index=327,26
FTBSC02,"NE=280,BTSTRANS=328",328,PEYIMA,26_328,TER_TRANS,BSC6900GSMBTSTRANS,BTS Index=328,26
FTBSC02,"NE=280,BTSTRANS=329",329,KENEMA_KORTUGBOGOMA,26_329,TER_TRANS,BSC6900GSMBTSTRANS,BTS Index=329,26
FTBSC02,"NE=280,BTSTRANS=331",331,FIRAWA,26_331,TER_TRANS,BSC6900GSMBTSTRANS,BTS Index=331,26
FTBSC02,"NE=280,BTSTRANS=330",330,GBENDEMBU,26_330,TER_TRANS,BSC6900GSMBTSTRANS,BTS Index=330,26
FTBSC02,"NE=280,BTSTRANS=332",332,YIRAIA,26_332,TER_TRANS,BSC6900GSMBTSTRANS,BTS Index=332,26
FTBSC02,"NE=280,BTSTRANS=334",334,WORODU,26_334,TER_TRANS,BSC6900GSMBTSTRANS,BTS Index=334,26
FTBSC02,"NE=280,BTSTRANS=338",338,JUMU_KAFIEJUMU,26_338,TER_TRANS,BSC6900GSMBTSTRANS,BTS Index=338,26
FTBSC02,"NE=280,BTSTRANS=340",340,GONDAMA_MADINA,26_340,TER_TRANS,BSC6900GSMBTSTRANS,BTS Index=340,26
FTBSC02,"NE=280,BTSTRANS=342",342,MAKARR_VILLAGE,26_342,TER_TRANS,BSC6900GSMBTSTRANS,BTS Index=342,26
FTBSC02,"NE=280,BTSTRANS=336",336,MAKENI_SABU,26_336,TER_TRANS,BSC6900GSMBTSTRANS,BTS Index=336,26
FTBSC02,"NE=280,BTSTRANS=335",335,MILTONSTREET,26_335,TER_TRANS,BSC6900GSMBTSTRANS,BTS Index=335,26
FTBSC02,"NE=280,BTSTRANS=339",339,KUNYA,26_339,TER_TRANS,BSC6900GSMBTSTRANS,BTS Index=339,26
FTBSC02,"NE=280,BTSTRANS=341",341,MOSENESIE_JUNCTION,26_341,TER_TRANS,BSC6900GSMBTSTRANS,BTS Index=341,26
FTBSC02,"NE=280,BTSTRANS=349",349,TORMABUM,26_349,TER_TRANS,BSC6900GSMBTSTRANS,BTS Index=349,26
FTBSC02,"NE=280,BTSTRANS=343",343,BO_GIEWA,26_343,TER_TRANS,BSC6900GSMBTSTRANS,BTS Index=343,26
FTBSC02,"NE=280,BTSTRANS=346",346,KANDEHTOWN_BO,26_346,TER_TRANS,BSC6900GSMBTSTRANS,BTS Index=346,26
FTBSC02,"NE=280,BTSTRANS=344",344,MATTRUEROAD_BO,26_344,TER_TRANS,BSC6900GSMBTSTRANS,BTS Index=344,26
