begintime,ne_name,vendor,ne_type,sk_object,aggregation,integrity,ifInDiscardedMCastPackets,ifInOctets,ifOutMCastPackets,ifOutFragPackets,ifInMCastPackets,ifOutDroppedPackets,ifOutDroppedOctets,ifInErrors,ifOutFragments,ifInPackets,ifOutOctets,ifInMCastOctets,ifOutMCastOctets,ifInDiscardedMCastOctets,ifOutPackets
2022-03-11,"MRBTS-5086,TNLSVC-1,TNL-1,IPNO-1,IPIF-3",Nokia,SRAN : PLMN-MRBTS-TNLSVC-TNL-IPNO-IPIF,15473.0,dynamic,100.0,66808.0,111726350938.0,0.0,37.0,66808.0,0.0,0.0,0.0,74.0,98588989.0,14770832080.0,5197670.0,0.0,5197670.0,62978756.0
2022-03-11,"MRBTS-5045,TNLSVC-1,TNL-1,IPNO-1,IPIF-1",Nokia,SRAN : PLMN-MRBTS-TNLSVC-TNL-IPNO-IPIF,15474.0,dynamic,100.0,66803.0,109084610.0,0.0,0.0,66803.0,0.0,0.0,0.0,0.0,1497725.0,12929877.0,5197500.0,0.0,5197500.0,11991.0
2022-03-11,"MRBTS-5200,TNLSVC-1,TNL-1,IPNO-1,IPIF-1",Nokia,SRAN : PLMN-MRBTS-TNLSVC-TNL-IPNO-IPIF,15475.0,dynamic,90.0,59749.0,97577995.0,0.0,0.0,59749.0,0.0,0.0,0.0,0.0,1339592.0,16339403.0,4648590.0,0.0,4648590.0,14360.0
2022-03-11,"MRBTS-5079,TNLSVC-1,TNL-1,IPNO-1,IPIF-2",Nokia,SRAN : PLMN-MRBTS-TNLSVC-TNL-IPNO-IPIF,15476.0,dynamic,100.0,66773.0,1015051696.0,0.0,0.0,66773.0,0.0,0.0,0.0,0.0,10908131.0,531209016.0,5195192.0,0.0,5195192.0,6459823.0
2022-03-11,"MRBTS-5082,TNLSVC-1,TNL-1,IPNO-1,IPIF-2",Nokia,SRAN : PLMN-MRBTS-TNLSVC-TNL-IPNO-IPIF,15477.0,dynamic,100.0,66771.0,684813052.0,0.0,0.0,66771.0,0.0,0.0,0.0,0.0,7479251.0,194971040.0,5195032.0,0.0,5195032.0,3777189.0
2022-03-11,"MRBTS-5083,TNLSVC-1,TNL-1,IPNO-1,IPIF-3",Nokia,SRAN : PLMN-MRBTS-TNLSVC-TNL-IPNO-IPIF,15478.0,dynamic,100.0,65699.0,65821402468.0,0.0,0.0,65699.0,0.0,0.0,0.0,0.0,53238315.0,6819594073.0,5111756.0,0.0,5111756.0,28715413.0
2022-03-11,"MRBTS-5089,TNLSVC-1,TNL-1,IPNO-1,IPIF-1",Nokia,SRAN : PLMN-MRBTS-TNLSVC-TNL-IPNO-IPIF,15479.0,dynamic,100.0,66811.0,109089236.0,0.0,0.0,66811.0,0.0,0.0,0.0,0.0,1496900.0,7011468.0,5198324.0,0.0,5198324.0,7825.0
2022-03-11,"MRBTS-5089,TNLSVC-1,TNL-1,IPNO-1,IPIF-2",Nokia,SRAN : PLMN-MRBTS-TNLSVC-TNL-IPNO-IPIF,15480.0,dynamic,100.0,66794.0,784082260.0,0.0,0.0,66794.0,0.0,0.0,0.0,0.0,8613420.0,301173040.0,5196872.0,0.0,5196872.0,4606009.0
2022-03-11,"MRBTS-5023,TNLSVC-1,TNL-1,IPNO-1,IPIF-3",Nokia,SRAN : PLMN-MRBTS-TNLSVC-TNL-IPNO-IPIF,15481.0,dynamic,100.0,66825.0,372306982047.0,0.0,137.0,66825.0,0.0,0.0,0.0,274.0,330314597.0,56577411656.0,5199168.0,0.0,5199168.0,245471500.0
2022-03-11,"MRBTS-5090,TNLSVC-1,TNL-1,IPNO-1,IPIF-3",Nokia,SRAN : PLMN-MRBTS-TNLSVC-TNL-IPNO-IPIF,15482.0,dynamic,100.0,65001.0,317619792230.0,0.0,408.0,65001.0,0.0,0.0,0.0,816.0,280604268.0,49044059603.0,5056882.0,0.0,5056882.0,203218665.0
2022-03-11,"MRBTS-5102,TNLSVC-1,TNL-1,IPNO-1,IPIF-1",Nokia,SRAN : PLMN-MRBTS-TNLSVC-TNL-IPNO-IPIF,15483.0,dynamic,100.0,67033.0,109438534.0,0.0,0.0,67033.0,0.0,0.0,0.0,0.0,1501914.0,6778073.0,5215624.0,0.0,5215624.0,7573.0
2022-03-11,"MRBTS-5079,TNLSVC-1,TNL-1,IPNO-1,IPIF-1",Nokia,SRAN : PLMN-MRBTS-TNLSVC-TNL-IPNO-IPIF,15484.0,dynamic,100.0,66781.0,109076590.0,0.0,0.0,66781.0,0.0,0.0,0.0,0.0,1497640.0,12634996.0,5195694.0,0.0,5195694.0,10761.0
2022-03-11,"MRBTS-5084,TNLSVC-1,TNL-1,IPNO-1,IPIF-3",Nokia,SRAN : PLMN-MRBTS-TNLSVC-TNL-IPNO-IPIF,15485.0,dynamic,100.0,65689.0,246857687422.0,0.0,153.0,65689.0,0.0,0.0,0.0,306.0,208079987.0,30850985617.0,5110772.0,0.0,5110772.0,133347156.0
2022-03-11,"MRBTS-5102,TNLSVC-1,TNL-1,IPNO-1,IPIF-3",Nokia,SRAN : PLMN-MRBTS-TNLSVC-TNL-IPNO-IPIF,15486.0,dynamic,100.0,67056.0,53572473639.0,0.0,0.0,67056.0,0.0,0.0,0.0,0.0,48001420.0,10958682501.0,5216774.0,0.0,5216774.0,26474206.0
2022-03-11,"MRBTS-5082,TNLSVC-1,TNL-1,IPNO-1,IPIF-3",Nokia,SRAN : PLMN-MRBTS-TNLSVC-TNL-IPNO-IPIF,15487.0,dynamic,100.0,66761.0,17748017997.0,0.0,4.0,66761.0,0.0,0.0,0.0,8.0,15761944.0,2352453826.0,5194370.0,0.0,5194370.0,9043063.0
2022-03-11,"MRBTS-5080,TNLSVC-1,TNL-1,IPNO-1,IPIF-3",Nokia,SRAN : PLMN-MRBTS-TNLSVC-TNL-IPNO-IPIF,15488.0,dynamic,100.0,66807.0,181545543729.0,0.0,36.0,66807.0,0.0,0.0,0.0,72.0,155801943.0,23516504245.0,5197590.0,0.0,5197590.0,95087487.0
2022-03-11,"MRBTS-5079,TNLSVC-1,TNL-1,IPNO-1,IPIF-3",Nokia,SRAN : PLMN-MRBTS-TNLSVC-TNL-IPNO-IPIF,15489.0,dynamic,100.0,66783.0,215092813157.0,0.0,6.0,66783.0,0.0,0.0,0.0,12.0,183967705.0,27803284473.0,5195808.0,0.0,5195808.0,126185643.0
2022-03-11,"MRBTS-5086,TNLSVC-1,TNL-1,IPNO-1,IPIF-2",Nokia,SRAN : PLMN-MRBTS-TNLSVC-TNL-IPNO-IPIF,15490.0,dynamic,100.0,66822.0,843745218.0,0.0,0.0,66822.0,0.0,0.0,0.0,0.0,9212487.0,371791032.0,5199066.0,0.0,5199066.0,5116861.0
