begintime,sk_object,duration,integrity,M8082C0,M8082C1
2022-03-11 05:00:00,22834.0,60.0,100.0,17694720000000.0,0.0
2022-03-11 01:00:00,22828.0,60.0,100.0,17694720000000.0,0.0
2022-03-11 01:00:00,22831.0,60.0,100.0,17694720000000.0,0.0
2022-03-11 02:00:00,22826.0,60.0,100.0,17694720000000.0,0.0
2022-03-11 10:00:00,22846.0,60.0,100.0,17694720000000.0,0.0
2022-03-11 03:00:00,22856.0,60.0,100.0,17694720000000.0,0.0
2022-03-11 01:00:00,22834.0,60.0,100.0,17694720000000.0,0.0
2022-03-11 12:00:00,22852.0,60.0,100.0,17694720000000.0,0.0
2022-03-11 14:00:00,22852.0,60.0,100.0,17694720000000.0,0.0
2022-03-11 12:00:00,22842.0,60.0,100.0,17694720000000.0,0.0
2022-03-11 11:00:00,22854.0,60.0,100.0,17694720000000.0,0.0
2022-03-11 12:00:00,22828.0,60.0,100.0,17694720000000.0,0.0
2022-03-11 13:00:00,22846.0,60.0,100.0,17694720000000.0,0.0
2022-03-11 09:00:00,22846.0,60.0,100.0,17694720000000.0,0.0
2022-03-11 02:00:00,22850.0,60.0,100.0,17694720000000.0,0.0
2022-03-11 14:00:00,22851.0,60.0,100.0,17694720000000.0,0.0
2022-03-11 09:00:00,22831.0,60.0,100.0,17694720000000.0,0.0
2022-03-11 05:00:00,22839.0,60.0,100.0,17694720000000.0,0.0
2022-03-11 06:00:00,22855.0,60.0,100.0,17694720000000.0,0.0
2022-03-11 01:00:00,22850.0,60.0,100.0,17694720000000.0,0.0
2022-03-11 07:00:00,22840.0,60.0,100.0,17694720000000.0,0.0
2022-03-11 12:00:00,22830.0,60.0,100.0,17694720000000.0,0.0
2022-03-11 07:00:00,22835.0,60.0,100.0,17694720000000.0,0.0
