begintime,sk_object,duration,M8033C0,M8033C5,M8033C1,M8033C2,M8033C3,M8033C4,M8033C6,M8033C7,M8033C8
2022-03-13 14:00:00,21386.0,15,79.0,60.0,0.0,36.0,0.0,0.0,0.0,10.0,0.0
2022-03-13 03:30:00,21345.0,15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-11 02:15:00,21326.0,15,53.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0
2022-03-12 14:45:00,21392.0,15,209.0,26.0,0.0,26.0,0.0,0.0,0.0,24.0,0.0
2022-03-13 19:30:00,21321.0,15,51.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,0.0
2022-03-12 06:00:00,21361.0,15,7.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
2022-03-13 07:00:00,21350.0,15,53.0,66.0,0.0,23.0,0.0,0.0,0.0,2.0,0.0
2022-03-12 22:45:00,21319.0,15,5.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
2022-03-11 13:15:00,21357.0,15,206.0,43.0,0.0,32.0,0.0,0.0,0.0,26.0,0.0
2022-03-11 02:15:00,21327.0,15,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-13 06:30:00,21376.0,15,211.0,7.0,0.0,27.0,0.0,0.0,0.0,3.0,0.0
2022-03-12 08:15:00,21375.0,15,55.0,3.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0
2022-03-13 00:00:00,21315.0,15,28.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0
2022-03-13 03:45:00,21324.0,15,21.0,6.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0
2022-03-11 14:00:00,21368.0,15,151.0,39.0,0.0,43.0,0.0,0.0,0.0,3.0,0.0
2022-03-12 05:00:00,21358.0,15,4.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
2022-03-12 04:15:00,21310.0,15,27.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0
2022-03-11 18:15:00,21370.0,15,220.0,195.0,0.0,128.0,0.0,0.0,0.0,27.0,0.0
2022-03-12 05:30:00,21341.0,15,40.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
2022-03-12 06:00:00,21316.0,15,12.0,8.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
2022-03-12 04:30:00,21334.0,15,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-13 02:30:00,21373.0,15,79.0,1.0,0.0,3.0,0.0,0.0,0.0,7.0,0.0
2022-03-11 02:45:00,21306.0,15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-12 05:30:00,21394.0,15,32.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
2022-03-11 22:14:00,21329.0,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-13 17:30:00,21344.0,15,149.0,40.0,0.0,29.0,0.0,0.0,0.0,29.0,0.0
2022-03-13 16:30:00,21396.0,15,562.0,2.0,0.0,21.0,0.0,0.0,0.0,11.0,0.0
2022-03-11 13:00:00,21368.0,15,139.0,7.0,0.0,9.0,0.0,0.0,0.0,10.0,0.0
