measObjLdn,duration,begin_time,20001370.0,20001371.0,20001372.0,20001373.0,20001374.0,20001375.0,20001376.0,20001377.0,20001378.0,20001379.0,20001380.0,20001381.0
"ManagedElement=1,Equipment=1,Subrack=1,UplinkBaseBandPool=1",900.0,2021-09-26 19:15:00,"512,0,0,0,0,0,6,21,140,486,247","512,898,2,0,0,0,0,0,0,0","4,3,36,750,999,691,356,238,145,135,106,97,106,117,131,168,156,108,64,20","0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,12,37,136,576,1709,1801,223,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0","1,0,0,0,0,0,0,0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0,0,0,0,0,0,0,0","2,3,1,2,1,1,3,4,3,2,4,4,5,3,3","1,0,0,0,2,2,2,0,0,2,2,3,0,1,1","81,73,69,61,59,68,90,67,71,68,67,77,71,72,72","23,23,14,19,24,21,14,21,17,20,16,14,17,18,21","0,0,0,0,0,0,0,0,0,0,0,0,0,0,0","0,0,0,0,9,79,329,415,66,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
"ManagedElement=1,Equipment=1,Subrack=1,UplinkBaseBandPool=3",900.0,2021-09-26 19:15:00,"512,0,0,0,0,0,1,10,149,454,286","512,895,5,0,0,0,0,0,0,0","2,1,23,706,1014,824,387,187,119,106,85,84,98,120,151,176,159,131,77,12","0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,5,99,799,1709,1692,192,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0,0,0,0,0,0,0,0","2,2,4,3,5,4,3,2,2,3,5,5,4,5,5","3,2,2,1,1,1,2,3,2,1,1,1,2,3,3","62,78,81,89,81,77,74,67,79,79,70,79,70,78,61","24,29,29,26,20,19,19,18,28,23,23,16,16,22,18","0,0,0,0,0,0,0,0,0,0,0,0,0,0,0","0,0,0,0,0,2,62,417,297,101,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
